バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
*本クエストは調整されました。一度破棄し、バノック練兵所の「ガルフリッド」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、バノック練兵所の「ガルフリッド」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			背中を見て学べ							
ブラックエフトの討伐を終えた。「バノック練兵所」の「ガルフリッド」に報告しよう。			ブラックエフトの討伐を終えた。「バノック練兵所」の「ガルフリッド」に報告しよう。			背中を見て学べ							
冒険者の活躍を見て、訓練兵は態度を改めたようだ。鍛錬に精を出しはじめた訓練兵に追い抜かれぬよう、冒険者も、さらに腕を磨こう。			冒険者の活躍を見て、訓練兵は態度を改めたようだ。鍛錬に精を出しはじめた訓練兵に追い抜かれぬよう、冒険者も、さらに腕を磨こう。			背中を見て学べ							
*本クエストは調整されました。一度破棄し、バノック練兵所のガルフリッドから再受注してください			*本クエストは調整されました。一度破棄し、バノック練兵所のガルフリッドから再受注してください			背中を見て学べ							
お前の実力を見込んで、頼みたい仕事がある。訓練兵の鍛錬につきあってくれないか？			お前の実力を見込んで、頼みたい仕事がある。訓練兵の鍛錬につきあってくれないか？			背中を見て学べ							
付近の川に「ブラックエフト」という魔物が棲んでいる。訓練兵数人に討伐にいかせたところ、逃げ戻ってきてな……。あんな魔物、手には負えないと泣き言を言うのだ。			付近の川に「ブラックエフト」という魔物が棲んでいる。訓練兵数人に討伐にいかせたところ、逃げ戻ってきてな……。あんな魔物、手には負えないと泣き言を言うのだ。			背中を見て学べ							
まったく情けない話だ。あの程度の魔物ならば、少しでも鍛錬を積んだ者には脅威ではなかろう。手本として、4体ほど倒してみせてくれ。			まったく情けない話だ。あの程度の魔物ならば、少しでも鍛錬を積んだ者には脅威ではなかろう。手本として、4体ほど倒してみせてくれ。			背中を見て学べ							
ああ、戻ったな。ご苦労、よくやってくれた。			ああ、戻ったな。ご苦労、よくやってくれた。			背中を見て学べ							
お前がブラックエフトと戦うところを、訓練兵に物陰から見学させていたんだが、お前の戦いぶりを見て、思う所があったようだ。			お前がブラックエフトと戦うところを、訓練兵に物陰から見学させていたんだが、お前の戦いぶりを見て、思う所があったようだ。			背中を見て学べ							
皆、冒険者などに負けてられんと訓練に精を出しはじめた。訓練兵どもにはいい刺激になったようだ。協力してくれて助かったぞ、礼を言おう。			皆、冒険者などに負けてられんと訓練に精を出しはじめた。訓練兵どもにはいい刺激になったようだ。協力してくれて助かったぞ、礼を言おう。			背中を見て学べ							
バノック練兵所の隊長ガルフリッドは、チゴーの卵袋の収集を依頼したいようだ。			バノック練兵所の隊長ガルフリッドは、チゴーの卵袋の収集を依頼したいようだ。			チゴーの卵袋							
*本クエストは調整されました。一度破棄し、バノック練兵所の「ガルフリッド」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、バノック練兵所の「ガルフリッド」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			チゴーの卵袋							
チゴーの卵袋を集め終えた。「ギルバート監視哨」で待つ「モンランガン」に届けにいこう。			チゴーの卵袋を集め終えた。「ギルバート監視哨」で待つ「モンランガン」に届けにいこう。			チゴーの卵袋							
チゴーには、「鎖死病」の毒気を媒介する性質があるという。鎖死病とは、ヒューラン族が発症すると死に至るという恐ろしい病らしい。今では特効薬が見つかっているというが、病の流行を防ぐために、毒気の有無の確認が欠かせないようだ。			チゴーには、「鎖死病」の毒気を媒介する性質があるという。鎖死病とは、ヒューラン族が発症すると死に至るという恐ろしい病らしい。今では特効薬が見つかっているというが、病の流行を防ぐために、毒気の有無の確認が欠かせないようだ。			チゴーの卵袋							
*本クエストは調整されました。一度破棄し、バノック練兵所のガルフリッドから再受注してください			*本クエストは調整されました。一度破棄し、バノック練兵所のガルフリッドから再受注してください			チゴーの卵袋							
もうひとつ仕事を頼みたい。訳あって「チゴーの卵袋」を集めているんだが、担当した部下が怪我をして、人手が足らんのだ。			もうひとつ仕事を頼みたい。訳あって「チゴーの卵袋」を集めているんだが、担当した部下が怪我をして、人手が足らんのだ。			チゴーの卵袋							
なに、そこらにいるチゴーを狩り、8体分「チゴーの卵袋」を集めてくるだけだ。お前にはさほど難しい仕事ではあるまい？			なに、そこらにいるチゴーを狩り、8体分「チゴーの卵袋」を集めてくるだけだ。お前にはさほど難しい仕事ではあるまい？			チゴーの卵袋							
集めた卵袋は「ギルバート監視哨」の「モンランガン」に渡してくれ。彼がチゴーの卵袋集めの指揮をとっている。			集めた卵袋は「ギルバート監視哨」の「モンランガン」に渡してくれ。彼がチゴーの卵袋集めの指揮をとっている。			チゴーの卵袋							
チゴーの卵袋の収集を手伝ってくれている冒険者というのはお前か？			チゴーの卵袋の収集を手伝ってくれている冒険者というのはお前か？			チゴーの卵袋							
もう集めてくれたのか！　ご苦労だった。さっそく猟師ギルドの者に届けてやらねば。			もう集めてくれたのか！　ご苦労だった。さっそく猟師ギルドの者に届けてやらねば。			チゴーの卵袋							
チゴーには「鎖死病(さしびょう)」の毒気を媒介する性質があってな。毒気の有無を調べるために、双蛇党や鬼哭隊が協力しているんだ。			チゴーには「鎖死病(さしびょう)」の毒気を媒介する性質があってな。毒気の有無を調べるために、双蛇党や鬼哭隊が協力しているんだ。			チゴーの卵袋							
……ああ、「鎖死病」ってのは、ヒューラン族が発症すると確実に死に至るとまでいわれた、恐ろしい病気さ。			……ああ、「鎖死病」ってのは、ヒューラン族が発症すると確実に死に至るとまでいわれた、恐ろしい病気さ。			チゴーの卵袋							
大昔に流行したときなどグリダニアの民族比率が変わるほどだったとか……。まあ今は特効薬が発見されているから、恐れることはない。			大昔に流行したときなどグリダニアの民族比率が変わるほどだったとか……。まあ今は特効薬が発見されているから、恐れることはない。			チゴーの卵袋							
こうして定期的に毒気を調べれば、流行も防げるしな。あとは猟師ギルドの者に任せるとしよう。協力、ご苦労だった。			こうして定期的に毒気を調べれば、流行も防げるしな。あとは猟師ギルドの者に任せるとしよう。協力、ご苦労だった。			チゴーの卵袋							
ガビノー親方の小屋の道士ポリヌは、腕の立つ冒険者にホグレットの間引きを依頼したいようだ。			ガビノー親方の小屋の道士ポリヌは、腕の立つ冒険者にホグレットの間引きを依頼したいようだ。			命の均衡							
