不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
テロフォロイの軍勢が、カルテノー平原を目指しているとの報告が入った。双蛇党の飛空艇で、平原へと連れていってもらえることになった。グリダニアのカーラインカフェ付近で「アルフィノ」と話そう。			テロフォロイの軍勢が、カルテノー平原を目指しているとの報告が入った。双蛇党の飛空艇で、平原へと連れていってもらえることになった。グリダニアのカーラインカフェ付近で「アルフィノ」と話そう。			黎明の死闘							
アルフィノと話した。アレンヴァルドはこれまで描いていた英雄への夢と憧れを、アルフィノに託していった。カルテノー平原へと向かうため、カーラインカフェの「アリゼー」と話そう。			アルフィノと話した。アレンヴァルドはこれまで描いていた英雄への夢と憧れを、アルフィノに託していった。カルテノー平原へと向かうため、カーラインカフェの「アリゼー」と話そう。			黎明の死闘							
飛空艇でカルテノー平原へと向かい、「暁」の仲間たち、グランドカンパニー・エオルゼアとともに、地脈の結節点を狙う異形の蛮神を討伐した。石の家に戻ろう。			飛空艇でカルテノー平原へと向かい、「暁」の仲間たち、グランドカンパニー・エオルゼアとともに、地脈の結節点を狙う異形の蛮神を討伐した。石の家に戻ろう。			黎明の死闘							
異形の蛮神が討伐されたのを見て、ファダニエルは去っていった。石の家の「アイメリク」と話そう。			異形の蛮神が討伐されたのを見て、ファダニエルは去っていった。石の家の「アイメリク」と話そう。			黎明の死闘							
アイメリクと話した。「暁の血盟」は、「終末の塔」への攻略方法を探ることになった。「終末の塔」の謎を解明するためにも、シャーレアン本国へと行く必要がありそうだ。塔が地脈から吸い上げたエーテルの用途や、冒険者の前に現れた謎の姿など、気にかかる部分も多いが、何が待っていても立ち向かえるよう、今は英気を養っておこう。※以下の条件を満たすと、石の家のアルフィノから、新たなメインクエストを受注することができます。1.「暁月のフィナーレ」のプレイ権を所有している。2.「メインクエスト：終末の序曲編」の、　「黎明の死闘」を完了する。			アイメリクと話した。「暁の血盟」は、「終末の塔」への攻略方法を探ることになった。「終末の塔」の謎を解明するためにも、シャーレアン本国へと行く必要がありそうだ。塔が地脈から吸い上げたエーテルの用途や、冒険者の前に現れた謎の姿など、気にかかる部分も多いが、何が待っていても立ち向かえるよう、今は英気を養っておこう。※以下の条件を満たすと、石の家のアルフィノから、新たなメインクエストを受注することができます。1.「暁月のフィナーレ」のプレイ権を所有している。2.「メインクエスト：終末の序曲編」の、　「黎明の死闘」を完了する。			黎明の死闘							
カーラインカフェのアルフィノと話す			カーラインカフェのアルフィノと話す			黎明の死闘							
アリゼーと話す			アリゼーと話す			黎明の死闘							
アイメリクと話す			アイメリクと話す			黎明の死闘							
父は昔から、シャーレアンの使命をどう解釈するかで、他国の救済に赴かんとする祖父と揉めていたんだ。……それが、私にも突きつけられる日がきたということか。			父は昔から、シャーレアンの使命をどう解釈するかで、他国の救済に赴かんとする祖父と揉めていたんだ。……それが、私にも突きつけられる日がきたということか。			黎明の死闘							
果たして私は、あれほど強固な信念を持った相手を打ち砕けるような、そんな答えを、見つけ出せるのだろうか……。			果たして私は、あれほど強固な信念を持った相手を打ち砕けるような、そんな答えを、見つけ出せるのだろうか……。			黎明の死闘							
「終末の塔」の解析ができれば、中で囚えられているテンパードになってしまった人たちも、救えるかもしれないっていうのに……！			「終末の塔」の解析ができれば、中で囚えられているテンパードになってしまった人たちも、救えるかもしれないっていうのに……！			黎明の死闘							
哲学者議会には、シャーレアンの主要組織の代表も加わってる。それがあそこまで拒絶を示した以上、たしかに、クルルひとりで調査は難しいだろうな……。			哲学者議会には、シャーレアンの主要組織の代表も加わってる。それがあそこまで拒絶を示した以上、たしかに、クルルひとりで調査は難しいだろうな……。			黎明の死闘							
カヌ・エ様とのお話は、まだ終わっていないのでは？「不語仙の座卓」へと向かうかね？			カヌ・エ様とのお話は、まだ終わっていないのでは？「不語仙の座卓」へと向かうかね？			黎明の死闘							
「不語仙の座卓」へ移動しますか？			「不語仙の座卓」へ移動しますか？			黎明の死闘							
……暗鬱とした気持ちのときでも、顔を上げねばならないのが、私たちのつらいところですね。やらねばならないことが山積みですから。			……暗鬱とした気持ちのときでも、顔を上げねばならないのが、私たちのつらいところですね。やらねばならないことが山積みですから。			黎明の死闘							
