円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			職人に寄り添う新道具							
チョラ・ゾイの憧れの人物だという、グレノルトと再会した。元々クリスタリウム出身の職人であるという彼は、ミーン工芸館を訪ねるつもりだという。クリスタリウムのミーン工芸館付近で、「グレノルト」と話そう。			チョラ・ゾイの憧れの人物だという、グレノルトと再会した。元々クリスタリウム出身の職人であるという彼は、ミーン工芸館を訪ねるつもりだという。クリスタリウムのミーン工芸館付近で、「グレノルト」と話そう。			職人に寄り添う新道具							
グレノルトの旧知の者たちとの再会を見届け、チョラ・ゾイの道具作りを共に手伝うことになった。ミーン工芸館前のテントで、再び「グレノルト」と話そう。			グレノルトの旧知の者たちとの再会を見届け、チョラ・ゾイの道具作りを共に手伝うことになった。ミーン工芸館前のテントで、再び「グレノルト」と話そう。			職人に寄り添う新道具							
モーエン商会の後援を受け、グレノルトのかつての名品を「モーエンツール」として新たな魅力を見出していくこととなった。グレノルトやチョラ・ゾイらと協力し、道具を改良していこう。			モーエン商会の後援を受け、グレノルトのかつての名品を「モーエンツール」として新たな魅力を見出していくこととなった。グレノルトやチョラ・ゾイらと協力し、道具を改良していこう。			職人に寄り添う新道具							
グレノルトと話す			グレノルトと話す			職人に寄り添う新道具							
グレノルトと再度話す			グレノルトと再度話す			職人に寄り添う新道具							
あのっ、「闇の戦士」様ですよね！私、ミーン工芸館錬鉄科のチョラ・ゾイと申します。			あのっ、「闇の戦士」様ですよね！私、ミーン工芸館錬鉄科のチョラ・ゾイと申します。			職人に寄り添う新道具							
お引き止めしてしまい、すみません。でも、腕利きの職人でもあるというあなたなら、興味を抱いていただけそうな、話がありまして……！			お引き止めしてしまい、すみません。でも、腕利きの職人でもあるというあなたなら、興味を抱いていただけそうな、話がありまして……！			職人に寄り添う新道具							
この程、伝説の職人さんが帰郷されるんです！長らく辺境の地にて、俗世との関わりを断ちながら、職人道を極めんと鍛錬を続けていた方なのですが……			この程、伝説の職人さんが帰郷されるんです！長らく辺境の地にて、俗世との関わりを断ちながら、職人道を極めんと鍛錬を続けていた方なのですが……			職人に寄り添う新道具							
先だって、世界に夜闇が取り戻されたということもあり、古巣である工芸館宛にお手紙をくださったんです！私にとって憧れの人物ですから、もうもう、待ちきれなくって！			先だって、世界に夜闇が取り戻されたということもあり、古巣である工芸館宛にお手紙をくださったんです！私にとって憧れの人物ですから、もうもう、待ちきれなくって！			職人に寄り添う新道具							
あっ、あれはもしかして……！？			あっ、あれはもしかして……！？			職人に寄り添う新道具							
ぐぐぐぐぐ、グレノルトさんですよねっっ！！！			ぐぐぐぐぐ、グレノルトさんですよねっっ！！！			職人に寄り添う新道具							
さよう、お初にお目にかかる。工芸館からの返信に、若手職人を迎えに出すと記されていたが、おぬしが、チョラ・ゾイであろうか？			さよう、お初にお目にかかる。工芸館からの返信に、若手職人を迎えに出すと記されていたが、おぬしが、チョラ・ゾイであろうか？			職人に寄り添う新道具							
はっ、はい！お会いできるのを心待ちにしていましたっ……！！			はっ、はい！お会いできるのを心待ちにしていましたっ……！！			職人に寄り添う新道具							
それにForename殿も、久方ぶりであるな！かような場所で再会できようとは……！			それにForename殿も、久方ぶりであるな！かような場所で再会できようとは……！			職人に寄り添う新道具							
ええっ、グレノルトさんとForenameさんも、お知り合いなんですか！？			ええっ、グレノルトさんとForenameさんも、お知り合いなんですか！？			職人に寄り添う新道具							
ああ、深海の吾の工房を訪ねてこられた折、吾の仕事をお助けいただいた見返りに、武具一式をお渡ししてな。世界を救う戦いに身を投じられるところとは、いざ知らず……。			ああ、深海の吾の工房を訪ねてこられた折、吾の仕事をお助けいただいた見返りに、武具一式をお渡ししてな。世界を救う戦いに身を投じられるところとは、いざ知らず……。			職人に寄り添う新道具							
はわわ、生ける伝説たちを目の前にしているみたいっ……！！いち職人として、この機に教えを請えたらと思っていたんですが、こうしてお会いできただけでも大大感激ですっ！			はわわ、生ける伝説たちを目の前にしているみたいっ……！！いち職人として、この機に教えを請えたらと思っていたんですが、こうしてお会いできただけでも大大感激ですっ！			職人に寄り添う新道具							
やや、吾など半ば世捨て人のような身……新進の職人であるチョラ・ゾイに、かように慕っていただけるとは面映ゆい。			やや、吾など半ば世捨て人のような身……新進の職人であるチョラ・ゾイに、かように慕っていただけるとは面映ゆい。			職人に寄り添う新道具							
吾はForename殿にお助けいただいたことで、改めて他者より得る影響の大きさを痛感してな。次第に若き才能と、切磋琢磨したいと考えるようになったのだ。			吾はForename殿にお助けいただいたことで、改めて他者より得る影響の大きさを痛感してな。次第に若き才能と、切磋琢磨したいと考えるようになったのだ。			職人に寄り添う新道具							
その旨を工芸館に手紙で伝えたところ、吾の仕事に関心を寄せる若手職人がいると紹介を受けた。故郷へ顔を見せるのに、これ以上の好機はあるまい。			その旨を工芸館に手紙で伝えたところ、吾の仕事に関心を寄せる若手職人がいると紹介を受けた。故郷へ顔を見せるのに、これ以上の好機はあるまい。			職人に寄り添う新道具							
わわわ、恐縮ですっ……！ぜひ今回のご滞在の間に、ご指導いただければと！			わわわ、恐縮ですっ……！ぜひ今回のご滞在の間に、ご指導いただければと！			職人に寄り添う新道具							
それではグレノルトさん、さっそくミーン工芸館へ！カットリスさんたちもお待ちかねですよ。			それではグレノルトさん、さっそくミーン工芸館へ！カットリスさんたちもお待ちかねですよ。			職人に寄り添う新道具							
こうして、ふたたびまみえることができたのも、なにかの縁。よければ貴殿も、再会の輪に加わってはもらえぬだろうか？			こうして、ふたたびまみえることができたのも、なにかの縁。よければ貴殿も、再会の輪に加わってはもらえぬだろうか？			職人に寄り添う新道具							
そうですね、Forenameさんもご一緒に！ミーン工芸館の前まで、向かいましょうか！			そうですね、Forenameさんもご一緒に！ミーン工芸館の前まで、向かいましょうか！			職人に寄り添う新道具							
グレノルトさんがクリスタリウムにお帰りになるのは、およそ10年ぶりになるはずです……！感動もひとしおというところ、なのでしょうね。			グレノルトさんがクリスタリウムにお帰りになるのは、およそ10年ぶりになるはずです……！感動もひとしおというところ、なのでしょうね。			職人に寄り添う新道具							
まったく懐かしいかぎり……クリスタリウムの構造物を支える、鉄材たちの美しき曲線よ。少年の頃より、これを仰ぎ見続けたのが吾の原点であった。			まったく懐かしいかぎり……クリスタリウムの構造物を支える、鉄材たちの美しき曲線よ。少年の頃より、これを仰ぎ見続けたのが吾の原点であった。			職人に寄り添う新道具							
はぁ～っ、クリスタリウムの街自体が、グレノルトさんのインスピレーションの源だったんですねっ……！さぁさぁ、是非いろんなお話を聞かせてください！			はぁ～っ、クリスタリウムの街自体が、グレノルトさんのインスピレーションの源だったんですねっ……！さぁさぁ、是非いろんなお話を聞かせてください！			職人に寄り添う新道具							
あれ、モーエン商会の……？			あれ、モーエン商会の……？			職人に寄り添う新道具							
おぉ、モーエン殿……！貴女も駆けつけてくれるとは、帰郷を伝えた甲斐があったものだ。			おぉ、モーエン殿……！貴女も駆けつけてくれるとは、帰郷を伝えた甲斐があったものだ。			職人に寄り添う新道具							
もちろんですわ、またとない機会ですもの。いつもユールモアのテラスから、貴方のいる「あとりえ」へ、想いを馳せていましたのよ。			もちろんですわ、またとない機会ですもの。いつもユールモアのテラスから、貴方のいる「あとりえ」へ、想いを馳せていましたのよ。			職人に寄り添う新道具							
おぉ、おや……これは失敬。			おぉ、おや……これは失敬。			職人に寄り添う新道具							
こちらのモーエン殿は、吾にとっての大恩人……。彼女が吾の作品を認め、ノルヴラント全土に広めてくれなければ、職人を廃業していたやもしれぬ。			こちらのモーエン殿は、吾にとっての大恩人……。彼女が吾の作品を認め、ノルヴラント全土に広めてくれなければ、職人を廃業していたやもしれぬ。			職人に寄り添う新道具							
吾の才を見出してくださった、モーエン殿の瞳……。その深き色の如く輝けと、幾千のヤカンを鍛えることで、吾の職人としての道は定まったのだ……！			吾の才を見出してくださった、モーエン殿の瞳……。その深き色の如く輝けと、幾千のヤカンを鍛えることで、吾の職人としての道は定まったのだ……！			職人に寄り添う新道具							
フ、夢で見た吉兆の刻印を刻んだこのヤカン……。これぞ、吾の想いと立志の証ぞ……。			フ、夢で見た吉兆の刻印を刻んだこのヤカン……。これぞ、吾の想いと立志の証ぞ……。			職人に寄り添う新道具							
モーエン殿……貴女がいたからこそ、今の吾がある。荒海の底で腕を磨き、少しは誇れる己になれていればと……。			モーエン殿……貴女がいたからこそ、今の吾がある。荒海の底で腕を磨き、少しは誇れる己になれていればと……。			職人に寄り添う新道具							
私こそ……貴方のヤカンへの誠実な仕事ぶりに心打たれたゆえに、誠実をモットーとする、現在の商会を築けたのですわ……！			私こそ……貴方のヤカンへの誠実な仕事ぶりに心打たれたゆえに、誠実をモットーとする、現在の商会を築けたのですわ……！			職人に寄り添う新道具							
えっ、ええぇーっとぉ！グレノルトさんは、せっかく故郷を訪ねられたところですが、具体的に何を製作されたいとか、計画はおありなんですかねっ？			えっ、ええぇーっとぉ！グレノルトさんは、せっかく故郷を訪ねられたところですが、具体的に何を製作されたいとか、計画はおありなんですかねっ？			職人に寄り添う新道具							
それはチョラ・ゾイ……おぬし次第であるぞ。まずは、胸に秘めた心意気を聞かせてもらえぬだろうか？			それはチョラ・ゾイ……おぬし次第であるぞ。まずは、胸に秘めた心意気を聞かせてもらえぬだろうか？			職人に寄り添う新道具							
