イサリ村のハマカゼは、伝えたいことがあるようだ。			イサリ村のハマカゼは、伝えたいことがあるようだ。			深淵なるはアメノミハシラ							
ハマカゼと話した。なんでも、依頼したいことがあるらしく、ラショウが冒険者を探しているらしい。まずは担当者だという、紅玉海の筋違砦にいる「キュウセイ」と話そう。			ハマカゼと話した。なんでも、依頼したいことがあるらしく、ラショウが冒険者を探しているらしい。まずは担当者だという、紅玉海の筋違砦にいる「キュウセイ」と話そう。			深淵なるはアメノミハシラ							
キュウセイと話した。アメノミハシラ付近の「指定地点」で待機しよう。			キュウセイと話した。アメノミハシラ付近の「指定地点」で待機しよう。			深淵なるはアメノミハシラ							
やって来たラショウとキュウセイから話を聞いた。冒険者に頼みたいのは、アメノミハシラの探索だという。入口となる転送装置まで案内してもらうため、筋違砦の「キュウセイ」と話そう。			やって来たラショウとキュウセイから話を聞いた。冒険者に頼みたいのは、アメノミハシラの探索だという。入口となる転送装置まで案内してもらうため、筋違砦の「キュウセイ」と話そう。			深淵なるはアメノミハシラ							
キュウセイと話した。かつて攻略した地下迷宮と同様の特異性を持つ、魔物はびこるアメノミハシラの探索を始めよう！			キュウセイと話した。かつて攻略した地下迷宮と同様の特異性を持つ、魔物はびこるアメノミハシラの探索を始めよう！			深淵なるはアメノミハシラ							
キュウセイと話す			キュウセイと話す			深淵なるはアメノミハシラ							
指定地点で待機			指定地点で待機			深淵なるはアメノミハシラ							
キュウセイと話す			キュウセイと話す			深淵なるはアメノミハシラ							
クエスト「深淵なるはアメノミハシラ」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			クエスト「深淵なるはアメノミハシラ」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			深淵なるはアメノミハシラ							
なお、「死者の宮殿」を開放するには、クエスト「奇異なる地下迷宮」をコンプリートする必要があります。			なお、「死者の宮殿」を開放するには、クエスト「奇異なる地下迷宮」をコンプリートする必要があります。			深淵なるはアメノミハシラ							
あんた、Forenameだよな？うちの頭領、ラショウさんが探していたぜ。			あんた、Forenameだよな？うちの頭領、ラショウさんが探していたぜ。			深淵なるはアメノミハシラ							
