アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			出航！ いざ、無人島へ！							
タタルから無人島の開拓権を譲り受けた。低地ラノシアのモラビー造船廠にいる「バルディン」と話そう。			タタルから無人島の開拓権を譲り受けた。低地ラノシアのモラビー造船廠にいる「バルディン」と話そう。			出航！ いざ、無人島へ！							
バルディンと話した。モラビー造船廠の「バルディン」と話して「自分の島に行く」と伝えよう。			バルディンと話した。モラビー造船廠の「バルディン」と話して「自分の島に行く」と伝えよう。			出航！ いざ、無人島へ！							
船は無事に到着した。無人島の南西の浜辺にいる「タタル」と話そう。			船は無事に到着した。無人島の南西の浜辺にいる「タタル」と話そう。			出航！ いざ、無人島へ！							
タタルと話した。無人島の開拓拠点にいる「タタル」と話そう。			タタルと話した。無人島の開拓拠点にいる「タタル」と話そう。			出航！ いざ、無人島へ！							
タタルから猫型魔法人形のねこみみさんを紹介された。開拓についてわからないことは、ねこみみさんが教えてくれるようだ。ねこみみさんのアドバイスを受けながら、無人島を開拓してみよう。			タタルから猫型魔法人形のねこみみさんを紹介された。開拓についてわからないことは、ねこみみさんが教えてくれるようだ。ねこみみさんのアドバイスを受けながら、無人島を開拓してみよう。			出航！ いざ、無人島へ！							
モラビー造船廠のバルディンと話す			モラビー造船廠のバルディンと話す			出航！ いざ、無人島へ！							
自分の無人島へ向かう			自分の無人島へ向かう			出航！ いざ、無人島へ！							
タタルと話す			タタルと話す			出航！ いざ、無人島へ！							
再びタタルと話す			再びタタルと話す			出航！ いざ、無人島へ！							
あれ、お姉さんお兄さん！足を止めてくれたってことは、うちの商品に興味がおありで？			あれ、お姉さんお兄さん！足を止めてくれたってことは、うちの商品に興味がおありで？			出航！ いざ、無人島へ！							
……え、違う？タタルさんのお知り合い？			……え、違う？タタルさんのお知り合い？			出航！ いざ、無人島へ！							
おお、あなたがForenameさんでしたか！タタルさんから話は聞いていますよ！「もし見つけたら引きとめてほしい」との言付けも……			おお、あなたがForenameさんでしたか！タタルさんから話は聞いていますよ！「もし見つけたら引きとめてほしい」との言付けも……			出航！ いざ、無人島へ！							
ということで、すぐにタタルさんを呼んできますので、少しだけここでお待ちください！			ということで、すぐにタタルさんを呼んできますので、少しだけここでお待ちください！			出航！ いざ、無人島へ！							
(-？？？？-)Forenameさーん！			(-？？？？-)Forenameさーん！			出航！ いざ、無人島へ！							
お待たせしてすみません！お店への問い合わせが、なかなか途絶えなくって……！			お待たせしてすみません！お店への問い合わせが、なかなか途絶えなくって……！			出航！ いざ、無人島へ！							
ですが、これも嬉しい悲鳴……Forenameさんが、いろいろな方々との繋がりを作ってくださったおかげなのでっす！			ですが、これも嬉しい悲鳴……Forenameさんが、いろいろな方々との繋がりを作ってくださったおかげなのでっす！			出航！ いざ、無人島へ！							
ですが、これも嬉しい悲鳴……この街に出店したばかりの「大繁盛商店」ですが、おかげさまで、少しずつ軌道に乗り始めているのでっす！			ですが、これも嬉しい悲鳴……この街に出店したばかりの「大繁盛商店」ですが、おかげさまで、少しずつ軌道に乗り始めているのでっす！			出航！ いざ、無人島へ！							
それはさておき、今日はForenameさんに、プレゼントしたいものがあってお引き止めいたしまっした！			それはさておき、今日はForenameさんに、プレゼントしたいものがあってお引き止めいたしまっした！			出航！ いざ、無人島へ！							
フッフッフ、聞いて驚くなかれ！それは……			フッフッフ、聞いて驚くなかれ！それは……			出航！ いざ、無人島へ！							
「無人島」の開拓権でっす！			「無人島」の開拓権でっす！			出航！ いざ、無人島へ！							
このタタル、Forenameさんに、島をひとつ、どどーんとプレゼントしちゃいまっす！			このタタル、Forenameさんに、島をひとつ、どどーんとプレゼントしちゃいまっす！			出航！ いざ、無人島へ！							
なんて、これは私のお節介かもしれませんが……いつもお忙しいForenameさんに、自由に過ごせる場所をご提供させていただきたいのでっす！			なんて、これは私のお節介かもしれませんが……いつもお忙しいForenameさんに、自由に過ごせる場所をご提供させていただきたいのでっす！			出航！ いざ、無人島へ！							
