ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			神子の使いと忘れられた島							
シャロー・ムアーと話した。サベネア島のデミールの遺烈郷で「パサスーン」と話そう。			シャロー・ムアーと話した。サベネア島のデミールの遺烈郷で「パサスーン」と話そう。			神子の使いと忘れられた島							
パサスーンたちと話した。マトシャとともにアロアロ島へ行くことになった。サベネア島のイェドリマンで「パサスーン」と再度話そう。			パサスーンたちと話した。マトシャとともにアロアロ島へ行くことになった。サベネア島のイェドリマンで「パサスーン」と再度話そう。			神子の使いと忘れられた島							
パサスーンと話した。「アロアロ島」を攻略しよう。※ヴァリアントダンジョンの専用ウィンドウから攻略に参加できます。※専用ウィンドウは、イェドリマンの船頭と話すか、メインコマンドの「コンテンツ情報」から「特殊ダンジョン探索」を選ぶと確認できます。			パサスーンと話した。「アロアロ島」を攻略しよう。※ヴァリアントダンジョンの専用ウィンドウから攻略に参加できます。※専用ウィンドウは、イェドリマンの船頭と話すか、メインコマンドの「コンテンツ情報」から「特殊ダンジョン探索」を選ぶと確認できます。			神子の使いと忘れられた島							
アロアロ島を攻略した。イェドリマンで「パサスーン」と話そう。			アロアロ島を攻略した。イェドリマンで「パサスーン」と話そう。			神子の使いと忘れられた島							
パサスーンたちと話した。オールド・シャーレアンのペリスタイルで「シャロー・ムアー」と話そう。			パサスーンたちと話した。オールド・シャーレアンのペリスタイルで「シャロー・ムアー」と話そう。			神子の使いと忘れられた島							
シャロー・ムアーと話した。アロアロ島には、薬効豊かな魚が釣れる場所がまだあるらしい。ニッダーナへの贈り物を釣りたいというマトシャの願いに応え、再び島へ同行するのもいいだろう。			シャロー・ムアーと話した。アロアロ島には、薬効豊かな魚が釣れる場所がまだあるらしい。ニッダーナへの贈り物を釣りたいというマトシャの願いに応え、再び島へ同行するのもいいだろう。			神子の使いと忘れられた島							
デミールの遺烈郷のパサスーンと話す			デミールの遺烈郷のパサスーンと話す			神子の使いと忘れられた島							
パサスーンと再度話す			パサスーンと再度話す			神子の使いと忘れられた島							
「アロアロ島」を攻略			「アロアロ島」を攻略			神子の使いと忘れられた島							
パサスーンと話す			パサスーンと話す			神子の使いと忘れられた島							
オールド・シャーレアンのシャロー・ムアーと話す			オールド・シャーレアンのシャロー・ムアーと話す			神子の使いと忘れられた島							
Forenameさん、いらっしゃい！あなた宛ての「変則依頼」が来てるわよ～！			Forenameさん、いらっしゃい！あなた宛ての「変則依頼」が来てるわよ～！			神子の使いと忘れられた島							
依頼主は、サベネア島で錬金術師をしているパサスーンさん。聞いた話だと、彼のお友達があなたの知り合いらしいんだけど……			依頼主は、サベネア島で錬金術師をしているパサスーンさん。聞いた話だと、彼のお友達があなたの知り合いらしいんだけど……			神子の使いと忘れられた島							
漁師のマトシャさんって、わかる？			漁師のマトシャさんって、わかる？			神子の使いと忘れられた島							
その彼がね、ちょ～っと厄介な悩みを抱えてるらしくて、パサスーンさんは、あなたを頼れないかって考えたみたい。どう、協力をお願いしてもいい～？			その彼がね、ちょ～っと厄介な悩みを抱えてるらしくて、パサスーンさんは、あなたを頼れないかって考えたみたい。どう、協力をお願いしてもいい～？			神子の使いと忘れられた島							
何と言う？			何と言う？			神子の使いと忘れられた島							
マトシャには世話になったから、引き受けよう			マトシャには世話になったから、引き受けよう			神子の使いと忘れられた島							
魚の販路にでも困ってるのかな……			魚の販路にでも困ってるのかな……			神子の使いと忘れられた島							
そう言ってくれてよかった～っ！			そう言ってくれてよかった～っ！			神子の使いと忘れられた島							
それなら商人を頼ったほうがよさそうだけど、あなたの顔の広さに期待されているとか……？			それなら商人を頼ったほうがよさそうだけど、あなたの顔の広さに期待されているとか……？			神子の使いと忘れられた島							
私も詳しいことは把握できてないから、まずは「パサスーン」さんと話してみて！デミールの遺烈郷へ行けば彼と会えるはずよ。			私も詳しいことは把握できてないから、まずは「パサスーン」さんと話してみて！デミールの遺烈郷へ行けば彼と会えるはずよ。			神子の使いと忘れられた島							
それじゃあ、いってらっしゃ～い！			それじゃあ、いってらっしゃ～い！			神子の使いと忘れられた島							
ああ、Forenameさん。もしかして、グリーナーの方から話を聞いて……？			ああ、Forenameさん。もしかして、グリーナーの方から話を聞いて……？			神子の使いと忘れられた島							
よかった、来てくれて嬉しいよ。			よかった、来てくれて嬉しいよ。			神子の使いと忘れられた島							
改めまして、僕の名前はパサスーン。この遺烈郷で働いている錬金術師で、マトシャとは古い友人なんだ。			改めまして、僕の名前はパサスーン。この遺烈郷で働いている錬金術師で、マトシャとは古い友人なんだ。			神子の使いと忘れられた島							
聞いていると思うけど、彼が厄介な悩みを抱えていてね……本人は忙しいあなたを頼るのを避けたがっていたけど、僕たちだけでは解決できそうになくてさ。			聞いていると思うけど、彼が厄介な悩みを抱えていてね……本人は忙しいあなたを頼るのを避けたがっていたけど、僕たちだけでは解決できそうになくてさ。			神子の使いと忘れられた島							
それで、マトシャには内緒であなたを呼んだんだよ。彼と、最近できた「小さな友人」のためにね。			それで、マトシャには内緒であなたを呼んだんだよ。彼と、最近できた「小さな友人」のためにね。			神子の使いと忘れられた島							
そろそろ、マトシャが魚を卸しに来るから、そのときに、君と引き合わせるのがよさそうだ。			そろそろ、マトシャが魚を卸しに来るから、そのときに、君と引き合わせるのがよさそうだ。			神子の使いと忘れられた島							
外で待っていれば彼も気づくだろうし、とりあえず、場所を移動しよう。			外で待っていれば彼も気づくだろうし、とりあえず、場所を移動しよう。			神子の使いと忘れられた島							
あれ、Forename……？どうしてパサスーンと一緒にいるだすか！？			あれ、Forename……？どうしてパサスーンと一緒にいるだすか！？			神子の使いと忘れられた島							
(-しゃべる小鳥-)貧弱なパサスーンと違って、とても強そうなお方ですね！こちらの方も狩人なのでしょうか？			(-しゃべる小鳥-)貧弱なパサスーンと違って、とても強そうなお方ですね！こちらの方も狩人なのでしょうか？			神子の使いと忘れられた島							
僕は錬金術師なんだから、腕力がなくても問題ないの。まったく、君の手当てをがんばった僕に、もう少し懐いてくれたっていいだろうに……。			僕は錬金術師なんだから、腕力がなくても問題ないの。まったく、君の手当てをがんばった僕に、もう少し懐いてくれたっていいだろうに……。			神子の使いと忘れられた島							
あなたにも、彼の言葉がちゃんと聞こえたみたいだね。僕のことを貧弱呼ばわりしてくる、あのかわいい小鳥が、最近できた小さな友人こと「カリカ」だよ。			あなたにも、彼の言葉がちゃんと聞こえたみたいだね。僕のことを貧弱呼ばわりしてくる、あのかわいい小鳥が、最近できた小さな友人こと「カリカ」だよ。			神子の使いと忘れられた島							
勝手に連絡しちゃって、ごめんよ。君は彼女彼に迷惑をかけたくないって言ってたけど、いつまでも悩んでいるわけにはいかないと思ってさ。			勝手に連絡しちゃって、ごめんよ。君は彼女彼に迷惑をかけたくないって言ってたけど、いつまでも悩んでいるわけにはいかないと思ってさ。			神子の使いと忘れられた島							
じゃあ、せっかく来てもらったわけだし、ちょっとだけ話を聞いてもらってもいいだすか？			じゃあ、せっかく来てもらったわけだし、ちょっとだけ話を聞いてもらってもいいだすか？			神子の使いと忘れられた島							
何日か前に、浜辺で気を失っているこの小鳥を見つけただす。パサスーンと介抱して、ようやく目を覚ましたと思ったら、急にヒトの言葉で「南の島に来てほしい」って……。			何日か前に、浜辺で気を失っているこの小鳥を見つけただす。パサスーンと介抱して、ようやく目を覚ましたと思ったら、急にヒトの言葉で「南の島に来てほしい」って……。			神子の使いと忘れられた島							
カリカ、「南の島」について、改めて説明してもらってもいいだすか？			カリカ、「南の島」について、改めて説明してもらってもいいだすか？			神子の使いと忘れられた島							
はいはい！吾輩、マトシャ様のお願いなら喜んで！			はいはい！吾輩、マトシャ様のお願いなら喜んで！			神子の使いと忘れられた島							
ええと、Forenameでしたっけ？貴方は、ヒトが「南洋諸島」と呼ぶ、はるか南の海に点在する島々のことをご存知でしょうか？			ええと、Forenameでしたっけ？貴方は、ヒトが「南洋諸島」と呼ぶ、はるか南の海に点在する島々のことをご存知でしょうか？			神子の使いと忘れられた島							
吾輩は、南洋諸島の西側にある群島のひとつ、「アロアロ島」からまいりました！			吾輩は、南洋諸島の西側にある群島のひとつ、「アロアロ島」からまいりました！			神子の使いと忘れられた島							
数千年前、忽然と姿を消したとされる「忘れられた人々」……島には、彼らが遺したとされる大いなる神子像と、これを祀る祭祀場がございます。			数千年前、忽然と姿を消したとされる「忘れられた人々」……島には、彼らが遺したとされる大いなる神子像と、これを祀る祭祀場がございます。			神子の使いと忘れられた島							
その像に据えられた宝玉が持つ「自然を育む力」によって、島には豊かな環境がつくりだされているのです！後世に島へ渡ってきたヒトも、その恩恵を受けておりました。			その像に据えられた宝玉が持つ「自然を育む力」によって、島には豊かな環境がつくりだされているのです！後世に島へ渡ってきたヒトも、その恩恵を受けておりました。			神子の使いと忘れられた島							
ところが、100年ほど前に海底火山が噴火したとき、島民が別の島へと移住してしまいまして……。森の恵みを得る者も、狩猟をする者もいなくなってしまいました。			ところが、100年ほど前に海底火山が噴火したとき、島民が別の島へと移住してしまいまして……。森の恵みを得る者も、狩猟をする者もいなくなってしまいました。			神子の使いと忘れられた島							
おかげで噴火被害の回復に合わせ、鳥や獣、魚たちが急増……。このままでは、いかに神子像の加護があれども、植物が喰らい尽くされ、島は荒れ果ててしまうことでしょう。			おかげで噴火被害の回復に合わせ、鳥や獣、魚たちが急増……。このままでは、いかに神子像の加護があれども、植物が喰らい尽くされ、島は荒れ果ててしまうことでしょう。			神子の使いと忘れられた島							
そこで「神子の使い」たる吾輩は、島を救う狩人を求め、流れるヤシの実に飛び乗りました！			そこで「神子の使い」たる吾輩は、島を救う狩人を求め、流れるヤシの実に飛び乗りました！			神子の使いと忘れられた島							
大海原の旅はつらく厳しく、死を覚悟したことも！ですが、吾輩は神子様の導きにより、運命の狩人……そうマトシャ様に出会ったのです！			大海原の旅はつらく厳しく、死を覚悟したことも！ですが、吾輩は神子様の導きにより、運命の狩人……そうマトシャ様に出会ったのです！			神子の使いと忘れられた島							
……ということで、島へ来てほしいって言われてるだす。でも、オラは狩人じゃなくて漁師だし、危険な動物がいたら手に負えないし……。			……ということで、島へ来てほしいって言われてるだす。でも、オラは狩人じゃなくて漁師だし、危険な動物がいたら手に負えないし……。			神子の使いと忘れられた島							
あんただったら適任なんじゃないかと考えたけど、忙しそうだしなぁって、悩んでたわけだす。			あんただったら適任なんじゃないかと考えたけど、忙しそうだしなぁって、悩んでたわけだす。			神子の使いと忘れられた島							
何と言う？			何と言う？			神子の使いと忘れられた島							
「神子像の祭祀場」には興味がある			「神子像の祭祀場」には興味がある			神子の使いと忘れられた島							
マトシャが行かないんじゃなぁ……			マトシャが行かないんじゃなぁ……			神子の使いと忘れられた島							
素晴らしい、貴方のように見る目がある方には、ぜひ島に来ていただきたい！ですが……			素晴らしい、貴方のように見る目がある方には、ぜひ島に来ていただきたい！ですが……			神子の使いと忘れられた島							
Forename、よく言ってくださいました！吾輩、心の底から同意いたします！			Forename、よく言ってくださいました！吾輩、心の底から同意いたします！			神子の使いと忘れられた島							
神子様の導きである以上、やはりマトシャ様にもお越しいただかなくてはなりません！			神子様の導きである以上、やはりマトシャ様にもお越しいただかなくてはなりません！			神子の使いと忘れられた島							
僕、かわいい小動物には弱くてね……。カリカへの助け舟として、マトシャに耳寄りな情報を伝えようか。			僕、かわいい小動物には弱くてね……。カリカへの助け舟として、マトシャに耳寄りな情報を伝えようか。			神子の使いと忘れられた島							
南洋諸島の魚には、希少な錬金素材になるものがとても多いんだ。つまり、君が長年憧れているあのニッダーナに、最高の贈り物を渡すチャンスじゃない？			南洋諸島の魚には、希少な錬金素材になるものがとても多いんだ。つまり、君が長年憧れているあのニッダーナに、最高の贈り物を渡すチャンスじゃない？			神子の使いと忘れられた島							
ニ、ニッダーナさんに、オラが贈り物を……！？			ニ、ニッダーナさんに、オラが贈り物を……！？			神子の使いと忘れられた島							
わ、わわ、わかっただす！オラ、その島まで行って、ニッダーナさんへの贈り物を釣ってくるだす！			わ、わわ、わかっただす！オラ、その島まで行って、ニッダーナさんへの贈り物を釣ってくるだす！			神子の使いと忘れられた島							
あの、Forename……結局あんたを頼ることになって申し訳ないけど、改めて、一緒に「アロアロ島」へ行ってほしいだす！			あの、Forename……結局あんたを頼ることになって申し訳ないけど、改めて、一緒に「アロアロ島」へ行ってほしいだす！			神子の使いと忘れられた島							
マトシャ様、よくぞご決断くださいました……！吾輩、感動に打ち震えております！！			マトシャ様、よくぞご決断くださいました……！吾輩、感動に打ち震えております！！			神子の使いと忘れられた島							
さあさあ、気が変わらないうちに出発いたしましょう！目的地は、まっすぐ南へと向かった先にある大きな島です！			さあさあ、気が変わらないうちに出発いたしましょう！目的地は、まっすぐ南へと向かった先にある大きな島です！			神子の使いと忘れられた島							
こらこら、カリカは留守番だよ。大海原の旅で負傷した羽が、まだ治ってないんだから。			こらこら、カリカは留守番だよ。大海原の旅で負傷した羽が、まだ治ってないんだから。			神子の使いと忘れられた島							
むむ、パサスーンのくせに生意気な。ですが、羽の不調を指摘されては、返す言葉もございません……。			むむ、パサスーンのくせに生意気な。ですが、羽の不調を指摘されては、返す言葉もございません……。			神子の使いと忘れられた島							
サベネア島から南下した先の大きな島、って情報さえあれば、カリカの案内がなくても、ちゃんとたどり着けるさ。			サベネア島から南下した先の大きな島、って情報さえあれば、カリカの案内がなくても、ちゃんとたどり着けるさ。			神子の使いと忘れられた島							
同行できないぶん、沖に出す船の手配は僕が引き受けるよ。準備ができたら「イェドリマン」で合流しよう。			同行できないぶん、沖に出す船の手配は僕が引き受けるよ。準備ができたら「イェドリマン」で合流しよう。			神子の使いと忘れられた島							
(-陽気なミコッテ族の女-)ねぇ～っ、ゾゾネくん聞いた～！？島にある「神子の宝玉」が、すっごいお宝なんだって！			(-陽気なミコッテ族の女-)ねぇ～っ、ゾゾネくん聞いた～！？島にある「神子の宝玉」が、すっごいお宝なんだって！			神子の使いと忘れられた島							
(-ゾゾネと呼ばれた男-)ミコッテ族ほど、オレの耳はよくねぇっつーの！まあでも、南洋諸島がどうとか言ってたのは、聞き違いじゃなかったってワケだな！			(-ゾゾネと呼ばれた男-)ミコッテ族ほど、オレの耳はよくねぇっつーの！まあでも、南洋諸島がどうとか言ってたのは、聞き違いじゃなかったってワケだな！			神子の使いと忘れられた島							
(-ゾゾネと呼ばれた男-)ワスビルム、お手柄じゃねぇか！お前が仕入れた「南洋諸島の無人島に宝が眠ってる」って噂、マジもんだったみたいだぜ！			(-ゾゾネと呼ばれた男-)ワスビルム、お手柄じゃねぇか！お前が仕入れた「南洋諸島の無人島に宝が眠ってる」って噂、マジもんだったみたいだぜ！			神子の使いと忘れられた島							
(-ワスビルムと呼ばれた男-)いや、でもさぁ、あの人たちも同業者なら、奪い合いになっちゃうんじゃ……。			(-ワスビルムと呼ばれた男-)いや、でもさぁ、あの人たちも同業者なら、奪い合いになっちゃうんじゃ……。			神子の使いと忘れられた島							
(-陽気なミコッテ族の女-)ぶ～っ！　ワスビルムくんてば、弱気すぎ～！島への行き方は聞こえたし、先回りしてお宝もらっちゃお！			(-陽気なミコッテ族の女-)ぶ～っ！　ワスビルムくんてば、弱気すぎ～！島への行き方は聞こえたし、先回りしてお宝もらっちゃお！			神子の使いと忘れられた島							
(-ゾゾネと呼ばれた男-)メルヴァン税関公社で盗んだ金より、がっぽり稼げるチャンスは逃せねぇぜ！			(-ゾゾネと呼ばれた男-)メルヴァン税関公社で盗んだ金より、がっぽり稼げるチャンスは逃せねぇぜ！			神子の使いと忘れられた島							
(-ゾゾネと呼ばれた男-)おい、ジャ・ジメイ、ワスビルム！とっとと船を拝借して、出発するぞ！			(-ゾゾネと呼ばれた男-)おい、ジャ・ジメイ、ワスビルム！とっとと船を拝借して、出発するぞ！			神子の使いと忘れられた島							
島のことをお願いしているにもかかわらず、神子の使いたる吾輩が留守番とは……。不甲斐ないかぎりです。			島のことをお願いしているにもかかわらず、神子の使いたる吾輩が留守番とは……。不甲斐ないかぎりです。			神子の使いと忘れられた島							
やあ、話はパサスーンから聞いてるよ！現地まで安全に送ってやるから、どんと任せておきな！			やあ、話はパサスーンから聞いてるよ！現地まで安全に送ってやるから、どんと任せておきな！			神子の使いと忘れられた島							
ああ、来てくれたね。さっきまで、ちょっとした騒ぎになっていて大変だったんだよ。			ああ、来てくれたね。さっきまで、ちょっとした騒ぎになっていて大変だったんだよ。			神子の使いと忘れられた島							
なんでも、見ない顔の3人組が船を1隻盗んだみたいでね。まあ、犯人のことは星戦士団が追っているし、君たちの乗る船は確保してあるから、安心して大丈夫だよ。			なんでも、見ない顔の3人組が船を1隻盗んだみたいでね。まあ、犯人のことは星戦士団が追っているし、君たちの乗る船は確保してあるから、安心して大丈夫だよ。			神子の使いと忘れられた島							
あっと、そうそう。マトシャは、君の準備が整うまで、アキャーリへ戻って仕事を片付けておくって。			あっと、そうそう。マトシャは、君の準備が整うまで、アキャーリへ戻って仕事を片付けておくって。			神子の使いと忘れられた島							
君の身支度が済んだら、僕が呼んでくるよ。僕とカリカは留守番だからね、連絡役くらいは任せて。			君の身支度が済んだら、僕が呼んでくるよ。僕とカリカは留守番だからね、連絡役くらいは任せて。			神子の使いと忘れられた島							
「イェドリマンの船頭」さんには島の方角を伝えてあるから、彼女に頼めば、現地まで連れていってくれるよ。そこから先のことは、どうかよろしく頼むね。			「イェドリマンの船頭」さんには島の方角を伝えてあるから、彼女に頼めば、現地まで連れていってくれるよ。そこから先のことは、どうかよろしく頼むね。			神子の使いと忘れられた島							
君が腕の立つ人だってことは知っているけど、どうか気をつけてね。			君が腕の立つ人だってことは知っているけど、どうか気をつけてね。			神子の使いと忘れられた島							
おふたりが戻られて、吾輩ホッといたしました！			おふたりが戻られて、吾輩ホッといたしました！			神子の使いと忘れられた島							
おかえり。無事に帰ってきてくれてよかった。			おかえり。無事に帰ってきてくれてよかった。			神子の使いと忘れられた島							
さっそく島のことをいろいろ聞きたいところだけど……座って話せる場所を、マトシャが確保しに行ってくれてね。			さっそく島のことをいろいろ聞きたいところだけど……座って話せる場所を、マトシャが確保しに行ってくれてね。			神子の使いと忘れられた島							
ゆっくり話ができるように、僕たちもそちらへ向かうとしようか。			ゆっくり話ができるように、僕たちもそちらへ向かうとしようか。			神子の使いと忘れられた島							
それじゃあ、島がどんな感じだったかを聞かせてほしいな。			それじゃあ、島がどんな感じだったかを聞かせてほしいな。			神子の使いと忘れられた島							
とにかく危険な島だっただす！でも、いろいろ見どころが多い場所で……。			とにかく危険な島だっただす！でも、いろいろ見どころが多い場所で……。			神子の使いと忘れられた島							
島周辺の海域も漁場としてよさそうだったし、漁師仲間にも話してみようかと思ってるところだす。座礁した船が多かったのは気になるけど……。			島周辺の海域も漁場としてよさそうだったし、漁師仲間にも話してみようかと思ってるところだす。座礁した船が多かったのは気になるけど……。			神子の使いと忘れられた島							
島の周辺は浅瀬なものですから、海が荒れたときには船が座礁することがあるのです。ここも遠浅ですので、こちらでの漁と勝手は同じかと！			島の周辺は浅瀬なものですから、海が荒れたときには船が座礁することがあるのです。ここも遠浅ですので、こちらでの漁と勝手は同じかと！			神子の使いと忘れられた島							
島の中心にあった大きな樹は、ここの「カドガの大岩」ぐらい存在感があってすごかっただす！大樹のあたりも、昔はヒトが暮らしてたんだすか？			島の中心にあった大きな樹は、ここの「カドガの大岩」ぐらい存在感があってすごかっただす！大樹のあたりも、昔はヒトが暮らしてたんだすか？			神子の使いと忘れられた島							
