オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			再会と、新たな計画！							
レポリットの仲間を探していたネミングウェイと話し、ベストウェイ・バローへと案内することになった。嘆きの海へ向かい涙の入江付近の「指定地点」で待機し、ネミングウェイがやってくるのを待とう。			レポリットの仲間を探していたネミングウェイと話し、ベストウェイ・バローへと案内することになった。嘆きの海へ向かい涙の入江付近の「指定地点」で待機し、ネミングウェイがやってくるのを待とう。			再会と、新たな計画！							
ネミングウェイと共にベストウェイ・バローに向かい、サーチングウェイらレポリットの仲間たちとの再会を見届けた。ネミングウェイの地上での調査が役立つことはなかったが、サーチングウェイが立ち上げた「コスモエクスプローラー計画」に誘われた。計画が進められているという、嘆きの海から離れた月面基地へと向かうため、ムーンローバーを運転してくれる「ドライビングウェイ」と話そう。			ネミングウェイと共にベストウェイ・バローに向かい、サーチングウェイらレポリットの仲間たちとの再会を見届けた。ネミングウェイの地上での調査が役立つことはなかったが、サーチングウェイが立ち上げた「コスモエクスプローラー計画」に誘われた。計画が進められているという、嘆きの海から離れた月面基地へと向かうため、ムーンローバーを運転してくれる「ドライビングウェイ」と話そう。			再会と、新たな計画！							
ドライビングウェイと話し、ムーンローバーに乗せてもらうこととなった。ドライビングウェイの運転で、月面基地へと向かおう。			ドライビングウェイと話し、ムーンローバーに乗せてもらうこととなった。ドライビングウェイの運転で、月面基地へと向かおう。			再会と、新たな計画！							
ドライビングウェイの運転で、コスモエクスプローラー計画が展開されるムーンゲート基地へとやってきた。歓迎してくれた「サーチングウェイ」と話し、計画の詳細について尋ねよう。 ※ムーンゲート基地へは、ベストウェイ・バローにいる「ドライビングウェイ」に話しかけることで移動できるようだ。			ドライビングウェイの運転で、コスモエクスプローラー計画が展開されるムーンゲート基地へとやってきた。歓迎してくれた「サーチングウェイ」と話し、計画の詳細について尋ねよう。 ※ムーンゲート基地へは、ベストウェイ・バローにいる「ドライビングウェイ」に話しかけることで移動できるようだ。			再会と、新たな計画！							
ネミングウェイと共に、コスモエクスプローラー計画に携わっていくこととなった。計画にまつわる情報は、渡されたエクスプローラータブレットで確認できるらしい。基地の周囲を見て回ったり、エクスプローラータブレットの情報に触れたりしながら、計画の今後を見守っていこう。			ネミングウェイと共に、コスモエクスプローラー計画に携わっていくこととなった。計画にまつわる情報は、渡されたエクスプローラータブレットで確認できるらしい。基地の周囲を見て回ったり、エクスプローラータブレットの情報に触れたりしながら、計画の今後を見守っていこう。			再会と、新たな計画！							
嘆きの海の指定地点で待機			嘆きの海の指定地点で待機			再会と、新たな計画！							
ドライビングウェイと話す			ドライビングウェイと話す			再会と、新たな計画！							
サーチングウェイと話す			サーチングウェイと話す			再会と、新たな計画！							
ねぇねぇ、そこのキミ！このオールド・シャーレアンって街に詳しい人だったりする？			ねぇねぇ、そこのキミ！このオールド・シャーレアンって街に詳しい人だったりする？			再会と、新たな計画！							
この街にさ、ボクみたいにちっさくてふわふわで耳の長い、レポリットっていう種族がいるって聞いたんだ。見かけたことあったり、何か知ってたりしないかなー？			この街にさ、ボクみたいにちっさくてふわふわで耳の長い、レポリットっていう種族がいるって聞いたんだ。見かけたことあったり、何か知ってたりしないかなー？			再会と、新たな計画！							
何と言う？			何と言う？			再会と、新たな計画！							
もちろんよく知ってる！			もちろんよく知ってる！			再会と、新たな計画！							
嘆きの海でいっぱい会った			嘆きの海でいっぱい会った			再会と、新たな計画！							
えぇっ、よく知ってるって！？いつ、どのあたりで、どんな子と会ったのー！？			えぇっ、よく知ってるって！？いつ、どのあたりで、どんな子と会ったのー！？			再会と、新たな計画！							
えぇっ、嘆きの海に行ったことがあって、そのうえレポリットに会ったことがあるってー！？それって、いったいどんな手段で月へ向かったの……！？			えぇっ、嘆きの海に行ったことがあって、そのうえレポリットに会ったことがあるってー！？それって、いったいどんな手段で月へ向かったの……！？			再会と、新たな計画！							
ふむふむ、ヒトとレポリットの交流が深まって、いつの間にか嘆きの海と行き来できるようになってたなんて……			ふむふむ、ヒトとレポリットの交流が深まって、いつの間にか嘆きの海と行き来できるようになってたなんて……			再会と、新たな計画！							
……こ、これは、ボクが知らないうちに、何か大きな出来事でもあったような気配がするぞ？でもでも、とにかくだよっ……！			……こ、これは、ボクが知らないうちに、何か大きな出来事でもあったような気配がするぞ？でもでも、とにかくだよっ……！			再会と、新たな計画！							
すごーーーいっ！これで、ようやく嘆きの海に帰れるぞー！			すごーーーいっ！これで、ようやく嘆きの海に帰れるぞー！			再会と、新たな計画！							
ボクってば、これまで大変だったんだよー！聞いてくれる？			ボクってば、これまで大変だったんだよー！聞いてくれる？			再会と、新たな計画！							
ボクは元々、100年以上も前にアーテリスへの探査任務で、ひとり探査ポッドに乗って月からやってきたんだ。それはもう重大な任務だったから、気合をいれてねっ！			ボクは元々、100年以上も前にアーテリスへの探査任務で、ひとり探査ポッドに乗って月からやってきたんだ。それはもう重大な任務だったから、気合をいれてねっ！			再会と、新たな計画！							
だけど着陸の衝撃で、探査ポッドが壊れちゃって……。嘆きの海へ戻ることも、仲間と通信することも、なんにもできなくなっちゃったんだ。			だけど着陸の衝撃で、探査ポッドが壊れちゃって……。嘆きの海へ戻ることも、仲間と通信することも、なんにもできなくなっちゃったんだ。			再会と、新たな計画！							
しかーし！　ボクは諦めなかった！それから、たったひとりで世界中を放浪し続けて、任務であるアーテリスの探査を続けてきたんだよーっ！			しかーし！　ボクは諦めなかった！それから、たったひとりで世界中を放浪し続けて、任務であるアーテリスの探査を続けてきたんだよーっ！			再会と、新たな計画！							
いつの日か仲間のもとへ成果を持ち帰るんだ……ってね！だけどだけど、近頃ある街に立ち寄ったときに、とある噂を聞きつけてさ。			いつの日か仲間のもとへ成果を持ち帰るんだ……ってね！だけどだけど、近頃ある街に立ち寄ったときに、とある噂を聞きつけてさ。			再会と、新たな計画！							
オールド・シャーレアンに、月から風変わりな種族が降り立ったらしい、って……！それで真相を確かめるため、密航してここに辿り着いたのさ！			オールド・シャーレアンに、月から風変わりな種族が降り立ったらしい、って……！それで真相を確かめるため、密航してここに辿り着いたのさ！			再会と、新たな計画！							
とにかく、仲間たちに会いたいし、故郷のベストウェイ・バローに帰りたいんだよーっ！お願い、嘆きの海までの詳しい帰り方を教えてくれないかな！？			とにかく、仲間たちに会いたいし、故郷のベストウェイ・バローに帰りたいんだよーっ！お願い、嘆きの海までの詳しい帰り方を教えてくれないかな！？			再会と、新たな計画！							
ふむふむふむ、「バブイルの塔」とやらに向かえばいいんだね！ガレマルドなら何十年か前に行ったことがあるから、すぐに向かってみるよ！			ふむふむふむ、「バブイルの塔」とやらに向かえばいいんだね！ガレマルドなら何十年か前に行ったことがあるから、すぐに向かってみるよ！			再会と、新たな計画！							
ただ、100年も経ってるとさ、やっぱりちょっと不安なんだ……キミはボクたちレポリットのこと知っているみたいだから、嘆きの海まで来てくれないかなー……？			ただ、100年も経ってるとさ、やっぱりちょっと不安なんだ……キミはボクたちレポリットのこと知っているみたいだから、嘆きの海まで来てくれないかなー……？			再会と、新たな計画！							
やった、ありがとーっ！キミに会えて本当によかったや！それじゃ、「嘆きの海」でボクのこと待っててねー！			やった、ありがとーっ！キミに会えて本当によかったや！それじゃ、「嘆きの海」でボクのこと待っててねー！			再会と、新たな計画！							
しばらく後――			しばらく後――			再会と、新たな計画！							
ふぅ、お待たせーっ！あの塔ったら遠いし高いし、おまけに怖いし、大変だったや……。お姉さんお兄さんも月まで来てくれて、ありが……			ふぅ、お待たせーっ！あの塔ったら遠いし高いし、おまけに怖いし、大変だったや……。お姉さんお兄さんも月まで来てくれて、ありが……			再会と、新たな計画！							
ボクが出発した頃とは、少し景色が変わったみたいだけど……ようやく……ようやく、帰ってきたんだ！			ボクが出発した頃とは、少し景色が変わったみたいだけど……ようやく……ようやく、帰ってきたんだ！			再会と、新たな計画！							
ベストウェイ・バローにも明かりが灯ってるような……？行っても、いいのかな？			ベストウェイ・バローにも明かりが灯ってるような……？行っても、いいのかな？			再会と、新たな計画！							
(-ひそひそレポリット-)ねぇ、あれって……まさか……？			(-ひそひそレポリット-)ねぇ、あれって……まさか……？			再会と、新たな計画！							
(-じろじろレポリット-)間違いないよ、あの赤い服！			(-じろじろレポリット-)間違いないよ、あの赤い服！			再会と、新たな計画！							
そう！　ボクだよっ、ネミングウェイさ！長いこと彷徨って、ようやく月へ戻ってきたんだー！！みんなも目覚めてるなんて、嬉しいなーーーっ！			そう！　ボクだよっ、ネミングウェイさ！長いこと彷徨って、ようやく月へ戻ってきたんだー！！みんなも目覚めてるなんて、嬉しいなーーーっ！			再会と、新たな計画！							
(-？？？？-)ネミングウェイ、だって……！？			(-？？？？-)ネミングウェイ、だって……！？			再会と、新たな計画！							
(-？？？？-)こらぁ～！100年以上、どこほっつき歩いてたッス！			(-？？？？-)こらぁ～！100年以上、どこほっつき歩いてたッス！			再会と、新たな計画！							
サーチングウェイ！			サーチングウェイ！			再会と、新たな計画！							
ボク、キミに指示されて、アーテリスの探査に行ったろ？実はそれから、大変な目に遭って……			ボク、キミに指示されて、アーテリスの探査に行ったろ？実はそれから、大変な目に遭って……			再会と、新たな計画！							
なるほど、探査ポッドが壊れるなんて災難だったッスね……。			なるほど、探査ポッドが壊れるなんて災難だったッスね……。			再会と、新たな計画！							
そうなんだよ、けれどもボクはへこたれなかった！ひとりであちこち歩き回って探査を続けたおかげで、驚くべき新事実を掴んだんだっ！			そうなんだよ、けれどもボクはへこたれなかった！ひとりであちこち歩き回って探査を続けたおかげで、驚くべき新事実を掴んだんだっ！			再会と、新たな計画！							
なんと……地上のヒトビトは小さい！みーんな、ここにいる、Forenameさんくらいなんだよーーー！			なんと……地上のヒトビトは小さい！みーんな、ここにいる、Forenameさんくらいなんだよーーー！			再会と、新たな計画！							
そんなこと、このヒトやシャーレアンの皆さんと、すでに交流があるオイラたちには、もうわかりきったことッス！			そんなこと、このヒトやシャーレアンの皆さんと、すでに交流があるオイラたちには、もうわかりきったことッス！			再会と、新たな計画！							
なにより、キミには受け入れがたいことかもッスが、終末現象は解決し、ヒトの星外脱出も必要なくなったッス。だから、この月もお役御免ッスよ！			なにより、キミには受け入れがたいことかもッスが、終末現象は解決し、ヒトの星外脱出も必要なくなったッス。だから、この月もお役御免ッスよ！			再会と、新たな計画！							
えっ、ええぇーー！！？			えっ、ええぇーー！！？			再会と、新たな計画！							
それじゃあ、ボクが100年以上かけて調べてきたことって……もう、無意味になっちゃったの……！？			それじゃあ、ボクが100年以上かけて調べてきたことって……もう、無意味になっちゃったの……！？			再会と、新たな計画！							
まあまあ、全部がムダになった訳じゃないはずッス！レポリットに与えられていた使命がなくなったとしても、それぞれが自分のやりたいことを見つける時代に入ったッスよ。			まあまあ、全部がムダになった訳じゃないはずッス！レポリットに与えられていた使命がなくなったとしても、それぞれが自分のやりたいことを見つける時代に入ったッスよ。			再会と、新たな計画！							
絵を描いたり、地上へ向けてラジオを流したり……自由にやりたいことを追求して、新しいヒトとの交流も、生まれてきてるッス！			絵を描いたり、地上へ向けてラジオを流したり……自由にやりたいことを追求して、新しいヒトとの交流も、生まれてきてるッス！			再会と、新たな計画！							
自分のやりたいこと……サーチングウェイは、なにかやり始めたの？			自分のやりたいこと……サーチングウェイは、なにかやり始めたの？			再会と、新たな計画！							
よくぞッ！			よくぞッ！			再会と、新たな計画！							
よくぞッッ！			よくぞッッ！			再会と、新たな計画！							
よくぞ、聞いてくれたッス！！それはズバリ、宇宙探索プロジェクト！			よくぞ、聞いてくれたッス！！それはズバリ、宇宙探索プロジェクト！			再会と、新たな計画！							
