満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			ケテンラム、最後の冒険							
ケテンラムから、彼の「最後の冒険」に協力してほしいと頼まれた。トライヨラの満ちた玄関にいる「オファンゲイム」と話そう。			ケテンラムから、彼の「最後の冒険」に協力してほしいと頼まれた。トライヨラの満ちた玄関にいる「オファンゲイム」と話そう。			ケテンラム、最後の冒険							
オファンゲイムと話した。満ちた玄関の「オファンゲイム」と再度話そう。			オファンゲイムと話した。満ちた玄関の「オファンゲイム」と再度話そう。			ケテンラム、最後の冒険							
探査隊の船までは、連絡艇で連れていってもらうようだ。満ちた玄関の「オファンゲイム」と再度話そう。			探査隊の船までは、連絡艇で連れていってもらうようだ。満ちた玄関の「オファンゲイム」と再度話そう。			ケテンラム、最後の冒険							
「死の三角海域」を目指し出航した。大洋の船上にいる探査隊の隊員たちと話そう。一度帰還した場合は、トライヨラの満ちた玄関にいる「連絡艇の船頭」が案内してくれるようだ。			「死の三角海域」を目指し出航した。大洋の船上にいる探査隊の隊員たちと話そう。一度帰還した場合は、トライヨラの満ちた玄関にいる「連絡艇の船頭」が案内してくれるようだ。			ケテンラム、最後の冒険							
探査隊の隊員たちと話した。大洋の船上にいる「ケテンラム」と話そう。			探査隊の隊員たちと話した。大洋の船上にいる「ケテンラム」と話そう。			ケテンラム、最後の冒険							
「死の三角海域」に近づいているようだ。大洋の船上にいる「ケテンラム」と話そう。			「死の三角海域」に近づいているようだ。大洋の船上にいる「ケテンラム」と話そう。			ケテンラム、最後の冒険							
謎の声に導かれ、三日月島に到着した。蜃気楼の町にいる「ケテンラム」と話そう。一度帰還した場合は、トライヨラの満ちた玄関から再び向かえるようだ。			謎の声に導かれ、三日月島に到着した。蜃気楼の町にいる「ケテンラム」と話そう。一度帰還した場合は、トライヨラの満ちた玄関から再び向かえるようだ。			ケテンラム、最後の冒険							
ケテンラムと話した。「死の三角海域」の探査を始めよう。			ケテンラムと話した。「死の三角海域」の探査を始めよう。			ケテンラム、最後の冒険							
オファンゲイムと話す			オファンゲイムと話す			ケテンラム、最後の冒険							
オファンゲイムと再度話す			オファンゲイムと再度話す			ケテンラム、最後の冒険							
探査隊の隊員たちと話す			探査隊の隊員たちと話す			ケテンラム、最後の冒険							
ケテンラムと話す			ケテンラムと話す			ケテンラム、最後の冒険							
あんた、Forenameだよな？ちょうどいいところに現れてくれた！			あんた、Forenameだよな？ちょうどいいところに現れてくれた！			ケテンラム、最後の冒険							
実はケテンラムの旦那に頼まれて探してたんだ。なんでも、あんたに話があるらしい。			実はケテンラムの旦那に頼まれて探してたんだ。なんでも、あんたに話があるらしい。			ケテンラム、最後の冒険							
すぐに本人を呼んでくるからよ、ここで待っててくれ。			すぐに本人を呼んでくるからよ、ここで待っててくれ。			ケテンラム、最後の冒険							
突然すまん。お前がトライヨラに滞在してるうちに、どうしても話しておきたいことがあってな。			突然すまん。お前がトライヨラに滞在してるうちに、どうしても話しておきたいことがあってな。			ケテンラム、最後の冒険							
単刀直入に言おう。お前に、俺の「最後の冒険」に付き合ってほしいんだ。			単刀直入に言おう。お前に、俺の「最後の冒険」に付き合ってほしいんだ。			ケテンラム、最後の冒険							
詳細を説明する前に、少しだけ、昔話をさせてくれ。			詳細を説明する前に、少しだけ、昔話をさせてくれ。			ケテンラム、最後の冒険							
現在、エオルゼアからトラル大陸へは、蒼茫洋の海流に乗って、南側から回る安全航路が使われている。			現在、エオルゼアからトラル大陸へは、蒼茫洋の海流に乗って、南側から回る安全航路が使われている。			ケテンラム、最後の冒険							
だが、トラル大陸の存在すら知られていなかったころ、探検家は、こぞってリムサ・ロミンサからまっすぐ西進した。西の水平線の先を知りたくてな。			だが、トラル大陸の存在すら知られていなかったころ、探検家は、こぞってリムサ・ロミンサからまっすぐ西進した。西の水平線の先を知りたくてな。			ケテンラム、最後の冒険							
そして、ある海域に入り込み、多くが消息不明となってしまった。トラル大陸に到達できたのは、ライバルと同じ航路を避け、北寄りを進んだ俺だけだったよ。			そして、ある海域に入り込み、多くが消息不明となってしまった。トラル大陸に到達できたのは、ライバルと同じ航路を避け、北寄りを進んだ俺だけだったよ。			ケテンラム、最後の冒険							
以来俺は、同じ時代を生きた探検家たちの無念を晴らすため、通称「死の三角海域」の謎を解明したいと思っていたんだが……トラル大陸にも新たな冒険が目白押しだったもんでな。			以来俺は、同じ時代を生きた探検家たちの無念を晴らすため、通称「死の三角海域」の謎を解明したいと思っていたんだが……トラル大陸にも新たな冒険が目白押しだったもんでな。			ケテンラム、最後の冒険							
こちらに定住を決めてからは探査隊を解散したこともあり、長年、手をつけられぬまま、今に至っているというわけだ。			こちらに定住を決めてからは探査隊を解散したこともあり、長年、手をつけられぬまま、今に至っているというわけだ。			ケテンラム、最後の冒険							
そんな折、エオルゼアでも有名な冒険者で、あのグルージャジャも認めた凄腕……そう、お前との出会いがあった。			そんな折、エオルゼアでも有名な冒険者で、あのグルージャジャも認めた凄腕……そう、お前との出会いがあった。			ケテンラム、最後の冒険							
お前となら、あの海域の謎を解き明かせるかもしれない。どうだ、俺と一緒に「死の三角海域」を冒険してみないか？			お前となら、あの海域の謎を解き明かせるかもしれない。どうだ、俺と一緒に「死の三角海域」を冒険してみないか？			ケテンラム、最後の冒険							
何と言う？			何と言う？			ケテンラム、最後の冒険							
ぜひ参加させてほしい			ぜひ参加させてほしい			ケテンラム、最後の冒険							
構わないが、王宮の仕事があるのでは？			構わないが、王宮の仕事があるのでは？			ケテンラム、最後の冒険							
フッ、お前ならそう答えると思っていたぞ。			フッ、お前ならそう答えると思っていたぞ。			ケテンラム、最後の冒険							
