忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
アルドランにクラン長からの推薦が届き、リスキーモブ討伐へ参加する許可をもらった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			アルドランにクラン長からの推薦が届き、リスキーモブ討伐へ参加する許可をもらった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			イシュガルドのリスキーモブ							
「セントリオボード」から「クラン・リスキーモブ手配書」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			「セントリオボード」から「クラン・リスキーモブ手配書」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			イシュガルドのリスキーモブ							
セントリオボードを調べる			セントリオボードを調べる			イシュガルドのリスキーモブ							
来たな、Forename。あんたに朗報があるぜ。			来たな、Forename。あんたに朗報があるぜ。			イシュガルドのリスキーモブ							
「クラン・セントリオ」のクラン長であるローダストの旦那が、あんたに、「リスキーモブ」討伐の仕事を回せと言ってきたんだ。			「クラン・セントリオ」のクラン長であるローダストの旦那が、あんたに、「リスキーモブ」討伐の仕事を回せと言ってきたんだ。			イシュガルドのリスキーモブ							
旦那はな、貴族の生まれながら、修行のために各地を巡り、伝説のモブハンターと呼ばれるまでに上り詰めた御仁よ。その旦那に、認められるとは大したもんだ。			旦那はな、貴族の生まれながら、修行のために各地を巡り、伝説のモブハンターと呼ばれるまでに上り詰めた御仁よ。その旦那に、認められるとは大したもんだ。			イシュガルドのリスキーモブ							
……だが「リスキーモブ」は、これまでの奴らとは格が違う。危険度に応じて、ランク付けされている点は、同盟のモブ制度と同じにしてあるから、参考にしてくれ。			……だが「リスキーモブ」は、これまでの奴らとは格が違う。危険度に応じて、ランク付けされている点は、同盟のモブ制度と同じにしてあるから、参考にしてくれ。			イシュガルドのリスキーモブ							
討伐対象になってるリスキーモブの手配書は、いつもの「セントリオボード」に、随時掲示していく。強敵揃いだから、くれぐれも気を付けるんだぜ！			討伐対象になってるリスキーモブの手配書は、いつもの「セントリオボード」に、随時掲示していく。強敵揃いだから、くれぐれも気を付けるんだぜ！			イシュガルドのリスキーモブ							
討伐対象になってるリスキーモブの手配書は、いつもの「セントリオボード」に、随時掲示していく。強敵揃いだから、くれぐれも気を付けるんだぜ！			討伐対象になってるリスキーモブの手配書は、いつもの「セントリオボード」に、随時掲示していく。強敵揃いだから、くれぐれも気を付けるんだぜ！			イシュガルドのリスキーモブ							
討伐対象「モブ」の手配書が掲示されている……。ついに、「リスキーモブ」に挑戦できるようだ！			討伐対象「モブ」の手配書が掲示されている……。ついに、「リスキーモブ」に挑戦できるようだ！			イシュガルドのリスキーモブ							
セントリオボードから、「クラン・リスキーモブ手配書」を入手できるようになりました。			セントリオボードから、「クラン・リスキーモブ手配書」を入手できるようになりました。			イシュガルドのリスキーモブ							
「ランクS」、「ランクA」のリスキーモブ、または、手配書にて指定された「ランクB」の対象を討伐すると、「セントリオ記章」が入手できます。			「ランクS」、「ランクA」のリスキーモブ、または、手配書にて指定された「ランクB」の対象を討伐すると、「セントリオ記章」が入手できます。			イシュガルドのリスキーモブ							
