キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
カリボーにガストルニスを討伐し、モモ肉を取ってくるよう頼まれた。アバラシア雲海のクラウドトップにいる「ガストルニス」から「ガストルニスのモモ肉」を3つ入手しよう。			カリボーにガストルニスを討伐し、モモ肉を取ってくるよう頼まれた。アバラシア雲海のクラウドトップにいる「ガストルニス」から「ガストルニスのモモ肉」を3つ入手しよう。			一石二鳥の鳥退治							
ガストルニスのモモ肉を手に入れた。キャンプ・クラウドトップの「カリボー」に「ガストルニスのモモ肉」を渡そう。			ガストルニスのモモ肉を手に入れた。キャンプ・クラウドトップの「カリボー」に「ガストルニスのモモ肉」を渡そう。			一石二鳥の鳥退治							
カリボーにガストルニスのモモ肉を渡した。彼は支給品の塩漬け肉ばかりでは物足りず、ガストルニスのモモ肉をたっぷりと味わうつもりのようだ。			カリボーにガストルニスのモモ肉を渡した。彼は支給品の塩漬け肉ばかりでは物足りず、ガストルニスのモモ肉をたっぷりと味わうつもりのようだ。			一石二鳥の鳥退治							
ガストルニスからガストルニスのモモ肉を入手			ガストルニスからガストルニスのモモ肉を入手			一石二鳥の鳥退治							
カリボーにガストルニスのモモ肉を渡す			カリボーにガストルニスのモモ肉を渡す			一石二鳥の鳥退治							
……何か仕事はあるかって？ちょうど、人手を探していたところだ。			……何か仕事はあるかって？ちょうど、人手を探していたところだ。			一石二鳥の鳥退治							
俺はカリボー、アインハルト家の薔薇騎兵団に所属している。この畑は薔薇騎兵団で世話をしてるんだけど、ガストルニスに荒らされて、困っていてさ。			俺はカリボー、アインハルト家の薔薇騎兵団に所属している。この畑は薔薇騎兵団で世話をしてるんだけど、ガストルニスに荒らされて、困っていてさ。			一石二鳥の鳥退治							
悪さをする「ガストルニス」を駆除してくれるかい？3匹ほど狩ってくれれば十分だ。そうそう……ついでに、奴らのモモ肉もとってきてくれよ。			悪さをする「ガストルニス」を駆除してくれるかい？3匹ほど狩ってくれれば十分だ。そうそう……ついでに、奴らのモモ肉もとってきてくれよ。			一石二鳥の鳥退治							
悪さをする「ガストルニス」を倒してほしいんだ。3匹ほど狩ってくれれば十分だ。そうそう……ついでに、奴らのモモ肉もとってきてくれよ。			悪さをする「ガストルニス」を倒してほしいんだ。3匹ほど狩ってくれれば十分だ。そうそう……ついでに、奴らのモモ肉もとってきてくれよ。			一石二鳥の鳥退治							
悪さをする「ガストルニス」を倒してほしいんだ。3匹ほど狩ってくれれば十分だ。そうそう……ついでに、奴らのモモ肉もとってきてくれよ。			悪さをする「ガストルニス」を倒してほしいんだ。3匹ほど狩ってくれれば十分だ。そうそう……ついでに、奴らのモモ肉もとってきてくれよ。			一石二鳥の鳥退治							
おお！　よくやってくれたね。「ガストルニスのモモ肉」は、煮込むとなかなかいけるんだ。			おお！　よくやってくれたね。「ガストルニスのモモ肉」は、煮込むとなかなかいけるんだ。			一石二鳥の鳥退治							
補給の回数が限られるここで支給されるのは、日持ちする塩漬け肉ばかりだから、流石に味気なくてね。畑を守った上に美味い肉も食える……これこそ、一石二鳥だろ？			補給の回数が限られるここで支給されるのは、日持ちする塩漬け肉ばかりだから、流石に味気なくてね。畑を守った上に美味い肉も食える……これこそ、一石二鳥だろ？			一石二鳥の鳥退治							
ローズハウスのラニエットは、なにか困っているようだ。			ローズハウスのラニエットは、なにか困っているようだ。			奪還部隊の窮地							
ラニエットに奪還部隊の救援を頼まれた。まずは状況を確認する必要がある。アバラシア雲海のブンド・オク・ベンド入口付近にいる奪還部隊の騎兵と話そう。			ラニエットに奪還部隊の救援を頼まれた。まずは状況を確認する必要がある。アバラシア雲海のブンド・オク・ベンド入口付近にいる奪還部隊の騎兵と話そう。			奪還部隊の窮地							
負傷した騎兵から話を聞いた。隊長のテルミオは砦の内部にいるらしい。ブンド・オク・ベンドの「テルミオ」と話そう。			負傷した騎兵から話を聞いた。隊長のテルミオは砦の内部にいるらしい。ブンド・オク・ベンドの「テルミオ」と話そう。			奪還部隊の窮地							
テルミオたちは苦戦を強いられているようだ。このまま無事に部隊を帰すことはできるだろうか？			テルミオたちは苦戦を強いられているようだ。このまま無事に部隊を帰すことはできるだろうか？			奪還部隊の窮地							
ブンド・オク・ベンド入口付近の奪還部隊の騎兵と話す			ブンド・オク・ベンド入口付近の奪還部隊の騎兵と話す			奪還部隊の窮地							
テルミオと話す			テルミオと話す			奪還部隊の窮地							
Surname殿……。いい時に来てくれた。貴公の手を借りたい事案が発生していてな……。			Surname殿……。いい時に来てくれた。貴公の手を借りたい事案が発生していてな……。			奪還部隊の窮地							
少し前に、バヌバヌ族の部隊がキャンプを襲撃したのだ。不意を突かれ、少なくない物資を奪われた。			少し前に、バヌバヌ族の部隊がキャンプを襲撃したのだ。不意を突かれ、少なくない物資を奪われた。			奪還部隊の窮地							
ただちに、「テルミオ」という名の騎士に率いらせた部隊を、物資奪還に派遣したのだが……どうも苦戦しているようでな。今しがた、援軍要請が入ったところだ。			ただちに、「テルミオ」という名の騎士に率いらせた部隊を、物資奪還に派遣したのだが……どうも苦戦しているようでな。今しがた、援軍要請が入ったところだ。			奪還部隊の窮地							
突然で申し訳ないが、貴公に救援を頼みたい。部隊が向かったのは、「ブンド・オク・ベンド」……その近辺で奪還部隊の騎兵と合流し、状況を聞いてくれ。			突然で申し訳ないが、貴公に救援を頼みたい。部隊が向かったのは、「ブンド・オク・ベンド」……その近辺で奪還部隊の騎兵と合流し、状況を聞いてくれ。			奪還部隊の窮地							
