テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
ルーパルに、狩りやすそうなチョコボの情報をもらった。高地ドラヴァニアのテイルフェザーにいる「キ・ヤンター」に話しかけ、彼女の初陣に協力しよう。			ルーパルに、狩りやすそうなチョコボの情報をもらった。高地ドラヴァニアのテイルフェザーにいる「キ・ヤンター」に話しかけ、彼女の初陣に協力しよう。			センス爆発							
キ・ヤンターからチョコボ狩りの作戦を聞いた。テイルフェザー北のチョコボの森にある「指定地点」に「匂い立つ野菜」を設置しよう。			キ・ヤンターからチョコボ狩りの作戦を聞いた。テイルフェザー北のチョコボの森にある「指定地点」に「匂い立つ野菜」を設置しよう。			センス爆発							
匂い立つ野菜を設置した。テイルフェザー北のキャンプにいる「キ・ヤンター」に報告しよう。			匂い立つ野菜を設置した。テイルフェザー北のキャンプにいる「キ・ヤンター」に報告しよう。			センス爆発							
キ・ヤンターは、チョコボの鳴き声を聞きつけたようだ。テイルフェザー北のチョコボの森で「キ・ヤンター」と合流しよう。			キ・ヤンターは、チョコボの鳴き声を聞きつけたようだ。テイルフェザー北のチョコボの森で「キ・ヤンター」と合流しよう。			センス爆発							
キ・ヤンターと合流した。彼女は、もくろみどおりチョコボが罠にかかったことで、大喜びだ。テイルフェザーの「ルーパル」に、初陣の成功を報告しよう。			キ・ヤンターと合流した。彼女は、もくろみどおりチョコボが罠にかかったことで、大喜びだ。テイルフェザーの「ルーパル」に、初陣の成功を報告しよう。			センス爆発							
ルーパルに報告した。彼は、キ・ヤンターの才能に感動しているようだ。			ルーパルに報告した。彼は、キ・ヤンターの才能に感動しているようだ。			センス爆発							
キ・ヤンターと話す			キ・ヤンターと話す			センス爆発							
指定地点に匂い立つ野菜を設置			指定地点に匂い立つ野菜を設置			センス爆発							
キ・ヤンターに報告			キ・ヤンターに報告			センス爆発							
キ・ヤンターと合流			キ・ヤンターと合流			センス爆発							
ルーパルに報告			ルーパルに報告			センス爆発							
チョ、チョコ、チョコチョコ、チョッコボー♪狩ーるぞ、狩るぞ狩るーぞ♪			チョ、チョコ、チョコチョコ、チョッコボー♪狩ーるぞ、狩るぞ狩るーぞ♪			センス爆発							
よお、さっき報せがあったんだが、集落の近くで、手頃なチョコボが目撃されたそうだ。ヤンターの狩猟始めには、持ってこいだろう。			よお、さっき報せがあったんだが、集落の近くで、手頃なチョコボが目撃されたそうだ。ヤンターの狩猟始めには、持ってこいだろう。			センス爆発							
なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			センス爆発							
なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			センス爆発							
