ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			冒険者はゴブの仲間							
タップクリクスから、廃品を奪っていく「青の手」とは無関係だと証明するよう求められた。低地ドラヴァニアのシャーレアン工匠街で「青の手」を討伐しよう。			タップクリクスから、廃品を奪っていく「青の手」とは無関係だと証明するよう求められた。低地ドラヴァニアのシャーレアン工匠街で「青の手」を討伐しよう。			冒険者はゴブの仲間							
「青の手」を討伐した。まだ廃品を奪おうとしている「青の手」がいるようだ。シャーレアン工匠街で再度「青の手」を討伐しよう。			「青の手」を討伐した。まだ廃品を奪おうとしている「青の手」がいるようだ。シャーレアン工匠街で再度「青の手」を討伐しよう。			冒険者はゴブの仲間							
「青の手」を再度討伐した。ショートストップ野営地の「タップクリクス」に報告しよう。			「青の手」を再度討伐した。ショートストップ野営地の「タップクリクス」に報告しよう。			冒険者はゴブの仲間							
タップクリクスに報告した。彼は「青の手」を倒した冒険者を仲間と認めてくれた。			タップクリクスに報告した。彼は「青の手」を倒した冒険者を仲間と認めてくれた。			冒険者はゴブの仲間							
シャーレアン工匠街で「青の手」を討伐			シャーレアン工匠街で「青の手」を討伐			冒険者はゴブの仲間							
再度「青の手」を討伐			再度「青の手」を討伐			冒険者はゴブの仲間							
タップクリクスに報告			タップクリクスに報告			冒険者はゴブの仲間							
シュコォ……シュコォ……最近「青の手」　ここらの廃品　奪ってく！ゴブたち集めた　ここらの廃品　奪ってく！			シュコォ……シュコォ……最近「青の手」　ここらの廃品　奪ってく！ゴブたち集めた　ここらの廃品　奪ってく！			冒険者はゴブの仲間							
ところであにた　「青の手」連中　無関係？ゴブは　あにたが仲間と　信じたい～。でもでも　これも　お仕事だ～　警戒　するの　お仕事だ～。			ところであにた　「青の手」連中　無関係？ゴブは　あにたが仲間と　信じたい～。でもでも　これも　お仕事だ～　警戒　するの　お仕事だ～。			冒険者はゴブの仲間							
無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			冒険者はゴブの仲間							
無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			冒険者はゴブの仲間							
青の手の力　思い知れ～！			青の手の力　思い知れ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…ズタズタだ～！			シュコォ…シュコォ…ズタズタだ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…バラバラだ～！			シュコォ…シュコォ…バラバラだ～！			冒険者はゴブの仲間							
無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			無関係だと　言うのなら　証明　証明　大証明！「青の手」見つけて　迎撃し　ゴブらの仲間と　証明せよ！			冒険者はゴブの仲間							
仲間　倒れた　やり返せ～！			仲間　倒れた　やり返せ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…切りきざめ～！			シュコォ…シュコォ…切りきざめ～！			冒険者はゴブの仲間							
シュコォ…シュコォ…ぶった切れ～！			シュコォ…シュコォ…ぶった切れ～！			冒険者はゴブの仲間							
シュコォ……シュコォ……「青の手」倒した　冒険者　ゴブははなから　信じてた～！さっすが　ゴブの目　狂いなし～！			シュコォ……シュコォ……「青の手」倒した　冒険者　ゴブははなから　信じてた～！さっすが　ゴブの目　狂いなし～！			冒険者はゴブの仲間							
ここらの廃品　ゴブらのもの！手出しするヤツ　容赦なし～！			ここらの廃品　ゴブらのもの！手出しするヤツ　容赦なし～！			冒険者はゴブの仲間							
「青の手」連中　ゴブらの敵！「青の手」連中　あにたの敵！つまり　ゴブらは　お仲間ね～！！			「青の手」連中　ゴブらの敵！「青の手」連中　あにたの敵！つまり　ゴブらは　お仲間ね～！！			冒険者はゴブの仲間							
シャーレアン工匠街のフェルトスモクスは、げんなりした様子で肩を落としている。			シャーレアン工匠街のフェルトスモクスは、げんなりした様子で肩を落としている。			魔眼を使ってスランプ脱出？							
フェルトスモクスは、魚が釣れなくて落ち込み、散歩をしていたようだ。フェルトスモクスから、ワイルドビーストの魔眼を持ってくるよう頼まれた。シャーレアン工匠街で「ワイルドビースト」を討伐して、「ワイルドビーストの魔眼」を3つ入手しよう。			フェルトスモクスは、魚が釣れなくて落ち込み、散歩をしていたようだ。フェルトスモクスから、ワイルドビーストの魔眼を持ってくるよう頼まれた。シャーレアン工匠街で「ワイルドビースト」を討伐して、「ワイルドビーストの魔眼」を3つ入手しよう。			魔眼を使ってスランプ脱出？							
ワイルドビーストの魔眼を入手した。シャーレアン工匠街の「フェルトスモクス」に、「ワイルドビーストの魔眼」を渡そう。			ワイルドビーストの魔眼を入手した。シャーレアン工匠街の「フェルトスモクス」に、「ワイルドビーストの魔眼」を渡そう。			魔眼を使ってスランプ脱出？							
フェルトスモクスにワイルドビーストの魔眼を渡した。フェルトスモクスは、ワイルドビーストの魔眼を釣り餌として使い、スランプ脱出を目指すようだ。			フェルトスモクスにワイルドビーストの魔眼を渡した。フェルトスモクスは、ワイルドビーストの魔眼を釣り餌として使い、スランプ脱出を目指すようだ。			魔眼を使ってスランプ脱出？							
ワイルドビーストからワイルドビーストの魔眼を入手			ワイルドビーストからワイルドビーストの魔眼を入手			魔眼を使ってスランプ脱出？							
フェルトスモクスにワイルドビーストの魔眼を渡す			フェルトスモクスにワイルドビーストの魔眼を渡す			魔眼を使ってスランプ脱出？							
シュコォ……シュコォ……気晴らし　気ままに　散歩中……それでも　気持ちは　晴れぬまま……。			シュコォ……シュコォ……気晴らし　気ままに　散歩中……それでも　気持ちは　晴れぬまま……。			魔眼を使ってスランプ脱出？							
ホントは　釣りを　楽しみたい……なぜか　スランプ　なかなか　釣れぬ……。			ホントは　釣りを　楽しみたい……なぜか　スランプ　なかなか　釣れぬ……。			魔眼を使ってスランプ脱出？							
