マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
マエヌから、アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を届けるよう頼まれた。飛竜泊の「竜騎士団の荷箱」を入手しよう。			マエヌから、アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を届けるよう頼まれた。飛竜泊の「竜騎士団の荷箱」を入手しよう。			歴史的邂逅							
竜騎士団の荷箱を入手した。ドラヴァニア雲海のイーストン・アイにいる「北東偵察隊の竜騎士」から、「竜の巣観測記録」を入手しよう。			竜騎士団の荷箱を入手した。ドラヴァニア雲海のイーストン・アイにいる「北東偵察隊の竜騎士」から、「竜の巣観測記録」を入手しよう。			歴史的邂逅							
竜の巣観測記録を入手した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」に「竜騎士団の荷箱」と「竜の巣観測記録」を渡そう。			竜の巣観測記録を入手した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」に「竜騎士団の荷箱」と「竜の巣観測記録」を渡そう。			歴史的邂逅							
アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡した。ドラヴァニア雲海のモグモグホームにいる「モグリン」と話そう。			アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡した。ドラヴァニア雲海のモグモグホームにいる「モグリン」と話そう。			歴史的邂逅							
モグリンと話した。飛竜泊にいる「モグクル」と話そう。			モグリンと話した。飛竜泊にいる「モグクル」と話そう。			歴史的邂逅							
モグクルと話した。モーグリがドラヴァニア雲海の歴史を教えるかわりに、人は白亜の宮殿を修復する方法を教えるという約束を結び、アンドゥルーの一行は、モグモグホームへ案内された。こうして、人と空のモーグリの、歴史的邂逅がなされたのであった。			モグクルと話した。モーグリがドラヴァニア雲海の歴史を教えるかわりに、人は白亜の宮殿を修復する方法を教えるという約束を結び、アンドゥルーの一行は、モグモグホームへ案内された。こうして、人と空のモーグリの、歴史的邂逅がなされたのであった。			歴史的邂逅							
竜騎士団の荷箱を入手			竜騎士団の荷箱を入手			歴史的邂逅							
北東偵察隊の竜騎士と話し竜の巣観測記録を入手			北東偵察隊の竜騎士と話し竜の巣観測記録を入手			歴史的邂逅							
イシュガルドのアンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡す			イシュガルドのアンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡す			歴史的邂逅							
モグモグホームのモグリンと話す			モグモグホームのモグリンと話す			歴史的邂逅							
飛竜泊のモグクルと話す			飛竜泊のモグクルと話す			歴史的邂逅							
そろそろ帰るので、撤収作業をはじめました。冒険者さんのお陰で、無事に調査や計測ができました。ありがとうございました！			そろそろ帰るので、撤収作業をはじめました。冒険者さんのお陰で、無事に調査や計測ができました。ありがとうございました！			歴史的邂逅							
さて……これで、すべての戦場跡での計測結果がそろった。最後にひとつ、頼みたいことがある。			さて……これで、すべての戦場跡での計測結果がそろった。最後にひとつ、頼みたいことがある。			歴史的邂逅							
ふたつの品を、神殿騎士団本部にいる、アンドゥルー卿に送り届けてほしいのだ。			ふたつの品を、神殿騎士団本部にいる、アンドゥルー卿に送り届けてほしいのだ。			歴史的邂逅							
ひとつ目は、そこにある「竜騎士団の荷箱」。そして、もうひとつは「竜の巣観測記録」……こちらは「北東偵察隊の竜騎士」から受け取ってくれ。			ひとつ目は、そこにある「竜騎士団の荷箱」。そして、もうひとつは「竜の巣観測記録」……こちらは「北東偵察隊の竜騎士」から受け取ってくれ。			歴史的邂逅							
私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			歴史的邂逅							
私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			歴史的邂逅							
「マエヌ」隊長から、連絡は受けている。現時点で判明した情報は、しっかりと記しておいた。受け取ってくれ。			「マエヌ」隊長から、連絡は受けている。現時点で判明した情報は、しっかりと記しておいた。受け取ってくれ。			歴史的邂逅							
私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			歴史的邂逅							
私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			歴史的邂逅							
Forename殿、どうやら任務は完了したようだな。して、偵察の結果はいかがであった？			Forename殿、どうやら任務は完了したようだな。して、偵察の結果はいかがであった？			歴史的邂逅							
……エーテル計測器と報告書、確かに受け取ったぞ。しかし、数百年前の異端者の成れの果てに襲われたとは。			……エーテル計測器と報告書、確かに受け取ったぞ。しかし、数百年前の異端者の成れの果てに襲われたとは。			歴史的邂逅							
エスティニアン殿と君たちが明らかにした、人と竜との共存時代。その果てにあるのが、異端者のドラゴン化と、憎しみの連鎖とはやりきれん……。			エスティニアン殿と君たちが明らかにした、人と竜との共存時代。その果てにあるのが、異端者のドラゴン化と、憎しみの連鎖とはやりきれん……。			歴史的邂逅							
できることなら、総長殿が思い描くように、ふたたび人と竜とが、共存できる日が来るといいのだが……。			できることなら、総長殿が思い描くように、ふたたび人と竜とが、共存できる日が来るといいのだが……。			歴史的邂逅							
ふむ……かつてのような共存を望むのであれば、ドラヴァニア雲海における歴史を、紐解く必要がありそうだな。			ふむ……かつてのような共存を望むのであれば、ドラヴァニア雲海における歴史を、紐解く必要がありそうだな。			歴史的邂逅							
……そうだ、エスティニアン殿の報告書に記されていた、雲海のモーグリ族ならば、古の歴史も詳しいやもしれぬ。			……そうだ、エスティニアン殿の報告書に記されていた、雲海のモーグリ族ならば、古の歴史も詳しいやもしれぬ。			歴史的邂逅							
君は、彼の地のモーグリ族とも親交があると聞く。帰ってきた早々に悪いが、モーグリ族と話をできるよう、渡りをつけてはもらえないだろうか？			君は、彼の地のモーグリ族とも親交があると聞く。帰ってきた早々に悪いが、モーグリ族と話をできるよう、渡りをつけてはもらえないだろうか？			歴史的邂逅							
ありがとう。礼を失しないよう、私自身も飛竜泊に出向くとしよう。では、さっそく出発しようではないか！			ありがとう。礼を失しないよう、私自身も飛竜泊に出向くとしよう。では、さっそく出発しようではないか！			歴史的邂逅							
では、さっそくドラヴァニア雲海に向かうことにしよう！			では、さっそくドラヴァニア雲海に向かうことにしよう！			歴史的邂逅							
おや、ダサい名前のForenameよ、今日はいったいどうしたくぽ？			おや、ダサい名前のForenameよ、今日はいったいどうしたくぽ？			歴史的邂逅							
……昔の話が聞きたいくぽ？世話になったForenameが、紹介するヒトなら、会って話を聞かせてあげてもいいくぽ。			……昔の話が聞きたいくぽ？世話になったForenameが、紹介するヒトなら、会って話を聞かせてあげてもいいくぽ。			歴史的邂逅							
ただし、ひとつだけ条件があるくぽ。モグたちモーグリ族は、平和に暮らしたいくぽ。だから、竜詩戦争には協力できないくぽ……。			ただし、ひとつだけ条件があるくぽ。モグたちモーグリ族は、平和に暮らしたいくぽ。だから、竜詩戦争には協力できないくぽ……。			歴史的邂逅							
それを理解してくれるなら、大歓迎くぽ。アンドゥルーってヒトは、どこにいるくぽ？			それを理解してくれるなら、大歓迎くぽ。アンドゥルーってヒトは、どこにいるくぽ？			歴史的邂逅							
……わかったくぽ。それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			……わかったくぽ。それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			歴史的邂逅							
それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			歴史的邂逅							
彼らが、モーグリ族……！？初めて見たが、何とも奇妙な連中だな。			彼らが、モーグリ族……！？初めて見たが、何とも奇妙な連中だな。			歴史的邂逅							
冒険者みたいなヒトが、たくさんいるくぽ～！モグ、なんだかちょっと緊張してきたくぽ……。			冒険者みたいなヒトが、たくさんいるくぽ～！モグ、なんだかちょっと緊張してきたくぽ……。			歴史的邂逅							
おぉ、Forename殿。この度の仲介、感謝するぞ。			おぉ、Forename殿。この度の仲介、感謝するぞ。			歴史的邂逅							
どうも、はじめましてくぽ！話はモグリン様から聞きましたくぽ、よろしくくぽ～！			どうも、はじめましてくぽ！話はモグリン様から聞きましたくぽ、よろしくくぽ～！			歴史的邂逅							
これは、わざわざご丁寧に。私はイシュガルドの神殿騎士団コマンド、アンドゥルー。こちらこそ、何とぞ宜しくお願い申しあげる。			これは、わざわざご丁寧に。私はイシュガルドの神殿騎士団コマンド、アンドゥルー。こちらこそ、何とぞ宜しくお願い申しあげる。			歴史的邂逅							
このたびは、ドラヴァニア雲海の歴史について、知識を分けていただけると聞き、誠に恐悦至極。無論、我らとしても、返礼は惜しまぬつもり……。			このたびは、ドラヴァニア雲海の歴史について、知識を分けていただけると聞き、誠に恐悦至極。無論、我らとしても、返礼は惜しまぬつもり……。			歴史的邂逅							
……アンドゥルー様は、大きい街の偉いひとくぽ？くぽ！　それなら、あれを知っているかもくぽ！			……アンドゥルー様は、大きい街の偉いひとくぽ？くぽ！　それなら、あれを知っているかもくぽ！			歴史的邂逅							
石作りの建物の修繕方法を、教えてほしいくぽ！そうすれば、モグたちの手で「白亜の宮殿」を、少しずつ直していけるくぽ！			石作りの建物の修繕方法を、教えてほしいくぽ！そうすれば、モグたちの手で「白亜の宮殿」を、少しずつ直していけるくぽ！			歴史的邂逅							
モグたちと聖竜様は、宮殿を守る盟約を交わしたくぽ。でも、宮殿は千年の時で、風化が進んでしまっているくぽ。			モグたちと聖竜様は、宮殿を守る盟約を交わしたくぽ。でも、宮殿は千年の時で、風化が進んでしまっているくぽ。			歴史的邂逅							
聖竜様が愛している「白亜の宮殿」は、竜とヒトが仲良くしていたころの「仲良しの象徴」なのくぽ！それを直せれば、失われた絆を取り戻すきっかけになるくぽ！			聖竜様が愛している「白亜の宮殿」は、竜とヒトが仲良くしていたころの「仲良しの象徴」なのくぽ！それを直せれば、失われた絆を取り戻すきっかけになるくぽ！			歴史的邂逅							
……なるほど、石造建築は皇都の得意とするところ。ぜひ皇都から、石工や大工を派遣することを検討しよう。			……なるほど、石造建築は皇都の得意とするところ。ぜひ皇都から、石工や大工を派遣することを検討しよう。			歴史的邂逅							
水を差すようで悪いけれど……ちょっと待ってほしいくぽ！			水を差すようで悪いけれど……ちょっと待ってほしいくぽ！			歴史的邂逅							
聖竜様の聖地に、たくさんのヒトが足を踏み入れるのは、まだ少し早い気がするくぽ……。聖竜様、びっくりしちゃうくぽ。			聖竜様の聖地に、たくさんのヒトが足を踏み入れるのは、まだ少し早い気がするくぽ……。聖竜様、びっくりしちゃうくぽ。			歴史的邂逅							
……だから、モグモグホームで、少しずつモグたちに、直し方を教えてほしいくぽ。そうやって、少しずつ、少しずつ直していくくぽ！			……だから、モグモグホームで、少しずつモグたちに、直し方を教えてほしいくぽ。そうやって、少しずつ、少しずつ直していくくぽ！			歴史的邂逅							
最初にできるのは、石組みひとつを直すだけかもしれないくぽ。でも、がんばっていけば、いつかは宮殿がピカピカになるくぽ！			最初にできるのは、石組みひとつを直すだけかもしれないくぽ。でも、がんばっていけば、いつかは宮殿がピカピカになるくぽ！			歴史的邂逅							
確かに、もっともな意見だ……。人と竜の関係は、一朝一夕で修復できるようなものではない。じっくり時間をかけ、修復をしていこうではないか。			確かに、もっともな意見だ……。人と竜の関係は、一朝一夕で修復できるようなものではない。じっくり時間をかけ、修復をしていこうではないか。			歴史的邂逅							
話もまとまったことだし、モグたちの集落に、みなさまをご案内するくぽ♪そこで、歴史の話もゆっくりするくぽ～♪			話もまとまったことだし、モグたちの集落に、みなさまをご案内するくぽ♪そこで、歴史の話もゆっくりするくぽ～♪			歴史的邂逅							
飛竜泊のモグズンは、満面の笑みを浮かべている。			飛竜泊のモグズンは、満面の笑みを浮かべている。			聖女シヴァ像を愛でる者							
モグズンの話を聞いた。人の武具をモグーンからもらったらしい。ドラヴァニア雲海の聖女シヴァ像付近の「モグーン」の話を聞いてみよう。			モグズンの話を聞いた。人の武具をモグーンからもらったらしい。ドラヴァニア雲海の聖女シヴァ像付近の「モグーン」の話を聞いてみよう。			聖女シヴァ像を愛でる者							
モグーンの話を聞いた。クラウドエイビスがうるさいようだ。聖女シヴァ像付近の「クラウドエイビス」を3体討伐しよう。			モグーンの話を聞いた。クラウドエイビスがうるさいようだ。聖女シヴァ像付近の「クラウドエイビス」を3体討伐しよう。			聖女シヴァ像を愛でる者							
クラウドエイビスを討伐した。聖女シヴァ像付近の「モグーン」に報告しよう。			クラウドエイビスを討伐した。聖女シヴァ像付近の「モグーン」に報告しよう。			聖女シヴァ像を愛でる者							
モグーンに報告した。聖女シヴァ像はその名のとおり「聖女シヴァ」を象ったもの。かつて聖竜「フレースヴェルグ」と恋に落ちた「聖女シヴァ」の像のため、聖竜もきれいに保ちたいはずと考えているようだ。			モグーンに報告した。聖女シヴァ像はその名のとおり「聖女シヴァ」を象ったもの。かつて聖竜「フレースヴェルグ」と恋に落ちた「聖女シヴァ」の像のため、聖竜もきれいに保ちたいはずと考えているようだ。			聖女シヴァ像を愛でる者							
モグーンと話す			モグーンと話す			聖女シヴァ像を愛でる者							
クラウドエイビスを討伐			クラウドエイビスを討伐			聖女シヴァ像を愛でる者							
モグーンに報告			モグーンに報告			聖女シヴァ像を愛でる者							
