ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
グ・ラハ・ティアから提案されて、トラル大陸について調べることになった。オールド・シャーレアンのヌーメノン大書院の中で、該当する本を4冊読もう。			グ・ラハ・ティアから提案されて、トラル大陸について調べることになった。オールド・シャーレアンのヌーメノン大書院の中で、該当する本を4冊読もう。			明日への一歩							
本を読み、トラル大陸について知識が深まった。ヌーメノン大書院の「グ・ラハ・ティア」と話そう。			本を読み、トラル大陸について知識が深まった。ヌーメノン大書院の「グ・ラハ・ティア」と話そう。			明日への一歩							
アルフィノとアリゼーもトラル大陸に興味があるようだ。オールド・シャーレアンのバルデシオン分館付近にいる「グ・ラハ・ティア」と再度話そう。			アルフィノとアリゼーもトラル大陸に興味があるようだ。オールド・シャーレアンのバルデシオン分館付近にいる「グ・ラハ・ティア」と再度話そう。			明日への一歩							
グ・ラハ・ティアの言葉に背中を押され、冒険者の心は決まったようだ。バルデシオン分館の「オジカ・ツンジカ」と話そう。			グ・ラハ・ティアの言葉に背中を押され、冒険者の心は決まったようだ。バルデシオン分館の「オジカ・ツンジカ」と話そう。			明日への一歩							
オジカ・ツンジカがウクラマトたちを呼んでくれるようだ。メインホールの「指定地点」で待機し、彼女らを待とう。			オジカ・ツンジカがウクラマトたちを呼んでくれるようだ。メインホールの「指定地点」で待機し、彼女らを待とう。			明日への一歩							
冒険者は、「継承の儀」に参加する意志をウクラマトに示した。そして、エレンヴィルをはじめ、クルルにアルフィノとアリゼーもまた旅の仲間に加わった。バルデシオン分館の「オジカ・ツンジカ」と話そう。			冒険者は、「継承の儀」に参加する意志をウクラマトに示した。そして、エレンヴィルをはじめ、クルルにアルフィノとアリゼーもまた旅の仲間に加わった。バルデシオン分館の「オジカ・ツンジカ」と話そう。			明日への一歩							
視線の先、遥か海の彼方には、まだ見ぬトラル大陸。そこでは、どのような冒険が待っているのだろうか。期待と興奮を胸に、冒険者は出航のときを待つ。※以下の条件を満たすと、バルデシオン分館のオジカ・ツンジカから、新たなメインクエストを受注することができます。1.「黄金のレガシー」のプレイ権を所有している。2.「メインクエスト：新たなる冒険編」の、　「明日への一歩」を完了する。			視線の先、遥か海の彼方には、まだ見ぬトラル大陸。そこでは、どのような冒険が待っているのだろうか。期待と興奮を胸に、冒険者は出航のときを待つ。※以下の条件を満たすと、バルデシオン分館のオジカ・ツンジカから、新たなメインクエストを受注することができます。1.「黄金のレガシー」のプレイ権を所有している。2.「メインクエスト：新たなる冒険編」の、　「明日への一歩」を完了する。			明日への一歩							
ヌーメノン大書院で該当の本を読む			ヌーメノン大書院で該当の本を読む			明日への一歩							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			明日への一歩							
グ・ラハ・ティアと再度話す			グ・ラハ・ティアと再度話す			明日への一歩							
オジカ・ツンジカと話す			オジカ・ツンジカと話す			明日への一歩							
メインホールの指定地点で待機する			メインホールの指定地点で待機する			明日への一歩							
オジカ・ツンジカと話す			オジカ・ツンジカと話す			明日への一歩							
