イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
イロアズから、「クラン・モブハント：上級」の仕事を紹介された。詳細な説明を受けるため、イシュガルドの忘れられた騎士亭の「アルドラン」と話そう。			イロアズから、「クラン・モブハント：上級」の仕事を紹介された。詳細な説明を受けるため、イシュガルドの忘れられた騎士亭の「アルドラン」と話そう。			イシュガルドのモブハント（上級）							
アルドランに話したところ、「クラン・モブハント：上級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			アルドランに話したところ、「クラン・モブハント：上級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			イシュガルドのモブハント（上級）							
「セントリオボード」から「クラン・モブ手配書：上級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			「セントリオボード」から「クラン・モブ手配書：上級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			イシュガルドのモブハント（上級）							
忘れられた騎士亭のアルドランと話す			忘れられた騎士亭のアルドランと話す			イシュガルドのモブハント（上級）							
セントリオボードを調べる			セントリオボードを調べる			イシュガルドのモブハント（上級）							
お前さんが、Forenameかい。なかなか活きのいい冒険者がおると、方々で噂を聞いとるよ。			お前さんが、Forenameかい。なかなか活きのいい冒険者がおると、方々で噂を聞いとるよ。			イシュガルドのモブハント（上級）							
どうだい、そろそろ「上級」のモブに手を出してみるかね？お前さんの腕なら、後れをとらんだろうて。			どうだい、そろそろ「上級」のモブに手を出してみるかね？お前さんの腕なら、後れをとらんだろうて。			イシュガルドのモブハント（上級）							
ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			イシュガルドのモブハント（上級）							
ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			イシュガルドのモブハント（上級）							
やれやれ、ついにイロアズの婆さんにも見込まれたか……。わかったわかった、「上級」の手配書を回してやる。			やれやれ、ついにイロアズの婆さんにも見込まれたか……。わかったわかった、「上級」の手配書を回してやる。			イシュガルドのモブハント（上級）							
当然、これまでより手強い相手だから覚悟しろよ。……まぁ、その分、報酬もたんまりあるがな。			当然、これまでより手強い相手だから覚悟しろよ。……まぁ、その分、報酬もたんまりあるがな。			イシュガルドのモブハント（上級）							
さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			イシュガルドのモブハント（上級）							
さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			イシュガルドのモブハント（上級）							
討伐対象「モブ」の手配書が掲示されている……。いよいよ、「上級」に挑戦してみよう。			討伐対象「モブ」の手配書が掲示されている……。いよいよ、「上級」に挑戦してみよう。			イシュガルドのモブハント（上級）							
「クラン・モブ手配書：上級」が開放された！			「クラン・モブ手配書：上級」が開放された！			イシュガルドのモブハント（上級）							
セントリオボードから、「クラン・モブ手配書：上級」を入手できるようになりました。			セントリオボードから、「クラン・モブ手配書：上級」を入手できるようになりました。			イシュガルドのモブハント（上級）							
イディルシャイアのゲイムロナは、物思いに耽っているようだ。			イディルシャイアのゲイムロナは、物思いに耽っているようだ。			お得意様シロ・アリアポー							
ゲイムロナから、シロ・アリアポーの商売を後押ししてほしいと頼まれた。崖っぷち亭の「シロ・アリアポー」と話そう。			ゲイムロナから、シロ・アリアポーの商売を後押ししてほしいと頼まれた。崖っぷち亭の「シロ・アリアポー」と話そう。			お得意様シロ・アリアポー							
シロ・アリアポーは、孤児院の運営費用を稼ぐために頑張っているという。今後は彼女のお得意様として、取引をこなしていこう。			シロ・アリアポーは、孤児院の運営費用を稼ぐために頑張っているという。今後は彼女のお得意様として、取引をこなしていこう。			お得意様シロ・アリアポー							
崖っぷち亭のシロ・アリアポーと話す			崖っぷち亭のシロ・アリアポーと話す			お得意様シロ・アリアポー							
……あら、これは冒険者様。いつもお世話になっております。			……あら、これは冒険者様。いつもお世話になっております。			お得意様シロ・アリアポー							
ところで、冒険者様はシロ・アリアポーという者をご存知ですか？以前、ロウェナ商会で働いていた女商人なのですが、この度、独立して自分の店を持ったのです。			ところで、冒険者様はシロ・アリアポーという者をご存知ですか？以前、ロウェナ商会で働いていた女商人なのですが、この度、独立して自分の店を持ったのです。			お得意様シロ・アリアポー							
シロは目利きの技術には優れておりますが、他人のためならば、自分のことを顧みない傾向がありましてね。そういう所を、ロウェナ様は心配に思っているようです。			シロは目利きの技術には優れておりますが、他人のためならば、自分のことを顧みない傾向がありましてね。そういう所を、ロウェナ様は心配に思っているようです。			お得意様シロ・アリアポー							
そこで、熟練の職人であるあなた様にお願いがあります。崖っぷち亭の「シロ・アリアポー」の店をお訪ねください。あの子の商売が上手くいくよう、後押ししてやってほしいのです。			そこで、熟練の職人であるあなた様にお願いがあります。崖っぷち亭の「シロ・アリアポー」の店をお訪ねください。あの子の商売が上手くいくよう、後押ししてやってほしいのです。			お得意様シロ・アリアポー							
ええ、確かに私がシロ・アリアポーですが……。どちら様でしょうか？			ええ、確かに私がシロ・アリアポーですが……。どちら様でしょうか？			お得意様シロ・アリアポー							
ゲイムロナさんから頼まれて様子を見に？私はこのとおり、とっても元気ですよ！			ゲイムロナさんから頼まれて様子を見に？私はこのとおり、とっても元気ですよ！			お得意様シロ・アリアポー							
崖っぷち亭階下の一室をお借りすることができたので、この度、かねてからの夢だった、孤児院の運営を始めたんです！その名も「メネフィナの家」！！			崖っぷち亭階下の一室をお借りすることができたので、この度、かねてからの夢だった、孤児院の運営を始めたんです！その名も「メネフィナの家」！！			お得意様シロ・アリアポー							
運営には、思っていたよりもお金がかかって大変ですけどね。今日のごはんは、一週間前に作ったフラットブレッドでしたし。すっかり湿気てしまって、岩のように硬かったですけど……。			運営には、思っていたよりもお金がかかって大変ですけどね。今日のごはんは、一週間前に作ったフラットブレッドでしたし。すっかり湿気てしまって、岩のように硬かったですけど……。			お得意様シロ・アリアポー							
でもでも、困っている子どもたちのためなら、どれだけ辛くたって頑張れます！彼らに安心できる居場所を作ってあげるのが、私の目標ですから！			でもでも、困っている子どもたちのためなら、どれだけ辛くたって頑張れます！彼らに安心できる居場所を作ってあげるのが、私の目標ですから！			お得意様シロ・アリアポー							
孤児院の運営費を稼ぐために、収集品取引も始めたんですよ。職人さんから集めた珍しい品を、好事家の方たちに買い取ってもらうんです。			孤児院の運営費を稼ぐために、収集品取引も始めたんですよ。職人さんから集めた珍しい品を、好事家の方たちに買い取ってもらうんです。			お得意様シロ・アリアポー							
職人さんには、納品してくれた報酬として、ロウェナ商会のスクリップをお渡ししているんです。ですが、なかなか収集品の集まりが悪くて……。			職人さんには、納品してくれた報酬として、ロウェナ商会のスクリップをお渡ししているんです。ですが、なかなか収集品の集まりが悪くて……。			お得意様シロ・アリアポー							
見たところ、熟練の職人さんのようですが、よろしければ、私をあなたの「お得意様」にしていただけませんか？いーっぱい、頑張りますから！			見たところ、熟練の職人さんのようですが、よろしければ、私をあなたの「お得意様」にしていただけませんか？いーっぱい、頑張りますから！			お得意様シロ・アリアポー							
よ、よかったぁ……。実は立ち上げ以来、ずっと赤字続きで、このままだと孤児院の運営が立ち行かなくなる所だったんです。			よ、よかったぁ……。実は立ち上げ以来、ずっと赤字続きで、このままだと孤児院の運営が立ち行かなくなる所だったんです。			お得意様シロ・アリアポー							
でも、引き受けていただけて安心しました。これからよろしくお願いしますね！			でも、引き受けていただけて安心しました。これからよろしくお願いしますね！			お得意様シロ・アリアポー							
先ほどもご説明したかと思いますが、収集品を納品していただく報酬として、冒険者さんにはロウェナ商会のスクリップをお支払いします。			先ほどもご説明したかと思いますが、収集品を納品していただく報酬として、冒険者さんにはロウェナ商会のスクリップをお支払いします。			お得意様シロ・アリアポー							
ギルは少ないですが、スクリップならたくさん持っていますから！ロウェナ商会では、お給料がギルではなく、スクリップで支払われるのですよ。			ギルは少ないですが、スクリップならたくさん持っていますから！ロウェナ商会では、お給料がギルではなく、スクリップで支払われるのですよ。			お得意様シロ・アリアポー							
ギルを貰えないのに、今までどうやって生きてきたか気になります？			ギルを貰えないのに、今までどうやって生きてきたか気になります？			お得意様シロ・アリアポー							
なんと！ロウェナ商会では、スクリップ130個をパインジュースと交換できるんですよ！			なんと！ロウェナ商会では、スクリップ130個をパインジュースと交換できるんですよ！			お得意様シロ・アリアポー							
それでは、まず最初に、冒険者さんに取引をお願いしたい収集品は、「近東風の収集品」です！			それでは、まず最初に、冒険者さんに取引をお願いしたい収集品は、「近東風の収集品」です！			お得意様シロ・アリアポー							
今、貴族の間で、近東風の物が流行していると聞きましたので！商人として、市場の流行に乗らないという考えはありません！これは……黒字化待ったなしの予感がしますよ！			今、貴族の間で、近東風の物が流行していると聞きましたので！商人として、市場の流行に乗らないという考えはありません！これは……黒字化待ったなしの予感がしますよ！			お得意様シロ・アリアポー							
本クエストは、（地球時間）[Reset]日月火水木金土曜日の午後午前123456789101100時以降に、受注可能になる予定です。			本クエストは、（地球時間）[Reset]日月火水木金土曜日の午後午前123456789101100時以降に、受注可能になる予定です。			お得意様シロ・アリアポー							
セノタフ大石碑のウールニクスは、冒険者を値踏みしている。			セノタフ大石碑のウールニクスは、冒険者を値踏みしている。			門番だって虫は怖い							
ウールニクスは、タランチュラホークの被害に苦しんでいるらしい。低地ドラヴァニアのシャーレアン選者街にいる「タランチュラホーク」を3体討伐しよう。			ウールニクスは、タランチュラホークの被害に苦しんでいるらしい。低地ドラヴァニアのシャーレアン選者街にいる「タランチュラホーク」を3体討伐しよう。			門番だって虫は怖い							
タランチュラホークを討伐した。セノタフ大石碑の「ウールニクス」に報告しよう。			タランチュラホークを討伐した。セノタフ大石碑の「ウールニクス」に報告しよう。			門番だって虫は怖い							
タランチュラホークを駆除したことをウールニクスに伝えた。これで、彼も安心して門番の仕事に専念できるだろう。			タランチュラホークを駆除したことをウールニクスに伝えた。これで、彼も安心して門番の仕事に専念できるだろう。			門番だって虫は怖い							
タランチュラホークを討伐			タランチュラホークを討伐			門番だって虫は怖い							
セノタフ大石碑のウールニクスに報告			セノタフ大石碑のウールニクスに報告			門番だって虫は怖い							
シュコォ……シュコォ……お前さん　なかなか　強そう　やり手そう～。			シュコォ……シュコォ……お前さん　なかなか　強そう　やり手そう～。			門番だって虫は怖い							
「タランチュラホーク」　3匹退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			「タランチュラホーク」　3匹退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			門番だって虫は怖い							
「タランチュラホーク」　3匹　退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			「タランチュラホーク」　3匹　退治　頼みたい～。数が増え　門まで来るから　困ってる～。「選者街」で　数を減らして　ちょ～だいよ～。			門番だって虫は怖い							
シュコォ……シュコォ……さすが　やり手の冒険者　ありがたいね　助かった～。			シュコォ……シュコォ……さすが　やり手の冒険者　ありがたいね　助かった～。			門番だって虫は怖い							
虫に刺されて　逃げ惑い　門番放置で　怒られた～。虫さえ減って　来なくなりゃ　安心しきって　見張れるぞ～。助け合いは　すばらしい　これからどうぞ　よろしく頼む～！			虫に刺されて　逃げ惑い　門番放置で　怒られた～。虫さえ減って　来なくなりゃ　安心しきって　見張れるぞ～。助け合いは　すばらしい　これからどうぞ　よろしく頼む～！			門番だって虫は怖い							
イディルシャイアのミッドナイト・デューは、冒険者を試したいようだ。			イディルシャイアのミッドナイト・デューは、冒険者を試したいようだ。			イディルシャイアでこんにちは							
ミッドナイト・デューから、この集落に馴染むための仕事を任された。イディルシャイアの「荷運びの冒険者」と話そう。			ミッドナイト・デューから、この集落に馴染むための仕事を任された。イディルシャイアの「荷運びの冒険者」と話そう。			イディルシャイアでこんにちは							
荷運びの冒険者は、熟れた果実をばらまいてしまったらしい。イディルシャイアで「熟れた果実」を5個入手しよう。			荷運びの冒険者は、熟れた果実をばらまいてしまったらしい。イディルシャイアで「熟れた果実」を5個入手しよう。			イディルシャイアでこんにちは							
熟れた果実を5個入手した。イディルシャイアの「荷運びの冒険者」に「熟れた果実」を渡そう。			熟れた果実を5個入手した。イディルシャイアの「荷運びの冒険者」に「熟れた果実」を渡そう。			イディルシャイアでこんにちは							
荷運びの冒険者に熟れた果実を渡した。どうやら無事に受け入れてもらえたようだ。イディルシャイアの「ミッドナイト・デュー」に報告しよう。			荷運びの冒険者に熟れた果実を渡した。どうやら無事に受け入れてもらえたようだ。イディルシャイアの「ミッドナイト・デュー」に報告しよう。			イディルシャイアでこんにちは							
イディルシャイアの冒険者に受け入れられたことを、ミッドナイト・デューに報告した。ミッドナイト・デューたちも、様々な軋轢を経たうえで、ゴブリン族たちと意気投合することができたのだそうだ。			イディルシャイアの冒険者に受け入れられたことを、ミッドナイト・デューに報告した。ミッドナイト・デューたちも、様々な軋轢を経たうえで、ゴブリン族たちと意気投合することができたのだそうだ。			イディルシャイアでこんにちは							
