デルタ管区の管理システムは、静かに佇んでいる。			デルタ管区の管理システムは、静かに佇んでいる。			未登録竜への罰則							
管理システムにアクセスした。システムに登録されていないドラゴン族の個体を発見したそうだ。デルタ管区の「メラシディアン・ブロビニャク」を4体討伐しよう。			管理システムにアクセスした。システムに登録されていないドラゴン族の個体を発見したそうだ。デルタ管区の「メラシディアン・ブロビニャク」を4体討伐しよう。			未登録竜への罰則							
メラシディアン・ブロビニャクを討伐した。デルタ管区の「管理システム」に報告しよう。			メラシディアン・ブロビニャクを討伐した。デルタ管区の「管理システム」に報告しよう。			未登録竜への罰則							
管理システムに報告した。アラグ帝国では、未登録のドラゴン族の繁殖や育成は、複数の法令に違反するらしい。			管理システムに報告した。アラグ帝国では、未登録のドラゴン族の繁殖や育成は、複数の法令に違反するらしい。			未登録竜への罰則							
メラシディアン・ブロビニャクを討伐			メラシディアン・ブロビニャクを討伐			未登録竜への罰則							
管理システムに報告			管理システムに報告			未登録竜への罰則							
ザ……ザザ……未登録のドラゴン族の個体を発見しました。生態系を崩しかねない異常事態が発生。以後、対象を「メラシディアン・ブロビニャク」と呼称します。			ザ……ザザ……未登録のドラゴン族の個体を発見しました。生態系を崩しかねない異常事態が発生。以後、対象を「メラシディアン・ブロビニャク」と呼称します。			未登録竜への罰則							
忠実なるアラグ帝国軍将兵の皆さま。「メラシディアン・ブロビニャク」4体の排除を遂行してください。			忠実なるアラグ帝国軍将兵の皆さま。「メラシディアン・ブロビニャク」4体の排除を遂行してください。			未登録竜への罰則							
忠実なるアラグ帝国軍将兵の皆さま。「メラシディアン・ブロビニャク」4体の排除を遂行してください。			忠実なるアラグ帝国軍将兵の皆さま。「メラシディアン・ブロビニャク」4体の排除を遂行してください。			未登録竜への罰則							
ザ……ザザ……メラシディアン・ブロビニャクの反応消失を確認。お疲れさまでした。			ザ……ザザ……メラシディアン・ブロビニャクの反応消失を確認。お疲れさまでした。			未登録竜への罰則							
未登録のドラゴン族の繁殖、および飼育は、アラグ帝国環境保全法、および、家畜飼育法、愛玩動物保護法など、複数の法令を違反し……ザザ…。			未登録のドラゴン族の繁殖、および飼育は、アラグ帝国環境保全法、および、家畜飼育法、愛玩動物保護法など、複数の法令を違反し……ザザ…。			未登録竜への罰則							
デルタ管区の拘束システムは、静かに佇んでいる。			デルタ管区の拘束システムは、静かに佇んでいる。			解き放たれし竜							
冒険者をアラグ帝国軍の将兵と認識した拘束システムから、拘束具の外れたドラゴン族の討伐を指示された。デルタ管区の「メラシディアン・ドラゴン」と「メラシディアン・ファラク」を3体ずつ討伐しよう。			冒険者をアラグ帝国軍の将兵と認識した拘束システムから、拘束具の外れたドラゴン族の討伐を指示された。デルタ管区の「メラシディアン・ドラゴン」と「メラシディアン・ファラク」を3体ずつ討伐しよう。			解き放たれし竜							
ドラゴン族を討伐した。デルタ管区の「拘束システム」に報告しよう。			ドラゴン族を討伐した。デルタ管区の「拘束システム」に報告しよう。			解き放たれし竜							
拘束システムに報告した。拘束具が外れたのは、5000年もの時間が経ったからのようだ。			拘束システムに報告した。拘束具が外れたのは、5000年もの時間が経ったからのようだ。			解き放たれし竜							
メラシディアン・ドラゴンを討伐			メラシディアン・ドラゴンを討伐			解き放たれし竜							
メラシディアン・ファラクを討伐			メラシディアン・ファラクを討伐			解き放たれし竜							
拘束システムに報告			拘束システムに報告			解き放たれし竜							
ザ……ザザ……警告、警告。ドラゴン族の拘束具が外れ、徘徊しているもよう。周辺地区への被害甚大。			ザ……ザザ……警告、警告。ドラゴン族の拘束具が外れ、徘徊しているもよう。周辺地区への被害甚大。			解き放たれし竜							
忠実なるアラグ帝国軍将兵の皆さま。ただちに「メラシディアン・ドラゴン」3体、「メラシディアン・ファラク」3体の討伐を遂行してください。			忠実なるアラグ帝国軍将兵の皆さま。ただちに「メラシディアン・ドラゴン」3体、「メラシディアン・ファラク」3体の討伐を遂行してください。			解き放たれし竜							
忠実なるアラグ帝国軍将兵の皆さま。ただちに「メラシディアン・ドラゴン」3体、「メラシディアン・ファラク」3体の討伐を遂行してください。			忠実なるアラグ帝国軍将兵の皆さま。ただちに「メラシディアン・ドラゴン」3体、「メラシディアン・ファラク」3体の討伐を遂行してください。			解き放たれし竜							
ザ……ザザ……任務達成を確認。お疲れさまでした。すみやかな行動に感謝いたします。			ザ……ザザ……任務達成を確認。お疲れさまでした。すみやかな行動に感謝いたします。			解き放たれし竜							
5000年ほどの耐久性も持たない拘束具では、不良品と言わざるを得ません。この件は制御装置開発部門にクレームを……ザザ……。			5000年ほどの耐久性も持たない拘束具では、不良品と言わざるを得ません。この件は制御装置開発部門にクレームを……ザザ……。			解き放たれし竜							
第VII転送リングの改善システムは、静かに佇んでいる。			第VII転送リングの改善システムは、静かに佇んでいる。			暴走の果てに							
改善システムから、洗脳実験の失敗で暴走したドラゴン族を排除するよう指示された。アジス・ラーのエシュ・トーム南で「メアドラゴン」を3体討伐しよう。			改善システムから、洗脳実験の失敗で暴走したドラゴン族を排除するよう指示された。アジス・ラーのエシュ・トーム南で「メアドラゴン」を3体討伐しよう。			暴走の果てに							
メアドラゴンを討伐した。第VII転送リングの「改善システム」に報告しよう。			メアドラゴンを討伐した。第VII転送リングの「改善システム」に報告しよう。			暴走の果てに							
改善システムに報告した。兵器としての戦闘力を強化するため、凶暴性を増すように洗脳したことが暴走の原因のようだ。			改善システムに報告した。兵器としての戦闘力を強化するため、凶暴性を増すように洗脳したことが暴走の原因のようだ。			暴走の果てに							
メアドラゴンを討伐			メアドラゴンを討伐			暴走の果てに							
改善システムに報告			改善システムに報告			暴走の果てに							
ザ……ザザ……保安部より救援要請。ドラゴン族を制御するための洗脳試験で事故が発生しました。			ザ……ザザ……保安部より救援要請。ドラゴン族を制御するための洗脳試験で事故が発生しました。			暴走の果てに							
対象が洗脳に耐え切れず暴走し、逃亡……。「メアドラゴン」を排除願います。			対象が洗脳に耐え切れず暴走し、逃亡……。「メアドラゴン」を排除願います。			暴走の果てに							
対象が洗脳に耐え切れず暴走し、逃亡……。「メアドラゴン」を排除願います。			対象が洗脳に耐え切れず暴走し、逃亡……。「メアドラゴン」を排除願います。			暴走の果てに							
ザ……ザザ……対象の反応消失を確認、お疲れさまでした。			ザ……ザザ……対象の反応消失を確認、お疲れさまでした。			暴走の果てに							
兵器としての戦闘能力を強化するため、凶暴性を増したことが、今回の事故に繋がった模様……。さらなる改善を……ザザ……完全な兵器に……ザ……。			兵器としての戦闘能力を強化するため、凶暴性を増したことが、今回の事故に繋がった模様……。さらなる改善を……ザザ……完全な兵器に……ザ……。			暴走の果てに							
ガンマ管区の輸送システムは、静かに佇んでいる。			ガンマ管区の輸送システムは、静かに佇んでいる。			運送端末を止めろ！							
輸送システムから、未登録の浮行型運送端末が動作しているので停止させてほしいと聞いた。ガンマ管区の「魔導アダマンクロー」を4体討伐しよう。			輸送システムから、未登録の浮行型運送端末が動作しているので停止させてほしいと聞いた。ガンマ管区の「魔導アダマンクロー」を4体討伐しよう。			運送端末を止めろ！							
魔導アダマンクローを破壊した。ガンマ管区の「輸送システム」に報告しよう。			魔導アダマンクローを破壊した。ガンマ管区の「輸送システム」に報告しよう。			運送端末を止めろ！							
輸送システムに報告した。浮行型運送端末を破壊して止めた冒険者の行為を、輸送システムは破壊活動と認識したようだ……。			輸送システムに報告した。浮行型運送端末を破壊して止めた冒険者の行為を、輸送システムは破壊活動と認識したようだ……。			運送端末を止めろ！							
魔導アダマンクローを討伐			魔導アダマンクローを討伐			運送端末を止めろ！							
輸送システムに報告			輸送システムに報告			運送端末を止めろ！							
ザ……ザザ……問題が発生。未登録の浮行型運送端末を、複数確認しました。停止命令を送ったものの、これに従う様子がありません。			ザ……ザザ……問題が発生。未登録の浮行型運送端末を、複数確認しました。停止命令を送ったものの、これに従う様子がありません。			運送端末を止めろ！							
輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			運送端末を止めろ！							
輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			輸送を管理する本システムとしては、まことに遺憾な状況です。至急、未登録のクロータイプ輸送端末を停止させてください。ザザ……ひとりにつき、4体停止すれば……ザザ……。			運送端末を止めろ！							
ザ……ザザ……浮行型運送端末の反応消失を確認。破壊活動が行われた模様です……ザザ……。監視システムにより、貴方の犯行と確認されました。			ザ……ザザ……浮行型運送端末の反応消失を確認。破壊活動が行われた模様です……ザザ……。監視システムにより、貴方の犯行と確認されました。			運送端末を止めろ！							
当システムが要望したのは停止であり、破壊ではありません。あなたの権限の剥奪を運輸部に要求します。繰り返します……ザザ……。			当システムが要望したのは停止であり、破壊ではありません。あなたの権限の剥奪を運輸部に要求します。繰り返します……ザザ……。			運送端末を止めろ！							
第V転送リングの排除システムは、静かに佇んでいる。			第V転送リングの排除システムは、静かに佇んでいる。			やり慣れたお仕事							
排除システムから、侵入者の排除を指示された。侵入者とは、おそらく帝国兵のことだろう。アジス・ラーの飛空戦艦揚陸地点で、「VIレギオン・ホプロマクス 」、「VIレギオン・ラクエリウス」、「VIレギオン・エクエス」、「VIレギオン・セクトール」、「VIレギオン・シグニフェル」のいずれかを8体討伐しよう。			排除システムから、侵入者の排除を指示された。侵入者とは、おそらく帝国兵のことだろう。アジス・ラーの飛空戦艦揚陸地点で、「VIレギオン・ホプロマクス 」、「VIレギオン・ラクエリウス」、「VIレギオン・エクエス」、「VIレギオン・セクトール」、「VIレギオン・シグニフェル」のいずれかを8体討伐しよう。			やり慣れたお仕事							
帝国兵を討伐した。第V転送リングの「排除システム」に報告しよう。			帝国兵を討伐した。第V転送リングの「排除システム」に報告しよう。			やり慣れたお仕事							
排除システムに報告した。ここで起こった反乱から5000年ほど時間が経過しているようだ。そのころから、このシステムは働いていたのだろう。			排除システムに報告した。ここで起こった反乱から5000年ほど時間が経過しているようだ。そのころから、このシステムは働いていたのだろう。			やり慣れたお仕事							
飛空戦艦揚陸地点の帝国兵を討伐			飛空戦艦揚陸地点の帝国兵を討伐			やり慣れたお仕事							
排除システムに報告			排除システムに報告			やり慣れたお仕事							
ザ……ザザ……アジス・ラー施設内に侵入者を検知しました。武器を所持していることから、中央政府に逆らう反乱勢力の可能性が濃厚です。			ザ……ザザ……アジス・ラー施設内に侵入者を検知しました。武器を所持していることから、中央政府に逆らう反乱勢力の可能性が濃厚です。			やり慣れたお仕事							
ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			ひとりにつき、8人の討伐により、排除は完了する見込みです。すみやかに行動に移ってください。アラグ帝国万歳！　ザンデ皇帝陛下に栄光あれ！			やり慣れたお仕事							
