ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			娘はどこへ							
カストルム・オリエンスの将兵と話す			カストルム・オリエンスの将兵と話す			娘はどこへ							
双蛇党の兵卒と話す			双蛇党の兵卒と話す			娘はどこへ							
すみませぬが、人探しにご助力いただけないでしょうか？実は私の娘が、カストルム・オリエンスの辺りに向かってから、ずいぶん経つというのに帰ってこないのです……。			すみませぬが、人探しにご助力いただけないでしょうか？実は私の娘が、カストルム・オリエンスの辺りに向かってから、ずいぶん経つというのに帰ってこないのです……。			娘はどこへ							
当地に詰めている同盟軍の将兵たちに、娘を見かけなかったか、聞いてみてはくれませぬか？貴方であれば、顔が利くかと思いまして……。			当地に詰めている同盟軍の将兵たちに、娘を見かけなかったか、聞いてみてはくれませぬか？貴方であれば、顔が利くかと思いまして……。			娘はどこへ							
娘の髪は金色、目は栗色……。任務でバエサルの長城へと向かったはずなのです。どうか……どうか、娘を探し出してください！			娘の髪は金色、目は栗色……。任務でバエサルの長城へと向かったはずなのです。どうか……どうか、娘を探し出してください！			娘はどこへ							
娘の髪は金色、目は栗色……。任務でバエサルの長城へと向かったはずなのです。どうか……どうか、娘を探し出してください！			娘の髪は金色、目は栗色……。任務でバエサルの長城へと向かったはずなのです。どうか……どうか、娘を探し出してください！			娘はどこへ							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameではないか。どうした、私に何か用か？			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameではないか。どうした、私に何か用か？			娘はどこへ							
該当する女性闘士が来たという報告は受けておらんな。……だが、以前そんな女性を探しに来た男性がいたと、部下から報告があったな。			該当する女性闘士が来たという報告は受けておらんな。……だが、以前そんな女性を探しに来た男性がいたと、部下から報告があったな。			娘はどこへ							
もしかしたら、詳細を知っているかもしれない。「双蛇党の兵卒」に話を聞いてみるといいだろう。			もしかしたら、詳細を知っているかもしれない。「双蛇党の兵卒」に話を聞いてみるといいだろう。			娘はどこへ							
金髪の女性闘士ですか……すみません、ちょっと心当たりがないですね。力になれず、申し訳ありません。			金髪の女性闘士ですか……すみません、ちょっと心当たりがないですね。力になれず、申し訳ありません。			娘はどこへ							
ふむ、アラミゴ解放軍の女性闘士を探していると？見たことがあるのは、ミコッテ族の女性だったが、きっと尋ね人とは違うのだろう？			ふむ、アラミゴ解放軍の女性闘士を探していると？見たことがあるのは、ミコッテ族の女性だったが、きっと尋ね人とは違うのだろう？			娘はどこへ							
金髪で栗色の目をした女性をお探しと？私はわかりませんが、双蛇党の方なら何かご存知かもしれません。当地の歩哨は、双蛇党が担当しておりますので……。			金髪で栗色の目をした女性をお探しと？私はわかりませんが、双蛇党の方なら何かご存知かもしれません。当地の歩哨は、双蛇党が担当しておりますので……。			娘はどこへ							
もしかしたら、詳細を知っているかもしれない。「双蛇党の兵卒」に話を聞いてみるといいだろう。			もしかしたら、詳細を知っているかもしれない。「双蛇党の兵卒」に話を聞いてみるといいだろう。			娘はどこへ							
金髪の女性闘士ですか……すみません、ちょっと心当たりがないですね。力になれず、申し訳ありません。			金髪の女性闘士ですか……すみません、ちょっと心当たりがないですね。力になれず、申し訳ありません。			娘はどこへ							
ふむ、アラミゴ解放軍の女性闘士を探していると？見たことがあるのは、ミコッテ族の女性だったが、きっと尋ね人とは違うのだろう？			ふむ、アラミゴ解放軍の女性闘士を探していると？見たことがあるのは、ミコッテ族の女性だったが、きっと尋ね人とは違うのだろう？			娘はどこへ							
金髪で栗色の目をした女性をお探しと？私はわかりませんが、双蛇党の方なら何かご存知かもしれません。当地の歩哨は、双蛇党が担当しておりますので……。			金髪で栗色の目をした女性をお探しと？私はわかりませんが、双蛇党の方なら何かご存知かもしれません。当地の歩哨は、双蛇党が担当しておりますので……。			娘はどこへ							
なんですって？ラールガーズリーチの老闘士に頼まれて、娘を探しているですって？			なんですって？ラールガーズリーチの老闘士に頼まれて、娘を探しているですって？			娘はどこへ							
あの方、まだ受け入れることができずにいるのですね……。……実は、その方が探されている娘さんは、行方不明ではなく、すでに亡くなられているのです。			あの方、まだ受け入れることができずにいるのですね……。……実は、その方が探されている娘さんは、行方不明ではなく、すでに亡くなられているのです。			娘はどこへ							
あとから調べてわかったことなのですが、彼女は、鉄仮面の演説に心を動かされ、バエサルの長城の襲撃に参加。そこで、命を落としたようです。			あとから調べてわかったことなのですが、彼女は、鉄仮面の演説に心を動かされ、バエサルの長城の襲撃に参加。そこで、命を落としたようです。			娘はどこへ							
我々が回収した遺品を手に、ラールガーズリーチへ赴き、遺族を探したときに、お父さまと出会い身元を確認しました。			我々が回収した遺品を手に、ラールガーズリーチへ赴き、遺族を探したときに、お父さまと出会い身元を確認しました。			娘はどこへ							
ですが、彼は娘の死を受け入れることができなかったようです。以降、何度もここを訪れては、娘の行方を探すようにと、嘆願を繰り返しているのですよ……。			ですが、彼は娘の死を受け入れることができなかったようです。以降、何度もここを訪れては、娘の行方を探すようにと、嘆願を繰り返しているのですよ……。			娘はどこへ							
お父さまには、また私の方から説明をしに行こうと思いますので、あなたは戻られなくて大丈夫ですよ。わざわざ、ご苦労様でした。			お父さまには、また私の方から説明をしに行こうと思いますので、あなたは戻られなくて大丈夫ですよ。わざわざ、ご苦労様でした。			娘はどこへ							
ラールガーズリーチのラヌルフは、協力者を探しているようだ。			ラールガーズリーチのラヌルフは、協力者を探しているようだ。			野戦病院の実状							
ヴィルジャラの涸れ谷の指定地点で乾いた粉末を使い、アントリオン・アンブッシャーからアントリオンの分泌液を入手			ヴィルジャラの涸れ谷の指定地点で乾いた粉末を使い、アントリオン・アンブッシャーからアントリオンの分泌液を入手			野戦病院の実状							
ラールガーズリーチのラヌルフにアントリオンの分泌液を渡す			ラールガーズリーチのラヌルフにアントリオンの分泌液を渡す			野戦病院の実状							
ちょっと力を借りたいことがあるんだが、よければ話を聞いてくれないかな？			ちょっと力を借りたいことがあるんだが、よければ話を聞いてくれないかな？			野戦病院の実状							
野戦病院向けの物資を集めているんだが、毛布や包帯は用意できたものの、消毒液の材料が不足していてね。そこで、アントリオンの分泌液を集めるのに力を貸してほしい。			野戦病院向けの物資を集めているんだが、毛布や包帯は用意できたものの、消毒液の材料が不足していてね。そこで、アントリオンの分泌液を集めるのに力を貸してほしい。			野戦病院の実状							
俺は、ほかの材料を集めてくる。だからその間に、アントリオン狩りをお願いしたいんだ。なぁに、君ほどの腕なら難なく倒せるはずさ。			俺は、ほかの材料を集めてくる。だからその間に、アントリオン狩りをお願いしたいんだ。なぁに、君ほどの腕なら難なく倒せるはずさ。			野戦病院の実状							
ただし、消毒液に使える良質の分泌液を得るには、地中に隠れ潜んでいる個体を狙う必要があってね……。そこで役立つ、コレを持っていってくれ。			ただし、消毒液に使える良質の分泌液を得るには、地中に隠れ潜んでいる個体を狙う必要があってね……。そこで役立つ、コレを持っていってくれ。			野戦病院の実状							
ヤツらの好物、蟻を砕いた「乾いた粉末」さ。そいつを連中の縄張りで撒いて、姿を現した個体を倒せば、「アントリオンの分泌液」が入手できるだろう。			ヤツらの好物、蟻を砕いた「乾いた粉末」さ。そいつを連中の縄張りで撒いて、姿を現した個体を倒せば、「アントリオンの分泌液」が入手できるだろう。			野戦病院の実状							
ヤツらは、ギラバニア辺境地帯の、「ヴィルジャラの涸れ谷」辺りを縄張りにしている。手間をかけさせて悪いが、よろしくな！			ヤツらは、ギラバニア辺境地帯の、「ヴィルジャラの涸れ谷」辺りを縄張りにしている。手間をかけさせて悪いが、よろしくな！			野戦病院の実状							
「乾いた粉末」を地面に撒くと、アントリオン・アンブッシャーが姿を現すはずだ。そいつを倒して、「アントリオンの分泌液」を手に入れてきてほしい。			「乾いた粉末」を地面に撒くと、アントリオン・アンブッシャーが姿を現すはずだ。そいつを倒して、「アントリオンの分泌液」を手に入れてきてほしい。			野戦病院の実状							
「アントリオンの分泌液」は、採取できたか？			「アントリオンの分泌液」は、採取できたか？			野戦病院の実状							
うん、量といい質といいバッチリだ！これで、しばらくの間は、消毒液不足にならずに済みそうだよ。			うん、量といい質といいバッチリだ！これで、しばらくの間は、消毒液不足にならずに済みそうだよ。			野戦病院の実状							
小さな傷でも、放っておけば大きな病に繋がる。野戦病院は、人員も物資も不足していて、大変だからな……俺たちも、できる限りの協力をしてやりたいのさ。			小さな傷でも、放っておけば大きな病に繋がる。野戦病院は、人員も物資も不足していて、大変だからな……俺たちも、できる限りの協力をしてやりたいのさ。			野戦病院の実状							
ラールガーズリーチのアナンタ族の闘士は、届けたい物があるようだ。			ラールガーズリーチのアナンタ族の闘士は、届けたい物があるようだ。			戦友の形見							
アラガーナ付近のアナンタ族の闘士と話す			アラガーナ付近のアナンタ族の闘士と話す			戦友の形見							
石工の男を探す			石工の男を探す			戦友の形見							
アナンタ族の闘士と話す			アナンタ族の闘士と話す			戦友の形見							
石工のハンマーを探す			石工のハンマーを探す			戦友の形見							
石工の男に石工のハンマーを渡す			石工の男に石工のハンマーを渡す			戦友の形見							
シュー……忙しい中すまないが、ひとつ頼みを聞いてはくれないだろうか？			シュー……忙しい中すまないが、ひとつ頼みを聞いてはくれないだろうか？			戦友の形見							
我の友人であったヒトが、戦死してしまってな。遺品である「石のブレスレット」を故郷に届けてやりたいのだ。			我の友人であったヒトが、戦死してしまってな。遺品である「石のブレスレット」を故郷に届けてやりたいのだ。			戦友の形見							
アラガーナという集落の出身だと聞いていたのだが、アナンタ族である我が、いきなり村を訪れては、騒ぎになってしまうやもしれぬ……。			アラガーナという集落の出身だと聞いていたのだが、アナンタ族である我が、いきなり村を訪れては、騒ぎになってしまうやもしれぬ……。			戦友の形見							
そこで、村の者に警戒されぬよう、お前に同行を頼みたいのだ。さぁ、「アラガーナ」に向かうとしよう。			そこで、村の者に警戒されぬよう、お前に同行を頼みたいのだ。さぁ、「アラガーナ」に向かうとしよう。			戦友の形見							
シュー……お前の到着を待っていたぞ。亡くなった友人の父親は、石工をしているそうでな。確か釣り好きだったとも言っていたはずだ。			シュー……お前の到着を待っていたぞ。亡くなった友人の父親は、石工をしているそうでな。確か釣り好きだったとも言っていたはずだ。			戦友の形見							
騒ぎにならぬよう、我はここで待つとする。彼の父親を探しだし、ここまで連れてきてくれないだろうか？			騒ぎにならぬよう、我はここで待つとする。彼の父親を探しだし、ここまで連れてきてくれないだろうか？			戦友の形見							
騒ぎにならぬよう、我はここで待つとする。彼の父親を探しだし、ここまで連れてきてくれないだろうか？			騒ぎにならぬよう、我はここで待つとする。彼の父親を探しだし、ここまで連れてきてくれないだろうか？			戦友の形見							
