カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
黒渦団の兵卒と合流する			黒渦団の兵卒と合流する			軋む歯車							
黒渦団の兵卒と話す			黒渦団の兵卒と話す			軋む歯車							
カストルム・オリエンスの黒渦団の兵卒と話す			カストルム・オリエンスの黒渦団の兵卒と話す			軋む歯車							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿ですね。逃亡した帝国兵の追撃任務に、どうかご協力いただきたい。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿ですね。逃亡した帝国兵の追撃任務に、どうかご協力いただきたい。			軋む歯車							
バエサルの長城での戦いで捕らえた、帝国兵の捕虜3名が、衛兵交代の隙を突いて、監房から脱走してしまったのです。幸いにも、捜索隊が早期に発見したため、逃亡先は判明しております。			バエサルの長城での戦いで捕らえた、帝国兵の捕虜3名が、衛兵交代の隙を突いて、監房から脱走してしまったのです。幸いにも、捜索隊が早期に発見したため、逃亡先は判明しております。			軋む歯車							
まだ、こちらの存在には気づかれていないため、急げば奇襲をかけられるかもしれません。			まだ、こちらの存在には気づかれていないため、急げば奇襲をかけられるかもしれません。			軋む歯車							
しかし、敵は少数ながらも、かなりの手練れとのこと。現在、私以外に動ける兵がいないため、歴戦の冒険者に、協力をお願いしたいのです。			しかし、敵は少数ながらも、かなりの手練れとのこと。現在、私以外に動ける兵がいないため、歴戦の冒険者に、協力をお願いしたいのです。			軋む歯車							
脱走兵は、ベロジナ川の北西にある洞窟に潜伏しています。どうか共に来て、力をお貸しください。			脱走兵は、ベロジナ川の北西にある洞窟に潜伏しています。どうか共に来て、力をお貸しください。			軋む歯車							
……すみません、助かりました。			……すみません、助かりました。			軋む歯車							
偵察兵からの連絡では、気づかれていないとのことでしたが、完全に、待ち伏せされていたようです。			偵察兵からの連絡では、気づかれていないとのことでしたが、完全に、待ち伏せされていたようです。			軋む歯車							
元はといえば、脱走を許したのも、衛兵交代時の不手際によるもの……。どうも他国の組織との連携が上手くいっていないようです。			元はといえば、脱走を許したのも、衛兵交代時の不手際によるもの……。どうも他国の組織との連携が上手くいっていないようです。			軋む歯車							
いえ……助けていただいた、冒険者殿にする話ではありませんね。ひとまず、「カストルム・オリエンス」に戻りましょう。			いえ……助けていただいた、冒険者殿にする話ではありませんね。ひとまず、「カストルム・オリエンス」に戻りましょう。			軋む歯車							
お待ちしていました、冒険者殿。先に戻っていた双蛇党の偵察兵に、連絡の不備を問い詰めたところ、追跡が露見したため、後退していたとのことでした……。			お待ちしていました、冒険者殿。先に戻っていた双蛇党の偵察兵に、連絡の不備を問い詰めたところ、追跡が露見したため、後退していたとのことでした……。			軋む歯車							
そして、敵に気づかれたことを知らせる印を、洞窟の手前に何カ所も残していた、とも言われました……。双蛇党で使われる符牒らしいのですが、初めて知りましたよ。			そして、敵に気づかれたことを知らせる印を、洞窟の手前に何カ所も残していた、とも言われました……。双蛇党で使われる符牒らしいのですが、初めて知りましたよ。			軋む歯車							
我々同盟軍は、多国籍の軍勢によって構成されています。指揮系統も、それぞれ独立していますし、組織の慣習も違います。知っていて当然、という考え方は危険ですね。			我々同盟軍は、多国籍の軍勢によって構成されています。指揮系統も、それぞれ独立していますし、組織の慣習も違います。知っていて当然、という考え方は危険ですね。			軋む歯車							
あなたの活躍で、最悪の状況は免れたものの、友軍同士の意思疎通は、今後の課題になるでしょう。すぐにでも、上に掛け合ってみます。			あなたの活躍で、最悪の状況は免れたものの、友軍同士の意思疎通は、今後の課題になるでしょう。すぐにでも、上に掛け合ってみます。			軋む歯車							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿。本当に、ありがとうございました。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿。本当に、ありがとうございました。			軋む歯車							
カストルム・オリエンスのスウェスリク大牙将は、実績のある冒険者を探しているようだ。			カストルム・オリエンスのスウェスリク大牙将は、実績のある冒険者を探しているようだ。			巨大モルボルを追え							
不滅隊の兵卒と話す			不滅隊の兵卒と話す			巨大モルボルを追え							
双蛇党の兵卒と話す			双蛇党の兵卒と話す			巨大モルボルを追え							
指定地点で見渡す			指定地点で見渡す			巨大モルボルを追え							
グレイテスト・モルボルを討伐			グレイテスト・モルボルを討伐			巨大モルボルを追え							
スウェスリク大牙将と話す			スウェスリク大牙将と話す			巨大モルボルを追え							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameだな。実績のある冒険者にしか頼めない任務があるのだが、聞いてもらえるか？			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameだな。実績のある冒険者にしか頼めない任務があるのだが、聞いてもらえるか？			巨大モルボルを追え							
先ほど、魔物討伐作戦中の隊から、援軍要請があってな。凶悪なグレイテスト・モルボルに、苦戦が続いているようだ。			先ほど、魔物討伐作戦中の隊から、援軍要請があってな。凶悪なグレイテスト・モルボルに、苦戦が続いているようだ。			巨大モルボルを追え							
弱兵では、事態を悪化させるだけだろう。魔物狩りの経験が豊かな、冒険者たる貴官に任せたい。早急に、援護に向かってもらえないだろうか。			弱兵では、事態を悪化させるだけだろう。魔物狩りの経験が豊かな、冒険者たる貴官に任せたい。早急に、援護に向かってもらえないだろうか。			巨大モルボルを追え							
負傷兵の受け入れや、幻術士の手配はこちらでやる。まずは、最後に連絡のあった南東の橋に向かい、「不滅隊の兵卒」から話を聞いてくれ。			負傷兵の受け入れや、幻術士の手配はこちらでやる。まずは、最後に連絡のあった南東の橋に向かい、「不滅隊の兵卒」から話を聞いてくれ。			巨大モルボルを追え							
負傷兵の受け入れや、幻術士の手配はこちらでやる。まずは、最後に連絡のあった南東の橋に向かい、「不滅隊の兵卒」から話を聞いてくれ。			負傷兵の受け入れや、幻術士の手配はこちらでやる。まずは、最後に連絡のあった南東の橋に向かい、「不滅隊の兵卒」から話を聞いてくれ。			巨大モルボルを追え							
アンタ……冒険者か？あの化け物は……俺たちの歯が立つ相手じゃない。それなのに、負傷した俺を助けるために、アイツら……。			アンタ……冒険者か？あの化け物は……俺たちの歯が立つ相手じゃない。それなのに、負傷した俺を助けるために、アイツら……。			巨大モルボルを追え							
頼む！グレイテスト・モルボルを追撃している、「双蛇党の兵卒」を追いかけ、手を貸してやってくれ！			頼む！グレイテスト・モルボルを追撃している、「双蛇党の兵卒」を追いかけ、手を貸してやってくれ！			巨大モルボルを追え							
頼む！グレイテスト・モルボルを追撃している、「双蛇党の兵卒」を追いかけ、手を貸してやってくれ！			頼む！グレイテスト・モルボルを追撃している、「双蛇党の兵卒」を追いかけ、手を貸してやってくれ！			巨大モルボルを追え							
……君は、冒険者か？スウェスリク大牙将が、援軍を送ってくれたんだな。悔しいが、負傷した俺たちじゃ、あの化け物には勝てないだろう。			……君は、冒険者か？スウェスリク大牙将が、援軍を送ってくれたんだな。悔しいが、負傷した俺たちじゃ、あの化け物には勝てないだろう。			巨大モルボルを追え							
まずは、このリンクパールを受け取ってくれ。高台の上から見張っている、ドドグン闘軍曹と繋がっている。うまく連携できれば、きっと奴を倒せるはずだ。			まずは、このリンクパールを受け取ってくれ。高台の上から見張っている、ドドグン闘軍曹と繋がっている。うまく連携できれば、きっと奴を倒せるはずだ。			巨大モルボルを追え							
……負傷者がいては、足手まといになるだけだ。俺たちは、ここで応急手当を行ってから自力で帰還する。どうか貴方は、魔物の討伐に専念してくれ。			……負傷者がいては、足手まといになるだけだ。俺たちは、ここで応急手当を行ってから自力で帰還する。どうか貴方は、魔物の討伐に専念してくれ。			巨大モルボルを追え							
(-ドドグン闘軍曹の声-)あれ？　キミみたいな人、隊にいたっけ？あ、冒険者部隊の人か……うん、見えてるよ。視力には、自信があるんだ。			(-ドドグン闘軍曹の声-)あれ？　キミみたいな人、隊にいたっけ？あ、冒険者部隊の人か……うん、見えてるよ。視力には、自信があるんだ。			巨大モルボルを追え							
(-ドドグン闘軍曹の声-)それじゃ、魔物退治といこうか。あいつがいそうな場所の、検討はついてる。何カ所か候補を教えるから、そこで「見渡して」もらえるかな。			(-ドドグン闘軍曹の声-)それじゃ、魔物退治といこうか。あいつがいそうな場所の、検討はついてる。何カ所か候補を教えるから、そこで「見渡して」もらえるかな。			巨大モルボルを追え							
……負傷者がいては、足手まといになるだけだ。俺たちは、ここで応急手当を行ってから自力で帰還する。どうか貴方は、魔物の討伐に専念してくれ。			……負傷者がいては、足手まといになるだけだ。俺たちは、ここで応急手当を行ってから自力で帰還する。どうか貴方は、魔物の討伐に専念してくれ。			巨大モルボルを追え							
(-ドドグン闘軍曹の声-)目標は、目の前にいるよ。追跡の仕方は我流？こんなに早くたどり着くなんて、なかなかやるね。			(-ドドグン闘軍曹の声-)目標は、目の前にいるよ。追跡の仕方は我流？こんなに早くたどり着くなんて、なかなかやるね。			巨大モルボルを追え							
(-ドドグン闘軍曹の声-)とにかく、僕の仕事はこれで終わった。「グレイテスト・モルボル」を倒すのは、君に任せるよ。終わったら、「スウェスリク大牙将」への報告をよろしく。			(-ドドグン闘軍曹の声-)とにかく、僕の仕事はこれで終わった。「グレイテスト・モルボル」を倒すのは、君に任せるよ。終わったら、「スウェスリク大牙将」への報告をよろしく。			巨大モルボルを追え							
(-ドドグン闘軍曹の声-)さっきまでそこにいたはずなんだけど、移動しちゃったかな。			(-ドドグン闘軍曹の声-)さっきまでそこにいたはずなんだけど、移動しちゃったかな。			巨大モルボルを追え							
(-ドドグン闘軍曹の声-)待って、そこから「東」にいる！			(-ドドグン闘軍曹の声-)待って、そこから「東」にいる！			巨大モルボルを追え							
(-ドドグン闘軍曹の声-)待って、そこから「北」にいる！			(-ドドグン闘軍曹の声-)待って、そこから「北」にいる！			巨大モルボルを追え							
「グレイテスト・モルボル」は、ここにはいないよ。さあ、早く僕が指示した場所に向かうんだ。			「グレイテスト・モルボル」は、ここにはいないよ。さあ、早く僕が指示した場所に向かうんだ。			巨大モルボルを追え							
無事、グレイテスト・モルボルを倒せたみたいだね。それじゃ、「スウェスリク大牙将」への報告も頼むよ。			無事、グレイテスト・モルボルを倒せたみたいだね。それじゃ、「スウェスリク大牙将」への報告も頼むよ。			巨大モルボルを追え							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			巨大モルボルを追え							
よくやってくれた。ドドグン闘軍曹から、すでに報告は受けている。君のおかげで戦死者はなく、負傷兵もすべて帰還した。			よくやってくれた。ドドグン闘軍曹から、すでに報告は受けている。君のおかげで戦死者はなく、負傷兵もすべて帰還した。			巨大モルボルを追え							
