アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
温厚なキキルン族と話す			温厚なキキルン族と話す			弱き者の底意地							
重厚な扉まで温厚なキキルン族を護衛			重厚な扉まで温厚なキキルン族を護衛			弱き者の底意地							
スペキュラ・インペラトリスの温厚なキキルン族と話す			スペキュラ・インペラトリスの温厚なキキルン族と話す			弱き者の底意地							
指定地点にタンジーの煮汁を使う			指定地点にタンジーの煮汁を使う			弱き者の底意地							
温厚なキキルン族と話す			温厚なキキルン族と話す			弱き者の底意地							
アラガーナの温厚なキキルン族と話す			アラガーナの温厚なキキルン族と話す			弱き者の底意地							
うるうる、キキルン、悲しいっちゃ。だれも、お願い、聞いてくれないっちゃ……。みんな、わるわるキキルンと間違えてるっちゃ！			うるうる、キキルン、悲しいっちゃ。だれも、お願い、聞いてくれないっちゃ……。みんな、わるわるキキルンと間違えてるっちゃ！			弱き者の底意地							
冒険者ちゃん、お願い、聞く聞くっちゃ？うきうき、キキルン、嬉しいっちゃ。			冒険者ちゃん、お願い、聞く聞くっちゃ？うきうき、キキルン、嬉しいっちゃ。			弱き者の底意地							
キキルン、行きたいところ、あるあるっちゃ。だけど、お外、わるわるキキルン、いっぱいっちゃ。冒険者ちゃん、キキルン、まもってほしいっちゃ！			キキルン、行きたいところ、あるあるっちゃ。だけど、お外、わるわるキキルン、いっぱいっちゃ。冒険者ちゃん、キキルン、まもってほしいっちゃ！			弱き者の底意地							
とてとて、さっそく、出発っちゃ！			とてとて、さっそく、出発っちゃ！			弱き者の底意地							
あれあれ、「スペキュラ・インペラトリス」っちゃ。キキルン、中に入りたいっちゃ！冒険者ちゃん、入口まで、まもって、よろしくっちゃ！			あれあれ、「スペキュラ・インペラトリス」っちゃ。キキルン、中に入りたいっちゃ！冒険者ちゃん、入口まで、まもって、よろしくっちゃ！			弱き者の底意地							
あれあれ、「スペキュラ・インペラトリス」っちゃ。キキルン、中に入りたいっちゃ！冒険者ちゃん、入口まで、まもって、よろしくっちゃ！			あれあれ、「スペキュラ・インペラトリス」っちゃ。キキルン、中に入りたいっちゃ！冒険者ちゃん、入口まで、まもって、よろしくっちゃ！			弱き者の底意地							
しゅっぱつっちゃ！			しゅっぱつっちゃ！			弱き者の底意地							
だめだめっちゃ…			だめだめっちゃ…			弱き者の底意地							
温厚なキキルン族とはぐれてしまったため、扉を開けません。護衛の出発点に戻った温厚なキキルン族に話しかけてもう一度、この場所まで護衛してください。			温厚なキキルン族とはぐれてしまったため、扉を開けません。護衛の出発点に戻った温厚なキキルン族に話しかけてもう一度、この場所まで護衛してください。			弱き者の底意地							
温厚なキキルン族がまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			温厚なキキルン族がまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			弱き者の底意地							
(-温厚なキキルン族-)とーちゃくっちゃ！キキルン、中できらきら、探すっちゃ。戻るまでに、もうひとつお願い、あるあるっちゃ。			(-温厚なキキルン族-)とーちゃくっちゃ！キキルン、中できらきら、探すっちゃ。戻るまでに、もうひとつお願い、あるあるっちゃ。			弱き者の底意地							
お願い、聞いてくれて、ありがとーっちゃ！わるわるキキルン、じゃまじゃまっちゃ！だから、これこれ、じゃぱじゃぱ、ふりまくっちゃ。			お願い、聞いてくれて、ありがとーっちゃ！わるわるキキルン、じゃまじゃまっちゃ！だから、これこれ、じゃぱじゃぱ、ふりまくっちゃ。			弱き者の底意地							
この臭い、キキルン、だめだめっちゃ。これで、わるわるキキルン、近づけないっちゃ！終わったら、ここで、待っててっちゃ！			この臭い、キキルン、だめだめっちゃ。これで、わるわるキキルン、近づけないっちゃ！終わったら、ここで、待っててっちゃ！			弱き者の底意地							
きらきら、ぶじに、見つけたっちゃ。さっさと、お里まで、ずらかるっちゃ！			きらきら、ぶじに、見つけたっちゃ。さっさと、お里まで、ずらかるっちゃ！			弱き者の底意地							
冒険者ちゃん、ありがとうっちゃ。取り戻したきらきら、もともと、キキルン族のっちゃ。わるわるキキルン、盗り盗り、帝国に渡したっちゃ。			冒険者ちゃん、ありがとうっちゃ。取り戻したきらきら、もともと、キキルン族のっちゃ。わるわるキキルン、盗り盗り、帝国に渡したっちゃ。			弱き者の底意地							
帝国に、ぽかぽか、されないためっちゃ。だから、キキルン族から、盗る盗るっちゃ！わるわるキキルン、ずるいっちゃ、許せないっちゃ！！			帝国に、ぽかぽか、されないためっちゃ。だから、キキルン族から、盗る盗るっちゃ！わるわるキキルン、ずるいっちゃ、許せないっちゃ！！			弱き者の底意地							
冒険者ちゃん、おかげで、きらきら、取り戻せたっちゃ。お礼に、これこれ、あげるっちゃ！			冒険者ちゃん、おかげで、きらきら、取り戻せたっちゃ。お礼に、これこれ、あげるっちゃ！			弱き者の底意地							
アラガーナのゲルベルトは、壊神ラールガー像の状態が気になるようだ。			アラガーナのゲルベルトは、壊神ラールガー像の状態が気になるようだ。			宗教弾圧							
指定地点で見渡す			指定地点で見渡す			宗教弾圧							
ゲルベルトに報告			ゲルベルトに報告			宗教弾圧							
ああ、アンタか。この前は、ネズミ退治をありがとう。おかげで、息子の墓参りに行けるようになったよ。			ああ、アンタか。この前は、ネズミ退治をありがとう。おかげで、息子の墓参りに行けるようになったよ。			宗教弾圧							
ところで、信頼できるアンタに頼みたいことがあるんだが……すまんが、聞いてくれんか？			ところで、信頼できるアンタに頼みたいことがあるんだが……すまんが、聞いてくれんか？			宗教弾圧							
かつて山岳地帯には、壊神ラールガー像がいくつもあったんだ。だが、20年前に侵攻してきた帝国軍は、壊神信仰を弾圧し、そのすべてを破壊するように命じてな……。			かつて山岳地帯には、壊神ラールガー像がいくつもあったんだ。だが、20年前に侵攻してきた帝国軍は、壊神信仰を弾圧し、そのすべてを破壊するように命じてな……。			宗教弾圧							
運よく、2体の像は破壊を逃れたという噂もあるが、そこに至る陸橋も崩され、長らく状態が確認できずにいる。どうか、俺の代わりに確認してきてくれないか？			運よく、2体の像は破壊を逃れたという噂もあるが、そこに至る陸橋も崩され、長らく状態が確認できずにいる。どうか、俺の代わりに確認してきてくれないか？			宗教弾圧							
地図に「壊神ラールガー像」があるはずの場所に印をつけた。どちらも高所で、たどりつくには工夫が必要だろうが、よろしく頼んだぞ。			地図に「壊神ラールガー像」があるはずの場所に印をつけた。どちらも高所で、たどりつくには工夫が必要だろうが、よろしく頼んだぞ。			宗教弾圧							
地図に「壊神ラールガー像」があるはずの場所に印をつけた。どちらも高所で、たどりつくには工夫が必要だろうが、よろしく頼んだぞ。			地図に「壊神ラールガー像」があるはずの場所に印をつけた。どちらも高所で、たどりつくには工夫が必要だろうが、よろしく頼んだぞ。			宗教弾圧							
壊神ラールガー像は、酷く損傷している……。			壊神ラールガー像は、酷く損傷している……。			宗教弾圧							
壊神ラールガー像は、無残な姿をさらしている……。			壊神ラールガー像は、無残な姿をさらしている……。			宗教弾圧							
壊神ラールガー像の様子は、どうだった？			壊神ラールガー像の様子は、どうだった？			宗教弾圧							
嗚呼、なんてことだ……。希望だった2体までも、無残な姿になりはてていたとは……。			嗚呼、なんてことだ……。希望だった2体までも、無残な姿になりはてていたとは……。			宗教弾圧							
かつては、星導教の信徒や修行僧たちが、各地に立つ異なる表情の壊神ラールガー像を巡り、心身を鍛えていたというのに……。			かつては、星導教の信徒や修行僧たちが、各地に立つ異なる表情の壊神ラールガー像を巡り、心身を鍛えていたというのに……。			宗教弾圧							
どんなに時間がかかろうとも、みんなで力を合わせて、再建していかなければ……。そうすれば、また昔のような光景が戻ってくるだろうから。			どんなに時間がかかろうとも、みんなで力を合わせて、再建していかなければ……。そうすれば、また昔のような光景が戻ってくるだろうから。			宗教弾圧							
難儀な頼みごとをかなえてくれて、ありがとう。アンタには、本当に世話になった。礼として、これを受け取ってくれ。			難儀な頼みごとをかなえてくれて、ありがとう。アンタには、本当に世話になった。礼として、これを受け取ってくれ。			宗教弾圧							
アラガーナのアラガーナ出身の男は、煙玉を改良したようだ。			アラガーナのアラガーナ出身の男は、煙玉を改良したようだ。			時を超えた和解							
手製の薬玉を畑の畝に当てる			手製の薬玉を畑の畝に当てる			時を超えた和解							
アラガーナ出身の男に報告			アラガーナ出身の男に報告			時を超えた和解							
ラールガーズリーチのギローに護身の煙幕玉を渡す			ラールガーズリーチのギローに護身の煙幕玉を渡す			時を超えた和解							
この前は、虫を追い払ってくれて、ありがとう。あれから煙玉に手を加えて、新作を作ってみたんだ。よかったら、試しに使ってみないか？			この前は、虫を追い払ってくれて、ありがとう。あれから煙玉に手を加えて、新作を作ってみたんだ。よかったら、試しに使ってみないか？			時を超えた和解							
今回は、錬金薬を散布する仕組みになっていてな。煙は、一時的にしか虫を追い払うことしかできんが、錬金薬なら、長時間の効果が期待できるだろ？			今回は、錬金薬を散布する仕組みになっていてな。煙は、一時的にしか虫を追い払うことしかできんが、錬金薬なら、長時間の効果が期待できるだろ？			時を超えた和解							
うまく行けば、金になるし、虫害に困っている人々の助けにもなるだろう。実際、バイロンズブレッドの人々も協力的だ。			うまく行けば、金になるし、虫害に困っている人々の助けにもなるだろう。実際、バイロンズブレッドの人々も協力的だ。			時を超えた和解							
さあ、この「手製の薬玉」を、バイロンズブレッドの畑で使ってくれ。錬金薬は拡散するから、うまく狙えば少ない手数で終わるだろうさ。頼んだよ。			さあ、この「手製の薬玉」を、バイロンズブレッドの畑で使ってくれ。錬金薬は拡散するから、うまく狙えば少ない手数で終わるだろうさ。頼んだよ。			時を超えた和解							
この「手製の薬玉」を、バイロンズブレッドの畑で使ってくれ。薬は拡散するから、うまく狙えば少ない手数で終わるだろうさ。頼んだよ。			この「手製の薬玉」を、バイロンズブレッドの畑で使ってくれ。薬は拡散するから、うまく狙えば少ない手数で終わるだろうさ。頼んだよ。			時を超えた和解							
いい出来だっただろう？これならば、年寄りが多いところでも、簡単に錬金薬を畑に散布し、虫害を防ぐことができる。			いい出来だっただろう？これならば、年寄りが多いところでも、簡単に錬金薬を畑に散布し、虫害を防ぐことができる。			時を超えた和解							
そういや、きみは、解放軍の関係者なのか？噂で、きみそっくりな人の話を聞いて、気になったんだ。			そういや、きみは、解放軍の関係者なのか？噂で、きみそっくりな人の話を聞いて、気になったんだ。			時を超えた和解							
やはり、そうだったか。なら、もうひとつ、頼みたいことがある。			やはり、そうだったか。なら、もうひとつ、頼みたいことがある。			時を超えた和解							
解放軍の拠点に戻ったときに「ギロー」って男がいたら、この「護身の煙幕玉」を渡してくれないか？			解放軍の拠点に戻ったときに「ギロー」って男がいたら、この「護身の煙幕玉」を渡してくれないか？			時を超えた和解							
うちの馬鹿息子なんだが、どうやら家を飛び出した後、解放軍に所属したみたいなんだ。私が顔を出すと嫌がると思うから、きみが届けてくれ。			うちの馬鹿息子なんだが、どうやら家を飛び出した後、解放軍に所属したみたいなんだ。私が顔を出すと嫌がると思うから、きみが届けてくれ。			時を超えた和解							
解放軍の拠点に「ギロー」って男がいたら、この「護身の煙幕玉」を渡してくれ。家を飛び出した息子だが、私が顔を出すと嫌がるだろうから。			解放軍の拠点に「ギロー」って男がいたら、この「護身の煙幕玉」を渡してくれ。家を飛び出した息子だが、私が顔を出すと嫌がるだろうから。			時を超えた和解							
英雄殿じゃないか。俺に、なにか用でもあるのか？			英雄殿じゃないか。俺に、なにか用でもあるのか？			時を超えた和解							
