ポルタ・プレトリアのベサは、冒険者に頼みたいことがあるようだ。			ポルタ・プレトリアのベサは、冒険者に頼みたいことがあるようだ。			死霊を鎮める方法							
スペクターを討伐			スペクターを討伐			死霊を鎮める方法							
ベサに報告			ベサに報告			死霊を鎮める方法							
ああ、冒険者様。皆の魂を救うため、ご協力いただけないでしょうか？			ああ、冒険者様。皆の魂を救うため、ご協力いただけないでしょうか？			死霊を鎮める方法							
……し、失礼いたしました。いきなりこんなことを言われても、困りますよね。私は、ベサと申します。			……し、失礼いたしました。いきなりこんなことを言われても、困りますよね。私は、ベサと申します。			死霊を鎮める方法							
帝国は、この地を支配するにあたって、蛮神を怖れるあまり、宗教行事を厳しく取り締まっていました。何の害もない、慰霊の儀式すら執り行うことが禁じられたほど……。			帝国は、この地を支配するにあたって、蛮神を怖れるあまり、宗教行事を厳しく取り締まっていました。何の害もない、慰霊の儀式すら執り行うことが禁じられたほど……。			死霊を鎮める方法							
ゆえに、ギラバニア湖畔地帯には、正しく見送られなかった死者の魂が、死霊と化し彷徨っているのです。鎮める方法はただ一つ、彼らを倒し、浄化させてあげること。			ゆえに、ギラバニア湖畔地帯には、正しく見送られなかった死者の魂が、死霊と化し彷徨っているのです。鎮める方法はただ一つ、彼らを倒し、浄化させてあげること。			死霊を鎮める方法							
私も、余暇をつかって活動を続けておりますが、数は増えるばかりで、独力ではとても追いつきません。冒険者様には、そのご協力をお願いしたいのです。			私も、余暇をつかって活動を続けておりますが、数は増えるばかりで、独力ではとても追いつきません。冒険者様には、そのご協力をお願いしたいのです。			死霊を鎮める方法							
迷える魂である「スペクター」は、北東の墓所を彷徨っています。どうか……彼らをお救いください。			迷える魂である「スペクター」は、北東の墓所を彷徨っています。どうか……彼らをお救いください。			死霊を鎮める方法							
迷える魂である「スペクター」は、北東の墓所を彷徨っています。どうか……彼らをお救いください。			迷える魂である「スペクター」は、北東の墓所を彷徨っています。どうか……彼らをお救いください。			死霊を鎮める方法							
冒険者様……ありがとうございました。			冒険者様……ありがとうございました。			死霊を鎮める方法							
私の父は、この地が帝国軍に支配されていたとき、彼らに逆らって殺されたのです。			私の父は、この地が帝国軍に支配されていたとき、彼らに逆らって殺されたのです。			死霊を鎮める方法							
墓を建てることは許されたのですが、星導教の教えに従って、父の魂を弔うことはできませんでした。			墓を建てることは許されたのですが、星導教の教えに従って、父の魂を弔うことはできませんでした。			死霊を鎮める方法							
その後、父の墓の近くで、スペクターの姿を見た、という噂を聞きました。			その後、父の墓の近くで、スペクターの姿を見た、という噂を聞きました。			死霊を鎮める方法							
あのとき、帝国に逆らってでも、きちんと弔うべきだったんです。ですが私は、死を恐れるあまり、何もできませんでした。そんな自分が、どうしても許せなくて……。			あのとき、帝国に逆らってでも、きちんと弔うべきだったんです。ですが私は、死を恐れるあまり、何もできませんでした。そんな自分が、どうしても許せなくて……。			死霊を鎮める方法							
それから私は、スペクターを鎮める活動を続けているのです。冒険者様、ご協力いただき、ありがとうございました。			それから私は、スペクターを鎮める活動を続けているのです。冒険者様、ご協力いただき、ありがとうございました。			死霊を鎮める方法							
ポルタ・プレトリアのムニフリッドは、戦闘経験の豊富な冒険者に任務を頼みたいようだ。			ポルタ・プレトリアのムニフリッドは、戦闘経験の豊富な冒険者に任務を頼みたいようだ。			想定外の敵							
ネストリング・ズーを討伐			ネストリング・ズーを討伐			想定外の敵							
ムニフリッドに報告			ムニフリッドに報告			想定外の敵							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿。あなたは、戦闘経験が豊富な冒険者であると、伺っております。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿。あなたは、戦闘経験が豊富な冒険者であると、伺っております。			想定外の敵							
私の任務は、ポルタ・プレトリア周辺の巡回なのですが、ネストリング・ズーが巡回路に棲み着いているのです。避ければ監視の穴となり、帝国につけいる隙を与えかねません。			私の任務は、ポルタ・プレトリア周辺の巡回なのですが、ネストリング・ズーが巡回路に棲み着いているのです。避ければ監視の穴となり、帝国につけいる隙を与えかねません。			想定外の敵							
軍隊相手の戦いなら、後れを取るつもりはありません。しかし、狭い谷間を自由に飛びまわる、魔物が相手では、対人を想定した戦い方など、ほとんど役には立ちませんでした。			軍隊相手の戦いなら、後れを取るつもりはありません。しかし、狭い谷間を自由に飛びまわる、魔物が相手では、対人を想定した戦い方など、ほとんど役には立ちませんでした。			想定外の敵							
