スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
クレナイはヒスイの容態を見たいという。スイの里の「クレナイ」と話そう。			クレナイはヒスイの容態を見たいという。スイの里の「クレナイ」と話そう。			ヒスイとクレナイ							
インバンが目覚めの霊薬を手に現れ、ヒスイはついに目覚めた。生きて再会できたことを喜びあい、冒険者に感謝するふたり。しかし同時にそれは、クレナイが外界と断絶した宮中へと戻ることをも意味していた。スイの里の「クレナイ」と再度話そう。			インバンが目覚めの霊薬を手に現れ、ヒスイはついに目覚めた。生きて再会できたことを喜びあい、冒険者に感謝するふたり。しかし同時にそれは、クレナイが外界と断絶した宮中へと戻ることをも意味していた。スイの里の「クレナイ」と再度話そう。			ヒスイとクレナイ							
クレナイと話した。シオサイのはからいにより、クレナイはヒスイと入れ替わって、お忍びでの外出が許されることになった。一見、区別のつかないほど似ているふたりならば、誰にも気づかれることなく、宮中と里を行き来することができるに違いない。			クレナイと話した。シオサイのはからいにより、クレナイはヒスイと入れ替わって、お忍びでの外出が許されることになった。一見、区別のつかないほど似ているふたりならば、誰にも気づかれることなく、宮中と里を行き来することができるに違いない。			ヒスイとクレナイ							
クレナイと話す			クレナイと話す			ヒスイとクレナイ							
クレナイと再度話す			クレナイと再度話す			ヒスイとクレナイ							
ヒスイが目を覚ますことは、何よりも喜ばしいことです。ただ、そうなれば、姫様は紫水宮にこもり、決められた儀式を続ける日々に戻ることになります。			ヒスイが目を覚ますことは、何よりも喜ばしいことです。ただ、そうなれば、姫様は紫水宮にこもり、決められた儀式を続ける日々に戻ることになります。			ヒスイとクレナイ							
ヒスイの目を覚ますめどがつき、楽しげな姫様を見ていると、宮中に戻っていただくことが、いささか心苦しくもあります……。			ヒスイの目を覚ますめどがつき、楽しげな姫様を見ていると、宮中に戻っていただくことが、いささか心苦しくもあります……。			ヒスイとクレナイ							
碧のタマミズのインバン様は、まだ、いらっしゃいません。何しろ、ヒスイの目を覚ますための大切な霊薬……。焦らず完成を待ちましょう。			碧のタマミズのインバン様は、まだ、いらっしゃいません。何しろ、ヒスイの目を覚ますための大切な霊薬……。焦らず完成を待ちましょう。			ヒスイとクレナイ							
薬のめどはつきましたが、ヒスイの容態も気になります。里に伝わる秘術で、身体が弱るのは止めておりますが……。シオサイに言って、様子を見せてもらいましょう。			薬のめどはつきましたが、ヒスイの容態も気になります。里に伝わる秘術で、身体が弱るのは止めておりますが……。シオサイに言って、様子を見せてもらいましょう。			ヒスイとクレナイ							
ヒスイを閨から運ばせます……しばし、お待ちくださいまし。			ヒスイを閨から運ばせます……しばし、お待ちくださいまし。			ヒスイとクレナイ							
それにしてもヒスイはなぜ、目覚めぬのでしょう？まるで幾年も目を覚まさなかった、御伽草子の姫君のよう……。			それにしてもヒスイはなぜ、目覚めぬのでしょう？まるで幾年も目を覚まさなかった、御伽草子の姫君のよう……。			ヒスイとクレナイ							
わたくしは当初、魂が妖異に追いだされ、身体に戻れぬまま、消えてしまったのではと考えておりましたが……薬で治った例があると伺い、思いをあらためました。			わたくしは当初、魂が妖異に追いだされ、身体に戻れぬまま、消えてしまったのではと考えておりましたが……薬で治った例があると伺い、思いをあらためました。			ヒスイとクレナイ							
