玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
遺品の風景画を頼りに愛しき人の情報を探す			遺品の風景画を頼りに愛しき人の情報を探す			愛しき人へ							
絵に似た女性と話す			絵に似た女性と話す			愛しき人へ							
絵に似た女性と再度話す			絵に似た女性と再度話す			愛しき人へ							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			愛しき人へ							
無惨な死体が、横たわっている……。その手に手帳を握りしめているようだ。			無惨な死体が、横たわっている……。その手に手帳を握りしめているようだ。			愛しき人へ							
血で酷く汚れている手帳だ。死の間際に、何かを書き残したのだろうか……？			血で酷く汚れている手帳だ。死の間際に、何かを書き残したのだろうか……？			愛しき人へ							
(-血で汚れた手帳-)愛しき人へ。帝国の支配下で、生きるためとはいえ、キミを残して故郷を去った僕のことを、恨んでいるかな……？			(-血で汚れた手帳-)愛しき人へ。帝国の支配下で、生きるためとはいえ、キミを残して故郷を去った僕のことを、恨んでいるかな……？			愛しき人へ							
(-血で汚れた手帳-)キミに会えない日々は、心にぽっかりと穴が開いたようだったよ。何度も挫けそうになったけど、キミとの約束を果たすこと、ただそれだけを目標に、今日まで生きてきたんだ。			(-血で汚れた手帳-)キミに会えない日々は、心にぽっかりと穴が開いたようだったよ。何度も挫けそうになったけど、キミとの約束を果たすこと、ただそれだけを目標に、今日まで生きてきたんだ。			愛しき人へ							
(-血で汚れた手帳-)けれど、すまない……約束は守れなさそうだ。どうにか、故郷まで戻ってくることができたというのに、僕の命運も、ここまでみたいだ。			(-血で汚れた手帳-)けれど、すまない……約束は守れなさそうだ。どうにか、故郷まで戻ってくることができたというのに、僕の命運も、ここまでみたいだ。			愛しき人へ							
(-血で汚れた手帳-)キミに会って、直接謝ることもできずに、こんなところで死ぬだなんて……情けない男だよ。キミはまだ、約束の場所で待ってくれているかな……。			(-血で汚れた手帳-)キミに会って、直接謝ることもできずに、こんなところで死ぬだなんて……情けない男だよ。キミはまだ、約束の場所で待ってくれているかな……。			愛しき人へ							
文章はここで終わっており、最後のページには、1枚の絵が挟まれていた。手帳に記されていた「約束の場所」なのだろうか……？			文章はここで終わっており、最後のページには、1枚の絵が挟まれていた。手帳に記されていた「約束の場所」なのだろうか……？			愛しき人へ							
このクエストでは、アイコンが表示されません。「遺品の風景画」を頼りに約束の場所を見つけだし、「愛しき人」の情報を探しましょう。			このクエストでは、アイコンが表示されません。「遺品の風景画」を頼りに約束の場所を見つけだし、「愛しき人」の情報を探しましょう。			愛しき人へ							
私に、何かご用でしょうか？			私に、何かご用でしょうか？			愛しき人へ							
彼女に「遺品の風景画」を見せますか？			彼女に「遺品の風景画」を見せますか？			愛しき人へ							
この絵は、いったい……どこでこれを手に入れたのですか？			この絵は、いったい……どこでこれを手に入れたのですか？			愛しき人へ							
なるほど……亡くなった男性が握っていた手帳に、「愛しき人」への想いが綴られていて、この絵もそこに挟まれていた、と。			なるほど……亡くなった男性が握っていた手帳に、「愛しき人」への想いが綴られていて、この絵もそこに挟まれていた、と。			愛しき人へ							
残念ながら、私は、お探しの女性ではありません。……ですが、彼女の居場所なら知っています。			残念ながら、私は、お探しの女性ではありません。……ですが、彼女の居場所なら知っています。			愛しき人へ							
私に付いてきてください。男性の想い人の下まで、案内いたしましょう。			私に付いてきてください。男性の想い人の下まで、案内いたしましょう。			愛しき人へ							
あなたがお探しの人物……私の姉さんは、この木の下に眠っています。			あなたがお探しの人物……私の姉さんは、この木の下に眠っています。			愛しき人へ							
私たち姉妹は、帝国の侵攻時に両親を失いました。それからというもの、姉さんがずっと、ひとりきりで、幼い私を育ててくれました。			私たち姉妹は、帝国の侵攻時に両親を失いました。それからというもの、姉さんがずっと、ひとりきりで、幼い私を育ててくれました。			愛しき人へ							
年の離れた自分を育てながら、帝国による重税を支払うため、姉は、かなり無理をしていたのだと思います。5年前に過労で倒れ、そのまま……。			年の離れた自分を育てながら、帝国による重税を支払うため、姉は、かなり無理をしていたのだと思います。5年前に過労で倒れ、そのまま……。			愛しき人へ							
……姉さんは亡くなる最後の瞬間まで、恋人だった男性の帰りを待っていました……。ですが結局、再会は叶いませんでした。			……姉さんは亡くなる最後の瞬間まで、恋人だった男性の帰りを待っていました……。ですが結局、再会は叶いませんでした。			愛しき人へ							
生前の姉の話によれば、姉の恋人だった男性は、反帝国活動の先頭に立って、戦っていたようです。つまり、この地に残っていれば、命はなかったということ……。			生前の姉の話によれば、姉の恋人だった男性は、反帝国活動の先頭に立って、戦っていたようです。つまり、この地に残っていれば、命はなかったということ……。			愛しき人へ							
ですが、姉を置いて行ったその方を、私はどうしても許すことができませんでした。			ですが、姉を置いて行ったその方を、私はどうしても許すことができませんでした。			愛しき人へ							
でも、姉は最後まで、愛する人の帰りを信じていた……。だから代わりに、私は時折、「約束の場所」に赴いては、いつか来るかもしれない男性を、待つことにしたのです。			でも、姉は最後まで、愛する人の帰りを信じていた……。だから代わりに、私は時折、「約束の場所」に赴いては、いつか来るかもしれない男性を、待つことにしたのです。			愛しき人へ							
まさか、こんな形で最期を知ることになるとは、思ってはいませんでしたが……。			まさか、こんな形で最期を知ることになるとは、思ってはいませんでしたが……。			愛しき人へ							
わざわざ届けてくださった、お礼をさせていただきたいので、あとで、村にお越しいただけますか？お待ちしておりますね。			わざわざ届けてくださった、お礼をさせていただきたいので、あとで、村にお越しいただけますか？お待ちしておりますね。			愛しき人へ							
村の方と話をして、彼の遺体は、姉さんの眠る木の近くに、埋葬することにいたしました。生前は叶いませんでしたが、きっと天で再会しているはず……。			村の方と話をして、彼の遺体は、姉さんの眠る木の近くに、埋葬することにいたしました。生前は叶いませんでしたが、きっと天で再会しているはず……。			愛しき人へ							
姉のことを忘れないでいてくださったとわかって、長年、心につっかえていたものは溶けました。			姉のことを忘れないでいてくださったとわかって、長年、心につっかえていたものは溶けました。			愛しき人へ							
挟まれていた絵を頼りに、見ず知らずの場所まで、わざわざ足を運んでくださったおかげです。どうもありがとうございました。			挟まれていた絵を頼りに、見ず知らずの場所まで、わざわざ足を運んでくださったおかげです。どうもありがとうございました。			愛しき人へ							
ナマイ村のオチミは、届けものをしてほしいようだ。			ナマイ村のオチミは、届けものをしてほしいようだ。			花見に恋い焦がれて							
小さな苗木の入った袋から小さな苗木を入手			小さな苗木の入った袋から小さな苗木を入手			花見に恋い焦がれて							
木酢液を入手			木酢液を入手			花見に恋い焦がれて							
ギョタイに小さな苗木と木酢液を渡す			ギョタイに小さな苗木と木酢液を渡す			花見に恋い焦がれて							
ねえ、あなた。ユヅカ代官屋敷に住むナマズオたちには、もう会った？			ねえ、あなた。ユヅカ代官屋敷に住むナマズオたちには、もう会った？			花見に恋い焦がれて							
この村から南西に行ったところに、屋敷があるの。もともとは代官さまの屋敷だったんだけれど、帝国との戦いが起きてから、住む人がいなくなってね。			この村から南西に行ったところに、屋敷があるの。もともとは代官さまの屋敷だったんだけれど、帝国との戦いが起きてから、住む人がいなくなってね。			花見に恋い焦がれて							
今は、そこにナマズオたちが住んでいるのよ。この村にも、たまに魚を売りに来てくれるのだけれど、以前、この木に興味を持っていたから、苗木を分けてあげたいの。			今は、そこにナマズオたちが住んでいるのよ。この村にも、たまに魚を売りに来てくれるのだけれど、以前、この木に興味を持っていたから、苗木を分けてあげたいの。			花見に恋い焦がれて							
でも、ナマズオたちが住むユヅカ代官屋敷までは、ちょっと距離もあるし、途中に危険な獣もいるから、私が届けにいくのは厳しくて……。			でも、ナマズオたちが住むユヅカ代官屋敷までは、ちょっと距離もあるし、途中に危険な獣もいるから、私が届けにいくのは厳しくて……。			花見に恋い焦がれて							
だから、あなたのような強そうな方にお願いしたいの。持っていってほしい「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。			だから、あなたのような強そうな方にお願いしたいの。持っていってほしい「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。			花見に恋い焦がれて							
木酢液は、虫除け用のものよ。それらを、ユヅカ代官屋敷に住む、「ギョタイ」という子に渡してあげてね。			木酢液は、虫除け用のものよ。それらを、ユヅカ代官屋敷に住む、「ギョタイ」という子に渡してあげてね。			花見に恋い焦がれて							
「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。ユヅカ代官屋敷の「ギョタイ」という子に渡してあげてね。			「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。ユヅカ代官屋敷の「ギョタイ」という子に渡してあげてね。			花見に恋い焦がれて							
お客さまっぺか？何か、ご用っぺかな？			お客さまっぺか？何か、ご用っぺかな？			花見に恋い焦がれて							
おぉ、ナマイ村のヒトが贈り物をくれるっぺ？うぺぺぺぺ、ありがたいっぺなぁ！			おぉ、ナマイ村のヒトが贈り物をくれるっぺ？うぺぺぺぺ、ありがたいっぺなぁ！			花見に恋い焦がれて							
ここに住み始めてからというもの、一生懸命、文字を勉強して、屋敷にあった書を読んでるっぺな。そこで知った「花見」っぺものに、恋い焦がれてるっぺよ！			ここに住み始めてからというもの、一生懸命、文字を勉強して、屋敷にあった書を読んでるっぺな。そこで知った「花見」っぺものに、恋い焦がれてるっぺよ！			花見に恋い焦がれて							
どの花が綺麗だとか、そういう難しいことはわからんっぺな。でもでも、一度は「花見」をしてみたいっぺ、ナマイ村のヒトに話したっぺよ。			どの花が綺麗だとか、そういう難しいことはわからんっぺな。でもでも、一度は「花見」をしてみたいっぺ、ナマイ村のヒトに話したっぺよ。			花見に恋い焦がれて							
そのこと、覚えていてくれたうえに、わざわざ苗木までくれるなんて……感動っぺよ！いつか「花見」ができるよう、大切に育てるっぺなぁ！			そのこと、覚えていてくれたうえに、わざわざ苗木までくれるなんて……感動っぺよ！いつか「花見」ができるよう、大切に育てるっぺなぁ！			花見に恋い焦がれて							
ナマイ村のフクドは、冒険者に協力を依頼したいことがあるようだ。			ナマイ村のフクドは、冒険者に協力を依頼したいことがあるようだ。			クロバナ、俵運びに挑む！							
フクドと話した。フクドは、クロバナに俵運びをやらせてみようと思っているのだという。ナマイ村の「クロバナ」に、このことを伝えよう。			フクドと話した。フクドは、クロバナに俵運びをやらせてみようと思っているのだという。ナマイ村の「クロバナ」に、このことを伝えよう。			クロバナ、俵運びに挑む！							
クロバナと話した。村の役に立てるならやらない手はないと言い、シロジシのところへ向かっていった。クロバナを追い、ヤンサの玄水連山にいる「シロジシ」と話そう。			クロバナと話した。村の役に立てるならやらない手はないと言い、シロジシのところへ向かっていった。クロバナを追い、ヤンサの玄水連山にいる「シロジシ」と話そう。			クロバナ、俵運びに挑む！							
シロジシと話した。クロバナは、意気揚々と俵を担いで倉へ向かっていったが、シロジシ曰く、俵運びは想像以上にキツいものだそうだ。玄水連山の「クロバナ」を見つけ、疲れているようであれば「活を入れ」るとしよう。			シロジシと話した。クロバナは、意気揚々と俵を担いで倉へ向かっていったが、シロジシ曰く、俵運びは想像以上にキツいものだそうだ。玄水連山の「クロバナ」を見つけ、疲れているようであれば「活を入れ」るとしよう。			クロバナ、俵運びに挑む！							
クロバナに活を入れた。すると、少し元気が出たようで、倉に向けて俵運びを再開した。ナマイ村にいる「クロバナ」と話そう。			クロバナに活を入れた。すると、少し元気が出たようで、倉に向けて俵運びを再開した。ナマイ村にいる「クロバナ」と話そう。			クロバナ、俵運びに挑む！							
クロバナと話した。やりきった様子のクロバナだったが、あと3往復はしてほしいとのハチボクの話を聞くと、それはできないと音を上げてどこかへ行ってしまった。ナマイ村の「フクド」に事の顛末を報告しよう。			クロバナと話した。やりきった様子のクロバナだったが、あと3往復はしてほしいとのハチボクの話を聞くと、それはできないと音を上げてどこかへ行ってしまった。ナマイ村の「フクド」に事の顛末を報告しよう。			クロバナ、俵運びに挑む！							
フクドに報告した。ちょうどフクドは、音を上げたクロバナを捕まえて話を聞いていたところだった。もう逃げ出さないと誓うクロバナ。一方フクドは、次は力のいらない仕事をやらせてみるとしようと呟くのであった。			フクドに報告した。ちょうどフクドは、音を上げたクロバナを捕まえて話を聞いていたところだった。もう逃げ出さないと誓うクロバナ。一方フクドは、次は力のいらない仕事をやらせてみるとしようと呟くのであった。			クロバナ、俵運びに挑む！							
クロバナと話す			クロバナと話す			クロバナ、俵運びに挑む！							
シロジシと話す			シロジシと話す			クロバナ、俵運びに挑む！							
クロバナに「活を入れる」をする			クロバナに「活を入れる」をする			クロバナ、俵運びに挑む！							
クロバナと話す			クロバナと話す			クロバナ、俵運びに挑む！							
フクドに報告			フクドに報告			クロバナ、俵運びに挑む！							
まだ付き合ってくれるのだな、かたじけない。手始めに、俵運びをやらせてみようかと思うのだ。			まだ付き合ってくれるのだな、かたじけない。手始めに、俵運びをやらせてみようかと思うのだ。			クロバナ、俵運びに挑む！							
見てのとおり、この村は稲作で生計を立てている。収穫した米は、稲わらで作った俵に入れて、この近くにある倉まで運んでくるのだ。			見てのとおり、この村は稲作で生計を立てている。収穫した米は、稲わらで作った俵に入れて、この近くにある倉まで運んでくるのだ。			クロバナ、俵運びに挑む！							
武の才はなくとも、クロバナは人狼族だ。人並み外れた力を持っているだろうから、荷運びが向いているやもしれん。			武の才はなくとも、クロバナは人狼族だ。人並み外れた力を持っているだろうから、荷運びが向いているやもしれん。			クロバナ、俵運びに挑む！							
倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			クロバナ、俵運びに挑む！							
なに、心配はいらないさ。村の者でない、そなたが話をした方が、あいつも聞き入れてくれるだろうしな。			なに、心配はいらないさ。村の者でない、そなたが話をした方が、あいつも聞き入れてくれるだろうしな。			クロバナ、俵運びに挑む！							
倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			クロバナ、俵運びに挑む！							
あぁ、旅の人か。まだ村にいたんだな……で、まだ俺に何か用でも？			あぁ、旅の人か。まだ村にいたんだな……で、まだ俺に何か用でも？			クロバナ、俵運びに挑む！							
俵運びをやってみないか、だって！？あの人も、本当に世話焼きというか、おせっかいというか……。			俵運びをやってみないか、だって！？あの人も、本当に世話焼きというか、おせっかいというか……。			クロバナ、俵運びに挑む！							
けど、村の役に立てるなら、やらない手はないな。わかった、「シロジシ」さんのところに行くとするよ。			けど、村の役に立てるなら、やらない手はないな。わかった、「シロジシ」さんのところに行くとするよ。			クロバナ、俵運びに挑む！							
いつの間にかシロジシさんに話をつけてるだなんて、あの人も、本当に世話焼きというか、おせっかいというか……。けど、村の役に立てるなら、やらない手はないからな。			いつの間にかシロジシさんに話をつけてるだなんて、あの人も、本当に世話焼きというか、おせっかいというか……。けど、村の役に立てるなら、やらない手はないからな。			クロバナ、俵運びに挑む！							
よく来たな、クロバナ！旅の方も、わざわざすまない。いきさつはフクドさんから、しかと聞いてるぜ！			よく来たな、クロバナ！旅の方も、わざわざすまない。いきさつはフクドさんから、しかと聞いてるぜ！			クロバナ、俵運びに挑む！							
運んで貰いたいのは、この俵よ！こいつを、村の倉まで運んでくれ。結構な重さだが、やれそうか？			運んで貰いたいのは、この俵よ！こいつを、村の倉まで運んでくれ。結構な重さだが、やれそうか？			クロバナ、俵運びに挑む！							
戦いはともかく、力にはそれなりの自信があるよ。ちゃちゃっと運び終えてみせるさ！			戦いはともかく、力にはそれなりの自信があるよ。ちゃちゃっと運び終えてみせるさ！			クロバナ、俵運びに挑む！							
おらよっと！			おらよっと！			クロバナ、俵運びに挑む！							
間違っても落としたりするんじゃねぇぞ～！			間違っても落としたりするんじゃねぇぞ～！			クロバナ、俵運びに挑む！							
クロバナは、意気揚々と俵を担いで倉へ向かっていった…。			クロバナは、意気揚々と俵を担いで倉へ向かっていった…。			クロバナ、俵運びに挑む！							
クロバナのやつ、ちゃんと運びきれるだろうな？あの俵、慣れてないやつが倉まで運ぶとなると、想像以上に結構キツいもんなんだが……。			クロバナのやつ、ちゃんと運びきれるだろうな？あの俵、慣れてないやつが倉まで運ぶとなると、想像以上に結構キツいもんなんだが……。			クロバナ、俵運びに挑む！							
旅の方や、もし道中でクロバナがへばってたりしたら、イッパツ「活を入れ」てやってくれよ！ああいう力仕事に必要なのは、何よりも気合だぜ、気合ッ！			旅の方や、もし道中でクロバナがへばってたりしたら、イッパツ「活を入れ」てやってくれよ！ああいう力仕事に必要なのは、何よりも気合だぜ、気合ッ！			クロバナ、俵運びに挑む！							
もし道中でクロバナがへばってたりしたら、イッパツ「活を入れ」てやってくれよ！ああいう力仕事に必要なのは、何よりも気合だぜ、気合ッ！			もし道中でクロバナがへばってたりしたら、イッパツ「活を入れ」てやってくれよ！ああいう力仕事に必要なのは、何よりも気合だぜ、気合ッ！			クロバナ、俵運びに挑む！							
ハァハァ……。こ、こんなに重いとは思ってなかった……！			ハァハァ……。こ、こんなに重いとは思ってなかった……！			クロバナ、俵運びに挑む！							
な、なんだい……？思ってたより重いんだ……少し休ませてよ……！			な、なんだい……？思ってたより重いんだ……少し休ませてよ……！			クロバナ、俵運びに挑む！							
クロバナにエモート「活を入れる」をして、気合を注入しよう。			クロバナにエモート「活を入れる」をして、気合を注入しよう。			クロバナ、俵運びに挑む！							
ハァハァ……。どうもありがとう、少し元気が出たよ……！			ハァハァ……。どうもありがとう、少し元気が出たよ……！			クロバナ、俵運びに挑む！							
まさか、こんなに重いとは思ってなかったよ。それに俵の稲わらが、肩に食い込むわ擦れるわで、痛ってぇのなんの……！			まさか、こんなに重いとは思ってなかったよ。それに俵の稲わらが、肩に食い込むわ擦れるわで、痛ってぇのなんの……！			クロバナ、俵運びに挑む！							
だけど、励ましてくれたお陰か、元気が出たよ。もう倉も見えてるし、運びきってみせるさ……！			だけど、励ましてくれたお陰か、元気が出たよ。もう倉も見えてるし、運びきってみせるさ……！			クロバナ、俵運びに挑む！							
おらよっと！			おらよっと！			クロバナ、俵運びに挑む！							
クロバナは、力を振り絞りながら俵を担ぎ、再び倉へ向かっていった……。			クロバナは、力を振り絞りながら俵を担ぎ、再び倉へ向かっていった……。			クロバナ、俵運びに挑む！							
話は聞いてたが、クロバナのやつ、ちゃんと俵を運びきったじゃないか！感心、感心！			話は聞いてたが、クロバナのやつ、ちゃんと俵を運びきったじゃないか！感心、感心！			クロバナ、俵運びに挑む！							
た、大変だった……。はたから見ていると、軽々運んでいるように見えてたけど、こんなに疲れる仕事だとは思ってもなかったよ。			た、大変だった……。はたから見ていると、軽々運んでいるように見えてたけど、こんなに疲れる仕事だとは思ってもなかったよ。			クロバナ、俵運びに挑む！							
お疲れさん！そりゃあお前、みんな手慣れてるから楽そうに見えるだけで、慣れるまでは大変ってもんよ！			お疲れさん！そりゃあお前、みんな手慣れてるから楽そうに見えるだけで、慣れるまでは大変ってもんよ！			クロバナ、俵運びに挑む！							
ところでクロバナよ、やりきったようなツラしてるが、まだまだ運ばないといけない俵は沢山あるんだぜ。お前にも、あと3往復はしてほしいところなんだが？			ところでクロバナよ、やりきったようなツラしてるが、まだまだ運ばないといけない俵は沢山あるんだぜ。お前にも、あと3往復はしてほしいところなんだが？			クロバナ、俵運びに挑む！							
あと3往復だって！？さすがにそれは無理だ……お、お先に失礼するよ！			あと3往復だって！？さすがにそれは無理だ……お、お先に失礼するよ！			クロバナ、俵運びに挑む！							
クロバナのやつ、あっさり音を上げやがって……！こんなことなら、手伝いなんて、もう結構だよ。「フクド」さんに、そう言ってやってくれ。			クロバナのやつ、あっさり音を上げやがって……！こんなことなら、手伝いなんて、もう結構だよ。「フクド」さんに、そう言ってやってくれ。			クロバナ、俵運びに挑む！							
クロバナのやつ、あっさり音を上げやがって……。こんなことなら、手伝いなんて、もう結構だよ。「フクド」さんに、そう言ってやってくれ。			クロバナのやつ、あっさり音を上げやがって……。こんなことなら、手伝いなんて、もう結構だよ。「フクド」さんに、そう言ってやってくれ。			クロバナ、俵運びに挑む！							
あと3往復なんて、さすがに無理だ……。			あと3往復なんて、さすがに無理だ……。			クロバナ、俵運びに挑む！							
走り去ろうとしていたクロバナのやつをとっ捕まえて、ちょうど話を聞いていたところよ。			走り去ろうとしていたクロバナのやつをとっ捕まえて、ちょうど話を聞いていたところよ。			クロバナ、俵運びに挑む！							
ひとつは運べたが、3往復と聞いてたじろいでしまった、とな。たしかに、俵運びは慣れるまでは大変だ。かくいう私も、始めのうちは、なかなか苦労したものよ。			ひとつは運べたが、3往復と聞いてたじろいでしまった、とな。たしかに、俵運びは慣れるまでは大変だ。かくいう私も、始めのうちは、なかなか苦労したものよ。			クロバナ、俵運びに挑む！							
……だが、途中で逃げ出すのは見逃せぬ！そんなことでは、村の皆に根性なしだと笑われてしまうぞ？			……だが、途中で逃げ出すのは見逃せぬ！そんなことでは、村の皆に根性なしだと笑われてしまうぞ？			クロバナ、俵運びに挑む！							
わ、悪かったよ、フクドさん。これからは、もう途中で投げたりはしないからさ。			わ、悪かったよ、フクドさん。これからは、もう途中で投げたりはしないからさ。			クロバナ、俵運びに挑む！							
はぁ、まったく。俵運びがダメとなると、次は、力のいらない仕事をやらせてみるとするか……。			はぁ、まったく。俵運びがダメとなると、次は、力のいらない仕事をやらせてみるとするか……。			クロバナ、俵運びに挑む！							
ナマイ村のフクドは、冒険者に相談したいことがあるようだ。			ナマイ村のフクドは、冒険者に相談したいことがあるようだ。			人狼族のクロバナ							
フクドと話した。村に住む「人狼族」であるクロバナの力になってほしいと頼まれた。ナマイ村の「指定地点」で待機して、クロバナの帰りを待とう。			フクドと話した。村に住む「人狼族」であるクロバナの力になってほしいと頼まれた。ナマイ村の「指定地点」で待機して、クロバナの帰りを待とう。			人狼族のクロバナ							
指定地点で待機していると、クロバナがやってきた。フクドから聞いた話をしたが、かなり弱気な様子だ。ナマイ村の「クロバナ」に、エモート「励ます」をしよう。			指定地点で待機していると、クロバナがやってきた。フクドから聞いた話をしたが、かなり弱気な様子だ。ナマイ村の「クロバナ」に、エモート「励ます」をしよう。			人狼族のクロバナ							
クロバナを励ましたところ、やる気を出し、魔物退治に向かった。無二江流域に魔物退治に向かった「クロバナ」を探し、敵が現れたら討伐しよう。			クロバナを励ましたところ、やる気を出し、魔物退治に向かった。無二江流域に魔物退治に向かった「クロバナ」を探し、敵が現れたら討伐しよう。			人狼族のクロバナ							
