再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
プルボルから大輪の腐花を入手			プルボルから大輪の腐花を入手			アダルキムの後継者							
アダルキム族の男に大輪の腐花を渡す			アダルキム族の男に大輪の腐花を渡す			アダルキムの後継者							
アンタ、見るからに強そうだな。よそから来たって感じだし、旅人だろ？よかったら、話を聞いてくれないか。			アンタ、見るからに強そうだな。よそから来たって感じだし、旅人だろ？よかったら、話を聞いてくれないか。			アダルキムの後継者							
俺は、ある物を手に入れるため、アジムステップの西から東、あらゆる場所を探してきた。ここで売ってるって噂を聞いて来たが、運悪く品切れらしい。			俺は、ある物を手に入れるため、アジムステップの西から東、あらゆる場所を探してきた。ここで売ってるって噂を聞いて来たが、運悪く品切れらしい。			アダルキムの後継者							
だが、入手法は教えてもらえた。そこでアンタの手を借りたいってわけさ。なぁに、ただの「花摘み」、それほど難しくは…………			だが、入手法は教えてもらえた。そこでアンタの手を借りたいってわけさ。なぁに、ただの「花摘み」、それほど難しくは…………			アダルキムの後継者							
いや、よその人であるアンタを騙すのはよくないな。正直に言うが、かなり危険な仕事になる……。あれは、毒より危ない息を吐く化物から獲る代物らしいからな。			いや、よその人であるアンタを騙すのはよくないな。正直に言うが、かなり危険な仕事になる……。あれは、毒より危ない息を吐く化物から獲る代物らしいからな。			アダルキムの後継者							
頼む……！この辺りに生息しているという「プルボル」を倒して、「大輪の腐花」を3つ手に入れてくれ！			頼む……！この辺りに生息しているという「プルボル」を倒して、「大輪の腐花」を3つ手に入れてくれ！			アダルキムの後継者							
頼む……！この辺りに生息しているという「プルボル」を倒して、「大輪の腐花」を3つ手に入れてくれ！			頼む……！この辺りに生息しているという「プルボル」を倒して、「大輪の腐花」を3つ手に入れてくれ！			アダルキムの後継者							
「大輪の腐花」が手に入ったなら、渡してくれるか。そいつさえ手に入れれば……命が助かるんだ！			「大輪の腐花」が手に入ったなら、渡してくれるか。そいつさえ手に入れれば……命が助かるんだ！			アダルキムの後継者							
ウッ……なんて強烈な臭いなんだ……！だがいいぞ、これで誰も俺に寄りつかなくなる！			ウッ……なんて強烈な臭いなんだ……！だがいいぞ、これで誰も俺に寄りつかなくなる！			アダルキムの後継者							
……っと、恩人のアンタには、事情を話しておくべきだろうな。俺は、アダルキム族という、アジムステップで最大規模を誇る大部族の、族長候補なんだ。			……っと、恩人のアンタには、事情を話しておくべきだろうな。俺は、アダルキム族という、アジムステップで最大規模を誇る大部族の、族長候補なんだ。			アダルキムの後継者							
もちろん、族長の座に就けば、馬も女も好き放題さ……。だが、それだけに候補者同士や支持者の争いが絶えなくてね。兄貴なんか、8回の暗殺未遂と4回の結婚詐欺を受け、姿を消した。			もちろん、族長の座に就けば、馬も女も好き放題さ……。だが、それだけに候補者同士や支持者の争いが絶えなくてね。兄貴なんか、8回の暗殺未遂と4回の結婚詐欺を受け、姿を消した。			アダルキムの後継者							
おかげで継承順位が上がった俺が、今度は命を狙われる立場さ。まったく、勘弁してくれよ……！			おかげで継承順位が上がった俺が、今度は命を狙われる立場さ。まったく、勘弁してくれよ……！			アダルキムの後継者							
だから、「持つことで誰も寄りつかなくなる」と噂の、大輪の腐花がほしかったのさ……。ありがとう、おかげでしばらくは静かな時間を過ごせそうだ。			だから、「持つことで誰も寄りつかなくなる」と噂の、大輪の腐花がほしかったのさ……。ありがとう、おかげでしばらくは静かな時間を過ごせそうだ。			アダルキムの後継者							
よぉし、次は根本的な解決を目指すぞ！そのためには、何としてでも出奔した兄貴……アドキラーを連れ戻さなきゃな！			よぉし、次は根本的な解決を目指すぞ！そのためには、何としてでも出奔した兄貴……アドキラーを連れ戻さなきゃな！			アダルキムの後継者							
（★未使用／削除予定★） 			（★未使用／削除予定★） 			アダルキムの後継者							
再会の市のトゲネは、親切な人を探しているようだ。			再会の市のトゲネは、親切な人を探しているようだ。			再会の市の迷子たち							
迷子の子どもを探す			迷子の子どもを探す			再会の市の迷子たち							
トゲネに報告			トゲネに報告			再会の市の迷子たち							
あなた……これから市を見て回る予定はある？よかったら、ちょっと手伝ってもらえないかしら？			あなた……これから市を見て回る予定はある？よかったら、ちょっと手伝ってもらえないかしら？			再会の市の迷子たち							
私はね、ゆっくり買い物を楽しんでもらうために、お客さんの子どもを、この建物で預かる仕事をしているの。迷子の面倒を見たりもするわ。			私はね、ゆっくり買い物を楽しんでもらうために、お客さんの子どもを、この建物で預かる仕事をしているの。迷子の面倒を見たりもするわ。			再会の市の迷子たち							
そこでなんだけど、もし、迷子の子を見かけたら、この建物に来るように、伝えてもらえるかしら？買い物ついでで構わないから、お願いね。			そこでなんだけど、もし、迷子の子を見かけたら、この建物に来るように、伝えてもらえるかしら？買い物ついでで構わないから、お願いね。			再会の市の迷子たち							
もし、迷子の子を見かけたら、この建物に来るように、伝えてもらえるかしら？買い物ついでで構わないから、お願いね。			もし、迷子の子を見かけたら、この建物に来るように、伝えてもらえるかしら？買い物ついでで構わないから、お願いね。			再会の市の迷子たち							
へぇ、そんな場所があるんだ。景色を見るのも飽きたし、姉ちゃん兄ちゃんが言ってるとこに行ってみようかな～。			へぇ、そんな場所があるんだ。景色を見るのも飽きたし、姉ちゃん兄ちゃんが言ってるとこに行ってみようかな～。			再会の市の迷子たち							
そういえば、オレにそっくりなヤツに会わなかった？もし見つけたら、そいつにも、その場所に来るように伝えておいてよ！			そういえば、オレにそっくりなヤツに会わなかった？もし見つけたら、そいつにも、その場所に来るように伝えておいてよ！			再会の市の迷子たち							
へぇ、そんな場所があるんだ。父ちゃんたちの買い物が終わるまで、そこに行ってみようかな～。			へぇ、そんな場所があるんだ。父ちゃんたちの買い物が終わるまで、そこに行ってみようかな～。			再会の市の迷子たち							
それにしても、兄ちゃんはどこ行ったんだろ？まぁ、そのうち会えるだろうからいいか！			それにしても、兄ちゃんはどこ行ったんだろ？まぁ、そのうち会えるだろうからいいか！			再会の市の迷子たち							
な、なんですか？羊さんから出た土でお団子を作ってただけで、別に変なことをしてるわけじゃ……。			な、なんですか？羊さんから出た土でお団子を作ってただけで、別に変なことをしてるわけじゃ……。			再会の市の迷子たち							
……そんな場所があるんですね。手を洗ってから、行ってみるとします！			……そんな場所があるんですね。手を洗ってから、行ってみるとします！			再会の市の迷子たち							
あなたが見つけてきてくれた子たちが、三人やって来たわよ。今日はまだひとりしか預かっていなかったから、すっかり賑やかになったわ。			あなたが見つけてきてくれた子たちが、三人やって来たわよ。今日はまだひとりしか預かっていなかったから、すっかり賑やかになったわ。			再会の市の迷子たち							
子どもたちって、部族なんて関係なしに、すぐ仲良くなっちゃうんだから凄いわよね。今、中にいる子たちも、みんな違う部族の子なの。			子どもたちって、部族なんて関係なしに、すぐ仲良くなっちゃうんだから凄いわよね。今、中にいる子たちも、みんな違う部族の子なの。			再会の市の迷子たち							
あなたが声をかけてくれた、外見が瓜二つな子たちは、三度に一度は双子が生まれるって話の、ヒマー族の男の子たち。			あなたが声をかけてくれた、外見が瓜二つな子たちは、三度に一度は双子が生まれるって話の、ヒマー族の男の子たち。			再会の市の迷子たち							
少し服に泥が付いていた女の子は、獣の糞を集めて、移動式の窯で焼き炭を売って生活する、ボリル族の子。			少し服に泥が付いていた女の子は、獣の糞を集めて、移動式の窯で焼き炭を売って生活する、ボリル族の子。			再会の市の迷子たち							
あなたは会っていないけど、最初から預かっていた子は、一妻多夫の伝統を持つバヤクッド族の子なの。			あなたは会っていないけど、最初から預かっていた子は、一妻多夫の伝統を持つバヤクッド族の子なの。			再会の市の迷子たち							
大人たちはいがみ合うことが多いのに、子どもはすぐに仲良くなっちゃうんだから、まったく、不思議なものよね。			大人たちはいがみ合うことが多いのに、子どもはすぐに仲良くなっちゃうんだから、まったく、不思議なものよね。			再会の市の迷子たち							
子どもたちにできるんだから、大人だって……いえ、今のは気にしないで。とにかくありがとう、優しいお客さん。			子どもたちにできるんだから、大人だって……いえ、今のは気にしないで。とにかくありがとう、優しいお客さん。			再会の市の迷子たち							
再会の市のガスコットは、ケスティル族に興味津々のようだ。			再会の市のガスコットは、ケスティル族に興味津々のようだ。			行動による証明							
ガスコットから、ケスティル族について聞き込みしようと提案された。再会の市にいる者たちから話を聞こう。			ガスコットから、ケスティル族について聞き込みしようと提案された。再会の市にいる者たちから話を聞こう。			行動による証明							
再会の市にいる者たちから、ケスティル族や再会の市の成り立ちについて教えてもらった。再会の市の「ガスコット」に報告しよう。			再会の市にいる者たちから、ケスティル族や再会の市の成り立ちについて教えてもらった。再会の市の「ガスコット」に報告しよう。			行動による証明							
ガスコットから、ケスティル族に向けて「行動」を示してほしいと頼まれた。再会の市にある族長の天幕に向かい、「コトタ」に親睦の気持ちを込めて、エモート「アピール」をしよう。			ガスコットから、ケスティル族に向けて「行動」を示してほしいと頼まれた。再会の市にある族長の天幕に向かい、「コトタ」に親睦の気持ちを込めて、エモート「アピール」をしよう。			行動による証明							
