ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
ウクラマトと話す			ウクラマトと話す			継承の儀							
アルフィノと話す			アルフィノと話す			継承の儀							
エレンヴィルと話す			エレンヴィルと話す			継承の儀							
指定地点で待機			指定地点で待機			継承の儀							
ウクラマトと話す			ウクラマトと話す			継承の儀							
あとで、ナミーカに飯を作ってもらうか……。			あとで、ナミーカに飯を作ってもらうか……。			継承の儀							
狭くて入り組んだ道が多いけれど、迷ったら高い方を目指して進めば、ここまで来られるわね。			狭くて入り組んだ道が多いけれど、迷ったら高い方を目指して進めば、ここまで来られるわね。			継承の儀							
ここに来る途中、双頭のマムージャ族を見かけたんだ。エレンヴィルに聞いたところによると、彼も継承の儀に参加する継承候補者らしい。			ここに来る途中、双頭のマムージャ族を見かけたんだ。エレンヴィルに聞いたところによると、彼も継承の儀に参加する継承候補者らしい。			継承の儀							
トライヨラは食べ物が美味しいわね。さっき、行きずりのマムージャ族から、チェリモヤって果実をもらったんだけど絶品だったわ。			トライヨラは食べ物が美味しいわね。さっき、行きずりのマムージャ族から、チェリモヤって果実をもらったんだけど絶品だったわ。			継承の儀							
これより物語が大きく進展するため、カットシーンが連続して再生されます。			これより物語が大きく進展するため、カットシーンが連続して再生されます。			継承の儀							
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、クエストを受注することを、お勧めいたします。			しばらく時間がかかるため、十分にプレイ時間を確保したうえで、クエストを受注することを、お勧めいたします。			継承の儀							
こっちも、ひととおり街を回ってきたぞ。			こっちも、ひととおり街を回ってきたぞ。			継承の儀							
こいつらにとって、トライヨラは珍しいことばかりみたいでな。すぐに脇道に逸れようとするふたりを制するのに苦労した。			こいつらにとって、トライヨラは珍しいことばかりみたいでな。すぐに脇道に逸れようとするふたりを制するのに苦労した。			継承の儀							
フッ、アルフィノたちの気持ち、よくわかるぜ。シャーレアンに行ったときのアタシもそうだったからな。			フッ、アルフィノたちの気持ち、よくわかるぜ。シャーレアンに行ったときのアタシもそうだったからな。			継承の儀							
よし、トライヨラの案内もできたし、そろそろオヤジに報告しに行かねぇとな。継承の儀の協力者として連れてきた、お前らのことをよ。			よし、トライヨラの案内もできたし、そろそろオヤジに報告しに行かねぇとな。継承の儀の協力者として連れてきた、お前らのことをよ。			継承の儀							
ま、オヤジは突拍子もないことをするのが好きなジジイだから、報告だけで終わらないかもしれねぇが……。			ま、オヤジは突拍子もないことをするのが好きなジジイだから、報告だけで終わらないかもしれねぇが……。			継承の儀							
ゾラージャ王子……彼を渦巻く炎のような激しい想いは、いったい……。			ゾラージャ王子……彼を渦巻く炎のような激しい想いは、いったい……。			継承の儀							
さっき聞いたように、次代の王にウクラマトを推す市民は多いわけじゃない。まあ……今は、な。			さっき聞いたように、次代の王にウクラマトを推す市民は多いわけじゃない。まあ……今は、な。			継承の儀							
第二王子、コーナ様。シャーレアンの技術と知識で、国の発展を目指す革新派、か……。			第二王子、コーナ様。シャーレアンの技術と知識で、国の発展を目指す革新派、か……。			継承の儀							
あの双頭の候補者、バクージャジャと言ったかしら。他者を劣等種呼ばわりして見下すような奴が王位に就いたら、他種族を抑圧したガレマール帝国の二の舞いだわ。			あの双頭の候補者、バクージャジャと言ったかしら。他者を劣等種呼ばわりして見下すような奴が王位に就いたら、他種族を抑圧したガレマール帝国の二の舞いだわ。			継承の儀							
お前らのことを報告しに行くはずが、いきなり継承の儀が始まるなんてなぁ……。オヤジはいつも、やると決めたらすぐに動くんだ。			お前らのことを報告しに行くはずが、いきなり継承の儀が始まるなんてなぁ……。オヤジはいつも、やると決めたらすぐに動くんだ。			継承の儀							
ま、娘としちゃ慣れっこだけどよ。ともかく、どうやって黄金郷を探すか方針を決めようぜ。			ま、娘としちゃ慣れっこだけどよ。ともかく、どうやって黄金郷を探すか方針を決めようぜ。			継承の儀							
手がかりは、オヤジから渡された、トライヨラ叙事詩が描かれた7枚の石板だけど……。			手がかりは、オヤジから渡された、トライヨラ叙事詩が描かれた7枚の石板だけど……。			継承の儀							
まずは、石板に描かれているのが、叙事詩の石塔に刻まれた絵文字と完全に同一なのか……確かめておいた方が良いだろうね。			まずは、石板に描かれているのが、叙事詩の石塔に刻まれた絵文字と完全に同一なのか……確かめておいた方が良いだろうね。			継承の儀							
そうだな。「金煌なる旅程」に行ってみるか！			そうだな。「金煌なる旅程」に行ってみるか！			継承の儀							
石板と石塔の絵文字……パッと見は、同じに見えるけどな。			石板と石塔の絵文字……パッと見は、同じに見えるけどな。			継承の儀							
しかし、精巧な石板を、継承候補者全員に用意するとはな……。次代の王を決める儀式だけあって手が込んでる。			しかし、精巧な石板を、継承候補者全員に用意するとはな……。次代の王を決める儀式だけあって手が込んでる。			継承の儀							
いきなり継承の儀が始まるなんて、ちょっとびっくりしたけど、望むところだわ。私たちは、そのために来たんですもの。			いきなり継承の儀が始まるなんて、ちょっとびっくりしたけど、望むところだわ。私たちは、そのために来たんですもの。			継承の儀							
ウクラマトさんのため……そしておじいちゃんのことを知るためにも、絶対に黄金郷を見つけてみせるわ！			ウクラマトさんのため……そしておじいちゃんのことを知るためにも、絶対に黄金郷を見つけてみせるわ！			継承の儀							
これで全員揃ったね。			これで全員揃ったね。			継承の儀							
ウクラマト、石板を皆に配ってくれるかい？			ウクラマト、石板を皆に配ってくれるかい？			継承の儀							
よし、任せろ！			よし、任せろ！			継承の儀							
皆、石板は受け取ったね。では、石塔に描かれた絵文字と比べてみよう。相違点がないかは、特に念入りに……。			皆、石板は受け取ったね。では、石塔に描かれた絵文字と比べてみよう。相違点がないかは、特に念入りに……。			継承の儀							
やっぱり、石板と石塔に描かれているのは、どちらも同じ絵文字のようね。			やっぱり、石板と石塔に描かれているのは、どちらも同じ絵文字のようね。			継承の儀							
違う点といえば、秘石を嵌める穴が開いてることぐらいだな。			違う点といえば、秘石を嵌める穴が開いてることぐらいだな。			継承の儀							
それが再確認できたところで、結局どう進んでいけばいいわけ？			それが再確認できたところで、結局どう進んでいけばいいわけ？			継承の儀							
連王は、こう言っていた。かつて国を興すまでに歩んだ旅路の中に、継承候補者の器を量る7人の「連王の選者」が待っているとね。			連王は、こう言っていた。かつて国を興すまでに歩んだ旅路の中に、継承候補者の器を量る7人の「連王の選者」が待っているとね。			継承の儀							
オヤジが歩んだ旅路……トライヨラ叙事詩に謳われた道筋ってことか。			オヤジが歩んだ旅路……トライヨラ叙事詩に謳われた道筋ってことか。			継承の儀							
この絵文字に描かれている逸話が、どこで起こった出来事なのかは、わかるのかしら？			この絵文字に描かれている逸話が、どこで起こった出来事なのかは、わかるのかしら？			継承の儀							
この街に近いところがあるのなら、実際に出向いて、選者の姿を確認したいところだが……。			この街に近いところがあるのなら、実際に出向いて、選者の姿を確認したいところだが……。			継承の儀							
えーっと……ここからだと、「葦の章」の舞台となったハヌハヌ族の集落が近いな。			えーっと……ここからだと、「葦の章」の舞台となったハヌハヌ族の集落が近いな。			継承の儀							
一度、オヤジに連れられて行ったことがあるんだけどよ、ちょうど祭りの時期で、村中が賑やかだったなぁ。			一度、オヤジに連れられて行ったことがあるんだけどよ、ちょうど祭りの時期で、村中が賑やかだったなぁ。			継承の儀							
それからもうひとつ……「金の章」に出てくるペルペル族の集落も、同じぐらいの距離だったと思う。			それからもうひとつ……「金の章」に出てくるペルペル族の集落も、同じぐらいの距離だったと思う。			継承の儀							
どちらを目指すにしても情報収集が先決だろうな。			どちらを目指すにしても情報収集が先決だろうな。			継承の儀							
王都を案内して回ってるときに聞こえてきたんだよ。俺たちが洋上で遭遇した嵐は、数日前にヨカ・トラルを直撃していたらしい。			王都を案内して回ってるときに聞こえてきたんだよ。俺たちが洋上で遭遇した嵐は、数日前にヨカ・トラルを直撃していたらしい。			継承の儀							
こっちはエオルゼアほど街道が整備されていないから、自然災害の影響も受けやすくてな。立ち往生が嫌なら、先に現状を調べておくべきだろう。			こっちはエオルゼアほど街道が整備されていないから、自然災害の影響も受けやすくてな。立ち往生が嫌なら、先に現状を調べておくべきだろう。			継承の儀							
情報、情報か……。			情報、情報か……。			継承の儀							
よし、アタシに任せろ！探して、連れてくるからよ！			よし、アタシに任せろ！探して、連れてくるからよ！			継承の儀							
ともかく、出発するなら入念に準備をしておく必要がある。拠点として宿を確保しておいたから、寄っていこう。荷物の整理なんかもしたいだろうしな。			ともかく、出発するなら入念に準備をしておく必要がある。拠点として宿を確保しておいたから、寄っていこう。荷物の整理なんかもしたいだろうしな。			継承の儀							
ようこそ、「フォルアード・キャビンズ」へ！			ようこそ、「フォルアード・キャビンズ」へ！			継承の儀							
水上コテージだなんて、素敵！			水上コテージだなんて、素敵！			継承の儀							
すでに宿を確保してあるとは、ありがたい限りだね。			すでに宿を確保してあるとは、ありがたい限りだね。			継承の儀							
