ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			お得意様カイ・シル							
指定地点で待機			指定地点で待機			お得意様カイ・シル							
カイ・シルと話す			カイ・シルと話す			お得意様カイ・シル							
Forenameさん！いまちょっといいですか？			Forenameさん！いまちょっといいですか？			お得意様カイ・シル							
あなたに聞きたいことがあって……。Forenameさんは、超一流の職人でもあると聞いたんですが、本当ですか？			あなたに聞きたいことがあって……。Forenameさんは、超一流の職人でもあると聞いたんですが、本当ですか？			お得意様カイ・シル							
何と言う？			何と言う？			お得意様カイ・シル							
そのとおり！			そのとおり！			お得意様カイ・シル							
誰がそんなことを……			誰がそんなことを……			お得意様カイ・シル							
やっぱり、そうだったんですね！モーエン商会とも取引できるほどの凄腕だって、アルフィノさんが言っていたのは、本当だったんだ……。			やっぱり、そうだったんですね！モーエン商会とも取引できるほどの凄腕だって、アルフィノさんが言っていたのは、本当だったんだ……。			お得意様カイ・シル							
アルフィノさんです！モーエン商会とも取引できるほどの凄腕だって、自分のことを自慢するように、言ってましたよ。			アルフィノさんです！モーエン商会とも取引できるほどの凄腕だって、自分のことを自慢するように、言ってましたよ。			お得意様カイ・シル							
よ、よし……あなたを超一流の職人と見込んで、力を貸していただきたいことがあるんです！			よ、よし……あなたを超一流の職人と見込んで、力を貸していただきたいことがあるんです！			お得意様カイ・シル							
俺、ユールモアに残って、新しい何かを始めるつもりだって言いましたよね。それについて、思いついたことがあるんです。			俺、ユールモアに残って、新しい何かを始めるつもりだって言いましたよね。それについて、思いついたことがあるんです。			お得意様カイ・シル							
ただ、俺ひとりじゃ……いえ、「俺たち」だけじゃ実現できなさそうで……どうか話だけでも聞いてください！			ただ、俺ひとりじゃ……いえ、「俺たち」だけじゃ実現できなさそうで……どうか話だけでも聞いてください！			お得意様カイ・シル							
やった、ありがとうございます！それじゃあ、紹介したい人もいるんで、ちょっと場所を変えましょう。			やった、ありがとうございます！それじゃあ、紹介したい人もいるんで、ちょっと場所を変えましょう。			お得意様カイ・シル							
そうですね……「キャバレー・ビーハイヴ」の前で、待っててもらえますか？すぐに連れて行くんで、よろしくお願いします！			そうですね……「キャバレー・ビーハイヴ」の前で、待っててもらえますか？すぐに連れて行くんで、よろしくお願いします！			お得意様カイ・シル							
あっ、Forenameさん！お待たせしました。紹介したい人を連れてきましたよ。			あっ、Forenameさん！お待たせしました。紹介したい人を連れてきましたよ。			お得意様カイ・シル							
こっちが、アンフリッグ。			こっちが、アンフリッグ。			お得意様カイ・シル							
「キャバレー・ビーハイヴ」にて、バーテンダーを務めております。よろしくお願いします。			「キャバレー・ビーハイヴ」にて、バーテンダーを務めております。よろしくお願いします。			お得意様カイ・シル							
そしてこっちが、ボスタ・ジア。			そしてこっちが、ボスタ・ジア。			お得意様カイ・シル							
アタシは「キャバレー・ビーハイヴ」で、ダンサーをしているの。よろしくね。			アタシは「キャバレー・ビーハイヴ」で、ダンサーをしているの。よろしくね。			お得意様カイ・シル							
ふたりはゲートタウンにいた頃からの親友なんです。			ふたりはゲートタウンにいた頃からの親友なんです。			お得意様カイ・シル							
お互いに、頼れる者もいない孤児同士でしてね。協力してなんとか生きてきました。			お互いに、頼れる者もいない孤児同士でしてね。協力してなんとか生きてきました。			お得意様カイ・シル							
みんなでユールモアで暮らそう、なんて約束もしたわね。いろいろあって、アタシたちが先にこっちへ来ちゃったけど、カイ・シルとまた会えて嬉しかった。			みんなでユールモアで暮らそう、なんて約束もしたわね。いろいろあって、アタシたちが先にこっちへ来ちゃったけど、カイ・シルとまた会えて嬉しかった。			お得意様カイ・シル							
本当に……。こうやって再会できた幸運に感謝です。			本当に……。こうやって再会できた幸運に感謝です。			お得意様カイ・シル							
……でも、ごめんなさい、約束を果たせそうにないわ。残念だけど「キャバレー・ビーハイヴ」は、裕福な自由市民の存在あってこそ、だもの。			……でも、ごめんなさい、約束を果たせそうにないわ。残念だけど「キャバレー・ビーハイヴ」は、裕福な自由市民の存在あってこそ、だもの。			お得意様カイ・シル							
その自由市民の在り方が、新元首の下で変わっていくなら、当然、ビーハイヴだって同じままではいられません。			その自由市民の在り方が、新元首の下で変わっていくなら、当然、ビーハイヴだって同じままではいられません。			お得意様カイ・シル							
そうなれば、私たち「ミツバチ」……つまりキャバレーの従業員の居場所もなくなってしまいます。			そうなれば、私たち「ミツバチ」……つまりキャバレーの従業員の居場所もなくなってしまいます。			お得意様カイ・シル							
居場所がなくなるって、まさか……ユールモアを出ていくつもりなのか？			居場所がなくなるって、まさか……ユールモアを出ていくつもりなのか？			お得意様カイ・シル							
ええ、そのとおり。別の場所で、新しい仕事を見つけなくちゃ。			ええ、そのとおり。別の場所で、新しい仕事を見つけなくちゃ。			お得意様カイ・シル							
ちょ、ちょっと待ってくれ！結論をだすのが早すぎるよ！			ちょ、ちょっと待ってくれ！結論をだすのが早すぎるよ！			お得意様カイ・シル							
それに俺、思いついたんだ。新しいユールモアで始める新しい事を……！今日はふたりに、その相談をしたかったんだ！			それに俺、思いついたんだ。新しいユールモアで始める新しい事を……！今日はふたりに、その相談をしたかったんだ！			お得意様カイ・シル							
Forenameさんを、お呼びしたのもそうさ。超一流の職人さんでもある、その力を貸してもらって、ビーハイヴで新しいビジネスを始めたいんだよ！			Forenameさんを、お呼びしたのもそうさ。超一流の職人さんでもある、その力を貸してもらって、ビーハイヴで新しいビジネスを始めたいんだよ！			お得意様カイ・シル							
(-？？？？-)これはこれは、興味深い話をなさっていますね。			(-？？？？-)これはこれは、興味深い話をなさっていますね。			お得意様カイ・シル							
し、支配人……！			し、支配人……！			お得意様カイ・シル							
「キャバレー・ビーハイヴ」の今後について、モーエンさんと話し合おうとしていたところに、ちょうど、あなた方の話し声が聞こえましてね。			「キャバレー・ビーハイヴ」の今後について、モーエンさんと話し合おうとしていたところに、ちょうど、あなた方の話し声が聞こえましてね。			お得意様カイ・シル							
ビーハイヴで新しいビジネス、ですか……。非常に魅力的な言葉です。			ビーハイヴで新しいビジネス、ですか……。非常に魅力的な言葉です。			お得意様カイ・シル							
そんなものがあるなら、ぜひお聞かせいただきたい。			そんなものがあるなら、ぜひお聞かせいただきたい。			お得意様カイ・シル							
あ、あの……俺、学がないので……間違ってるかもしれないけど……。			あ、あの……俺、学がないので……間違ってるかもしれないけど……。			お得意様カイ・シル							
ヴァウスリーのせいで、ユールモアの産業が潰されたって、そう言う人が多いけれど、反対に発展したものも、あると思うんです。			ヴァウスリーのせいで、ユールモアの産業が潰されたって、そう言う人が多いけれど、反対に発展したものも、あると思うんです。			お得意様カイ・シル							
発展した産業……それは？			発展した産業……それは？			お得意様カイ・シル							
娯楽産業です……！			娯楽産業です……！			お得意様カイ・シル							
そして、その代表が「キャバレー・ビーハイヴ」だと思うんです。歓楽都市とまで呼ばれたユールモアで、今までずっと、自由市民たちを楽しませ続けてきたんですから……。			そして、その代表が「キャバレー・ビーハイヴ」だと思うんです。歓楽都市とまで呼ばれたユールモアで、今までずっと、自由市民たちを楽しませ続けてきたんですから……。			お得意様カイ・シル							
それをより広く……外から人を呼び込んだりして、更に発展させていけば、新しいユールモアの、強力な武器……産業になると思うんです。			それをより広く……外から人を呼び込んだりして、更に発展させていけば、新しいユールモアの、強力な武器……産業になると思うんです。			お得意様カイ・シル							
そのために今、必要なのは、宣伝です！ユールモアには、「キャバレー・ビーハイヴ」という、楽しいところがあるんだって、多くの人に知ってもらうんです。			そのために今、必要なのは、宣伝です！ユールモアには、「キャバレー・ビーハイヴ」という、楽しいところがあるんだって、多くの人に知ってもらうんです。			お得意様カイ・シル							
俺にはこれといって特技はないけれど、足を使って情報を集めたり、伝えたりはできます。だから……俺に宣伝する役目をやらせてください！			俺にはこれといって特技はないけれど、足を使って情報を集めたり、伝えたりはできます。だから……俺に宣伝する役目をやらせてください！			お得意様カイ・シル							
素晴らしい考えではありませんか。最後は、ご自身の売り込みになっていましたけれど。			素晴らしい考えではありませんか。最後は、ご自身の売り込みになっていましたけれど。			お得意様カイ・シル							
支配人、いかがでしょう。彼らに任せてみるというのは？			支配人、いかがでしょう。彼らに任せてみるというのは？			お得意様カイ・シル							
