リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
アンデンと話す			アンデンと話す			アンデンの選択							
ファノヴの里付近の指定地点で待機			ファノヴの里付近の指定地点で待機			アンデンの選択							
リダ・ラーンのアンデンと話す			リダ・ラーンのアンデンと話す			アンデンの選択							
ねえ、Forename。君もアルバートたちと同じで、旅人なんでしょ？			ねえ、Forename。君もアルバートたちと同じで、旅人なんでしょ？			アンデンの選択							
あちこち旅をしてまわっていたら、君もいろいろな人と出会う機会があるよね。初対面で相手にびっくりするとしたら、どんな理由だと思う！？			あちこち旅をしてまわっていたら、君もいろいろな人と出会う機会があるよね。初対面で相手にびっくりするとしたら、どんな理由だと思う！？			アンデンの選択							
何と言う？			何と言う？			アンデンの選択							
少なくとも、しゃべる草人には驚いた			少なくとも、しゃべる草人には驚いた			アンデンの選択							
自分と瓜二つの相手だったら……			自分と瓜二つの相手だったら……			アンデンの選択							
セトに聞いた方がはやいんじゃないか？			セトに聞いた方がはやいんじゃないか？			アンデンの選択							
なるほど～～？つまり、出会った相手が珍しい存在だと、思わず驚いちゃうってことかなぁ……？			なるほど～～？つまり、出会った相手が珍しい存在だと、思わず驚いちゃうってことかなぁ……？			アンデンの選択							
特に縁もゆかりもない旅先で、自分と瓜二つの人に出会うとか、そうないよなぁ……。			特に縁もゆかりもない旅先で、自分と瓜二つの人に出会うとか、そうないよなぁ……。			アンデンの選択							
何か奇妙というか、不思議というか、そういう珍しい出会いがあると、驚きもするってことだね！			何か奇妙というか、不思議というか、そういう珍しい出会いがあると、驚きもするってことだね！			アンデンの選択							
セトって、聞き覚えがあるような……そうか、アルバートが連れてたアマロの名前かぁ！			セトって、聞き覚えがあるような……そうか、アルバートが連れてたアマロの名前かぁ！			アンデンの選択							
でも、えっ！？俺が言うのもなんだけど、アイツって会話できるの！？まさか、そんな珍しいアマロだったなんてびっくり……。			でも、えっ！？俺が言うのもなんだけど、アイツって会話できるの！？まさか、そんな珍しいアマロだったなんてびっくり……。			アンデンの選択							
そうかそうか！つまり、珍しい存在と出会ったら驚いちゃうわけだ！			そうかそうか！つまり、珍しい存在と出会ったら驚いちゃうわけだ！			アンデンの選択							
ということは、アルバートたちがびっくりしていたのって、俺がこのあたりではあまり見かけない、珍しい何か……			ということは、アルバートたちがびっくりしていたのって、俺がこのあたりではあまり見かけない、珍しい何か……			アンデンの選択							
あ～～っ！そうだよ、それだよそれっ！幻惑の魔法で変わった姿が、どれもしっくりこなかったわけだ！			あ～～っ！そうだよ、それだよそれっ！幻惑の魔法で変わった姿が、どれもしっくりこなかったわけだ！			アンデンの選択							
Forename！妖精王を呼んでもらってもいいかなっ！？おかげさまで俺、自分がどんな姿だったのか思い出せたかも！			Forename！妖精王を呼んでもらってもいいかなっ！？おかげさまで俺、自分がどんな姿だったのか思い出せたかも！			アンデンの選択							
何と言う？			何と言う？			アンデンの選択							
かわいくて美しい我が枝フェオちゃん！			かわいくて美しい我が枝フェオちゃん！			アンデンの選択							
フェオ＝ウル、出番だよ！			フェオ＝ウル、出番だよ！			アンデンの選択							
妖精王ティターニアさま！			妖精王ティターニアさま！			アンデンの選択							
(-フェオ＝ウルの声-)うふふーっ！『かわいい若木』が呼んでくれて、私ったら、今とーっても機嫌がいいのだわ！			(-フェオ＝ウルの声-)うふふーっ！『かわいい若木』が呼んでくれて、私ったら、今とーっても機嫌がいいのだわ！			アンデンの選択							
ええ、ええ、いいでしょう！あなたの『美しい枝』が、約束どおり力を貸してあげる！			ええ、ええ、いいでしょう！あなたの『美しい枝』が、約束どおり力を貸してあげる！			アンデンの選択							
草人のあなた。失敗したら「泥人」になってしまうけれど、ちゃんと元の姿を思い描くことはできているかしら？			草人のあなた。失敗したら「泥人」になってしまうけれど、ちゃんと元の姿を思い描くことはできているかしら？			アンデンの選択							
脅かさないでよ！大丈夫、大丈夫だって……！			脅かさないでよ！大丈夫、大丈夫だって……！			アンデンの選択							
それなら、さっそく試してみましょう。あなたは無事に、元の姿へ戻れるかしらね……？			それなら、さっそく試してみましょう。あなたは無事に、元の姿へ戻れるかしらね……？			アンデンの選択							
やった……！ちゃんと人の姿に戻れたぞ～～っ！			やった……！ちゃんと人の姿に戻れたぞ～～っ！			アンデンの選択							
すごい、すごい！根っこで地面と繋がってる感覚もなくなったよ！			すごい、すごい！根っこで地面と繋がってる感覚もなくなったよ！			アンデンの選択							
アンデンさんの懐かしい姿をまた見られて、す～～っごく嬉しいわ！　素敵だわ！！			アンデンさんの懐かしい姿をまた見られて、す～～っごく嬉しいわ！　素敵だわ！！			アンデンの選択							
ヴィース族の男は数が少ないからさ、それで最初は、アルバートたちに驚かれたんだ！君も似たような経験があるんじゃない？			ヴィース族の男は数が少ないからさ、それで最初は、アルバートたちに驚かれたんだ！君も似たような経験があるんじゃない？			アンデンの選択							
ヴィース族の男は数が少ないからさ、それで最初は、アルバートたちに驚かれたんだ！			ヴィース族の男は数が少ないからさ、それで最初は、アルバートたちに驚かれたんだ！			アンデンの選択							
元の姿に戻ったおかげか、記憶が鮮明になってきたよ！外に興味が湧いた俺は、故郷のラケティカ大森林を出て、フッブート王国で羊との運命の出会いを果たして移住を決意！			元の姿に戻ったおかげか、記憶が鮮明になってきたよ！外に興味が湧いた俺は、故郷のラケティカ大森林を出て、フッブート王国で羊との運命の出会いを果たして移住を決意！			アンデンの選択							
それで羊飼いとして暮らしていたけど、光の氾濫が起きて……			それで羊飼いとして暮らしていたけど、光の氾濫が起きて……			アンデンの選択							
ど、どうしよう、故郷の里は無事なのかなっ！？森を出た身ではあるけど、確認しに行かないと！			ど、どうしよう、故郷の里は無事なのかなっ！？森を出た身ではあるけど、確認しに行かないと！			アンデンの選択							
アンデンさん、ここから出ていっちゃうの？あの白い化け物が出たときですら、羊が心配だからって、ここを離れなかったのに……！？			アンデンさん、ここから出ていっちゃうの？あの白い化け物が出たときですら、羊が心配だからって、ここを離れなかったのに……！？			アンデンの選択							
ねえ、草人だったあなた。私たちピクシー族はね、お気に入りのヒトのことを、そう簡単には手放さないものなのよ。			ねえ、草人だったあなた。私たちピクシー族はね、お気に入りのヒトのことを、そう簡単には手放さないものなのよ。			アンデンの選択							
あなたを気に入っている子もいることだし、ここに残るのなら、『虹の国』の住民として歓迎しましょう。もちろん、草人にはせずにね。			あなたを気に入っている子もいることだし、ここに残るのなら、『虹の国』の住民として歓迎しましょう。もちろん、草人にはせずにね。			アンデンの選択							
でも、今のあなたはもうこの地に縛られてはいない……あなたが望むのなら、私の若木のように旅だってできる。だから、どうしていきたいのかは、よくよく考えるべきだわ。			でも、今のあなたはもうこの地に縛られてはいない……あなたが望むのなら、私の若木のように旅だってできる。だから、どうしていきたいのかは、よくよく考えるべきだわ。			アンデンの選択							
ふふっ、久しぶりにあなたと遊べて楽しかったわ！また会いましょうね、私の『かわいい若木』！			ふふっ、久しぶりにあなたと遊べて楽しかったわ！また会いましょうね、私の『かわいい若木』！			アンデンの選択							
むう～～……アンデンさんを、どうにか引き留めなきゃ……。			むう～～……アンデンさんを、どうにか引き留めなきゃ……。			アンデンの選択							
ねえ、ちょっと聞きたいんだけどさぁ、君ってラケティカ大森林には行ったことある？ヴィース族の里に立ち寄ったりは～～……さすがにないかな。			ねえ、ちょっと聞きたいんだけどさぁ、君ってラケティカ大森林には行ったことある？ヴィース族の里に立ち寄ったりは～～……さすがにないかな。			アンデンの選択							
ええっ、ファノヴの里に行ったことがあるって！？しかも君が「ロンカの同盟者」だなんて驚いたなぁ……！			ええっ、ファノヴの里に行ったことがあるって！？しかも君が「ロンカの同盟者」だなんて驚いたなぁ……！			アンデンの選択							
俺の故郷はラケティカ大森林のかなり奥のほうだから、ひとまず様子を見に行くなら、そこがいいかも？			俺の故郷はラケティカ大森林のかなり奥のほうだから、ひとまず様子を見に行くなら、そこがいいかも？			アンデンの選択							
Forename、ファノヴの里まで付き合ってもらえない？ここでのことを、うまく説明する自信がなくて……。			Forename、ファノヴの里まで付き合ってもらえない？ここでのことを、うまく説明する自信がなくて……。			アンデンの選択							
ありがとうっ！君が同行してくれるなら心強いよぉ……！			ありがとうっ！君が同行してくれるなら心強いよぉ……！			アンデンの選択							
や、やだやだぁ～～！アンデンさん、行っちゃダメ！これからも、ずっとここにいればいいじゃない！			や、やだやだぁ～～！アンデンさん、行っちゃダメ！これからも、ずっとここにいればいいじゃない！			アンデンの選択							
アンデンさんったら、ひどいわ！化け物にならずに、ずっと羊たちと一緒にいられるよう、あなたを草人にしようって、私がみんなに提案してあげたのに！			アンデンさんったら、ひどいわ！化け物にならずに、ずっと羊たちと一緒にいられるよう、あなたを草人にしようって、私がみんなに提案してあげたのに！			アンデンの選択							
ええっ！？いたずらで草人にしたんじゃなくて、俺のためを思ってやってくれたってこと！？			ええっ！？いたずらで草人にしたんじゃなくて、俺のためを思ってやってくれたってこと！？			アンデンの選択							
あ～～そう、なのかぁ……。でも、森のことは気になるし……困ったなぁ。			あ～～そう、なのかぁ……。でも、森のことは気になるし……困ったなぁ。			アンデンの選択							
ごめん、ちょっと時間かかるかもしれないけど……エオ＝ティルとちゃんと話をしてから向かうから、「ファノヴの里」の近くで待ってて！			ごめん、ちょっと時間かかるかもしれないけど……エオ＝ティルとちゃんと話をしてから向かうから、「ファノヴの里」の近くで待ってて！			アンデンの選択							
