オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
ノルトータと話す			ノルトータと話す			ギルドシップのモブハント（初級）							
もしかして……アナタ、Forenameさん？			もしかして……アナタ、Forenameさん？			ギルドシップのモブハント（初級）							
やっぱり……！実は、とある仕事をご紹介したくて、高名な冒険者であるアナタを探していたんです！			やっぱり……！実は、とある仕事をご紹介したくて、高名な冒険者であるアナタを探していたんです！			ギルドシップのモブハント（初級）							
その名も「ギルドシップ・モブハント」！グリーナーの互助組織である「グリーナーズ・ギルドシップ」が、エオルゼアの制度を模倣して始めた、狩猟依頼制度です！			その名も「ギルドシップ・モブハント」！グリーナーの互助組織である「グリーナーズ・ギルドシップ」が、エオルゼアの制度を模倣して始めた、狩猟依頼制度です！			ギルドシップのモブハント（初級）							
相応の報酬も用意していますので、興味がありましたら、ペリスタイルにいる「ノルトータ」に声をかけてくださいね！			相応の報酬も用意していますので、興味がありましたら、ペリスタイルにいる「ノルトータ」に声をかけてくださいね！			ギルドシップのモブハント（初級）							
はい、こちらは「ギルドシップ・モブハント」の窓口です。ご依頼の方ですか？			はい、こちらは「ギルドシップ・モブハント」の窓口です。ご依頼の方ですか？			ギルドシップのモブハント（初級）							
あなたがForenameさんですか！よかった……何人かのグリーナーに、あなたを見かけたらこの仕事を紹介するよう頼んでいたのですよ。			あなたがForenameさんですか！よかった……何人かのグリーナーに、あなたを見かけたらこの仕事を紹介するよう頼んでいたのですよ。			ギルドシップのモブハント（初級）							
現在、オールド・シャーレアンでは、物資の調達人「グリーナー」への依頼が急増しているのです。状況に応じるため、我々はモブハント制度を立ち上げました。			現在、オールド・シャーレアンでは、物資の調達人「グリーナー」への依頼が急増しているのです。状況に応じるため、我々はモブハント制度を立ち上げました。			ギルドシップのモブハント（初級）							
しかし、対象となるような「戦闘を前提とした調達依頼」を、任せられる腕利きとなると、限られておりまして……。			しかし、対象となるような「戦闘を前提とした調達依頼」を、任せられる腕利きとなると、限られておりまして……。			ギルドシップのモブハント（初級）							
そんな折、本場エオルゼアでリスキーモブの討伐も任されている、あなたがシャーレアンにいらしていると聞いたのです！これはもう、スカウトせねばならないでしょう！			そんな折、本場エオルゼアでリスキーモブの討伐も任されている、あなたがシャーレアンにいらしていると聞いたのです！これはもう、スカウトせねばならないでしょう！			ギルドシップのモブハント（初級）							
制度そのものは、他の組織のモブハントと似ています。手配書に記された魔物などを倒し、戦利品を持ち帰れば、報酬と交換いたします。			制度そのものは、他の組織のモブハントと似ています。手配書に記された魔物などを倒し、戦利品を持ち帰れば、報酬と交換いたします。			ギルドシップのモブハント（初級）							
強いて注意点を挙げるとしたら……学術都市という場所柄、依頼人に学者や研究者が多く、手配対象が少し……だいぶ……奇抜なところでしょうか。			強いて注意点を挙げるとしたら……学術都市という場所柄、依頼人に学者や研究者が多く、手配対象が少し……だいぶ……奇抜なところでしょうか。			ギルドシップのモブハント（初級）							
ま、まあ……報酬があるなら気にせず仕事に臨むのが、グリーナー……そして冒険者！多少、奇天烈な依頼があっても、大丈夫ですよね……？			ま、まあ……報酬があるなら気にせず仕事に臨むのが、グリーナー……そして冒険者！多少、奇天烈な依頼があっても、大丈夫ですよね……？			ギルドシップのモブハント（初級）							
もちろん、最初から無理難題を、押し付けるような真似はしませんから、ご安心を。まずは「初級」のモブハントから……よろしくお願いいたします！			もちろん、最初から無理難題を、押し付けるような真似はしませんから、ご安心を。まずは「初級」のモブハントから……よろしくお願いいたします！			ギルドシップのモブハント（初級）							
オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：初級」を、入手できるようになりました。			オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：初級」を、入手できるようになりました。			ギルドシップのモブハント（初級）							
手配書に記載されたモブの討伐に成功すると、グリーナーズ・ギルドシップから、特別な報酬と交換できる、「モブハントの戦利品」を得ることができます。			手配書に記載されたモブの討伐に成功すると、グリーナーズ・ギルドシップから、特別な報酬と交換できる、「モブハントの戦利品」を得ることができます。			ギルドシップのモブハント（初級）							
なお、報酬との交換は、オールド・シャーレアンの「ジャ・ラクシャイ」、ラザハンの「ウィルメッタ」より、行うことができます。			なお、報酬との交換は、オールド・シャーレアンの「ジャ・ラクシャイ」、ラザハンの「ウィルメッタ」より、行うことができます。			ギルドシップのモブハント（初級）							
また、「レベル83」以上になり、「メインクエスト」を特定の状態まで完了すると、ノルトータから、新たなクエストが受注できます。			また、「レベル83」以上になり、「メインクエスト」を特定の状態まで完了すると、ノルトータから、新たなクエストが受注できます。			ギルドシップのモブハント（初級）							
特殊ルール： レベルアジャストアゴラのバルドスィスは、外から来た冒険者に興味があるようだ。			特殊ルール： レベルアジャストアゴラのバルドスィスは、外から来た冒険者に興味があるようだ。			シャーレアン初級史学講義							
サリャク像を眺める男性と話す			サリャク像を眺める男性と話す			シャーレアン初級史学講義							
サリャク像を眺める男性と再度話す			サリャク像を眺める男性と再度話す			シャーレアン初級史学講義							
バルドスィスと話す			バルドスィスと話す			シャーレアン初級史学講義							
お姉さんお兄さん、見ない顔だね。シャーレアンの外から来た、旅人さんかな？			お姉さんお兄さん、見ない顔だね。シャーレアンの外から来た、旅人さんかな？			シャーレアン初級史学講義							
やっぱり！急にすまないね、最近は外からのお客さんも珍しいから、なんだか嬉しくて、つい声をかけちまったのさ。			やっぱり！急にすまないね、最近は外からのお客さんも珍しいから、なんだか嬉しくて、つい声をかけちまったのさ。			シャーレアン初級史学講義							
そうだ！お姉さんお兄さん、この街の歴史に興味はあるかい？もしよければ、講師役にちょうどいい人を紹介してあげるよ。			そうだ！お姉さんお兄さん、この街の歴史に興味はあるかい？もしよければ、講師役にちょうどいい人を紹介してあげるよ。			シャーレアン初級史学講義							
