メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			王の家族							
コーナと話した。ロネークの異常な行動の原因が、ヅルヘイゾヒリと呼ばれる天敵である可能性が浮上した。戦いに備えつつ、シャーローニ荒野のメワヘイゾーンにいる「コーナ」と話そう。			コーナと話した。ロネークの異常な行動の原因が、ヅルヘイゾヒリと呼ばれる天敵である可能性が浮上した。戦いに備えつつ、シャーローニ荒野のメワヘイゾーンにいる「コーナ」と話そう。			王の家族							
怯えるロネークたちを避難させながら、ヅルヘイゾヒリを討伐した。メワヘイゾーンに帰還しよう。			怯えるロネークたちを避難させながら、ヅルヘイゾヒリを討伐した。メワヘイゾーンに帰還しよう。			王の家族							
無事にロネークたちを護り抜いたコーナは、実の両親にまつわる真実を知った。メワヘイゾーンの「コーナ」と話そう。			無事にロネークたちを護り抜いたコーナは、実の両親にまつわる真実を知った。メワヘイゾーンの「コーナ」と話そう。			王の家族							
コーナと話した。シャーローニ荒野のシャーローニ駅にいる「ワーリカ」と話そう。			コーナと話した。シャーローニ荒野のシャーローニ駅にいる「ワーリカ」と話そう。			王の家族							
新車両の試運転は成功に終わった。シャーローニ駅の「ニトウィケ」と話そう。			新車両の試運転は成功に終わった。シャーローニ駅の「ニトウィケ」と話そう。			王の家族							
ニトウィケと話した。サカ・トラル・レールロードの営業再開が決まり、やる気に満ちているようだ。次の行動をウクラマトと相談しよう。			ニトウィケと話した。サカ・トラル・レールロードの営業再開が決まり、やる気に満ちているようだ。次の行動をウクラマトと相談しよう。			王の家族							
コーナと話す			コーナと話す			王の家族							
コーナと再度話す			コーナと再度話す			王の家族							
ワーリカと話す			ワーリカと話す			王の家族							
ニトウィケと話す			ニトウィケと話す			王の家族							
エレンヴィルとウクラマト様も、そろそろ戻ってくるかな？			エレンヴィルとウクラマト様も、そろそろ戻ってくるかな？			王の家族							
コーナ兄さん、そっちの調子はどうだ？			コーナ兄さん、そっちの調子はどうだ？			王の家族							
ヘイゾとは、生活を導く存在である。その意味がわかったような気がします。			ヘイゾとは、生活を導く存在である。その意味がわかったような気がします。			王の家族							
ロネークの肉によって人は養われ、毛や皮は衣服や天幕となって、衣食住を支えていました。			ロネークの肉によって人は養われ、毛や皮は衣服や天幕となって、衣食住を支えていました。			王の家族							
一方で、メワヘイゾーンの人々は、それほど役立つ存在を、柵に囲おうとはしていません。			一方で、メワヘイゾーンの人々は、それほど役立つ存在を、柵に囲おうとはしていません。			王の家族							
なぜなら、ロネークは繊細な心を持ち、周囲の環境変化に影響を受けやすいと知っているから……。毛をすいて病を防ぎ、負傷すれば助けますが、束縛しないのです。			なぜなら、ロネークは繊細な心を持ち、周囲の環境変化に影響を受けやすいと知っているから……。毛をすいて病を防ぎ、負傷すれば助けますが、束縛しないのです。			王の家族							
つまり我々がすべきは柵を作ることや、強制的に群れを線路から引き離すことではありません。ロネークが自由に生きられる環境を整えること……。			つまり我々がすべきは柵を作ることや、強制的に群れを線路から引き離すことではありません。ロネークが自由に生きられる環境を整えること……。			王の家族							
そこで役立つのが、ウクラマトと調べてきた情報だ。本来、ロネークたちが餌場としている場所に行ってきたが、草は青々と茂り、問題はないように見えた。			そこで役立つのが、ウクラマトと調べてきた情報だ。本来、ロネークたちが餌場としている場所に行ってきたが、草は青々と茂り、問題はないように見えた。			王の家族							
ただ、静か過ぎたんだ。ロネークだけじゃなく、野ネズミや鳥さえ消えちまってて……唯一見たのは、慌てて逃げるケラトラプトルの群れくらいさ。			ただ、静か過ぎたんだ。ロネークだけじゃなく、野ネズミや鳥さえ消えちまってて……唯一見たのは、慌てて逃げるケラトラプトルの群れくらいさ。			王の家族							
野生動物が逃げ出すのは、地震や洪水など、災害の前触れであることが多い……			野生動物が逃げ出すのは、地震や洪水など、災害の前触れであることが多い……			王の家族							
俺もそう思って環境エーテルを調べたものの、目立った異常は見られず……ただ、ひとつだけ気になることが。			俺もそう思って環境エーテルを調べたものの、目立った異常は見られず……ただ、ひとつだけ気になることが。			王の家族							
餌場の東側から、強大な生体エーテルの反応が検知され、しかも、ゆっくりとだが確実に移動してた。そこから導き出せるのは……			餌場の東側から、強大な生体エーテルの反応が検知され、しかも、ゆっくりとだが確実に移動してた。そこから導き出せるのは……			王の家族							
何と言う？			何と言う？			王の家族							
エーテルの発生源は、動物……？			エーテルの発生源は、動物……？			王の家族							
