特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
※本クエストには「 レベルアジャスト」が、　設定されています。オグルと話した。マタンガ族に怯える彼女は、島外へ出るための船賃を稼ぎたいようだ。サベネア島のイェドリマンで「オグル」と話そう。			※本クエストには「 レベルアジャスト」が、　設定されています。オグルと話した。マタンガ族に怯える彼女は、島外へ出るための船賃を稼ぎたいようだ。サベネア島のイェドリマンで「オグル」と話そう。			アジムステップの若き冒険者							
オグルたちと話した。イェドリマン西の「アルカソーダラ族の職人長」と話そう。			オグルたちと話した。イェドリマン西の「アルカソーダラ族の職人長」と話そう。			アジムステップの若き冒険者							
アルカソーダラ族の職人長と話した。イェドリマン北で「オグル」を探そう。			アルカソーダラ族の職人長と話した。イェドリマン北で「オグル」を探そう。			アジムステップの若き冒険者							
オグルを見つけて、現れた魔物を討伐した。イェドリマン北で「負傷したアルカソーダラ族」を救助しよう。			オグルを見つけて、現れた魔物を討伐した。イェドリマン北で「負傷したアルカソーダラ族」を救助しよう。			アジムステップの若き冒険者							
負傷したアルカソーダラ族を救助した。イェドリマン西で「アルカソーダラ族の職人長」と話そう。			負傷したアルカソーダラ族を救助した。イェドリマン西で「アルカソーダラ族の職人長」と話そう。			アジムステップの若き冒険者							
アルカソーダラ族の職人長と話した。イェドリマンの「カーンチャナ」に報告しよう。			アルカソーダラ族の職人長と話した。イェドリマンの「カーンチャナ」に報告しよう。			アジムステップの若き冒険者							
カーンチャナに報告した。オグルのマタンガ族への恐怖は、かなり根深いようだ。危なっかしい彼女に、しばらく付き合ってあげよう。			カーンチャナに報告した。オグルのマタンガ族への恐怖は、かなり根深いようだ。危なっかしい彼女に、しばらく付き合ってあげよう。			アジムステップの若き冒険者							
オグルと話す			オグルと話す			アジムステップの若き冒険者							
アルカソーダラ族の職人長と話す			アルカソーダラ族の職人長と話す			アジムステップの若き冒険者							
オグルを探す			オグルを探す			アジムステップの若き冒険者							
負傷したアルカソーダラ族を救助			負傷したアルカソーダラ族を救助			アジムステップの若き冒険者							
アルカソーダラ族の職人長と話す			アルカソーダラ族の職人長と話す			アジムステップの若き冒険者							
カーンチャナに報告			カーンチャナに報告			アジムステップの若き冒険者							
ううっ、なんでマタンガ族がこんなに……ここは人の街じゃないのかよぉ！			ううっ、なんでマタンガ族がこんなに……ここは人の街じゃないのかよぉ！			アジムステップの若き冒険者							
あ、ああっ！知ってるぞ、姐さん兄さんのこと！終節の合戦で、モル族と一緒に戦ってたよな！？			あ、ああっ！知ってるぞ、姐さん兄さんのこと！終節の合戦で、モル族と一緒に戦ってたよな！？			アジムステップの若き冒険者							
私は、カタイン族のオグルだ！姐さん兄さんみたいな、旅しながら人助けする冒険者になりたくて、故郷を飛び出してきたんだけど……			私は、カタイン族のオグルだ！姐さん兄さんみたいな、旅しながら人助けする冒険者になりたくて、故郷を飛び出してきたんだけど……			アジムステップの若き冒険者							
ここ、マタンガ族の街なのか？見つかったら、アウラ族は皆殺しにされるんじゃないのか！？			ここ、マタンガ族の街なのか？見つかったら、アウラ族は皆殺しにされるんじゃないのか！？			アジムステップの若き冒険者							
何と言う？			何と言う？			アジムステップの若き冒険者							
