トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
ボロガーと話す			ボロガーと話す			トラル大陸のモブハント（初級）							
失礼……。もしや貴殿、ウクラマト王女の旅に同道するという、Forename Surname殿では？			失礼……。もしや貴殿、ウクラマト王女の旅に同道するという、Forename Surname殿では？			トラル大陸のモブハント（初級）							
失礼……。もしや貴殿、ウクラマト様とともに継承の儀を乗り越えた、Forename Surname殿では？			失礼……。もしや貴殿、ウクラマト様とともに継承の儀を乗り越えた、Forename Surname殿では？			トラル大陸のモブハント（初級）							
やはりそうでしたか！実は、稀なる武力を持つ貴殿にうってつけの仕事をご紹介したく、お探ししていたのです。			やはりそうでしたか！実は、稀なる武力を持つ貴殿にうってつけの仕事をご紹介したく、お探ししていたのです。			トラル大陸のモブハント（初級）							
外つ国より来られたあなたなら、「モブハント」と言えば通じますかな？それと同様の制度が、トライヨラにもあるのですよ。			外つ国より来られたあなたなら、「モブハント」と言えば通じますかな？それと同様の制度が、トライヨラにもあるのですよ。			トラル大陸のモブハント（初級）							
もしご興味がございましたら、ベイサイド・ベヴィーにいる「ボロガー」にお声がけください。二刀を背負ったシュバラール族なので、すぐにわかるはずですぞ。			もしご興味がございましたら、ベイサイド・ベヴィーにいる「ボロガー」にお声がけください。二刀を背負ったシュバラール族なので、すぐにわかるはずですぞ。			トラル大陸のモブハント（初級）							
おや、貴方は……。			おや、貴方は……。			トラル大陸のモブハント（初級）							
ふむ……ゆったりとした立ち姿ながら、一分の隙もない。相当な手練れとお見受けしますが、もしや、トラルモブハント組合にご用事でも？			ふむ……ゆったりとした立ち姿ながら、一分の隙もない。相当な手練れとお見受けしますが、もしや、トラルモブハント組合にご用事でも？			トラル大陸のモブハント（初級）							
ほう、武の院からご紹介の、Forenameさん……。力ある狩人は常に求めておりますし、それがモブハントに親しんだ外つ国の方なら、なお歓迎ですよ。			ほう、武の院からご紹介の、Forenameさん……。力ある狩人は常に求めておりますし、それがモブハントに親しんだ外つ国の方なら、なお歓迎ですよ。			トラル大陸のモブハント（初級）							
貴方のご助力に感謝を。さっそく、トラル大陸における「トラルモブハント」について、大まかに説明いたしましょう。			貴方のご助力に感謝を。さっそく、トラル大陸における「トラルモブハント」について、大まかに説明いたしましょう。			トラル大陸のモブハント（初級）							
