ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			蛮神の真なる力							
冒険者が帝国と戦っている間に、各地の蛮族が「神降ろし」を始めていたらしい。再召喚された蛮神を倒すよう、ミンフィリアから依頼された。詳しい話は、砂の家の「ウリエンジェ」に聞いてみよう。			冒険者が帝国と戦っている間に、各地の蛮族が「神降ろし」を始めていたらしい。再召喚された蛮神を倒すよう、ミンフィリアから依頼された。詳しい話は、砂の家の「ウリエンジェ」に聞いてみよう。			蛮神の真なる力							
ウリエンジェによると、アマルジャ族、イクサル族、コボルド族が「神降ろし」を始めたらしい。最もその行動が早かったアマルジャ族の最新情報を聞くため、砂の家にいるサンクレッドに話を聞いてみよう。			ウリエンジェによると、アマルジャ族、イクサル族、コボルド族が「神降ろし」を始めたらしい。最もその行動が早かったアマルジャ族の最新情報を聞くため、砂の家にいるサンクレッドに話を聞いてみよう。			蛮神の真なる力							
ウリエンジェと話す			ウリエンジェと話す			蛮神の真なる力							
Forename。さっそくなんだけど……光の戦士である、あなたの力を借りたいの。			Forename。さっそくなんだけど……光の戦士である、あなたの力を借りたいの。			蛮神の真なる力							
帝国軍のアルテマウェポンが排除されたことで、各地の蛮族勢力が、ふたたび動きを活発化させているの。……そう、「神降ろし」を再開したのよ。			帝国軍のアルテマウェポンが排除されたことで、各地の蛮族勢力が、ふたたび動きを活発化させているの。……そう、「神降ろし」を再開したのよ。			蛮神の真なる力							
アマルジャ族の蛮神「イフリート」を始めとして、イクサル族の「ガルーダ」に、コボルド族の「タイタン」だ。これまで君が戦ってきた蛮神たちが勢揃いさ。			アマルジャ族の蛮神「イフリート」を始めとして、イクサル族の「ガルーダ」に、コボルド族の「タイタン」だ。これまで君が戦ってきた蛮神たちが勢揃いさ。			蛮神の真なる力							
……しかも、大量にクリスタルを捧げたみたいでね。前回の比じゃない量を溜めこんでいたらしい。			……しかも、大量にクリスタルを捧げたみたいでね。前回の比じゃない量を溜めこんでいたらしい。			蛮神の真なる力							
とゆーことは、召喚された蛮神は間違いなく、前に戦ったときより、強くなっているはずだよー！			とゆーことは、召喚された蛮神は間違いなく、前に戦ったときより、強くなっているはずだよー！			蛮神の真なる力							
それも、おそらく圧倒的にね……。……いわば「真」の蛮神といったところかしら。			それも、おそらく圧倒的にね……。……いわば「真」の蛮神といったところかしら。			蛮神の真なる力							
アルテマウェポンに、いとも簡単に吸収された三蛮神……。蛮族たちも、あれに対抗するため、準備を進めていたってことか……。			アルテマウェポンに、いとも簡単に吸収された三蛮神……。蛮族たちも、あれに対抗するため、準備を進めていたってことか……。			蛮神の真なる力							
各国のグランドカンパニーは、攻勢に転じた蛮族への対応で精一杯……。			各国のグランドカンパニーは、攻勢に転じた蛮族への対応で精一杯……。			蛮神の真なる力							
それに、帝国の脅威が去って、市民の目は再び国内問題に向いているわ。とても動ける状態ではないの。			それに、帝国の脅威が去って、市民の目は再び国内問題に向いているわ。とても動ける状態ではないの。			蛮神の真なる力							
そこで……三国の盟主は貴方の名をあげた……。英雄、Forename Surname……。			そこで……三国の盟主は貴方の名をあげた……。英雄、Forename Surname……。			蛮神の真なる力							
モードゥナで聞いた、あの咆哮……。記録されていたエーテルの波形をみるかぎり、各地の蛮神とは直接関係はないでしょう。			モードゥナで聞いた、あの咆哮……。記録されていたエーテルの波形をみるかぎり、各地の蛮神とは直接関係はないでしょう。			蛮神の真なる力							
でも、少なくとも、今回の一連の事件の延長上に、何らかの形で関係していると思うの。			でも、少なくとも、今回の一連の事件の延長上に、何らかの形で関係していると思うの。			蛮神の真なる力							
帝国との死闘の後で、申し訳ないんだけど……エオルゼアの人々を守るためにも、Forenameの力が必要なの。			帝国との死闘の後で、申し訳ないんだけど……エオルゼアの人々を守るためにも、Forenameの力が必要なの。			蛮神の真なる力							
ありがとう！本当に、頼りにしているわ！			ありがとう！本当に、頼りにしているわ！			蛮神の真なる力							
サンクレッド……？			サンクレッド……？			蛮神の真なる力							
ああ……。			ああ……。			蛮神の真なる力							
あれから、いろいろバタバタしちまって、まともに礼も言えていなかったからな。みんながいるこの場で、改めて言わせてくれ。			あれから、いろいろバタバタしちまって、まともに礼も言えていなかったからな。みんながいるこの場で、改めて言わせてくれ。			蛮神の真なる力							
Forename、ありがとう。こうしてまたお前と話せて、本当に良かった。			Forename、ありがとう。こうしてまたお前と話せて、本当に良かった。			蛮神の真なる力							
俺はずっと力を欲していた。だから、闇のクリスタルの調査に深入りしすぎたんだ。すべては、アシエンの罠だったというのに……。			俺はずっと力を欲していた。だから、闇のクリスタルの調査に深入りしすぎたんだ。すべては、アシエンの罠だったというのに……。			蛮神の真なる力							
……本当に、迷惑をかけてしまったな。もう二度と同じ過ちは犯さないと誓うよ。			……本当に、迷惑をかけてしまったな。もう二度と同じ過ちは犯さないと誓うよ。			蛮神の真なる力							
みんなのおかげで、体の具合もずいぶんと良くなったんだ。これからは、また「暁」の一員として、がんばらせてもらうよ。			みんなのおかげで、体の具合もずいぶんと良くなったんだ。これからは、また「暁」の一員として、がんばらせてもらうよ。			蛮神の真なる力							
よし、「暁の血盟」の活動再開ね！みんな、はりきっていきましょう！			よし、「暁の血盟」の活動再開ね！みんな、はりきっていきましょう！			蛮神の真なる力							
まずは、この「蛮神対策」からね。一度にすべての問題の解決は無理だわ。ひとつひとつ、片付けていくわよ。			まずは、この「蛮神対策」からね。一度にすべての問題の解決は無理だわ。ひとつひとつ、片付けていくわよ。			蛮神の真なる力							
各蛮族の具体的な動きについては、ウリエンジェさんが情報を統括しているわ。彼から話を聞いてみてね。			各蛮族の具体的な動きについては、ウリエンジェさんが情報を統括しているわ。彼から話を聞いてみてね。			蛮神の真なる力							
私が集めた真実……。それは、アマルジャ族、イクサル族、コボルド族の、三蛮族による「神降ろし」の兆候です……。			私が集めた真実……。それは、アマルジャ族、イクサル族、コボルド族の、三蛮族による「神降ろし」の兆候です……。			蛮神の真なる力							
