剣術士ギルドのミラは何やら慌てているようだ。			剣術士ギルドのミラは何やら慌てているようだ。			ナルザルの双剣							
アルディスが女王ナナモ暗殺未遂の容疑で逮捕されたらしい。彼の容疑を晴らすため、決定的な証拠を入手する必要がある。「エメラルドアベニュー」の「エーテライト・プラザ」にいる「ワイモンド」から情報を得よう。			アルディスが女王ナナモ暗殺未遂の容疑で逮捕されたらしい。彼の容疑を晴らすため、決定的な証拠を入手する必要がある。「エメラルドアベニュー」の「エーテライト・プラザ」にいる「ワイモンド」から情報を得よう。			ナルザルの双剣							
アルディスの無罪を証明する証拠はふたつあるようだ。暗殺の際に使われた毒物「ラールガーの胆汁」と、アラクランが取引をした「毒薬の取引明細」。これらを手に入れるため、骸旅団のアジト「放浪者の埋葬地」へ向かおう			アルディスの無罪を証明する証拠はふたつあるようだ。暗殺の際に使われた毒物「ラールガーの胆汁」と、アラクランが取引をした「毒薬の取引明細」。これらを手に入れるため、骸旅団のアジト「放浪者の埋葬地」へ向かおう			ナルザルの双剣							
「ラールガーの胆汁」と「毒薬の取引明細」を手に入れた。「剣術士ギルド」に戻り、「ミラ」に証拠を渡そう。			「ラールガーの胆汁」と「毒薬の取引明細」を手に入れた。「剣術士ギルド」に戻り、「ミラ」に証拠を渡そう。			ナルザルの双剣							
アルディスの身柄は、すでに法務庁から司法官に引き渡されてしまっていた。死刑執行まで時間の問題だ。彼を救うため、処刑場である「ハイブリッジ」に向かい「ナル・ザル教団の司祭」に証拠を渡そう。			アルディスの身柄は、すでに法務庁から司法官に引き渡されてしまっていた。死刑執行まで時間の問題だ。彼を救うため、処刑場である「ハイブリッジ」に向かい「ナル・ザル教団の司祭」に証拠を渡そう。			ナルザルの双剣							
冒険者とミラの活躍でアルディスを助け出すことができた。アルディスとの宿命の対決の末、リーヴォルドは橋から身を投げてしまったが……。一度「剣術士ギルド」に戻り「ミラ」と話そう。			冒険者とミラの活躍でアルディスを助け出すことができた。アルディスとの宿命の対決の末、リーヴォルドは橋から身を投げてしまったが……。一度「剣術士ギルド」に戻り「ミラ」と話そう。			ナルザルの双剣							
アルディスはアラクランの残党を追うため、剣術士ギルドに別れを告げ、そして去っていった。傷心のミラは気力を奮い立たせ、鬼のギルドマスターとしてふたたび剣術士ギルドをまとめるのだった。			アルディスはアラクランの残党を追うため、剣術士ギルドに別れを告げ、そして去っていった。傷心のミラは気力を奮い立たせ、鬼のギルドマスターとしてふたたび剣術士ギルドをまとめるのだった。			ナルザルの双剣							
エーテライト・プラザのワイモンドと話す			エーテライト・プラザのワイモンドと話す			ナルザルの双剣							
放浪者の埋葬地で毒薬の取引明細を入手			放浪者の埋葬地で毒薬の取引明細を入手			ナルザルの双剣							
放浪者の埋葬地でラールガーの胆汁を入手			放浪者の埋葬地でラールガーの胆汁を入手			ナルザルの双剣							
剣術士ギルドのミラに証拠品を渡す			剣術士ギルドのミラに証拠品を渡す			ナルザルの双剣							
ハイブリッジのナル・ザル教団の司祭に証拠品を渡す			ハイブリッジのナル・ザル教団の司祭に証拠品を渡す			ナルザルの双剣							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			ナルザルの双剣							
