格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			拳の聖人							
ハモンは、ひとりでの修行には限界があるため、冒険者と共に修行したいようだ。サゴリー砂漠の「忘れられたオアシス」に向かい、「ハモン」と合流しよう。			ハモンは、ひとりでの修行には限界があるため、冒険者と共に修行したいようだ。サゴリー砂漠の「忘れられたオアシス」に向かい、「ハモン」と合流しよう。			拳の聖人							
ハモンとの手合わせの前に肩慣らしとして、オアシスに棲む「サンドウォーム」を5体倒そう。			ハモンとの手合わせの前に肩慣らしとして、オアシスに棲む「サンドウォーム」を5体倒そう。			拳の聖人							
サンドウォームを倒した。「忘れられたオアシス」の「ハモン」に報告しよう。			サンドウォームを倒した。「忘れられたオアシス」の「ハモン」に報告しよう。			拳の聖人							
昔の自分を取り戻したハモンのところに、チュチュトがやってきた。ヴェッグファルがついに勝負を挑んできたのだ。ウルダハの「エメラルドアベニュー」で待つ「ヴェッグファル」に会おう。			昔の自分を取り戻したハモンのところに、チュチュトがやってきた。ヴェッグファルがついに勝負を挑んできたのだ。ウルダハの「エメラルドアベニュー」で待つ「ヴェッグファル」に会おう。			拳の聖人							
負けを認められないヴェッグファルがプルトー香を使い、部下とともに襲ってきた。反旗を翻したルルクタと共に戦い「皆の勝利」を得ることができた冒険者。「格闘士ギルド」に戻って「ハモン」と話そう。			負けを認められないヴェッグファルがプルトー香を使い、部下とともに襲ってきた。反旗を翻したルルクタと共に戦い「皆の勝利」を得ることができた冒険者。「格闘士ギルド」に戻って「ハモン」と話そう。			拳の聖人							
冒険者の活躍で、事件は解決した。一緒に戦ったルルクタは、アラクランから抜け、旅をしながら修行し「拳聖のハモン」のような伝説をつくるという。冒険者もまた、修行を積み重ねて「新たな拳聖」を目指そう。			冒険者の活躍で、事件は解決した。一緒に戦ったルルクタは、アラクランから抜け、旅をしながら修行し「拳聖のハモン」のような伝説をつくるという。冒険者もまた、修行を積み重ねて「新たな拳聖」を目指そう。			拳の聖人							
忘れられたオアシスのハモンと話す			忘れられたオアシスのハモンと話す			拳の聖人							
サンドウォームを討伐			サンドウォームを討伐			拳の聖人							
忘れられたオアシスのハモンに報告			忘れられたオアシスのハモンに報告			拳の聖人							
エメラルドアベニューのヴェッグファルと話す			エメラルドアベニューのヴェッグファルと話す			拳の聖人							
