斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			宿縁を断ち切る日							
ヴィルンズーンによると、クジャタがレッドルースター農場近くに現れたという。クジャタとの決戦を控え、低地ラノシアの「レッドルースター農場」にて療養中の「シガード」と話そう。			ヴィルンズーンによると、クジャタがレッドルースター農場近くに現れたという。クジャタとの決戦を控え、低地ラノシアの「レッドルースター農場」にて療養中の「シガード」と話そう。			宿縁を断ち切る日							
シガードを訪ねると、あらためてクジャタを倒すことを託された。自分に助力するため、「レッドルースター農場」に駆け付けた「ソルクウィブ」「ブルーンバル」と話そう。			シガードを訪ねると、あらためてクジャタを倒すことを託された。自分に助力するため、「レッドルースター農場」に駆け付けた「ソルクウィブ」「ブルーンバル」と話そう。			宿縁を断ち切る日							
ソルクウィブたちも、クジャタとの決戦に加勢してくれるという。彼女の助言に従い、「レッドルースター農場」周辺にて、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			ソルクウィブたちも、クジャタとの決戦に加勢してくれるという。彼女の助言に従い、「レッドルースター農場」周辺にて、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			宿縁を断ち切る日							
クジャタの姿は、あたりに見つからなかった。ひき続き、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			クジャタの姿は、あたりに見つからなかった。ひき続き、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			宿縁を断ち切る日							
クジャタは、まだ見つからない。ひき続き、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			クジャタは、まだ見つからない。ひき続き、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			宿縁を断ち切る日							
クジャタは、やはり見つからない。ひき続き、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			クジャタは、やはり見つからない。ひき続き、クジャタにつきまとう魔物の群れが荒らしている荷を探そう。			宿縁を断ち切る日							
追い続けていたクジャタと、ついに対決し、討伐することができた。ヴィルンズーンが連れてきたシガードたちとともに、念願の勝利を祝った。斧術士を目指すと誓ったシガードを見送り、その場に残った「ヴィルンズーン」たちに話しかけよう。			追い続けていたクジャタと、ついに対決し、討伐することができた。ヴィルンズーンが連れてきたシガードたちとともに、念願の勝利を祝った。斧術士を目指すと誓ったシガードを見送り、その場に残った「ヴィルンズーン」たちに話しかけよう。			宿縁を断ち切る日							
ヴィルンズーンは冒険者の奮闘を称えた。「斧術士ギルド」へ凱旋し、「ヴィルンズーン」と話そう。			ヴィルンズーンは冒険者の奮闘を称えた。「斧術士ギルド」へ凱旋し、「ヴィルンズーン」と話そう。			宿縁を断ち切る日							
ヴィルンズーンは、自分が教えることはもうないと言いつつも、冒険者は斧術士としてさらなる上を目指すべきだと語る。そして、さらなる克己を重ね、自分以上の高みにまで達したとき、その姿を見せてほしいと語った。ヴィルンズーンの期待を背に受けて、冒険者は斧術士ギルドから巣立っていくことになった。			ヴィルンズーンは、自分が教えることはもうないと言いつつも、冒険者は斧術士としてさらなる上を目指すべきだと語る。そして、さらなる克己を重ね、自分以上の高みにまで達したとき、その姿を見せてほしいと語った。ヴィルンズーンの期待を背に受けて、冒険者は斧術士ギルドから巣立っていくことになった。			宿縁を断ち切る日							
レッドルースター農場のシガードと話す			レッドルースター農場のシガードと話す			宿縁を断ち切る日							
ソルクウィブと話す			ソルクウィブと話す			宿縁を断ち切る日							
ブルーンバルと話す			ブルーンバルと話す			宿縁を断ち切る日							
魔物が襲撃した痕跡を調べる			魔物が襲撃した痕跡を調べる			宿縁を断ち切る日							
ヴィルンズーンと話す			ヴィルンズーンと話す			宿縁を断ち切る日							
ソルクウィブと話す			ソルクウィブと話す			宿縁を断ち切る日							
ブルーンバルと話す			ブルーンバルと話す			宿縁を断ち切る日							
斧術士ギルドのヴィルンズーンと話す			斧術士ギルドのヴィルンズーンと話す			宿縁を断ち切る日							
……心して聞け。クジャタとの決戦のときがきた。ついに、クジャタが現れたのだ。			……心して聞け。クジャタとの決戦のときがきた。ついに、クジャタが現れたのだ。			宿縁を断ち切る日							
奴が現れたのは、レッドルースター農場の北東、「グレイフリート風車群」付近だという。			奴が現れたのは、レッドルースター農場の北東、「グレイフリート風車群」付近だという。			宿縁を断ち切る日							
この期に及んで、俺が言うべきことは何もない。血と汗と引き替えに身につけた全ての力を使い、奴を……クジャタを倒せ。			この期に及んで、俺が言うべきことは何もない。血と汗と引き替えに身につけた全ての力を使い、奴を……クジャタを倒せ。			宿縁を断ち切る日							
未だ療養中の、あの少年は信じている。お前の勇戦を、そして勝利をな。			未だ療養中の、あの少年は信じている。お前の勇戦を、そして勝利をな。			宿縁を断ち切る日							
戦いの前に、少年のところへ寄って行くがいい。これから仇を取るということを、伝えてやれ。彼の心も安らぐだろう。			戦いの前に、少年のところへ寄って行くがいい。これから仇を取るということを、伝えてやれ。彼の心も安らぐだろう。			宿縁を断ち切る日							
ならば……出陣の時だ！任せたぞ、斧術士Forename Surnameよ！！			ならば……出陣の時だ！任せたぞ、斧術士Forename Surnameよ！！			宿縁を断ち切る日							
あっ……姉ちゃん兄ちゃん……来て……くれたんだ……。ごめんよ、家を飛び出したりして……。			あっ……姉ちゃん兄ちゃん……来て……くれたんだ……。ごめんよ、家を飛び出したりして……。			宿縁を断ち切る日							
……うん、きっと、おれに罰が当たったんだよ……。だって、おれが怪我をしたのは、姉ちゃん兄ちゃんを信じなかったせいだから……。			……うん、きっと、おれに罰が当たったんだよ……。だって、おれが怪我をしたのは、姉ちゃん兄ちゃんを信じなかったせいだから……。			宿縁を断ち切る日							
絶対に……お願いだよ。あいつを、クジャタをやっつけてくれ！			絶対に……お願いだよ。あいつを、クジャタをやっつけてくれ！			宿縁を断ち切る日							
姉ちゃん兄ちゃんを信じてる。必ず勝つ、勝ってくれる！そう信じてるから……！			姉ちゃん兄ちゃんを信じてる。必ず勝つ、勝ってくれる！そう信じてるから……！			宿縁を断ち切る日							
頼むよ、姉ちゃん兄ちゃん……！！			頼むよ、姉ちゃん兄ちゃん……！！			宿縁を断ち切る日							
クジャタが現れたって聞いてね。戦いに出るアンタのこと、放っておけなくてさ。			クジャタが現れたって聞いてね。戦いに出るアンタのこと、放っておけなくてさ。			宿縁を断ち切る日							
アタイも微力ながら、手助けさせてもらうよ。長いことアンタと付き合ってきたからね、最後まで見届けさせておくれよ。			アタイも微力ながら、手助けさせてもらうよ。長いことアンタと付き合ってきたからね、最後まで見届けさせておくれよ。			宿縁を断ち切る日							
ブルーンバルもね、同じ気持ちだったみたいでさ。だからこうやって、二人でアンタを追いかけてきたんだよ。			ブルーンバルもね、同じ気持ちだったみたいでさ。だからこうやって、二人でアンタを追いかけてきたんだよ。			宿縁を断ち切る日							
……おせっかいとは思ったんだがな、先輩として、お前一人に任せっぱなしも情けないだろ？露払いくらいはやってやるぜ。			……おせっかいとは思ったんだがな、先輩として、お前一人に任せっぱなしも情けないだろ？露払いくらいはやってやるぜ。			宿縁を断ち切る日							
……ここに来る途中に聞いたんだが、すでにクジャタの取り巻きどもが現れて、荷車を使っていた人が襲撃されたらしい。			……ここに来る途中に聞いたんだが、すでにクジャタの取り巻きどもが現れて、荷車を使っていた人が襲撃されたらしい。			宿縁を断ち切る日							
奴らが襲った痕跡を調べてみよう。クジャタを見つける、手がかりになるかもしれん。			奴らが襲った痕跡を調べてみよう。クジャタを見つける、手がかりになるかもしれん。			宿縁を断ち切る日							
クジャタの取り巻きに襲われた荷車から引きずり出された壺のようだ。			クジャタの取り巻きに襲われた荷車から引きずり出された壺のようだ。			宿縁を断ち切る日							
敵の気配を感じた！！			敵の気配を感じた！！			宿縁を断ち切る日							
クジャタの取り巻きに襲われた荷車から引きずり出された樽のようだ。			クジャタの取り巻きに襲われた荷車から引きずり出された樽のようだ。			宿縁を断ち切る日							
クジャタの取り巻きに襲われた荷車から引きずり出された木箱のようだ。			クジャタの取り巻きに襲われた荷車から引きずり出された木箱のようだ。			宿縁を断ち切る日							
クエスト「宿縁を断ち切る日」のバトルを開始しますか？			クエスト「宿縁を断ち切る日」のバトルを開始しますか？			宿縁を断ち切る日							
はい			はい			宿縁を断ち切る日							
いいえ			いいえ			宿縁を断ち切る日							
姉ちゃん兄ちゃんっ！！			姉ちゃん兄ちゃんっ！！			宿縁を断ち切る日							
どうやら、間に合ったようだな……。			どうやら、間に合ったようだな……。			宿縁を断ち切る日							
ギルドマスターのおっちゃんが、おれを抱えて、ここまで連れてきてくれたんだ……。			ギルドマスターのおっちゃんが、おれを抱えて、ここまで連れてきてくれたんだ……。			宿縁を断ち切る日							
……クジャタが倒れてる。本当に、やっつけたんだね……？			……クジャタが倒れてる。本当に、やっつけたんだね……？			宿縁を断ち切る日							
う……うう……父ちゃん、母ちゃん……見てるか？この姉ちゃん兄ちゃんが、仇を取ってくれたよ。			う……うう……父ちゃん、母ちゃん……見てるか？この姉ちゃん兄ちゃんが、仇を取ってくれたよ。			宿縁を断ち切る日							
ありがとう、ホントにありがとう……。おれ、何て言っていいか……。			ありがとう、ホントにありがとう……。おれ、何て言っていいか……。			宿縁を断ち切る日							
……なぁ、姉ちゃん兄ちゃん。おれも姉ちゃん兄ちゃんみたいになれるかな？			……なぁ、姉ちゃん兄ちゃん。おれも姉ちゃん兄ちゃんみたいになれるかな？			宿縁を断ち切る日							
