弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			迷い無き瞳							
シルヴェルは、パワ・ムジュークの手がかりを掴むため、ひとりで密猟者の拠点に向かおうとしているようだ。急ぎ南部森林に向かい、シルヴェルを止めよう。			シルヴェルは、パワ・ムジュークの手がかりを掴むため、ひとりで密猟者の拠点に向かおうとしているようだ。急ぎ南部森林に向かい、シルヴェルを止めよう。			迷い無き瞳							
パワ・ムジュークの一団を混乱させるため、南部森林の「イソム・ハーの穴蔵」の東の泉で「骨細工の警笛」を吹こう。			パワ・ムジュークの一団を混乱させるため、南部森林の「イソム・ハーの穴蔵」の東の泉で「骨細工の警笛」を吹こう。			迷い無き瞳							
密猟者の一団を退け、パワ・ムジュークを捕らえることができた。「弓術士ギルド」に戻り、「ルシアヌ」に報告しよう。			密猟者の一団を退け、パワ・ムジュークを捕らえることができた。「弓術士ギルド」に戻り、「ルシアヌ」に報告しよう。			迷い無き瞳							
冒険者の目と弓が、レイとシルヴェルを支え、パワ・ムジュークの捕縛に繋がったと言うルシアヌ。冒険者は、「見る」と言うことの真髄を掴むことができたようだ。弓術士ギルドの試練を終えた者の証として、「ウィンドバイト」を伝授された。ルシアヌ、レイ、シルヴェルから教わったことを胸に、自分の目を信じて、弓術士としての道を歩んでいこう。			冒険者の目と弓が、レイとシルヴェルを支え、パワ・ムジュークの捕縛に繋がったと言うルシアヌ。冒険者は、「見る」と言うことの真髄を掴むことができたようだ。弓術士ギルドの試練を終えた者の証として、「ウィンドバイト」を伝授された。ルシアヌ、レイ、シルヴェルから教わったことを胸に、自分の目を信じて、弓術士としての道を歩んでいこう。			迷い無き瞳							
南部森林でシルヴェルと話す			南部森林でシルヴェルと話す			迷い無き瞳							
指定地点で骨細工の警笛を吹く			指定地点で骨細工の警笛を吹く			迷い無き瞳							
弓術士ギルドのルシアヌに報告			弓術士ギルドのルシアヌに報告			迷い無き瞳							
密猟者たちを倒せ！			密猟者たちを倒せ！			迷い無き瞳							
白面のパワ・ムジュークたちを倒せ！			白面のパワ・ムジュークたちを倒せ！			迷い無き瞳							
Forename！いいところに……アンタもシルヴェルを止めてくれ！			Forename！いいところに……アンタもシルヴェルを止めてくれ！			迷い無き瞳							
無茶よ、シルヴェル。せめて双蛇党の協力を……			無茶よ、シルヴェル。せめて双蛇党の協力を……			迷い無き瞳							
パワたちの移動まで、もう時間がない。準備が整うのを待っていては、奴らを取り逃がす。			パワたちの移動まで、もう時間がない。準備が整うのを待っていては、奴らを取り逃がす。			迷い無き瞳							
手っ取り早く、密猟者の拠点に乗り込み、パワの情報を吐かせるしかないのだ。こちらが弓術士ひとりなら、油断をするだろう。			手っ取り早く、密猟者の拠点に乗り込み、パワの情報を吐かせるしかないのだ。こちらが弓術士ひとりなら、油断をするだろう。			迷い無き瞳							
シルヴェル……焦る気持ちはわかるが、無謀だ。せめて、アタシとForenameの3人で……			シルヴェル……焦る気持ちはわかるが、無謀だ。せめて、アタシとForenameの3人で……			迷い無き瞳							
……フン。冒険者とムーンキーパーに何がわかる。			……フン。冒険者とムーンキーパーに何がわかる。			迷い無き瞳							
シルヴェル！			シルヴェル！			迷い無き瞳							
わかるよ……故郷とか、仲間の為に戦うこと。いろんなものごとを、ちゃんと見て、知って、戦うこと。			わかるよ……故郷とか、仲間の為に戦うこと。いろんなものごとを、ちゃんと見て、知って、戦うこと。			迷い無き瞳							
「見る」ことの意味をこのギルドで教わったから、アタシたちには、仲間が背負っているものがどれほど大きいか、よく見える。			「見る」ことの意味をこのギルドで教わったから、アタシたちには、仲間が背負っているものがどれほど大きいか、よく見える。			迷い無き瞳							
……俺は、お前らを仲間だと思ったことはない。足手まといだ、ついてくるな。			……俺は、お前らを仲間だと思ったことはない。足手まといだ、ついてくるな。			迷い無き瞳							
……馬鹿なやつだよ。Forename、気づいたか？あいつ、「口元に手を当ててた」。			……馬鹿なやつだよ。Forename、気づいたか？あいつ、「口元に手を当ててた」。			迷い無き瞳							
あれはアタシらを巻き込まないための「嘘」だ。行こう、南部森林へ！　あいつを止めるんだ！			あれはアタシらを巻き込まないための「嘘」だ。行こう、南部森林へ！　あいつを止めるんだ！			迷い無き瞳							
く……っ、こんなところで……			く……っ、こんなところで……			迷い無き瞳							
シルヴェル！			シルヴェル！			迷い無き瞳							
レイ！？　Forename！？なぜ来た！　足手まといだと言っただろう！			レイ！？　Forename！？なぜ来た！　足手まといだと言っただろう！			迷い無き瞳							
なめんじゃないよ。弓術士の目をごまかそうったって、そうはいかない！			なめんじゃないよ。弓術士の目をごまかそうったって、そうはいかない！			迷い無き瞳							
Forename、追っ手を蹴散らすぞ！			Forename、追っ手を蹴散らすぞ！			迷い無き瞳							
……言ったはずだぞ。俺は、お前らを仲間だと思ったことはないと。			……言ったはずだぞ。俺は、お前らを仲間だと思ったことはないと。			迷い無き瞳							
アンタは自分のことが見えてないんだ。嘘をつくときに、口元に手を当てるクセがあること、気づいてないだろ？			アンタは自分のことが見えてないんだ。嘘をつくときに、口元に手を当てるクセがあること、気づいてないだろ？			迷い無き瞳							
……！			……！			迷い無き瞳							
どんな細かいことも見落とさないために、相手の動きをよく見る。観察して、特性を知り、立ち回りを考える。			どんな細かいことも見落とさないために、相手の動きをよく見る。観察して、特性を知り、立ち回りを考える。			迷い無き瞳							
