双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
ジャックから、手分けしてリムサ・ロミンサ内を見張るよう命じられた。リムサ・ロミンサのアフトカースルにある「指定地点」で見渡して、アイシービルを探そう。			ジャックから、手分けしてリムサ・ロミンサ内を見張るよう命じられた。リムサ・ロミンサのアフトカースルにある「指定地点」で見渡して、アイシービルを探そう。			手を伸ばす先の勝利							
双剣士やイエロージャケットが見張りを続ける中、アイシービルが「黒の棺」でミズンマストを倒壊させんと行動を起こした。その野望は双剣士たちの活躍によって食い止められ、「黒の棺」はイエロージャケットが回収することとなった。一方、ジャックの機転により、双剣士ギルドは「銀の涙」を獲得する。これで「秘宝」の所持数は2対1……ミリララとの勝負は、双剣士ギルドの勝利で終わった。双剣士ギルドの「ジャック」と話そう。			双剣士やイエロージャケットが見張りを続ける中、アイシービルが「黒の棺」でミズンマストを倒壊させんと行動を起こした。その野望は双剣士たちの活躍によって食い止められ、「黒の棺」はイエロージャケットが回収することとなった。一方、ジャックの機転により、双剣士ギルドは「銀の涙」を獲得する。これで「秘宝」の所持数は2対1……ミリララとの勝負は、双剣士ギルドの勝利で終わった。双剣士ギルドの「ジャック」と話そう。			手を伸ばす先の勝利							
ジャックは、冒険者のおかげで仕事が成功したと喜んでいた。これから冒険者がどこへ向かったとしても、双剣士の仕事で身に着けた技術を、己の「掟」のために使っていけることだろう。掴んだ勝利を糧にして、さらなる一歩を踏み出していこう。			ジャックは、冒険者のおかげで仕事が成功したと喜んでいた。これから冒険者がどこへ向かったとしても、双剣士の仕事で身に着けた技術を、己の「掟」のために使っていけることだろう。掴んだ勝利を糧にして、さらなる一歩を踏み出していこう。			手を伸ばす先の勝利							
アフトカースルの指定地点で見渡す			アフトカースルの指定地点で見渡す			手を伸ばす先の勝利							
双剣士ギルドのジャックと話す			双剣士ギルドのジャックと話す			手を伸ばす先の勝利							
急進派の長……アイシービルっていったか。奴が「黒の棺」でメルウィブ提督を殺そうとしているなら、「提督室」が狙われる可能性が高い……。			急進派の長……アイシービルっていったか。奴が「黒の棺」でメルウィブ提督を殺そうとしているなら、「提督室」が狙われる可能性が高い……。			手を伸ばす先の勝利							
ほら、溺れた海豚亭やブルワークホールを擁する、「ミズンマスト」って塔があるだろ？あの最上階が、アドミラルブリッジ……提督室さ。			ほら、溺れた海豚亭やブルワークホールを擁する、「ミズンマスト」って塔があるだろ？あの最上階が、アドミラルブリッジ……提督室さ。			手を伸ばす先の勝利							
ミズンマスト周辺は、いわば都市の心臓部……海賊が狙ってるからって、おいそれとは封鎖できねぇ。混乱を防ぐために、市民にも事実は告げないはずだ。			ミズンマスト周辺は、いわば都市の心臓部……海賊が狙ってるからって、おいそれとは封鎖できねぇ。混乱を防ぐために、市民にも事実は告げないはずだ。			手を伸ばす先の勝利							
……となれば、アイシービルがどこから来てもいいように、都市周辺を見張るしかねぇ。ほかの双剣士たちの手も借りて、手分けするぞ。			……となれば、アイシービルがどこから来てもいいように、都市周辺を見張るしかねぇ。ほかの双剣士たちの手も借りて、手分けするぞ。			手を伸ばす先の勝利							
お前は「アフトカースル」周辺の見張りを頼む。必ずアイシービルをシメて、「黒の棺」を奪還すんぞ！			お前は「アフトカースル」周辺の見張りを頼む。必ずアイシービルをシメて、「黒の棺」を奪還すんぞ！			手を伸ばす先の勝利							
お前は「アフトカースル」周辺の見張りを頼む。必ずアイシービルをシメて、「黒の棺」を奪還すんぞ！			お前は「アフトカースル」周辺の見張りを頼む。必ずアイシービルをシメて、「黒の棺」を奪還すんぞ！			手を伸ばす先の勝利							
おめぇさんたち……焦ってるみてぇだな。だが、切羽詰まったときこそ余裕を持て。小さな変化や違和感を、決して見逃すなよ。			おめぇさんたち……焦ってるみてぇだな。だが、切羽詰まったときこそ余裕を持て。小さな変化や違和感を、決して見逃すなよ。			手を伸ばす先の勝利							
「断罪党」の急進派が、提督室を狙ってるですって……！？……状況はわかりました。私は、「溺れた海豚亭」のお客に目を光らせておきます。			「断罪党」の急進派が、提督室を狙ってるですって……！？……状況はわかりました。私は、「溺れた海豚亭」のお客に目を光らせておきます。			手を伸ばす先の勝利							
チッ……霧が濃くなってきやがった。嫌な夜になりそうだぜ……。			チッ……霧が濃くなってきやがった。嫌な夜になりそうだぜ……。			手を伸ばす先の勝利							
市街地の警備が、まったく足りていませんわ！増援はまだですの！？			市街地の警備が、まったく足りていませんわ！増援はまだですの！？			手を伸ばす先の勝利							
