砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			新たな蛮神							
新たな蛮神の脅威が迫っているようだ。東ラノシアの「ワインポート」で待っているという人物を訪ね、蛮神の調査をはじめよう。			新たな蛮神の脅威が迫っているようだ。東ラノシアの「ワインポート」で待っているという人物を訪ね、蛮神の調査をはじめよう。			新たな蛮神							
ワインポートで待っていたのはアリゼーだった。彼女は第七霊災の真実を明らかにすることで、エオルゼアを守ろうとしている。メテオの傷跡を調査するため、まずは東ラノシアの帝国基地「カストルム・オクシデンス」を進攻しよう。			ワインポートで待っていたのはアリゼーだった。彼女は第七霊災の真実を明らかにすることで、エオルゼアを守ろうとしている。メテオの傷跡を調査するため、まずは東ラノシアの帝国基地「カストルム・オクシデンス」を進攻しよう。			新たな蛮神							
カストルム・オクシデンスに進攻した。「ワインポート」の「ジャ・ブロッカ一等甲兵」に報告しよう。			カストルム・オクシデンスに進攻した。「ワインポート」の「ジャ・ブロッカ一等甲兵」に報告しよう。			新たな蛮神							
ジャ・ブロッカ一等甲兵に報告し「大迷宮バハムート」に入れるようになった。エオルゼアの地中深くに、アリゼーの求める第七霊災の真相は眠っているのだろうか？しっかりと準備を整えて、仲間と共に迷宮に挑もう。※コンテンツファインダーから攻略に参加できます。			ジャ・ブロッカ一等甲兵に報告し「大迷宮バハムート」に入れるようになった。エオルゼアの地中深くに、アリゼーの求める第七霊災の真相は眠っているのだろうか？しっかりと準備を整えて、仲間と共に迷宮に挑もう。※コンテンツファインダーから攻略に参加できます。			新たな蛮神							
ワインポートで協力者と話す			ワインポートで協力者と話す			新たな蛮神							
「カストルム・オクシデンス」を進攻			「カストルム・オクシデンス」を進攻			新たな蛮神							
ワインポートのジャ・ブロッカ一等甲兵に報告			ワインポートのジャ・ブロッカ一等甲兵に報告			新たな蛮神							
第七の月が没し……新たなる陽が産声をあげし日……大地を揺るがした咆哮を、覚えておいでですか……？			第七の月が没し……新たなる陽が産声をあげし日……大地を揺るがした咆哮を、覚えておいでですか……？			新たな蛮神							
各地の蛮神との関係を調査したものの、我々が知る中に、それとおぼしき存在はない……。すなわち「新たな蛮神」と言えるでしょう……。			各地の蛮神との関係を調査したものの、我々が知る中に、それとおぼしき存在はない……。すなわち「新たな蛮神」と言えるでしょう……。			新たな蛮神							
屠られし3体の蛮神は、理によりてエーテルに還り……片や新たな蛮神の胎動が大地に響く……。その兆候とおぼしき地震が、頻度を増しています。			屠られし3体の蛮神は、理によりてエーテルに還り……片や新たな蛮神の胎動が大地に響く……。その兆候とおぼしき地震が、頻度を増しています。			新たな蛮神							
先の作戦では、多くの者がエーテルに還りました。各国では、欠けた絆を取り戻せぬまま……。猛る蛮族に踊らされ、憂慮ばかりがつのっています。			先の作戦では、多くの者がエーテルに還りました。各国では、欠けた絆を取り戻せぬまま……。猛る蛮族に踊らされ、憂慮ばかりがつのっています。			新たな蛮神							
迫る危機に……新たな蛮神を討たんとする者あり……。その方は、優秀な冒険者を……あなたの力を必要としています。			迫る危機に……新たな蛮神を討たんとする者あり……。その方は、優秀な冒険者を……あなたの力を必要としています。			新たな蛮神							
新たな蛮神の調査には、盟主も理解を示しています。「暁の血盟」とも縁のあるその方が、「ワインポート」で、あなたの訪れをお待ちでしょう……。			新たな蛮神の調査には、盟主も理解を示しています。「暁の血盟」とも縁のあるその方が、「ワインポート」で、あなたの訪れをお待ちでしょう……。			新たな蛮神							
はじめまして……ではないわね。追悼式典以来かしら？			はじめまして……ではないわね。追悼式典以来かしら？			新たな蛮神							
私は、アリゼー・ルヴェユール。あなたの活躍は兄……アルフィノから聞いていたの。待っていたわ。			私は、アリゼー・ルヴェユール。あなたの活躍は兄……アルフィノから聞いていたの。待っていたわ。			新たな蛮神							
アルテマウェポン破壊作戦を成功に導き、漆黒の王狼……敵将ガイウスを討ち取ったとか。実力は申し分ないようね。			アルテマウェポン破壊作戦を成功に導き、漆黒の王狼……敵将ガイウスを討ち取ったとか。実力は申し分ないようね。			新たな蛮神							
だから、この作戦を行うにあたり、ウリエンジェにあなたをよこしてもらったの。			だから、この作戦を行うにあたり、ウリエンジェにあなたをよこしてもらったの。			新たな蛮神							
