ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			臆病者の牙							
ココブシの目撃情報が「ベスパーベイ」であったようだ「ココブシの情報書」を町人に渡し、情報を集めよう。			ココブシの目撃情報が「ベスパーベイ」であったようだ「ココブシの情報書」を町人に渡し、情報を集めよう。			臆病者の牙							
ココブシは斧術士と呪術士の二人組と一緒にいたようだ。ベスパーベイにいる「ココブキ」に報告しよう。			ココブシは斧術士と呪術士の二人組と一緒にいたようだ。ベスパーベイにいる「ココブキ」に報告しよう。			臆病者の牙							
斧術士と呪術士の冒険者を探しに、ベスパーベイの北へ向かおう。			斧術士と呪術士の冒険者を探しに、ベスパーベイの北へ向かおう。			臆病者の牙							
深手を負った斧術士を見つけ、襲ってきたモルモーズ・ミッショナリーを討伐することができた。「深手を負った斧術士」に話しかけよう。			深手を負った斧術士を見つけ、襲ってきたモルモーズ・ミッショナリーを討伐することができた。「深手を負った斧術士」に話しかけよう。			臆病者の牙							
ココブシはさらに北の「ムーンドリップ洞窟」に呪術士を連れ去ったようだ。モルモーの討伐作戦を実行するため「ココブキ」に話しかけよう。			ココブシはさらに北の「ムーンドリップ洞窟」に呪術士を連れ去ったようだ。モルモーの討伐作戦を実行するため「ココブキ」に話しかけよう。			臆病者の牙							
モルモーを討伐することができた。「呪術士ギルド」の「ココブキ」に報告しよう。			モルモーを討伐することができた。「呪術士ギルド」の「ココブキ」に報告しよう。			臆病者の牙							
呪術の破壊力に伴う「リスク」を恐れていたココブキ。しかし、冒険者の勇気を見て、その真価を思い出したようだ。まだまだ先の高みを目指し、呪術士として成長していこう。			呪術の破壊力に伴う「リスク」を恐れていたココブキ。しかし、冒険者の勇気を見て、その真価を思い出したようだ。まだまだ先の高みを目指し、呪術士として成長していこう。			臆病者の牙							
ベスパーベイの町人にココブシの情報書を渡す			ベスパーベイの町人にココブシの情報書を渡す			臆病者の牙							
ココブキと話す			ココブキと話す			臆病者の牙							
ココブシと共に消えた冒険者を見つける			ココブシと共に消えた冒険者を見つける			臆病者の牙							
深手を負った斧術士と話す			深手を負った斧術士と話す			臆病者の牙							
ココブキと話す			ココブキと話す			臆病者の牙							
呪術ギルドのココブキと話す			呪術ギルドのココブキと話す			臆病者の牙							
モルモーを倒せ！			モルモーを倒せ！			臆病者の牙							
