木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
前回までの冒険録：ベアティヌから、ある槍の持ち主を探してほしいと頼まれ、イシュガルドへ向かった冒険者。槍の持ち主の息子であるバルトヴューは、騎士を目指して武功を挙げようと躍起になっていた。冒険者の協力を受けながらも、見事父親の仇であるドラゴンを討ったバルトヴューは、父親の汚名を返上するため、神殿騎士団の門を叩くのだった。　　　　　　　　　　　　*　*　*ベアティヌは、最近入ったばかりの弟子のことを心配しているようだ。木工師ギルド前にいる「チェミ・ジンジャル」と話そう。			前回までの冒険録：ベアティヌから、ある槍の持ち主を探してほしいと頼まれ、イシュガルドへ向かった冒険者。槍の持ち主の息子であるバルトヴューは、騎士を目指して武功を挙げようと躍起になっていた。冒険者の協力を受けながらも、見事父親の仇であるドラゴンを討ったバルトヴューは、父親の汚名を返上するため、神殿騎士団の門を叩くのだった。　　　　　　　　　　　　*　*　*ベアティヌは、最近入ったばかりの弟子のことを心配しているようだ。木工師ギルド前にいる「チェミ・ジンジャル」と話そう。			新人木工師、チェミ・ジンジャル！							
チェミ・ジンジャルと、流行の家具について調査をすることになった。グリダニアのカーラインカフェにいる者たちから話を聞こう。			チェミ・ジンジャルと、流行の家具について調査をすることになった。グリダニアのカーラインカフェにいる者たちから話を聞こう。			新人木工師、チェミ・ジンジャル！							
カーラインカフェでは、東方様式の家具が流行しているらしい。カーラインカフェの「チェミ・ジンジャル」と話そう。			カーラインカフェでは、東方様式の家具が流行しているらしい。カーラインカフェの「チェミ・ジンジャル」と話そう。			新人木工師、チェミ・ジンジャル！							
チェミ・ジンジャルは、木工師ギルドで東方様式の家具を売り出したいという。木工師ギルドの「ベアティヌ」と話そう。			チェミ・ジンジャルは、木工師ギルドで東方様式の家具を売り出したいという。木工師ギルドの「ベアティヌ」と話そう。			新人木工師、チェミ・ジンジャル！							
チェミ・ジンジャルは、ベアティヌの命を受けて、東方様式の家具を学ぶ旅に出た。彼女が無事に東方へと辿り着き、連絡してくるのを待とう。※木工師のレベルが63以上になると、木工師ギルドのベアティヌから次の木工師クエストを受注することができます。			チェミ・ジンジャルは、ベアティヌの命を受けて、東方様式の家具を学ぶ旅に出た。彼女が無事に東方へと辿り着き、連絡してくるのを待とう。※木工師のレベルが63以上になると、木工師ギルドのベアティヌから次の木工師クエストを受注することができます。			新人木工師、チェミ・ジンジャル！							
チェミ・ジンジャルと話す			チェミ・ジンジャルと話す			新人木工師、チェミ・ジンジャル！							
カーラインカフェで話を聞く			カーラインカフェで話を聞く			新人木工師、チェミ・ジンジャル！							
チェミ・ジンジャルと話す			チェミ・ジンジャルと話す			新人木工師、チェミ・ジンジャル！							
ベアティヌと話す			ベアティヌと話す			新人木工師、チェミ・ジンジャル！							
やあ、Forenameさん……。息災でしたか……？			やあ、Forenameさん……。息災でしたか……？			新人木工師、チェミ・ジンジャル！							
それは何よりです……。実は、あなたに頼みたいことがあったのですよ……。最近入った弟子が、悩みを抱えているようなんですが……			それは何よりです……。実は、あなたに頼みたいことがあったのですよ……。最近入った弟子が、悩みを抱えているようなんですが……			新人木工師、チェミ・ジンジャル！							
話してくれないのです……ぜんぜん、まったく、これっぽっちも。フフフフ、先生、ちょっと悲しいです……。でも、先輩であるあなたであれば、もしかしたら……。			話してくれないのです……ぜんぜん、まったく、これっぽっちも。フフフフ、先生、ちょっと悲しいです……。でも、先輩であるあなたであれば、もしかしたら……。			新人木工師、チェミ・ジンジャル！							
弟子の名は、「チェミ・ジンジャル」……ギルド前で備蓄用の材木を製材していると思いますので、木工師の先輩として、一声かけてくださいますか？			弟子の名は、「チェミ・ジンジャル」……ギルド前で備蓄用の材木を製材していると思いますので、木工師の先輩として、一声かけてくださいますか？			新人木工師、チェミ・ジンジャル！							
いかにも、ウチがチェミ・ジンジャルです！もしやあなたは、Forenameさんでは！？冒険者でありながら、ベアティヌ師匠も認める一流木工師の！			いかにも、ウチがチェミ・ジンジャルです！もしやあなたは、Forenameさんでは！？冒険者でありながら、ベアティヌ師匠も認める一流木工師の！			新人木工師、チェミ・ジンジャル！							
……この人になら、あのことを相談してもいいかも。あ、いえ……お会いしたばかりなのに、いきなり相談なんて、ぶしつけだとは思うのですが……。			……この人になら、あのことを相談してもいいかも。あ、いえ……お会いしたばかりなのに、いきなり相談なんて、ぶしつけだとは思うのですが……。			新人木工師、チェミ・ジンジャル！							
実は今、ウチたちの木工師ギルドでは、家具の売れ行きが低調していて、財政危機に陥っているようなんです……。			実は今、ウチたちの木工師ギルドでは、家具の売れ行きが低調していて、財政危機に陥っているようなんです……。			新人木工師、チェミ・ジンジャル！							
そのせいか、最近の師匠はろくに食事も摂られていないみたいで……。口にするのは、お水だけという有様なんです。			そのせいか、最近の師匠はろくに食事も摂られていないみたいで……。口にするのは、お水だけという有様なんです。			新人木工師、チェミ・ジンジャル！							
おそらく、ウチたちへの報酬を捻出するために、自身の生活を切り詰めているのでしょう……。ウチは、師匠のお体が心配です……。			おそらく、ウチたちへの報酬を捻出するために、自身の生活を切り詰めているのでしょう……。ウチは、師匠のお体が心配です……。			新人木工師、チェミ・ジンジャル！							
そこで、ウチは考えました！今巷でどんな家具が流行っているのか調査し、ギルド再建のために「売れる家具」を作ろうと！			そこで、ウチは考えました！今巷でどんな家具が流行っているのか調査し、ギルド再建のために「売れる家具」を作ろうと！			新人木工師、チェミ・ジンジャル！							
よかったらForenameさんも、ご協力いただけませんか……？			よかったらForenameさんも、ご協力いただけませんか……？			新人木工師、チェミ・ジンジャル！							
やったー！ありがとうございます！			やったー！ありがとうございます！			新人木工師、チェミ・ジンジャル！							
それでは早速、多くの人が訪れる「カーラインカフェ」に向かい、どんな家具を購入されているか、話を聞きに行きましょう！			それでは早速、多くの人が訪れる「カーラインカフェ」に向かい、どんな家具を購入されているか、話を聞きに行きましょう！			新人木工師、チェミ・ジンジャル！							
弟子の名は、「チェミ・ジンジャル」……ギルド前で備蓄用の材木を製材していると思いますので、木工師の先輩として、一声かけてくださいますか？			弟子の名は、「チェミ・ジンジャル」……ギルド前で備蓄用の材木を製材していると思いますので、木工師の先輩として、一声かけてくださいますか？			新人木工師、チェミ・ジンジャル！							
どんな家具を使っているかと？			どんな家具を使っているかと？			新人木工師、チェミ・ジンジャル！							
最近ですと、東方様式の家具が多いですね。以前まではグリダニア様式の家具を使っておりましたが、現在はオリエンタルな家具が流行っていると聞いたものですから。			最近ですと、東方様式の家具が多いですね。以前まではグリダニア様式の家具を使っておりましたが、現在はオリエンタルな家具が流行っていると聞いたものですから。			新人木工師、チェミ・ジンジャル！							
最近、ラベンダーベッドに家を建てたんだが、ドマっぽい家具にハマっちまってな。			最近、ラベンダーベッドに家を建てたんだが、ドマっぽい家具にハマっちまってな。			新人木工師、チェミ・ジンジャル！							
すごく凝った模様とか飾りが、俺にぴったりなんだよ。			すごく凝った模様とか飾りが、俺にぴったりなんだよ。			新人木工師、チェミ・ジンジャル！							
俺がどんな家具を使っているか聞きたいと？			俺がどんな家具を使っているか聞きたいと？			新人木工師、チェミ・ジンジャル！							
最近は、ひんがしの国の家具を好んで使ってるぜ。旧套墨守の精神で作られた古い趣きのある家具ばかりで、それらに囲まれてると心が落ち着くんでな。			最近は、ひんがしの国の家具を好んで使ってるぜ。旧套墨守の精神で作られた古い趣きのある家具ばかりで、それらに囲まれてると心が落ち着くんでな。			新人木工師、チェミ・ジンジャル！							
いったい、なぜ！我が木工師ギルドが作った家具を買わないのです！あんなに素晴らしい技術を持った職人たちが作った家具を！			いったい、なぜ！我が木工師ギルドが作った家具を買わないのです！あんなに素晴らしい技術を持った職人たちが作った家具を！			新人木工師、チェミ・ジンジャル！							
うわぁ、なんだお前は！どんな家具を買おうが、私の勝手だろう！			うわぁ、なんだお前は！どんな家具を買おうが、私の勝手だろう！			新人木工師、チェミ・ジンジャル！							
あれ、もうあの子と打ち解けたんですか？フフフフ、先生、悲し……悲しくないですよ……本当です……むしろ、嬉しい……です……。			あれ、もうあの子と打ち解けたんですか？フフフフ、先生、悲し……悲しくないですよ……本当です……むしろ、嬉しい……です……。			新人木工師、チェミ・ジンジャル！							
ここでは、東方様式の家具が流行っているようですね。グリダニアには、あんなに素晴らしい職人たちが作った、家具があるというのに！			ここでは、東方様式の家具が流行っているようですね。グリダニアには、あんなに素晴らしい職人たちが作った、家具があるというのに！			新人木工師、チェミ・ジンジャル！							
とはいえ、木工師ギルドがなくなってしまうのは困ります！ここはひとつ、我がギルドでも東方様式の家具を作って、売り出してみないかと、師匠に提言してみます！			とはいえ、木工師ギルドがなくなってしまうのは困ります！ここはひとつ、我がギルドでも東方様式の家具を作って、売り出してみないかと、師匠に提言してみます！			新人木工師、チェミ・ジンジャル！							
ですが、新入りのウチが言ったところで、聞き入れてもらえるかどうか……。			ですが、新入りのウチが言ったところで、聞き入れてもらえるかどうか……。			新人木工師、チェミ・ジンジャル！							
