鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
前回までの冒険録：かつてのイシュガルド名門貴族「ジェルヴァン」家の家令であるフレモンダンに依頼され、冒険者は、若き当主ロリスのために鎧や剣を製作していく。冒険者の手で修復された、ジェルヴァン家の宝剣を手にしたロリスは、神殿騎士団入りをかけた「上覧試合」で、見事敢闘賞を受賞。悲願の「神殿騎士」となるための第一歩を踏み出すのだった。　　　　　　　　　　　　*　*　*ブリサエルから、入門希望者の出迎えを頼まれた。船着場：リムサ・ロミンサ付近で、東方風の人物を探そう。			前回までの冒険録：かつてのイシュガルド名門貴族「ジェルヴァン」家の家令であるフレモンダンに依頼され、冒険者は、若き当主ロリスのために鎧や剣を製作していく。冒険者の手で修復された、ジェルヴァン家の宝剣を手にしたロリスは、神殿騎士団入りをかけた「上覧試合」で、見事敢闘賞を受賞。悲願の「神殿騎士」となるための第一歩を踏み出すのだった。　　　　　　　　　　　　*　*　*ブリサエルから、入門希望者の出迎えを頼まれた。船着場：リムサ・ロミンサ付近で、東方風の人物を探そう。			直情娘、来たる							
東方風の女性が、ナンパをしてきた男に斬りかかったらしい。鍛冶師ギルドの「ブリサエル」に、彼女が自分で打ったという「護身用の刀」を渡そう。			東方風の女性が、ナンパをしてきた男に斬りかかったらしい。鍛冶師ギルドの「ブリサエル」に、彼女が自分で打ったという「護身用の刀」を渡そう。			直情娘、来たる							
東方風の女性ことセッカは、鍛冶師ギルドで刀鍛冶の修行許可をブリサエルからもぎとると去っていった。彼女の到来に、不吉な予感を感じ取ったブリサエルの胃は、ふたたび痛みはじめるのだった……。※鍛冶師のレベルが63以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			東方風の女性ことセッカは、鍛冶師ギルドで刀鍛冶の修行許可をブリサエルからもぎとると去っていった。彼女の到来に、不吉な予感を感じ取ったブリサエルの胃は、ふたたび痛みはじめるのだった……。※鍛冶師のレベルが63以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			直情娘、来たる							
船着場：リムサ・ロミンサ付近で東方風の人物を探す			船着場：リムサ・ロミンサ付近で東方風の人物を探す			直情娘、来たる							
鍛冶師ギルドのブリサエルに護身用の刀を渡す			鍛冶師ギルドのブリサエルに護身用の刀を渡す			直情娘、来たる							
やあ、Forename！　お元気そうですね。僕の胃腸も、ここ最近は快調を保っていますよ！こんな穏やかな日々が、ずっとつづくといいんですが……。			やあ、Forename！　お元気そうですね。僕の胃腸も、ここ最近は快調を保っていますよ！こんな穏やかな日々が、ずっとつづくといいんですが……。			直情娘、来たる							
……そうだ！　急ですみませんが、僕の胃とギルドの平穏維持のため、少し協力してくれませんか？実は、ちょっと気になる手紙が届きましてね……。			……そうだ！　急ですみませんが、僕の胃とギルドの平穏維持のため、少し協力してくれませんか？実は、ちょっと気になる手紙が届きましてね……。			直情娘、来たる							
(-東方からの手紙-)「そちらのギルドにて、鍛冶の腕を磨きたく候。　東方より船にて、海都へと赴く所存なり」			(-東方からの手紙-)「そちらのギルドにて、鍛冶の腕を磨きたく候。　東方より船にて、海都へと赴く所存なり」			直情娘、来たる							
……とまあ、ギルド入門を希望する手紙のようなんですけど、手紙に、どこの誰とも書かれていないんですよ……。どうやら、東方の人らしいんですが……。			……とまあ、ギルド入門を希望する手紙のようなんですけど、手紙に、どこの誰とも書かれていないんですよ……。どうやら、東方の人らしいんですが……。			直情娘、来たる							
あいにく、手が空いてる人がいなくて。腕利き職人のキミに頼むような仕事ではないんですが……謎の入門希望者を出迎えに行ってもらえませんか？			あいにく、手が空いてる人がいなくて。腕利き職人のキミに頼むような仕事ではないんですが……謎の入門希望者を出迎えに行ってもらえませんか？			直情娘、来たる							
