甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
前回までの冒険録：甲冑師ギルドマスター、ハ・ナンザと並ぶ腕を持つ、甲冑師ブランシュティル。とある冒険者一行からの依頼に応えていく中で、仲間と互いを高め合うことができるのだと気付いた。敵視していたハ・ナンザとも和解したかに見えたが、好敵手との見方は変わっていないブランシュティルなのであった。　　　　　　　　　　　　*　*　*ブランシュティルが、甲冑師ギルドを辞めると言い出したらしい。ハ・ナンザから、理由を探ってほしいと頼まれた。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」と話そう。			前回までの冒険録：甲冑師ギルドマスター、ハ・ナンザと並ぶ腕を持つ、甲冑師ブランシュティル。とある冒険者一行からの依頼に応えていく中で、仲間と互いを高め合うことができるのだと気付いた。敵視していたハ・ナンザとも和解したかに見えたが、好敵手との見方は変わっていないブランシュティルなのであった。　　　　　　　　　　　　*　*　*ブランシュティルが、甲冑師ギルドを辞めると言い出したらしい。ハ・ナンザから、理由を探ってほしいと頼まれた。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」と話そう。			個性を求めて							
ブランシュティルと話した。甲冑師としての個性を身に付けるために、東方で学びたく、甲冑師ギルドを辞めると申し出たそうだ。聞いた話を、甲冑師ギルドの「ハ・ナンザ」に報告しよう。			ブランシュティルと話した。甲冑師としての個性を身に付けるために、東方で学びたく、甲冑師ギルドを辞めると申し出たそうだ。聞いた話を、甲冑師ギルドの「ハ・ナンザ」に報告しよう。			個性を求めて							
ハ・ナンザに報告した。報告の最中に訪れたブランシュティルとも話をし、ギルド脱退ではなく、休業という形をとり、東方に修行に行くこととなった。ハ・ナンザから、ブランシュティルについての連絡があるまで、甲冑師として腕を磨いておくとしよう。※甲冑師のレベルが63以上になると、甲冑師ギルドのハ・ナンザから次の甲冑師クエストを受注することができます。			ハ・ナンザに報告した。報告の最中に訪れたブランシュティルとも話をし、ギルド脱退ではなく、休業という形をとり、東方に修行に行くこととなった。ハ・ナンザから、ブランシュティルについての連絡があるまで、甲冑師として腕を磨いておくとしよう。※甲冑師のレベルが63以上になると、甲冑師ギルドのハ・ナンザから次の甲冑師クエストを受注することができます。			個性を求めて							
甲冑師ギルドのブランシュティルと話す			甲冑師ギルドのブランシュティルと話す			個性を求めて							
ハ・ナンザに報告			ハ・ナンザに報告			個性を求めて							
やあ、Forename。以前は、ブランシュティルの件で本当に世話になったね。元気でやってるかい？			やあ、Forename。以前は、ブランシュティルの件で本当に世話になったね。元気でやってるかい？			個性を求めて							
ブランシュティルの奴は、あれからというもの、着用者に寄り添った甲冑作りを続けているよ。お客からの評判も上々さ。			ブランシュティルの奴は、あれからというもの、着用者に寄り添った甲冑作りを続けているよ。お客からの評判も上々さ。			個性を求めて							
……ところが、だ。そんなブランシュティルがいきなり、甲冑師ギルドを辞めたいと言い出してきてね……。			……ところが、だ。そんなブランシュティルがいきなり、甲冑師ギルドを辞めたいと言い出してきてね……。			個性を求めて							
わけを聞いても、一向に教えてくれないのさ……。そこで、あんたに頼みがあるんだ。			わけを聞いても、一向に教えてくれないのさ……。そこで、あんたに頼みがあるんだ。			個性を求めて							
なぜギルドを辞めたいと言い始めたのか、「ブランシュティル」に、理由を聞いてみてくれないかい？			なぜギルドを辞めたいと言い始めたのか、「ブランシュティル」に、理由を聞いてみてくれないかい？			個性を求めて							
