彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
前回までの冒険録：冒険者は名門宝飾店「エシュテム」の外商マルセルから、上客の紹介を受けた。ところが依頼者の夫婦は、それぞれ同じ日に、同じ曲のオルゴールを贈ろうとしていると判明。そこで冒険者は、対になるふたつのオルゴールを製作。それには同時に鳴らすことで、ふたつのメロディがひとつの曲になる編曲が施されていた。「秘密のプレゼントで、相手を驚かせたい」という夫婦の依頼に応えた冒険者は、超一流の彫金師として、さらなる信頼を勝ち得るのだった。　　　　　　　　　　　　*　*　*ナナモ女王の依頼により、アラミゴの職人養成塾で師範を務めることになった。徒弟たちとの顔合わせのため、中央ザナラーンの刺抜盆地にいる「マルセル」と話そう。			前回までの冒険録：冒険者は名門宝飾店「エシュテム」の外商マルセルから、上客の紹介を受けた。ところが依頼者の夫婦は、それぞれ同じ日に、同じ曲のオルゴールを贈ろうとしていると判明。そこで冒険者は、対になるふたつのオルゴールを製作。それには同時に鳴らすことで、ふたつのメロディがひとつの曲になる編曲が施されていた。「秘密のプレゼントで、相手を驚かせたい」という夫婦の依頼に応えた冒険者は、超一流の彫金師として、さらなる信頼を勝ち得るのだった。　　　　　　　　　　　　*　*　*ナナモ女王の依頼により、アラミゴの職人養成塾で師範を務めることになった。徒弟たちとの顔合わせのため、中央ザナラーンの刺抜盆地にいる「マルセル」と話そう。			ギルドへの私的な依頼							
マルセルと話した。刺抜盆地の「ジャ・ケビカ」「ウィド」「ハル」と話そう。			マルセルと話した。刺抜盆地の「ジャ・ケビカ」「ウィド」「ハル」と話そう。			ギルドへの私的な依頼							
徒弟たちと話した。ウルダハへ戻り、彫金師ギルド受付「ジェマイム」と話そう。			徒弟たちと話した。ウルダハへ戻り、彫金師ギルド受付「ジェマイム」と話そう。			ギルドへの私的な依頼							
ジェマイムと話し、冒険者の補佐役を務める彫金師エメロスを紹介された。彫金の腕に磨きをかけ、アラミゴ復興に懸けるナナモ女王や徒弟たちの想いに応えていこう。※彫金師のレベルが63以上になると、彫金師ギルド受付のジェマイムから、次の彫金師クエストを受注することができます。			ジェマイムと話し、冒険者の補佐役を務める彫金師エメロスを紹介された。彫金の腕に磨きをかけ、アラミゴ復興に懸けるナナモ女王や徒弟たちの想いに応えていこう。※彫金師のレベルが63以上になると、彫金師ギルド受付のジェマイムから、次の彫金師クエストを受注することができます。			ギルドへの私的な依頼							
刺抜盆地のマルセルと話す			刺抜盆地のマルセルと話す			ギルドへの私的な依頼							
ジャ・ケビカと話す			ジャ・ケビカと話す			ギルドへの私的な依頼							
ウィドと話す			ウィドと話す			ギルドへの私的な依頼							
ハルと話す			ハルと話す			ギルドへの私的な依頼							
彫金師ギルドのジェマイムと話す			彫金師ギルドのジェマイムと話す			ギルドへの私的な依頼							
あっ、Forenameさん！大変です…………とっても大変なんですっ！実は、ナナモ陛下が急遽いらっしゃるって連絡がっ！			あっ、Forenameさん！大変です…………とっても大変なんですっ！実は、ナナモ陛下が急遽いらっしゃるって連絡がっ！			ギルドへの私的な依頼							
わ、私……また何かマズいことをやらかしちゃったのかしら！？いえいえいえ…………それだったら、こっちが呼びだされるはずですよねっ！？			わ、私……また何かマズいことをやらかしちゃったのかしら！？いえいえいえ…………それだったら、こっちが呼びだされるはずですよねっ！？			ギルドへの私的な依頼							
こんにちは、お嬢さん。これから大事なお客様がいらっしゃる予定なので、見学でしたら……			こんにちは、お嬢さん。これから大事なお客様がいらっしゃる予定なので、見学でしたら……			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)ウルダハ第十七代国王、ナナモ・ウル・ナモである。人目を忍んでの私的な訪問ゆえ、このような姿で失礼する。			(-ナナモ・ウル・ナモ-)ウルダハ第十七代国王、ナナモ・ウル・ナモである。人目を忍んでの私的な訪問ゆえ、このような姿で失礼する。			ギルドへの私的な依頼							
わわわ、ナナモ陛下！？もう来ちゃっ…………いえ、お早いお越しでございますっ！			わわわ、ナナモ陛下！？もう来ちゃっ…………いえ、お早いお越しでございますっ！			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)苦しゅうない。しかし、わらわも驚かされたぞ。Forename、そなたもここにおったとは！			(-ナナモ・ウル・ナモ-)苦しゅうない。しかし、わらわも驚かされたぞ。Forename、そなたもここにおったとは！			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)ギルドマスターを通じて、そなたへの頼みを、伝えてもらうつもりだったのじゃが……両方いるのなら、話が早い。			(-ナナモ・ウル・ナモ-)ギルドマスターを通じて、そなたへの頼みを、伝えてもらうつもりだったのじゃが……両方いるのなら、話が早い。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)コホン、話というのはな……わらわはいま、アラミゴの民の暮らしを建て直すべく、職人養成塾の設立準備を進めておる。			(-ナナモ・ウル・ナモ-)コホン、話というのはな……わらわはいま、アラミゴの民の暮らしを建て直すべく、職人養成塾の設立準備を進めておる。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)Forenameよ……そなたに、その師範になってもらいたいのじゃ！			(-ナナモ・ウル・ナモ-)Forenameよ……そなたに、その師範になってもらいたいのじゃ！			ギルドへの私的な依頼							
…………突然の話で、驚かれましたかな？実は先だって、ナナモ様はアラミゴ難民の集う移民街を訪問され、彼らが日々の糧にも窮するさまを、まのあたりにされましてな。			…………突然の話で、驚かれましたかな？実は先だって、ナナモ様はアラミゴ難民の集う移民街を訪問され、彼らが日々の糧にも窮するさまを、まのあたりにされましてな。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)いまだ光の見えぬ惨状に、わらわの不甲斐なさを痛感した。テレジ・アデレジのような輩の暗躍を許し、そなたに、大変な労苦を強いることとなったのも、わらわの無策ゆえ……。			(-ナナモ・ウル・ナモ-)いまだ光の見えぬ惨状に、わらわの不甲斐なさを痛感した。テレジ・アデレジのような輩の暗躍を許し、そなたに、大変な労苦を強いることとなったのも、わらわの無策ゆえ……。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)やはり難民たちの救済なくしては、ウルダハに安寧は訪れぬ。殊に現在は、アラミゴ奪還の動きが加速しつつある状況……。奪還成りしあかつきには、多くの民が故国に戻りたいと願うはず。			(-ナナモ・ウル・ナモ-)やはり難民たちの救済なくしては、ウルダハに安寧は訪れぬ。殊に現在は、アラミゴ奪還の動きが加速しつつある状況……。奪還成りしあかつきには、多くの民が故国に戻りたいと願うはず。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)やはり難民たちの救済なくしては、ウルダハに安寧は訪れぬ。殊に、アラミゴ奪還が成った現在、多くの民が、故国への帰還を願っておる。			(-ナナモ・ウル・ナモ-)やはり難民たちの救済なくしては、ウルダハに安寧は訪れぬ。殊に、アラミゴ奪還が成った現在、多くの民が、故国への帰還を願っておる。			ギルドへの私的な依頼							
(-ナナモ・ウル・ナモ-)……だが土地は枯れ、故郷に職などないのが現実。いまこそ、アラミゴに産業を根づかせることが急務なのじゃ！			(-ナナモ・ウル・ナモ-)……だが土地は枯れ、故郷に職などないのが現実。いまこそ、アラミゴに産業を根づかせることが急務なのじゃ！			ギルドへの私的な依頼							
