革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
前回までの冒険録：イシュガルドの商人、エルドの商会の相談役を引き受けることになった冒険者。冒険者はイシュガルド市民のため、風土に合った革製品を提供した。製品を売る中で出会った人々の協力もあり、最後はエルドの目標であった、神殿騎士団への革鎧の納入が達成された。商売が成功したエルドの手によって、冒険者の名を冠した工房が立ち上がり、冒険者の名前はイシュガルドに知れ渡ったのだった。　　　　　　　　　　　　*　*　*ゲヴァから依頼の内容を聞いた。冒険者にしか任せられない、特殊な依頼のようだ。グリダニアの木陰の東屋入口周辺に行き、依頼者の「アテルーネ」から詳しい話を聞こう。			前回までの冒険録：イシュガルドの商人、エルドの商会の相談役を引き受けることになった冒険者。冒険者はイシュガルド市民のため、風土に合った革製品を提供した。製品を売る中で出会った人々の協力もあり、最後はエルドの目標であった、神殿騎士団への革鎧の納入が達成された。商売が成功したエルドの手によって、冒険者の名を冠した工房が立ち上がり、冒険者の名前はイシュガルドに知れ渡ったのだった。　　　　　　　　　　　　*　*　*ゲヴァから依頼の内容を聞いた。冒険者にしか任せられない、特殊な依頼のようだ。グリダニアの木陰の東屋入口周辺に行き、依頼者の「アテルーネ」から詳しい話を聞こう。			博物学者と剥製師							
アテルーネから依頼の詳細を聞いた。彼女は剥製を造るため、冒険者の技術を必要としているようだ。剥製造りをするため、半ば無理やり、アテルーネの弟子にされてしまった冒険者。連携する剥製師との顔合わせをしに、グリダニアのカーラインカフェで「エニオン」と話そう。			アテルーネから依頼の詳細を聞いた。彼女は剥製を造るため、冒険者の技術を必要としているようだ。剥製造りをするため、半ば無理やり、アテルーネの弟子にされてしまった冒険者。連携する剥製師との顔合わせをしに、グリダニアのカーラインカフェで「エニオン」と話そう。			博物学者と剥製師							
エニオンは、剥製を造るという事業にやり甲斐を感じているようだ。木陰の東屋入口周辺に戻り「アテルーネ」と話そう。			エニオンは、剥製を造るという事業にやり甲斐を感じているようだ。木陰の東屋入口周辺に戻り「アテルーネ」と話そう。			博物学者と剥製師							
アテルーネと話した。アテルーネは、グリダニアのどこかに剥製を展示するつもりのようだ。エニオンと協力して剥製造りをするため、革細工の技術を磨いておこう。※革細工師のレベルが63以上になると、木陰の東屋入口周辺のアテルーネから次の革細工師クエストを受注することができます。			アテルーネと話した。アテルーネは、グリダニアのどこかに剥製を展示するつもりのようだ。エニオンと協力して剥製造りをするため、革細工の技術を磨いておこう。※革細工師のレベルが63以上になると、木陰の東屋入口周辺のアテルーネから次の革細工師クエストを受注することができます。			博物学者と剥製師							
アテルーネと話す			アテルーネと話す			博物学者と剥製師							
エニオンと話す			エニオンと話す			博物学者と剥製師							
アテルーネと話す			アテルーネと話す			博物学者と剥製師							
あら、Forenameじゃない。てっきり、皇都の仕事にかかりきりで、こっちに顔を出す余裕なんてないのかと思ってたよ。			あら、Forenameじゃない。てっきり、皇都の仕事にかかりきりで、こっちに顔を出す余裕なんてないのかと思ってたよ。			博物学者と剥製師							
でも、いいときに来てくれたわ。私が認めた優秀な革細工師である、あんたに任せたい依頼があるの。			でも、いいときに来てくれたわ。私が認めた優秀な革細工師である、あんたに任せたい依頼があるの。			博物学者と剥製師							
そこらの革細工師には任せられない、特殊な仕事でね。そのぶん、技術を磨くいい機会でもあるから、高みを目指すなら、受けて損はないはずよ。			そこらの革細工師には任せられない、特殊な仕事でね。そのぶん、技術を磨くいい機会でもあるから、高みを目指すなら、受けて損はないはずよ。			博物学者と剥製師							
詳しい話は、依頼者の「アテルーネ」から聞くといいわ。木陰の東屋入口の辺りにいるはずだから、探して声をかけてみて。			詳しい話は、依頼者の「アテルーネ」から聞くといいわ。木陰の東屋入口の辺りにいるはずだから、探して声をかけてみて。			博物学者と剥製師							
……あら、キミがForename？その名前、ゲヴァから聞いたことがあるわ。自分の名前がついたブランドを持つ、凄腕革細工師だって！			……あら、キミがForename？その名前、ゲヴァから聞いたことがあるわ。自分の名前がついたブランドを持つ、凄腕革細工師だって！			博物学者と剥製師							
自己紹介がまだだったわね。私は「動物のお姉さん」こと、アテルーネ。エオルゼアにその名を轟かせる博物学者よ！			自己紹介がまだだったわね。私は「動物のお姉さん」こと、アテルーネ。エオルゼアにその名を轟かせる博物学者よ！			博物学者と剥製師							
私の崇高なる活動に協力できるなんて、キミは運がいいわ。忠実なる下僕……じゃない、弟子として、キリキリ働いてもらいましょうか。			私の崇高なる活動に協力できるなんて、キミは運がいいわ。忠実なる下僕……じゃない、弟子として、キリキリ働いてもらいましょうか。			博物学者と剥製師							
フフ、私の弟子になれた喜びで、声も出ないようね。大丈夫、キミの腕は重要な使命のために使い尽くしてあげるわ。			フフ、私の弟子になれた喜びで、声も出ないようね。大丈夫、キミの腕は重要な使命のために使い尽くしてあげるわ。			博物学者と剥製師							
私は本来、弟子のマルセットと進めている、博物学の研究や著述が主な仕事……。			私は本来、弟子のマルセットと進めている、博物学の研究や著述が主な仕事……。			博物学者と剥製師							
でも、その編纂を進めていくうちに、第七霊災以降、いくつかの動物たちが絶滅していることに気付いたの。			でも、その編纂を進めていくうちに、第七霊災以降、いくつかの動物たちが絶滅していることに気付いたの。			博物学者と剥製師							
第七霊災の前後で、大きな環境変化があって、それについていけない動物たちが死滅していっている。……これは「動物のお姉さん」としても見過ごせないわ。			第七霊災の前後で、大きな環境変化があって、それについていけない動物たちが死滅していっている。……これは「動物のお姉さん」としても見過ごせないわ。			博物学者と剥製師							
種の絶滅を止めることはできないけど、せめて、絶滅の危機にひんしている動物たちは、死骸から剥製を造って、その姿を後世に伝えていきたい……。			種の絶滅を止めることはできないけど、せめて、絶滅の危機にひんしている動物たちは、死骸から剥製を造って、その姿を後世に伝えていきたい……。			博物学者と剥製師							
そんなことを、知人のゲヴァに相談したら、動物の命を大切にし、ゲヴァパターンを実践しているという、腕利き革細工師であるキミを紹介してもらったというわけ！			そんなことを、知人のゲヴァに相談したら、動物の命を大切にし、ゲヴァパターンを実践しているという、腕利き革細工師であるキミを紹介してもらったというわけ！			博物学者と剥製師							
どうかしら、動物たちを後世に伝えるための剥製造り。協力してもらえるわね？			どうかしら、動物たちを後世に伝えるための剥製造り。協力してもらえるわね？			博物学者と剥製師							
フフフ、ありがとう。この事業がすべて終わったあかつきには、私の著書の片隅の端っこに、その名を載せてあげるわね。			フフフ、ありがとう。この事業がすべて終わったあかつきには、私の著書の片隅の端っこに、その名を載せてあげるわね。			博物学者と剥製師							
さて、この事業には、もうひとりの弟子である、剥製師の「エニオン」にも加わってもらうことになっているわ。			さて、この事業には、もうひとりの弟子である、剥製師の「エニオン」にも加わってもらうことになっているわ。			博物学者と剥製師							
そろそろ、グリダニアに到着して、「カーラインカフェ」にでもいる頃でしょう。顔合わせを兼ねて、迎えに行ってきなさい！			そろそろ、グリダニアに到着して、「カーラインカフェ」にでもいる頃でしょう。顔合わせを兼ねて、迎えに行ってきなさい！			博物学者と剥製師							
