錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
前回までの冒険録：セヴェリアンの企みにより、レヴナンツトール周辺で多発している、錬金術を使った犯罪の「捜査顧問」を押しつけられた冒険者。冒険者ギルドのウィルトウェークと協力し、犯罪者の目的が、人造生命体「クローン」を作り出すためであったことを突き止める。追い詰められた首謀者のワーウードは、自身の魂をクローンに移し替えて逃走を図るが、冒険者たちの活躍により捕縛され、事件は解決した。　　　　　　　　　　　　*　*　*セヴェリアンから雑用を頼まれた。ウルダハのエラリグ墓地前にいる「銅刃団の衛兵」と話そう。			前回までの冒険録：セヴェリアンの企みにより、レヴナンツトール周辺で多発している、錬金術を使った犯罪の「捜査顧問」を押しつけられた冒険者。冒険者ギルドのウィルトウェークと協力し、犯罪者の目的が、人造生命体「クローン」を作り出すためであったことを突き止める。追い詰められた首謀者のワーウードは、自身の魂をクローンに移し替えて逃走を図るが、冒険者たちの活躍により捕縛され、事件は解決した。　　　　　　　　　　　　*　*　*セヴェリアンから雑用を頼まれた。ウルダハのエラリグ墓地前にいる「銅刃団の衛兵」と話そう。			奇怪な死体							
銅刃団の衛兵と話した。エラリグ墓地へと入り、「銅刃団の衛兵」と再度話そう。			銅刃団の衛兵と話した。エラリグ墓地へと入り、「銅刃団の衛兵」と再度話そう。			奇怪な死体							
銅刃団の衛兵から、棺の中の遺体が本当に死んでいるのか確認してほしいと頼まれた。エラリグ墓地の「真新しい棺」を調べよう。			銅刃団の衛兵から、棺の中の遺体が本当に死んでいるのか確認してほしいと頼まれた。エラリグ墓地の「真新しい棺」を調べよう。			奇怪な死体							
真新しい棺には、奇妙な遺体が安置されていた。錬金術師ギルドの「セヴェリアン」と話そう。			真新しい棺には、奇妙な遺体が安置されていた。錬金術師ギルドの「セヴェリアン」と話そう。			奇怪な死体							
奇妙な遺体に興味を抱いたセヴェリアンは、自身でも調べてみるという。錬金術の修学をしながら、調査結果を待とう。※錬金術師のレベルが63以上になると、錬金術師ギルドのセヴェリアンから次の錬金術師クエストを受注することができます。			奇妙な遺体に興味を抱いたセヴェリアンは、自身でも調べてみるという。錬金術の修学をしながら、調査結果を待とう。※錬金術師のレベルが63以上になると、錬金術師ギルドのセヴェリアンから次の錬金術師クエストを受注することができます。			奇怪な死体							
エラリグ墓地前にいる銅刃団の衛兵と話す			エラリグ墓地前にいる銅刃団の衛兵と話す			奇怪な死体							
銅刃団の衛兵と再度話す			銅刃団の衛兵と再度話す			奇怪な死体							
真新しい棺を調べる			真新しい棺を調べる			奇怪な死体							
錬金術師ギルドのセヴェリアンと話す			錬金術師ギルドのセヴェリアンと話す			奇怪な死体							
あの受付め……錬金術の碩学たるこの私に、俗世のくだらぬ依頼を持ってくるなと、いつも言っているというのに！			あの受付め……錬金術の碩学たるこの私に、俗世のくだらぬ依頼を持ってくるなと、いつも言っているというのに！			奇怪な死体							
む？誰かと思えば、我が助手ではないか。			む？誰かと思えば、我が助手ではないか。			奇怪な死体							
