レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
異国風の男から、古代文明の遺産を得られるという仕事を紹介された。聖コイナク財団の調査地にいる「ラムブルース」から詳細を聞いてみよう。			異国風の男から、古代文明の遺産を得られるという仕事を紹介された。聖コイナク財団の調査地にいる「ラムブルース」から詳細を聞いてみよう。			古代アラグ文明の遺産							
聖コイナク財団は、シドと共に古代アラグ文明の調査を行っていた。その遺産である「クリスタルタワー」の調査計画に参加するため、再度ラムブルースに話しかけよう。			聖コイナク財団は、シドと共に古代アラグ文明の調査を行っていた。その遺産である「クリスタルタワー」の調査計画に参加するため、再度ラムブルースに話しかけよう。			古代アラグ文明の遺産							
クリスタルタワーの入口に到達するには、4つの属性を利用した防衛機構を突破しなければならないらしい。防衛機構からの攻撃を反射させるため、超高純度クリスタルを集めることになった。外地ラノシアのウ・ガマロ武装鉱山にある「指定地点」で見渡し、現れた敵を討伐して「超高純度アースクリスタル」を入手しよう。また、西ラノシアのサプサ産卵地にある「指定地点」で見渡し、現れた敵を討伐して「超高純度ウォータークリスタル」を入手しよう。			クリスタルタワーの入口に到達するには、4つの属性を利用した防衛機構を突破しなければならないらしい。防衛機構からの攻撃を反射させるため、超高純度クリスタルを集めることになった。外地ラノシアのウ・ガマロ武装鉱山にある「指定地点」で見渡し、現れた敵を討伐して「超高純度アースクリスタル」を入手しよう。また、西ラノシアのサプサ産卵地にある「指定地点」で見渡し、現れた敵を討伐して「超高純度ウォータークリスタル」を入手しよう。			古代アラグ文明の遺産							
コボルド族の拠点と、サハギン族の拠点から、超高純度クリスタルを調達した。聖コイナク財団の調査地に戻り、ラムブルースに「超高純度アースクリスタル」と「超高純度ウォータークリスタル」を渡そう。			コボルド族の拠点と、サハギン族の拠点から、超高純度クリスタルを調達した。聖コイナク財団の調査地に戻り、ラムブルースに「超高純度アースクリスタル」と「超高純度ウォータークリスタル」を渡そう。			古代アラグ文明の遺産							
ラムブルースに2つの超高純度クリスタルを渡し、残りを調達することになった。南ザナラーンのザハラク戦陣にある「指定地点」で見渡し、現れた敵を討伐して「超高純度ファイアクリスタル」を入手しよう。また、クルザス中央高地のナタラン入植地にある「指定地点」で見渡し、「超高純度ウィンドクリスタル」を入手しよう。			ラムブルースに2つの超高純度クリスタルを渡し、残りを調達することになった。南ザナラーンのザハラク戦陣にある「指定地点」で見渡し、現れた敵を討伐して「超高純度ファイアクリスタル」を入手しよう。また、クルザス中央高地のナタラン入植地にある「指定地点」で見渡し、「超高純度ウィンドクリスタル」を入手しよう。			古代アラグ文明の遺産							
アマルジャ族の拠点と、イクサル族の拠点から、超高純度クリスタルを調達した。聖コイナク財団の調査地に戻り、ラムブルースに「超高純度ファイアクリスタル」と「超高純度ウィンドクリスタル」を渡そう。			アマルジャ族の拠点と、イクサル族の拠点から、超高純度クリスタルを調達した。聖コイナク財団の調査地に戻り、ラムブルースに「超高純度ファイアクリスタル」と「超高純度ウィンドクリスタル」を渡そう。			古代アラグ文明の遺産							
ラムブルースに残り2つの超高純度クリスタルを渡したことで、4属性のクリスタルがそろった。防衛機構からの攻撃を確実に反射させるには、成形して磨き上げる必要があるらしい。冒険者の集めたクリスタルは、防衛機構を打ち砕く「牙」となるのだろうか……？			ラムブルースに残り2つの超高純度クリスタルを渡したことで、4属性のクリスタルがそろった。防衛機構からの攻撃を確実に反射させるには、成形して磨き上げる必要があるらしい。冒険者の集めたクリスタルは、防衛機構を打ち砕く「牙」となるのだろうか……？			古代アラグ文明の遺産							
ラムブルースと話す			ラムブルースと話す			古代アラグ文明の遺産							
再びラムブルースと話す			再びラムブルースと話す			古代アラグ文明の遺産							
ウ・ガマロ武装鉱山の指定地点で見渡し司祭からクリスタルを入手			ウ・ガマロ武装鉱山の指定地点で見渡し司祭からクリスタルを入手			古代アラグ文明の遺産							
