採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
前回までの冒険録：アダルベルタから紹介された採掘師としての仕事。それは迅風傭兵団に帯同し、資源調査を行なうことだった。冒険者は順調に仕事を進めるが、ある資源調査の際、傭兵団の団員が行方不明となってしまう。探索に協力することになった冒険者は、採掘した鉱石と引き換えに、ゴブリン族の案内を取りつけ、団員を無事に見つけることができたのだった。　　　　　　　　　　　　*　*　*アダルベルタから、イディルシャイアの工房での仕事を紹介してもらった。仕事を受けるなら、身元保証書を受け取る必要があるようだ。採掘師ギルド受付「リネット」と話そう。			前回までの冒険録：アダルベルタから紹介された採掘師としての仕事。それは迅風傭兵団に帯同し、資源調査を行なうことだった。冒険者は順調に仕事を進めるが、ある資源調査の際、傭兵団の団員が行方不明となってしまう。探索に協力することになった冒険者は、採掘した鉱石と引き換えに、ゴブリン族の案内を取りつけ、団員を無事に見つけることができたのだった。　　　　　　　　　　　　*　*　*アダルベルタから、イディルシャイアの工房での仕事を紹介してもらった。仕事を受けるなら、身元保証書を受け取る必要があるようだ。採掘師ギルド受付「リネット」と話そう。			イディルシャイアの工房							
リネットから採掘師ギルドの封書を受け取った。イディルシャイアのエーテライト・プラザにいる「ノノワト」に「採掘師ギルドの封書」を渡そう。			リネットから採掘師ギルドの封書を受け取った。イディルシャイアのエーテライト・プラザにいる「ノノワト」に「採掘師ギルドの封書」を渡そう。			イディルシャイアの工房							
ノノワトに採掘師ギルドの封書を渡した。仕事内容の詳細は、主任から説明してもらえるそうだ。スティックキクス工房の「スティックキクス」と話そう。			ノノワトに採掘師ギルドの封書を渡した。仕事内容の詳細は、主任から説明してもらえるそうだ。スティックキクス工房の「スティックキクス」と話そう。			イディルシャイアの工房							
スティックキクスから話を聞いた。彼が主任を務める最先端技術研究開発班……最技研が開発中の、スチームローラーに必要な鉱物資源を採ってくるのが、冒険者への依頼だという。エーテライト・プラザの「ノノワト」と話そう。			スティックキクスから話を聞いた。彼が主任を務める最先端技術研究開発班……最技研が開発中の、スチームローラーに必要な鉱物資源を採ってくるのが、冒険者への依頼だという。エーテライト・プラザの「ノノワト」と話そう。			イディルシャイアの工房							
ノノワトと話した。彼らが必要な鉱石の洗い出しと、優先順位の格付けが終わるころを見計らい、また彼に声をかけよう。※採掘師のレベルが63以上になると、イディルシャイアのノノワトから次の採掘師クエストを受注することができます。			ノノワトと話した。彼らが必要な鉱石の洗い出しと、優先順位の格付けが終わるころを見計らい、また彼に声をかけよう。※採掘師のレベルが63以上になると、イディルシャイアのノノワトから次の採掘師クエストを受注することができます。			イディルシャイアの工房							
リネットと話す			リネットと話す			イディルシャイアの工房							
イディルシャイアのノノワトに採掘師ギルドの封書を渡す			イディルシャイアのノノワトに採掘師ギルドの封書を渡す			イディルシャイアの工房							
スティックキクスと話す			スティックキクスと話す			イディルシャイアの工房							
ノノワトと話す			ノノワトと話す			イディルシャイアの工房							
イシュガルドでの資源調査、大活躍だったそうね。フォルタン伯爵直筆の感謝状が、ギルドに届いたわ。さすがは「伝説の採掘師」ってところかしら？			イシュガルドでの資源調査、大活躍だったそうね。フォルタン伯爵直筆の感謝状が、ギルドに届いたわ。さすがは「伝説の採掘師」ってところかしら？			イディルシャイアの工房							
