園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			彼女はダメダメ園芸師							
前回までの冒険録：週刊レイヴンの記者、ムジ・ミュリラーとともに、アバラシア雲海へ向かった冒険者。現地の園芸師、バジールの依頼を受け、冒険者はさまざまな植物を採集し、雲海の開拓を進めていく。数々の難題を乗り越えていく冒険者の姿は、ムジ・ミュリラーによって一連の連載記事にまとめられ、大きな反響を呼んだのだった。　　　　　　　　　　　　*　*　*フフチャから、イディルシャイアの農業支援を手伝ってほしいと依頼された。イディルシャイアのグリーングラブ菜園にいる「エドギス」と話そう。			前回までの冒険録：週刊レイヴンの記者、ムジ・ミュリラーとともに、アバラシア雲海へ向かった冒険者。現地の園芸師、バジールの依頼を受け、冒険者はさまざまな植物を採集し、雲海の開拓を進めていく。数々の難題を乗り越えていく冒険者の姿は、ムジ・ミュリラーによって一連の連載記事にまとめられ、大きな反響を呼んだのだった。　　　　　　　　　　　　*　*　*フフチャから、イディルシャイアの農業支援を手伝ってほしいと依頼された。イディルシャイアのグリーングラブ菜園にいる「エドギス」と話そう。			彼女はダメダメ園芸師							
エドギスと話した。彼女は、イディルシャイアの特産となる作物を作りだすため、フフチャと冒険者の力を借りたいらしい。グリーングラブ菜園にいる「エドギス」と話そう。			エドギスと話した。彼女は、イディルシャイアの特産となる作物を作りだすため、フフチャと冒険者の力を借りたいらしい。グリーングラブ菜園にいる「エドギス」と話そう。			彼女はダメダメ園芸師							
エドギスと話した。彼女は、農業支援を請け負った園芸師がフフチャだと知り、大興奮していた。ひとまず、農業支援の方針を考えているフフチャから連絡を待とう。※園芸師のレベルが63以上になると、イディルシャイアのグリーングラブ菜園にいるエドギスから次の園芸師クエストを受注することができます。			エドギスと話した。彼女は、農業支援を請け負った園芸師がフフチャだと知り、大興奮していた。ひとまず、農業支援の方針を考えているフフチャから連絡を待とう。※園芸師のレベルが63以上になると、イディルシャイアのグリーングラブ菜園にいるエドギスから次の園芸師クエストを受注することができます。			彼女はダメダメ園芸師							
イディルシャイアのエドギスと話す			イディルシャイアのエドギスと話す			彼女はダメダメ園芸師							
エドギスと話す			エドギスと話す			彼女はダメダメ園芸師							
Forename、あなたにお聞きしたいのですが、イディルシャイアという都市を、ご存知ありませんか？			Forename、あなたにお聞きしたいのですが、イディルシャイアという都市を、ご存知ありませんか？			彼女はダメダメ園芸師							
なるほど、人とゴブリン族が共存する都市ですか……。実は、その都市から支援の依頼が来ておりまして、受けるかどうか、迷っていたのです。			なるほど、人とゴブリン族が共存する都市ですか……。実は、その都市から支援の依頼が来ておりまして、受けるかどうか、迷っていたのです。			彼女はダメダメ園芸師							
しかし、依頼を受けても問題はなさそうですね。園芸師が増えたおかげで、手が空くようになりましたし、私がイディルシャイアの支援に向かいましょう。			しかし、依頼を受けても問題はなさそうですね。園芸師が増えたおかげで、手が空くようになりましたし、私がイディルシャイアの支援に向かいましょう。			彼女はダメダメ園芸師							
ただ、私ひとりでは……そうです！Forename、あなたも手伝っていただけませんか？			ただ、私ひとりでは……そうです！Forename、あなたも手伝っていただけませんか？			彼女はダメダメ園芸師							
もっとも信頼できる冒険者であり、雲海での農業支援を成功させた園芸師の協力が得られれば、未知の土地での活動でも安心できます……どうでしょうか？			もっとも信頼できる冒険者であり、雲海での農業支援を成功させた園芸師の協力が得られれば、未知の土地での活動でも安心できます……どうでしょうか？			彼女はダメダメ園芸師							
ありがとうございます。これで憂いはなくなりました。ふふふ……私の知らない自然の恵み、とっても楽しみです！			ありがとうございます。これで憂いはなくなりました。ふふふ……私の知らない自然の恵み、とっても楽しみです！			彼女はダメダメ園芸師							
では、「イディルシャイア」へ向かいましょう。「グリーングラブ菜園」にいる「エドギス」さんが窓口ですので、あちらに到着したら、声をかけてください。			では、「イディルシャイア」へ向かいましょう。「グリーングラブ菜園」にいる「エドギス」さんが窓口ですので、あちらに到着したら、声をかけてください。			彼女はダメダメ園芸師							
「イディルシャイア」に到着しましたら、窓口である、「グリーングラブ菜園」の「エドギス」さんにお会いください。私も皆の目を誤魔化……こほん、後から向かいますので。			「イディルシャイア」に到着しましたら、窓口である、「グリーングラブ菜園」の「エドギス」さんにお会いください。私も皆の目を誤魔化……こほん、後から向かいますので。			彼女はダメダメ園芸師							
グリダニアの園芸師ギルドから来た方ですね。お待ちしておりました！……も、もしかして、Forename様ですか？			グリダニアの園芸師ギルドから来た方ですね。お待ちしておりました！……も、もしかして、Forename様ですか？			彼女はダメダメ園芸師							
ふ、ふぉー！？あ、あの、週刊レイヴンの記事見ました！雲海での大活躍……すごく、その、感動しました！！			ふ、ふぉー！？あ、あの、週刊レイヴンの記事見ました！雲海での大活躍……すごく、その、感動しました！！			彼女はダメダメ園芸師							
こんなところで、会えるなんて……ぐす。ノフィカ様、ありがとうございましゅ……。ウチ、産まれてきてよかった……。			こんなところで、会えるなんて……ぐす。ノフィカ様、ありがとうございましゅ……。ウチ、産まれてきてよかった……。			彼女はダメダメ園芸師							
あっ、ご、ごめんなさい。冒険者さんに会えて、ウチ、とっても嬉しくて。……あとで、サインをもらえませんか？			あっ、ご、ごめんなさい。冒険者さんに会えて、ウチ、とっても嬉しくて。……あとで、サインをもらえませんか？			彼女はダメダメ園芸師							
