漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
前回までの冒険録：釣り道楽アンソールムと知り合った冒険者。アンソールムは、釣り道楽仲間であり、暗殺者家業を営んでもいるレイナから、父が治めていた所領の民が、彼の弟によって苦しめられていることを聞かされる。冒険者は、アンソールムのために、彼が継承権を主張するための「緋魚紋の指輪」を飲み込んでしまった魚を釣り上げるのだった。　　　　　　　　　　　　*　*　*最近、ワワラゴがコソコソとどこかへ出かけているらしい。漁師ギルドの「ワワラゴ」から話を聞こう。			前回までの冒険録：釣り道楽アンソールムと知り合った冒険者。アンソールムは、釣り道楽仲間であり、暗殺者家業を営んでもいるレイナから、父が治めていた所領の民が、彼の弟によって苦しめられていることを聞かされる。冒険者は、アンソールムのために、彼が継承権を主張するための「緋魚紋の指輪」を飲み込んでしまった魚を釣り上げるのだった。　　　　　　　　　　　　*　*　*最近、ワワラゴがコソコソとどこかへ出かけているらしい。漁師ギルドの「ワワラゴ」から話を聞こう。			海の流星							
ワワラゴから、事情を話すために場所を移したいと言われた。待ち合わせ場所に向かう前に、漁師ギルドの「シシプ」にワワラゴの伝言を伝えよう。			ワワラゴから、事情を話すために場所を移したいと言われた。待ち合わせ場所に向かう前に、漁師ギルドの「シシプ」にワワラゴの伝言を伝えよう。			海の流星							
シシプにワワラゴからの伝言を伝えた。低地ラノシアに向かい、ゴッズグリップの「指定地点」でワワラゴを待とう。			シシプにワワラゴからの伝言を伝えた。低地ラノシアに向かい、ゴッズグリップの「指定地点」でワワラゴを待とう。			海の流星							
ワワラゴが隠していたのは、「海の流星」という魚を探すサハギン族のことだった。漁師ギルドに戻り、「ワワラゴ」と話そう。			ワワラゴが隠していたのは、「海の流星」という魚を探すサハギン族のことだった。漁師ギルドに戻り、「ワワラゴ」と話そう。			海の流星							
ワワラゴから、シシプには内緒でサハギン族のゴォヴへの協力を頼まれた。しばらくは、ワワラゴが「海の流星」について情報を掴むのを待とう。※漁師のレベルが63以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			ワワラゴから、シシプには内緒でサハギン族のゴォヴへの協力を頼まれた。しばらくは、ワワラゴが「海の流星」について情報を掴むのを待とう。※漁師のレベルが63以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			海の流星							
ワワラゴと話す			ワワラゴと話す			海の流星							
シシプと話す			シシプと話す			海の流星							
ゴッズグリップの指定地点で待機			ゴッズグリップの指定地点で待機			海の流星							
ワワラゴと話す			ワワラゴと話す			海の流星							
あ、Forename、ちょっといい……？最近、ワワラゴ親分がおかしいのよ。なんだか、コソコソどこかへ出かけているみたいなの。			あ、Forename、ちょっといい……？最近、ワワラゴ親分がおかしいのよ。なんだか、コソコソどこかへ出かけているみたいなの。			海の流星							
