剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
近衛兵団「銀冑団」が、兵団のみで継承している「ナイトの戦技」を一般に公開したという。ウルダハのロイヤル・プロムナードにいる近衛兵団「銀冑団」総長「ジェンリンス」と話そう。			近衛兵団「銀冑団」が、兵団のみで継承している「ナイトの戦技」を一般に公開したという。ウルダハのロイヤル・プロムナードにいる近衛兵団「銀冑団」総長「ジェンリンス」と話そう。			自由騎士の誓約							
ジェンリンスと話した。南ザナラーンで「鉄製のかがり」に点火し、引き寄せられた魔物を討伐しよう。			ジェンリンスと話した。南ザナラーンで「鉄製のかがり」に点火し、引き寄せられた魔物を討伐しよう。			自由騎士の誓約							
魔物を討伐した。手に入れた「亡者の遺骸」を「鉄製のかがり」に使おう。			魔物を討伐した。手に入れた「亡者の遺骸」を「鉄製のかがり」に使おう。			自由騎士の誓約							
「亡者の遺灰」を手に入れた。これを、ウルダハのロイヤル・プロムナードにいる「ジェンリンス」に渡そう。			「亡者の遺灰」を手に入れた。これを、ウルダハのロイヤル・プロムナードにいる「ジェンリンス」に渡そう。			自由騎士の誓約							
ジェンリンスから、「自由騎士」の自称を許され、「ナイトの証」を授けられた。これは、年老いた自由騎士から受け取った「神秘的なクリスタル」と似ているようだ。これを、ジェンリンスに渡そう。			ジェンリンスから、「自由騎士」の自称を許され、「ナイトの証」を授けられた。これは、年老いた自由騎士から受け取った「神秘的なクリスタル」と似ているようだ。これを、ジェンリンスに渡そう。			自由騎士の誓約							
「神秘的なクリスタル」は、老いた自由騎士が「銀冑団」から盗みだした「不思議なクリスタル」だった。「銀冑団」の権威回復を目指すジェンリンスは、逆賊と面識のある冒険者に、今後も協力を依頼した。ジェンリンスの要請に応えられるよう、鍛錬に励もう。※ナイトのレベルが35以上になると、ジェンリンスから次のナイトクエストを受注することができます。			「神秘的なクリスタル」は、老いた自由騎士が「銀冑団」から盗みだした「不思議なクリスタル」だった。「銀冑団」の権威回復を目指すジェンリンスは、逆賊と面識のある冒険者に、今後も協力を依頼した。ジェンリンスの要請に応えられるよう、鍛錬に励もう。※ナイトのレベルが35以上になると、ジェンリンスから次のナイトクエストを受注することができます。			自由騎士の誓約							
ロイヤル・プロムナードのジェンリンスと話す			ロイヤル・プロムナードのジェンリンスと話す			自由騎士の誓約							
南ザナラーンの鉄製のかがりに点火し魔物を討伐			南ザナラーンの鉄製のかがりに点火し魔物を討伐			自由騎士の誓約							
鉄製のかがりに亡者の遺骸を使う			鉄製のかがりに亡者の遺骸を使う			自由騎士の誓約							
ロイヤル・プロムナードのジェンリンスに亡者の遺灰を渡す			ロイヤル・プロムナードのジェンリンスに亡者の遺灰を渡す			自由騎士の誓約							
ジェンリンスに神秘的なクリスタルを渡す			ジェンリンスに神秘的なクリスタルを渡す			自由騎士の誓約							
Forenameさん、ようこそぉ！い～ところに、いらっしゃいましたぁ！さらに強くなれちゃう「耳寄り情報ぉ」があるんですぅ！			Forenameさん、ようこそぉ！い～ところに、いらっしゃいましたぁ！さらに強くなれちゃう「耳寄り情報ぉ」があるんですぅ！			自由騎士の誓約							
近衛兵団「銀冑団」が、な～んと、なんとぉ！「ナイト」の技を「解放ぉ！」しはじめたんですぅ！			近衛兵団「銀冑団」が、な～んと、なんとぉ！「ナイト」の技を「解放ぉ！」しはじめたんですぅ！			自由騎士の誓約							
ナイトの技は、近衛兵団「銀冑団」の専売特許でしてぇ。「銀冑団」に入った凄腕の近衛騎士じゃないとぉ、使えないんですぅ。			ナイトの技は、近衛兵団「銀冑団」の専売特許でしてぇ。「銀冑団」に入った凄腕の近衛騎士じゃないとぉ、使えないんですぅ。			自由騎士の誓約							
でも～「銀冑団」に入るときにぃ～ウルダハ王家に忠誠を誓うんですぅ。つまりぃ～冒険、副業いっさい「禁止ぃ！」みたいな。			でも～「銀冑団」に入るときにぃ～ウルダハ王家に忠誠を誓うんですぅ。つまりぃ～冒険、副業いっさい「禁止ぃ！」みたいな。			自由騎士の誓約							
それがぁ～、「銀冑団」に入らなくても、「ナイト」の技を覚えられちゃうんですからぁ～出血大サービスですぅ～！			それがぁ～、「銀冑団」に入らなくても、「ナイト」の技を覚えられちゃうんですからぁ～出血大サービスですぅ～！			自由騎士の誓約							
このお宝チャンスを、モノにしない手はないですぅ！よかったら、このルルツが受付窓口を教えちゃいますよぉ？			このお宝チャンスを、モノにしない手はないですぅ！よかったら、このルルツが受付窓口を教えちゃいますよぉ？			自由騎士の誓約							
「ロイヤル・プロムナード」にいる近衛兵団「銀冑団」総長の「ジェンリンス」様に、「ナイト」への熱い思いをぶつけてくださぁい！			「ロイヤル・プロムナード」にいる近衛兵団「銀冑団」総長の「ジェンリンス」様に、「ナイト」への熱い思いをぶつけてくださぁい！			自由騎士の誓約							
……いかにも、私が近衛兵団「銀冑団」総長ジェンリンス。貴公も、誇り高き「ナイト」を目指し、我がもとへ？ならば、貴公の名を聞こう。			……いかにも、私が近衛兵団「銀冑団」総長ジェンリンス。貴公も、誇り高き「ナイト」を目指し、我がもとへ？ならば、貴公の名を聞こう。			自由騎士の誓約							
……Forenameか、よい名だ。早速だが、ナイトを志す以上……貴公にも、その心得を肝に銘じてもらいたい。			……Forenameか、よい名だ。早速だが、ナイトを志す以上……貴公にも、その心得を肝に銘じてもらいたい。			自由騎士の誓約							
ひとつ、ナイトとは主君に忠節を誓う者なり。ひとつ、ナイトとは主君の剣となり、盾となる者なり。ひとつ、ナイトとは主君の国土と民を守る者なり。			ひとつ、ナイトとは主君に忠節を誓う者なり。ひとつ、ナイトとは主君の剣となり、盾となる者なり。ひとつ、ナイトとは主君の国土と民を守る者なり。			自由騎士の誓約							
……己のために剣を振るう。傭兵や剣闘士とは、決定的に動機が異なる存在だ。その点をはき違えぬよう、くれぐれも心得よ。			……己のために剣を振るう。傭兵や剣闘士とは、決定的に動機が異なる存在だ。その点をはき違えぬよう、くれぐれも心得よ。			自由騎士の誓約							
