格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			亡国からの雷動							
エオルゼア戦史の研究家の護衛を依頼された。護衛対象である、彫金師ギルドにいる「エリック」と話そう。			エオルゼア戦史の研究家の護衛を依頼された。護衛対象である、彫金師ギルドにいる「エリック」と話そう。			亡国からの雷動							
エリックのフィールドワークに同行することになった。中央ザナラーン「シラディハ遺跡」の指定地点に「エーテル計測器」を設置しよう。			エリックのフィールドワークに同行することになった。中央ザナラーン「シラディハ遺跡」の指定地点に「エーテル計測器」を設置しよう。			亡国からの雷動							
古戦場に流れる強い「エーテル」の影響で、冒険者のチャクラが開いた。これを見た兄弟子のウィダルゲルトは、「モンクの証」をくれた。開いたチャクラと完全に共鳴すると、「モンク」の技を習得可能になるという。「エーテル計測器」を回収しよう。			古戦場に流れる強い「エーテル」の影響で、冒険者のチャクラが開いた。これを見た兄弟子のウィダルゲルトは、「モンクの証」をくれた。開いたチャクラと完全に共鳴すると、「モンク」の技を習得可能になるという。「エーテル計測器」を回収しよう。			亡国からの雷動							
「エーテル計測器」を回収した。彫金師ギルドの「エリック」に届けよう。			「エーテル計測器」を回収した。彫金師ギルドの「エリック」に届けよう。			亡国からの雷動							
エリックからの次の依頼に備え、鍛錬を積んでおこう。※モンクのレベルが35以上になると、エリックから次のモンククエストを受注することができます。			エリックからの次の依頼に備え、鍛錬を積んでおこう。※モンクのレベルが35以上になると、エリックから次のモンククエストを受注することができます。			亡国からの雷動							
彫金師ギルドにいるエリックと話す			彫金師ギルドにいるエリックと話す			亡国からの雷動							
シラディハ遺跡の指定地点にエーテル計測器を設置			シラディハ遺跡の指定地点にエーテル計測器を設置			亡国からの雷動							
エーテル計測器を回収			エーテル計測器を回収			亡国からの雷動							
彫金師ギルドにいるエリックにエーテル計測器を渡す			彫金師ギルドにいるエリックにエーテル計測器を渡す			亡国からの雷動							
インプを集中的に討伐せよ！			インプを集中的に討伐せよ！			亡国からの雷動							
エオルゼア戦史の研究家……「エリック博士」をご存じですか？その道の第一人者として、名を知られたお方です。			エオルゼア戦史の研究家……「エリック博士」をご存じですか？その道の第一人者として、名を知られたお方です。			亡国からの雷動							
それと同時に、話がとても長く、冗長で饒舌で、なおかつ、研究費を湯水のように使うことでも有名なお方でございまして……。			それと同時に、話がとても長く、冗長で饒舌で、なおかつ、研究費を湯水のように使うことでも有名なお方でございまして……。			亡国からの雷動							
そんな博士が最近、フィールドワークのために古戦場を巡っている、という情報を得たのでございます。			そんな博士が最近、フィールドワークのために古戦場を巡っている、という情報を得たのでございます。			亡国からの雷動							
古戦場とは古代の戦場跡のこと。いずれも、人も寄りつかぬため、凶悪な魔物がのさばる危険な場所ばかりです。			古戦場とは古代の戦場跡のこと。いずれも、人も寄りつかぬため、凶悪な魔物がのさばる危険な場所ばかりです。			亡国からの雷動							
我らは、研究資金の出資者である「ライブラ銀行」から、博士の護衛を任せられているのです。万が一のことがあれば、ギルドの信用問題に発展します！			我らは、研究資金の出資者である「ライブラ銀行」から、博士の護衛を任せられているのです。万が一のことがあれば、ギルドの信用問題に発展します！			亡国からの雷動							
実はすでに、都市アラミゴからやってきた「モンク」を一名、博士の護衛用に派遣しているのです。			実はすでに、都市アラミゴからやってきた「モンク」を一名、博士の護衛用に派遣しているのです。			亡国からの雷動							
しかし……勤務態度が悪いとのことで、博士から人員の追加要望がありましてね。			しかし……勤務態度が悪いとのことで、博士から人員の追加要望がありましてね。			亡国からの雷動							
ちょうどよい機会ですので、Forenameさんに、博士の護衛をお願いしたいのです。			ちょうどよい機会ですので、Forenameさんに、博士の護衛をお願いしたいのです。			亡国からの雷動							
近頃、注目を集めている「モンク」に触れる、よい機会となりましょう。			近頃、注目を集めている「モンク」に触れる、よい機会となりましょう。			亡国からの雷動							
早速、ウルダハの彫金師ギルドにいる「エリック博士」に、ご挨拶をお願いいたします。			早速、ウルダハの彫金師ギルドにいる「エリック博士」に、ご挨拶をお願いいたします。			亡国からの雷動							
「護衛料など、研究が完成すれば、すぐに払う！」などと博士はおっしゃっていますが、踏み倒されぬよう、しっかりと監視……もとい、護衛をお願いします！			「護衛料など、研究が完成すれば、すぐに払う！」などと博士はおっしゃっていますが、踏み倒されぬよう、しっかりと監視……もとい、護衛をお願いします！			亡国からの雷動							
……来たな！　いやいや、名乗らなくてよい！Forenameだろ、聞いてるぞ。吾輩は、ひと呼んで「超自然探求者・エリック」！			……来たな！　いやいや、名乗らなくてよい！Forenameだろ、聞いてるぞ。吾輩は、ひと呼んで「超自然探求者・エリック」！			亡国からの雷動							
研究テーマは……「古戦場のエーテリック解析に基づく戦史の再構築」だ！			研究テーマは……「古戦場のエーテリック解析に基づく戦史の再構築」だ！			亡国からの雷動							
例えば、君は「古戦場」というと、何を想像するだろう？どこぞの野原か？　荒野か？　だが、違う！それは、まったくもって誤りだ！			例えば、君は「古戦場」というと、何を想像するだろう？どこぞの野原か？　荒野か？　だが、違う！それは、まったくもって誤りだ！			亡国からの雷動							
戦場とはどこにあるものだ？有史以来……人々は、あらゆる地で、戦闘を行ってきた。それを斬新かつ革新的に解釈することこそ吾輩の使命！			戦場とはどこにあるものだ？有史以来……人々は、あらゆる地で、戦闘を行ってきた。それを斬新かつ革新的に解釈することこそ吾輩の使命！			亡国からの雷動							
つまりそれは、君の使命でもある！本来は、吾輩の護衛であり、崇高な研究に心酔する、「モンク」の「ウィダルゲルト」が同行すべきなのだが……			つまりそれは、君の使命でもある！本来は、吾輩の護衛であり、崇高な研究に心酔する、「モンク」の「ウィダルゲルト」が同行すべきなのだが……			亡国からの雷動							
どこをほっつき歩いているのか、ちっとも戻ってこない。彼はアラミゴ出身の「モンク」であり、「チャクラ」を解放し「気」を操ると評判の男だ。			どこをほっつき歩いているのか、ちっとも戻ってこない。彼はアラミゴ出身の「モンク」であり、「チャクラ」を解放し「気」を操ると評判の男だ。			亡国からの雷動							
……だが、戻ってこないのだからしょうがない。君に来てもらうしかない事情が、よくわかっただろう？			……だが、戻ってこないのだからしょうがない。君に来てもらうしかない事情が、よくわかっただろう？			亡国からの雷動							
さて……前置きはこのくらいにしよう。今回、吾輩に同行してもらう古戦場は、中央ザナラーン「シラディハ遺跡」。			さて……前置きはこのくらいにしよう。今回、吾輩に同行してもらう古戦場は、中央ザナラーン「シラディハ遺跡」。			亡国からの雷動							
ここが重要である理由は……亡国「シラディハ」の歴史が物語っている！間抜けな顔だな……さてはシラディハを知らないな？			ここが重要である理由は……亡国「シラディハ」の歴史が物語っている！間抜けな顔だな……さてはシラディハを知らないな？			亡国からの雷動							
湧水の王と称されたララウェフ・シラ・タタウェフ王亡き後、シラディハは混迷期に入り、ララウェフ王の推進し…………成功を……増税で……各地で……が爆…………乱れた。			湧水の王と称されたララウェフ・シラ・タタウェフ王亡き後、シラディハは混迷期に入り、ララウェフ王の推進し…………成功を……増税で……各地で……が爆…………乱れた。			亡国からの雷動							
そこにつけこんだのが……………………………………だ！…………………………なので……………………のうえ…………ともかく………………………………だが………………。			そこにつけこんだのが……………………………………だ！…………………………なので……………………のうえ…………ともかく………………………………だが………………。			亡国からの雷動							
しかし……………………だから…………………………………………はじめ………………………………おいて……………………い……おい！　君！　聞いているのかね！？			しかし……………………だから…………………………………………はじめ………………………………おいて……………………い……おい！　君！　聞いているのかね！？			亡国からの雷動							
すさまじく興味をそそられる逸話だろう？現在の研究者の中には、異なる見解を示す者もいたのだが、論文を発表する直前、行方不明になってしまったと聞く。			すさまじく興味をそそられる逸話だろう？現在の研究者の中には、異なる見解を示す者もいたのだが、論文を発表する直前、行方不明になってしまったと聞く。			亡国からの雷動							
だが、古戦場を解析すれば、真相が明らかになる！それも、いの一番に！　真実を知ることができるのだ！どうだ、わかるか、これが浪漫だ、吾輩の研究だ！！			だが、古戦場を解析すれば、真相が明らかになる！それも、いの一番に！　真実を知ることができるのだ！どうだ、わかるか、これが浪漫だ、吾輩の研究だ！！			亡国からの雷動							
さあ、中央ザナラーン「シラディハ遺跡」へ行くぞ。Forename、君は現地に先行し、この「エーテル計測器」を設置してくれたまえ。			さあ、中央ザナラーン「シラディハ遺跡」へ行くぞ。Forename、君は現地に先行し、この「エーテル計測器」を設置してくれたまえ。			亡国からの雷動							
万が一、吾輩の戦史講義を聞き洩らしたなら、遠慮なく吾輩に再び問いかけるがいい。いいか？　もう一度、吾輩に話しかけるんだぞ？			万が一、吾輩の戦史講義を聞き洩らしたなら、遠慮なく吾輩に再び問いかけるがいい。いいか？　もう一度、吾輩に話しかけるんだぞ？			亡国からの雷動							
でかしたぞ！これで、この地のエーテルを測定すれば……むっ！？			でかしたぞ！これで、この地のエーテルを測定すれば……むっ！？			亡国からの雷動							
