槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
イウェインから依頼を受けた。クルザス中央高地のアドネール占星台にいる「アルベリク」と話そう。			イウェインから依頼を受けた。クルザス中央高地のアドネール占星台にいる「アルベリク」と話そう。			竜の眼							
アルベリクと話した。クルザス中央高地のアドネール占星台にいる「ロジュダンレル」と話そう。			アルベリクと話した。クルザス中央高地のアドネール占星台にいる「ロジュダンレル」と話そう。			竜の眼							
ロジュダンレルと話した。北部森林のフロランテル監視哨にいる「イドリスタン」と話そう。			ロジュダンレルと話した。北部森林のフロランテル監視哨にいる「イドリスタン」と話そう。			竜の眼							
イドリスタンと話した。クルザス中央高地のアドネール占星台にいる「ロジュダンレル」と話そう。			イドリスタンと話した。クルザス中央高地のアドネール占星台にいる「ロジュダンレル」と話そう。			竜の眼							
ロジュダンレルと話した。アドネール占星台東の洞窟にある「焚き火」を調べよう。			ロジュダンレルと話した。アドネール占星台東の洞窟にある「焚き火」を調べよう。			竜の眼							
焚き火を調べた。クルザス中央高地のアドネール占星台にいる「アルベリク」に報告しよう。			焚き火を調べた。クルザス中央高地のアドネール占星台にいる「アルベリク」に報告しよう。			竜の眼							
アルベリクに報告した。出会った黒き鎧の竜騎士こそ、竜の眼を持ち出した犯人エスティニアンだった。彼と遭遇したことで、冒険者の中の「竜の力」が目覚めたという。エスティニアンから「竜の眼」を取り戻すために、アルベリクの指導を受け、「竜の力」を御す方法を身につけよう。※竜騎士のレベルが35以上になると、アルベリクから次の竜騎士クエストを受注することができます。			アルベリクに報告した。出会った黒き鎧の竜騎士こそ、竜の眼を持ち出した犯人エスティニアンだった。彼と遭遇したことで、冒険者の中の「竜の力」が目覚めたという。エスティニアンから「竜の眼」を取り戻すために、アルベリクの指導を受け、「竜の力」を御す方法を身につけよう。※竜騎士のレベルが35以上になると、アルベリクから次の竜騎士クエストを受注することができます。			竜の眼							
アドネール占星台のアルベリクと話す			アドネール占星台のアルベリクと話す			竜の眼							
ロジュダンレルと話す			ロジュダンレルと話す			竜の眼							
フロランテル監視哨のイドリスタンと話す			フロランテル監視哨のイドリスタンと話す			竜の眼							
アドネール占星台のロジュダンレルと話す			アドネール占星台のロジュダンレルと話す			竜の眼							
焚き火を調べる			焚き火を調べる			竜の眼							
アルベリクに報告			アルベリクに報告			竜の眼							
よお、Forename。お前の腕を見込んで、ひとつ頼みがあるんだ。			よお、Forename。お前の腕を見込んで、ひとつ頼みがあるんだ。			竜の眼							
黒衣森の北西、険しい岩峰連なるクルザス地方……断崖に囲まれた城塞都市「イシュガルド」にいる俺の友に、力を貸しちゃくれねえか？			黒衣森の北西、険しい岩峰連なるクルザス地方……断崖に囲まれた城塞都市「イシュガルド」にいる俺の友に、力を貸しちゃくれねえか？			竜の眼							
イシュガルドは、仇敵ドラゴン族との戦いに尽力すべく、体制を引き締めるため、長く門戸を閉ざしている。			イシュガルドは、仇敵ドラゴン族との戦いに尽力すべく、体制を引き締めるため、長く門戸を閉ざしている。			竜の眼							
巡回してる竜騎士を見かけたこともあるだろうが、冒険者にゃ、馴染みのねえ都市だろうな。			巡回してる竜騎士を見かけたこともあるだろうが、冒険者にゃ、馴染みのねえ都市だろうな。			竜の眼							
いちおう、各都市の間で穏やかな関係はあるから鬼哭隊が手を貸すっていう提案もしてるんだが、向こうから断ってきやがってな。			いちおう、各都市の間で穏やかな関係はあるから鬼哭隊が手を貸すっていう提案もしてるんだが、向こうから断ってきやがってな。			竜の眼							
あえて、鬼哭隊ではなく、しがらみの少ない冒険者の手を借りたいらしい。……どうやら、大きな声でできる話じゃねえようだ。			あえて、鬼哭隊ではなく、しがらみの少ない冒険者の手を借りたいらしい。……どうやら、大きな声でできる話じゃねえようだ。			竜の眼							
詳しい話は、直接したいってことだからお前にとって、おいしい話かわからねえんだが……			詳しい話は、直接したいってことだからお前にとって、おいしい話かわからねえんだが……			竜の眼							
引き受けてくれるなら、クルザス中央高地の「アドネール占星台」にいる、「アルベリク」を訪ねてやってくれ。			引き受けてくれるなら、クルザス中央高地の「アドネール占星台」にいる、「アルベリク」を訪ねてやってくれ。			竜の眼							
君が、イウェインから紹介のあった冒険者か。ご足労、感謝する。不躾な依頼を詫びよう。			君が、イウェインから紹介のあった冒険者か。ご足労、感謝する。不躾な依頼を詫びよう。			竜の眼							
私は、アルベリク・ベイル。皇都イシュガルドの神殿騎士だ。			私は、アルベリク・ベイル。皇都イシュガルドの神殿騎士だ。			竜の眼							
単刀直入に言おう。イシュガルド教皇庁、秘蔵の品「竜の眼」が奪われた。これを取り戻すために、手を貸してほしいのだ。			単刀直入に言おう。イシュガルド教皇庁、秘蔵の品「竜の眼」が奪われた。これを取り戻すために、手を貸してほしいのだ。			竜の眼							
「竜の眼」を持ち去ったのは「竜騎士エスティニアン」。竜騎士……イシュガルドのために槍を振るう身でありながら、教皇猊下に背いた罪は重い。			「竜の眼」を持ち去ったのは「竜騎士エスティニアン」。竜騎士……イシュガルドのために槍を振るう身でありながら、教皇猊下に背いた罪は重い。			竜の眼							
私は普段、都市内の神殿に詰めているため、霊災後のグリダニア領境界付近の事情に疎い。			私は普段、都市内の神殿に詰めているため、霊災後のグリダニア領境界付近の事情に疎い。			竜の眼							
まずは、この辺りの情報に詳しいここアドネール占星台の衛兵「ロジュダンレル」に、逃亡者が向かいそうな場所を聞き出してほしい。			まずは、この辺りの情報に詳しいここアドネール占星台の衛兵「ロジュダンレル」に、逃亡者が向かいそうな場所を聞き出してほしい。			竜の眼							
悪いが、時間がないのだ。何故なら、あやつ、エスティニアンは……			悪いが、時間がないのだ。何故なら、あやつ、エスティニアンは……			竜の眼							
ともかく、急いで「竜の眼」を取り戻さねばならん。黒き鎧に身を包んだ、騎士エスティニアンを追ってほしい。だが、事情が事情だ……詳細は決して口外しないでくれ。			ともかく、急いで「竜の眼」を取り戻さねばならん。黒き鎧に身を包んだ、騎士エスティニアンを追ってほしい。だが、事情が事情だ……詳細は決して口外しないでくれ。			竜の眼							
イシュガルドからの逃亡者が取るルートだと……？あんた、何かを追っておるのか？			イシュガルドからの逃亡者が取るルートだと……？あんた、何かを追っておるのか？			竜の眼							
……まあ、たいていは北部森林へ逃げるだろうね。グリダニア領は、イシュガルドと同じでエレゼン族が多いから、目立たないからのう。			……まあ、たいていは北部森林へ逃げるだろうね。グリダニア領は、イシュガルドと同じでエレゼン族が多いから、目立たないからのう。			竜の眼							
人探しなら、北部森林の国境線を守るフロランテル監視哨の「イドリスタン」に、人の出入りを確認するとよかろう。			人探しなら、北部森林の国境線を守るフロランテル監視哨の「イドリスタン」に、人の出入りを確認するとよかろう。			竜の眼							
イシュガルドから黒い鎧の騎士が来なかったか、だって？確かにクルザス方面から来る者を、監視しているが、そんな奴は見かけなかったね。			イシュガルドから黒い鎧の騎士が来なかったか、だって？確かにクルザス方面から来る者を、監視しているが、そんな奴は見かけなかったね。			竜の眼							
キミにここを紹介したという、アドネール占星台の「ロジュダンレル」にもう一度、相談してみるんだな。			キミにここを紹介したという、アドネール占星台の「ロジュダンレル」にもう一度、相談してみるんだな。			竜の眼							
なに、北部森林に向かわないとは、奇妙だのう……ならば、イシュガルド領内で身を潜めておるのか？			なに、北部森林に向かわないとは、奇妙だのう……ならば、イシュガルド領内で身を潜めておるのか？			竜の眼							
追われる身でありながら、領内に留まるとは、何か事情があるに違いない……。そういえば、東の洞窟の方で怪しい煙を見かけたぞ。			追われる身でありながら、領内に留まるとは、何か事情があるに違いない……。そういえば、東の洞窟の方で怪しい煙を見かけたぞ。			竜の眼							
あちらには滞留するような場所はないから、留まる者がいるとしたら、やましい者ぐらいだろう。「焚き火」を調べれば、何か見つかるやもしれぬぞ。			あちらには滞留するような場所はないから、留まる者がいるとしたら、やましい者ぐらいだろう。「焚き火」を調べれば、何か見つかるやもしれぬぞ。			竜の眼							
フン……追手か？報酬目当ての冒険者か……。			フン……追手か？報酬目当ての冒険者か……。			竜の眼							
な……「竜の眼」が……！？			な……「竜の眼」が……！？			竜の眼							
バカな……「竜の眼」が、俺以外の者に？お前は、いったい……。			バカな……「竜の眼」が、俺以外の者に？お前は、いったい……。			竜の眼							
……その顔、覚えておく。いずれ、また……まみえる時が来るだろう。さっさと帰るがいい。			……その顔、覚えておく。いずれ、また……まみえる時が来るだろう。さっさと帰るがいい。			竜の眼							
なに、黒い鎧の騎士に会った……！？まさか……！　詳しく話を聞かせてくれ！			なに、黒い鎧の騎士に会った……！？まさか……！　詳しく話を聞かせてくれ！			竜の眼							
なんということだ……君は……「竜の眼」に見初められてしまったというのか。			なんということだ……君は……「竜の眼」に見初められてしまったというのか。			竜の眼							
……すべてを話さなければなるまい。少し長くなるが、聞いてほしい。			……すべてを話さなければなるまい。少し長くなるが、聞いてほしい。			竜の眼							
奪われた「竜の眼」は、ただの宝ではない。イシュガルドの竜騎士の中でも、最も強く賢い者に「竜の力」を授けるという、不思議な力を持つ宝珠だ。			奪われた「竜の眼」は、ただの宝ではない。イシュガルドの竜騎士の中でも、最も強く賢い者に「竜の力」を授けるという、不思議な力を持つ宝珠だ。			竜の眼							
「竜の力」に目覚めた者は、ひとりでもドラゴン族と対等に渡り合うほどの力を得て、空を制するがごとく舞う様から「蒼の竜騎士」と称される。			「竜の力」に目覚めた者は、ひとりでもドラゴン族と対等に渡り合うほどの力を得て、空を制するがごとく舞う様から「蒼の竜騎士」と称される。			竜の眼							
「蒼の竜騎士」の存在……。それは、イシュガルドの竜騎士たちにとって羨望の的であり、都市民にとっては希望の光なのだが……			「蒼の竜騎士」の存在……。それは、イシュガルドの竜騎士たちにとって羨望の的であり、都市民にとっては希望の光なのだが……			竜の眼							
君が出会った黒い鎧の騎士。あやつこそ、宝珠「竜の眼」を持ち去った張本人。そして……私の弟子である「蒼の竜騎士」エスティニアンだ。			君が出会った黒い鎧の騎士。あやつこそ、宝珠「竜の眼」を持ち去った張本人。そして……私の弟子である「蒼の竜騎士」エスティニアンだ。			竜の眼							
エスティニアンが竜騎士たる道を外れたのは、師である私の責任……。なんとしても連れ戻し、宝珠を取り返さねばならん。			エスティニアンが竜騎士たる道を外れたのは、師である私の責任……。なんとしても連れ戻し、宝珠を取り返さねばならん。			竜の眼							
そして、そのためには君の力が必要だ。何故ならば……			そして、そのためには君の力が必要だ。何故ならば……			竜の眼							
「竜の眼」が、もうひとりの「蒼の竜騎士」を選んだ。それが他ならぬForename、君だからだ。			「竜の眼」が、もうひとりの「蒼の竜騎士」を選んだ。それが他ならぬForename、君だからだ。			竜の眼							
