弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
ルシアヌから依頼を受けた。南部森林のクォーリーミルの西にいる吟遊詩人「ジェアンテル」と話そう。			ルシアヌから依頼を受けた。南部森林のクォーリーミルの西にいる吟遊詩人「ジェアンテル」と話そう。			響きあうふたつの音色							
ジェアンテルに詩歌の教えを請うたところ、モーグリ族に会うように促された。南部森林のクォーリーミルの東にいる「プクノ・ポキ」と話そう。			ジェアンテルに詩歌の教えを請うたところ、モーグリ族に会うように促された。南部森林のクォーリーミルの東にいる「プクノ・ポキ」と話そう。			響きあうふたつの音色							
プクノ・ポキと話した。南部森林の朽葉の吹溜まりにある「盗まれた荷箱」を調べよう。			プクノ・ポキと話した。南部森林の朽葉の吹溜まりにある「盗まれた荷箱」を調べよう。			響きあうふたつの音色							
「プクノ・ポキのお守り」を取り返すことができた。これを、南部森林のクォーリーミルの東にいる「プクノ・ポキ」に見せよう。			「プクノ・ポキのお守り」を取り返すことができた。これを、南部森林のクォーリーミルの東にいる「プクノ・ポキ」に見せよう。			響きあうふたつの音色							
プクノ・ポキにプクノ・ポキのお守りを見せた。南部森林のクォーリーミルの西にいる吟遊詩人「ジェアンテル」に「プクノ・ポキのお守り」を渡そう。			プクノ・ポキにプクノ・ポキのお守りを見せた。南部森林のクォーリーミルの西にいる吟遊詩人「ジェアンテル」に「プクノ・ポキのお守り」を渡そう。			響きあうふたつの音色							
ジェアンテルに、プクノ・ポキの伝言とともに、プクノ・ポキのお守りを渡した。ジェアンテルに届けた「プクノ・ポキのお守り」は、「吟遊詩人の証」だった。プクノ・ポキの想像を超える「吟遊詩人」になるため鍛錬に励もう。※吟遊詩人のレベルが35以上になるとジェアンテルから次の吟遊詩人クエストを受注することができます。			ジェアンテルに、プクノ・ポキの伝言とともに、プクノ・ポキのお守りを渡した。ジェアンテルに届けた「プクノ・ポキのお守り」は、「吟遊詩人の証」だった。プクノ・ポキの想像を超える「吟遊詩人」になるため鍛錬に励もう。※吟遊詩人のレベルが35以上になるとジェアンテルから次の吟遊詩人クエストを受注することができます。			響きあうふたつの音色							
クォーリーミルの西にいるジェアンテルと話す			クォーリーミルの西にいるジェアンテルと話す			響きあうふたつの音色							
プクノ・ポキと話す			プクノ・ポキと話す			響きあうふたつの音色							
盗まれた荷箱を調べる			盗まれた荷箱を調べる			響きあうふたつの音色							
プクノ・ポキにプクノ・ポキのお守りを見せる			プクノ・ポキにプクノ・ポキのお守りを見せる			響きあうふたつの音色							
