双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
ジャックから、素性のわからない不審な集団の調査を依頼された。東ラノシアのワインポートにいる「ペリム・ハウリム」と合流しよう。			ジャックから、素性のわからない不審な集団の調査を依頼された。東ラノシアのワインポートにいる「ペリム・ハウリム」と合流しよう。			月影の導き							
ペリム・ハウリムは、悲鳴が聞こえたと言っている。「ワインポート」で異変を探してみよう。			ペリム・ハウリムは、悲鳴が聞こえたと言っている。「ワインポート」で異変を探してみよう。			月影の導き							
海賊に襲われたという、不思議な農婦を見つけた。ペリム・ハウリムは不思議な農婦に違和感を抱いているらしい。農婦を探すため、ワインポートの東に向かった「ペリム・ハウリム」を追おう。			海賊に襲われたという、不思議な農婦を見つけた。ペリム・ハウリムは不思議な農婦に違和感を抱いているらしい。農婦を探すため、ワインポートの東に向かった「ペリム・ハウリム」を追おう。			月影の導き							
ペリム・ハウリムは、武器を持った農民たちの惨状を見つけ、ますます農婦への疑いを深めていた。高地ラノシアに向かった「不思議な農婦」を追おう。			ペリム・ハウリムは、武器を持った農民たちの惨状を見つけ、ますます農婦への疑いを深めていた。高地ラノシアに向かった「不思議な農婦」を追おう。			月影の導き							
不思議な農婦は、ドマの隠れ里からやってきた忍者だった。彼らは、裏切り者の誅殺のためにエオルゼアにやってきたという。オボロは、冒険者に忍術を伝授する代わりに、力と知識を貸りたいようだ。オボロとの取引に応じるならば、東ラノシアの船着場：レインキャッチャー付近の平屋の前にいる「オボロ」と話そう。			不思議な農婦は、ドマの隠れ里からやってきた忍者だった。彼らは、裏切り者の誅殺のためにエオルゼアにやってきたという。オボロは、冒険者に忍術を伝授する代わりに、力と知識を貸りたいようだ。オボロとの取引に応じるならば、東ラノシアの船着場：レインキャッチャー付近の平屋の前にいる「オボロ」と話そう。			月影の導き							
オボロは、冒険者が協力してくれることに感謝した。冒険者が平屋の中に入るための合い言葉は、「アヤメ」という問いに対して、「カエデ」と答えることらしい。船着場の平屋の前にいる「ビャクブ」に合い言葉を伝えよう。			オボロは、冒険者が協力してくれることに感謝した。冒険者が平屋の中に入るための合い言葉は、「アヤメ」という問いに対して、「カエデ」と答えることらしい。船着場の平屋の前にいる「ビャクブ」に合い言葉を伝えよう。			月影の導き							
ビャクブに合い言葉を伝え、平屋の中に入ることができた。船着場の平屋の中にいる「オボロ」と話そう。			ビャクブに合い言葉を伝え、平屋の中に入ることができた。船着場の平屋の中にいる「オボロ」と話そう。			月影の導き							
オボロに「天の印」と「忍術」を教えてもらった。「忍者の証」を装備し、正式な忍者となってから、再度オボロと話そう。			オボロに「天の印」と「忍術」を教えてもらった。「忍者の証」を装備し、正式な忍者となってから、再度オボロと話そう。			月影の導き							
ワインポートのペリム・ハウリムと話す			ワインポートのペリム・ハウリムと話す			月影の導き							
ワインポートで異変を探す			ワインポートで異変を探す			月影の導き							
ペリム・ハウリムと話す			ペリム・ハウリムと話す			月影の導き							
ブロンズレイクの不思議な農婦と話す			ブロンズレイクの不思議な農婦と話す			月影の導き							
船着場：レインキャッチャーの平屋前のオボロと話す			船着場：レインキャッチャーの平屋前のオボロと話す			月影の導き							
ビャクブと話す			ビャクブと話す			月影の導き							
オボロと話す			オボロと話す			月影の導き							
よう、Forename。あの「断罪党」とも渡り合ったお前の腕を見込んで、変わった仕事を任せたいんだが……いいか？			よう、Forename。あの「断罪党」とも渡り合ったお前の腕を見込んで、変わった仕事を任せたいんだが……いいか？			月影の導き							
今回追ってもらうのは、掟破りじゃねぇ。「ワインポート」の周辺に、素性の知れねぇ、怪しい連中が住み着いているらしくてな。			今回追ってもらうのは、掟破りじゃねぇ。「ワインポート」の周辺に、素性の知れねぇ、怪しい連中が住み着いているらしくてな。			月影の導き							
移民者を装ってはいるんだが、完璧なまでに正体を隠していて、出自がわからねぇ……。どうにも、裏社会に生きる者の匂いがするんだよ。			移民者を装ってはいるんだが、完璧なまでに正体を隠していて、出自がわからねぇ……。どうにも、裏社会に生きる者の匂いがするんだよ。			月影の導き							
俺たちは、「リムサ・ロミンサの裏社会」の番人でもある。外から裏の連中が入ってきたのなら、監視しておきたい。			俺たちは、「リムサ・ロミンサの裏社会」の番人でもある。外から裏の連中が入ってきたのなら、監視しておきたい。			月影の導き							
すでに「ペリム・ハウリム」が現地に向かってる。手間をかけるが、「ワインポート」であいつと合流して、件の連中を追ってみてくれ。			すでに「ペリム・ハウリム」が現地に向かってる。手間をかけるが、「ワインポート」であいつと合流して、件の連中を追ってみてくれ。			月影の導き							
すでに「ペリム・ハウリム」が現地に向かってる。手間をかけるが、「ワインポート」であいつと合流して、件の連中を追ってみてくれ。			すでに「ペリム・ハウリム」が現地に向かってる。手間をかけるが、「ワインポート」であいつと合流して、件の連中を追ってみてくれ。			月影の導き							
あれ、Forenameじゃないですか！あんたが手伝いにきてくれるなんて、心強いです。			あれ、Forenameじゃないですか！あんたが手伝いにきてくれるなんて、心強いです。			月影の導き							
……とはいえ、申し訳ないんですが、まだ標的の正体に迫る情報は、手に入ってないんですよ。			……とはいえ、申し訳ないんですが、まだ標的の正体に迫る情報は、手に入ってないんですよ。			月影の導き							
周辺住民には「南洋からの移民者」と名乗ってるようですが、税関公社に問い合わせても、該当する移民船はなし……。どうやって島に渡ってきたのかも、わからないんです。			周辺住民には「南洋からの移民者」と名乗ってるようですが、税関公社に問い合わせても、該当する移民船はなし……。どうやって島に渡ってきたのかも、わからないんです。			月影の導き							
こうなったら、多少の危険は承知のうえで、直接、接触するしかないと思っていたところですが……			こうなったら、多少の危険は承知のうえで、直接、接触するしかないと思っていたところですが……			月影の導き							
………………ん？何か悲鳴が聞こえませんでしたか？			………………ん？何か悲鳴が聞こえませんでしたか？			月影の導き							
気のせい……いや、違う。ここから北西の方角、遠くはない場所だ……行きましょう！			気のせい……いや、違う。ここから北西の方角、遠くはない場所だ……行きましょう！			月影の導き							
ひ、ひぃっ……この人たちの仲間！？やっ、やめてください、お金はありません！！			ひ、ひぃっ……この人たちの仲間！？やっ、やめてください、お金はありません！！			月影の導き							
……穏やかな状況じゃないですね。お姉さん、オレたちはあんたに危害を加えたりしません。いったい、何があったんですか？			……穏やかな状況じゃないですね。お姉さん、オレたちはあんたに危害を加えたりしません。いったい、何があったんですか？			月影の導き							
