幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
エ・スミ・ヤンから依頼を受けた。中央森林のエバーシェイドにいる「ラヤ・オ・センナ」と話そう。			エ・スミ・ヤンから依頼を受けた。中央森林のエバーシェイドにいる「ラヤ・オ・センナ」と話そう。			偉人の後継者							
ラヤ・オ・センナと話した。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			ラヤ・オ・センナと話した。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			偉人の後継者							
ラヤ・オ・センナに報告した。彼女は、過去の白魔道士ア・トワ・カントのソウルクリスタルを受け継いだ冒険者に、白魔道士となって、エバーシェイドにある長老の木の精霊を鎮めるため、儀式に参加してほしいのだと語った。彼女の期待に応えるべく、白魔道士として修業に励もう。※白魔道士のレベルが35以上になると、ラヤ・オ・センナから次の白魔道士クエストを受注することができます。			ラヤ・オ・センナに報告した。彼女は、過去の白魔道士ア・トワ・カントのソウルクリスタルを受け継いだ冒険者に、白魔道士となって、エバーシェイドにある長老の木の精霊を鎮めるため、儀式に参加してほしいのだと語った。彼女の期待に応えるべく、白魔道士として修業に励もう。※白魔道士のレベルが35以上になると、ラヤ・オ・センナから次の白魔道士クエストを受注することができます。			偉人の後継者							
エバーシェイドのラヤ・オ・センナと話す			エバーシェイドのラヤ・オ・センナと話す			偉人の後継者							
キャンプ・トランキルのラヤ・オ・センナに報告			キャンプ・トランキルのラヤ・オ・センナに報告			偉人の後継者							
蜘蛛たちを倒せ！			蜘蛛たちを倒せ！			偉人の後継者							
Forename、優れた幻術士であるあなたに、頼まれてほしいことがあります。			Forename、優れた幻術士であるあなたに、頼まれてほしいことがあります。			偉人の後継者							
「三重(みえ)の幻術皇」をご存知ですか？我がグリダニアの最高指導者ともいうべき、カヌ・エ・センナ様を長女とする、角尊の三姉弟……。			「三重(みえ)の幻術皇」をご存知ですか？我がグリダニアの最高指導者ともいうべき、カヌ・エ・センナ様を長女とする、角尊の三姉弟……。			偉人の後継者							
その次女ラヤ・オ・センナ様と、末弟ア・ルン・センナ様。おふたりが今、「エバーシェイド」に向かわれています。			その次女ラヤ・オ・センナ様と、末弟ア・ルン・センナ様。おふたりが今、「エバーシェイド」に向かわれています。			偉人の後継者							
かの地の「長老の木」に棲まう大精霊が、相次ぐ森への侵入者に怒り、我を忘れておいでになり……その御心を鎮める「鎮撫の儀」をせねばなりません。			かの地の「長老の木」に棲まう大精霊が、相次ぐ森への侵入者に怒り、我を忘れておいでになり……その御心を鎮める「鎮撫の儀」をせねばなりません。			偉人の後継者							
ですが……無謀にも護衛をつけずに出立されてしまった。儀式の準備さえ、完全ではないというのに、まったく困ったものです。			ですが……無謀にも護衛をつけずに出立されてしまった。儀式の準備さえ、完全ではないというのに、まったく困ったものです。			偉人の後継者							
もちろん、おふたりとも優れた術士ではあるのですが……近頃は魔物が増えていることもあり、心配です。			もちろん、おふたりとも優れた術士ではあるのですが……近頃は魔物が増えていることもあり、心配です。			偉人の後継者							
私の一存ではありますが、Forename……「エバーシェイド」に向かってくれませんか？おふたりを追いかけ、手助けしてさしあげてください。			私の一存ではありますが、Forename……「エバーシェイド」に向かってくれませんか？おふたりを追いかけ、手助けしてさしあげてください。			偉人の後継者							
まいったわね……「長老の木」に近づけないわ。倒すそばから、魔物が湧いてくるじゃない。まったくキリがないわよ、もう！			まいったわね……「長老の木」に近づけないわ。倒すそばから、魔物が湧いてくるじゃない。まったくキリがないわよ、もう！			偉人の後継者							
こんなことなら、やっぱり護衛を連れてくるんだった。今のままじゃ、さすがに手が足りないわね。引き寄せられてくる魔物が多すぎる！			こんなことなら、やっぱり護衛を連れてくるんだった。今のままじゃ、さすがに手が足りないわね。引き寄せられてくる魔物が多すぎる！			偉人の後継者							
そんな、諦めちゃダメだ、ラヤ・オ姉さま！			そんな、諦めちゃダメだ、ラヤ・オ姉さま！			偉人の後継者							
当然！　なんだけど……正直なところ、口で言うほど楽じゃないのよね。			当然！　なんだけど……正直なところ、口で言うほど楽じゃないのよね。			偉人の後継者							
……ん？　ちょっと、そこのあんた！幻術士……エ・スミの手の者ね。ここらの魔物を片付けたいの、手伝ってくれる？			……ん？　ちょっと、そこのあんた！幻術士……エ・スミの手の者ね。ここらの魔物を片付けたいの、手伝ってくれる？			偉人の後継者							
姉さま、なにを！？冒険者の力なんか、借りなくても！			姉さま、なにを！？冒険者の力なんか、借りなくても！			偉人の後継者							
あんたのこだわりもわかるけど……今はまず、魔物を追い払うことを考えなさい、ア・ルン！			あんたのこだわりもわかるけど……今はまず、魔物を追い払うことを考えなさい、ア・ルン！			偉人の後継者							
そ……それは、「ソウルクリスタル」！？今は亡き偉大なる角尊、ア・トワ・カント様の遺物だわ！彼のお方の遺志が、この冒険者を選んだというの！？			そ……それは、「ソウルクリスタル」！？今は亡き偉大なる角尊、ア・トワ・カント様の遺物だわ！彼のお方の遺志が、この冒険者を選んだというの！？			偉人の後継者							
ア・トワ様は、前回の「鎮撫の儀」を執り行ったお方。……ア・トワ様の遺物が、後継者と認めたのよ！ 			ア・トワ様は、前回の「鎮撫の儀」を執り行ったお方。……ア・トワ様の遺物が、後継者と認めたのよ！ 			偉人の後継者							
角尊が密かに継承してきた「白魔法」の使い手たる者、すなわち「白魔道士」の証が「ソウルクリスタル」。もしかしたら、ア・トワ様の導きかもしれない。			角尊が密かに継承してきた「白魔法」の使い手たる者、すなわち「白魔道士」の証が「ソウルクリスタル」。もしかしたら、ア・トワ様の導きかもしれない。			偉人の後継者							
元々、「鎮撫の儀」は、3人の角尊……いえ、3人の「白魔道士」によって執り行うものよ。つまり、冒険者が白魔道士の道を歩めば……。			元々、「鎮撫の儀」は、3人の角尊……いえ、3人の「白魔道士」によって執り行うものよ。つまり、冒険者が白魔道士の道を歩めば……。			偉人の後継者							
だ、ダメだよ、中の姉さま！「白魔法」は世の理を乱しかねない大いなる術。角尊以外への継承は、固く禁じられているはずじゃないか！			だ、ダメだよ、中の姉さま！「白魔法」は世の理を乱しかねない大いなる術。角尊以外への継承は、固く禁じられているはずじゃないか！			偉人の後継者							
ア・ルン、確かに伝統を守るのは大切なことよ。だけど、今はそれにこだわっている場合じゃないわ。大精霊が暴走すれば、たくさんの犠牲者がでるのよ？			ア・ルン、確かに伝統を守るのは大切なことよ。だけど、今はそれにこだわっている場合じゃないわ。大精霊が暴走すれば、たくさんの犠牲者がでるのよ？			偉人の後継者							
……僕と姉さま、2人の力だけでも、時間をかければ儀式を成功させられるって言ってたじゃないか！冒険者の手を借りる必要なんて……ない！			……僕と姉さま、2人の力だけでも、時間をかければ儀式を成功させられるって言ってたじゃないか！冒険者の手を借りる必要なんて……ない！			偉人の後継者							
……もう、頭が固いんだから、ア・ルンは。言ってることは一理あるだけに、説得に骨が折れそうね。			……もう、頭が固いんだから、ア・ルンは。言ってることは一理あるだけに、説得に骨が折れそうね。			偉人の後継者							
……ちょっと、そこのあんた！聞いていたわね、今の話？詳しく説明するから、「キャンプ・トランキル」まで来て。			……ちょっと、そこのあんた！聞いていたわね、今の話？詳しく説明するから、「キャンプ・トランキル」まで来て。			偉人の後継者							
さっきはありがとう。自己紹介が、まだだったわね？あたしはラヤ・オ・センナ、見てのとおり「角尊」よ。			さっきはありがとう。自己紹介が、まだだったわね？あたしはラヤ・オ・センナ、見てのとおり「角尊」よ。			偉人の後継者							
あんたForenameよね？前にエ・スミから、名前を聞いたことがあるわ。優秀だっていう、その力を見込んで頼みがあるのよ。			あんたForenameよね？前にエ・スミから、名前を聞いたことがあるわ。優秀だっていう、その力を見込んで頼みがあるのよ。			偉人の後継者							
さっき、あたしたちが向かっていた「長老の木」……。あの樹の大精霊が、怒りに囚われつつあるの。			さっき、あたしたちが向かっていた「長老の木」……。あの樹の大精霊が、怒りに囚われつつあるの。			偉人の後継者							
怒りに囚われた精霊は、人々に様々な害をなすわ。さっきのような、魔物の大量発生もそうよ。怒れる精霊に、引き寄せられているの。			怒りに囚われた精霊は、人々に様々な害をなすわ。さっきのような、魔物の大量発生もそうよ。怒れる精霊に、引き寄せられているの。			偉人の後継者							
だから、大精霊を鎮めるための儀式、つまり「鎮撫の儀」を執り行いたいんだけど、その儀式には本来、「白魔道士」が3人必要なのよ。			だから、大精霊を鎮めるための儀式、つまり「鎮撫の儀」を執り行いたいんだけど、その儀式には本来、「白魔道士」が3人必要なのよ。			偉人の後継者							
でも、今動けるのはあたしと弟のア・ルンの2人だけ。なんとか2人で鎮めようと思ってたんだけど……。			でも、今動けるのはあたしと弟のア・ルンの2人だけ。なんとか2人で鎮めようと思ってたんだけど……。			偉人の後継者							
……そこにあんたが現れ、あの地に隠されていた「ソウルクリスタル」に、白魔道士として選ばれた……！			……そこにあんたが現れ、あの地に隠されていた「ソウルクリスタル」に、白魔道士として選ばれた……！			偉人の後継者							
これはきっと、ア・トワ・カント様の遺志！自分の後継者としてふさわしい素質を持つあんたに、「鎮撫の儀」に参加しろっていう……ね。			これはきっと、ア・トワ・カント様の遺志！自分の後継者としてふさわしい素質を持つあんたに、「鎮撫の儀」に参加しろっていう……ね。			偉人の後継者							
ア・トワ・カント様は、優れた白魔道士と名高いお方。でも、破天荒なお方で、掟に縛られることなく、森を離れて人々や自然を癒やす旅に出たの。			ア・トワ・カント様は、優れた白魔道士と名高いお方。でも、破天荒なお方で、掟に縛られることなく、森を離れて人々や自然を癒やす旅に出たの。			偉人の後継者							
その行いは立派だったけど、旅先で亡くなられ、未だにア・トワ・カント様の後継者は不在のまま……。そんな時にあんたが現われた……これは天啓よ！			その行いは立派だったけど、旅先で亡くなられ、未だにア・トワ・カント様の後継者は不在のまま……。そんな時にあんたが現われた……これは天啓よ！			偉人の後継者							
ただね、さっきア・ルンが言っていたように、「白魔法」は故あって、角尊以外へ伝承することを禁じられていたの……そのことを、覚えておいて。			ただね、さっきア・ルンが言っていたように、「白魔法」は故あって、角尊以外へ伝承することを禁じられていたの……そのことを、覚えておいて。			偉人の後継者							
ま、堅苦しい話はここまで。ともかく、これからもよろしく頼むわね、白魔道士Forename Surname？			ま、堅苦しい話はここまで。ともかく、これからもよろしく頼むわね、白魔道士Forename Surname？			偉人の後継者							
じゃあ、まずは習うより慣れろよ。しばらくは、白魔道士としての経験を積んでみて。あたしから何か指南するのは、それからにしましょう。			じゃあ、まずは習うより慣れろよ。しばらくは、白魔道士としての経験を積んでみて。あたしから何か指南するのは、それからにしましょう。			偉人の後継者							
「白魔道士」のジョブクエストが開始されました。次のクエストは「白魔道士レベル35」以上で受注可能になります。			「白魔道士」のジョブクエストが開始されました。次のクエストは「白魔道士レベル35」以上で受注可能になります。			偉人の後継者							
「長老の木」があたしたちが近づくのを拒んで、魔物を差し向けているの！？			「長老の木」があたしたちが近づくのを拒んで、魔物を差し向けているの！？			偉人の後継者							
冒険者さん、僕の邪魔はしないでよね。			冒険者さん、僕の邪魔はしないでよね。			偉人の後継者							
とにかく、魔物の数を減らすのよ！			とにかく、魔物の数を減らすのよ！			偉人の後継者							
油断したわ……。まさか、こんな結果になるなんて……！			油断したわ……。まさか、こんな結果になるなんて……！			偉人の後継者							
