呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
ヤヤケから依頼を受けた。東ザナラーンのハイブリッジにある「ヴォイドクラック」を調べ、出現した妖異を討伐し、「妖異の鮮血」を入手しよう。			ヤヤケから依頼を受けた。東ザナラーンのハイブリッジにある「ヴォイドクラック」を調べ、出現した妖異を討伐し、「妖異の鮮血」を入手しよう。			声を聞きし者							
妖異の鮮血を入手した。東ザナラーンのハイブリッジにある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			妖異の鮮血を入手した。東ザナラーンのハイブリッジにある「ヴォイドクラック」に「妖異の鮮血」を刻もう。			声を聞きし者							
妖異の鮮血を刻んだ。ウルダハの呪術士ギルドにいる「ヤヤケ」と話そう。			妖異の鮮血を刻んだ。ウルダハの呪術士ギルドにいる「ヤヤケ」と話そう。			声を聞きし者							
ヤヤケと話した。ウルダハのミルバネス礼拝堂にいる「ラライ」に報告しよう。			ヤヤケと話した。ウルダハのミルバネス礼拝堂にいる「ラライ」に報告しよう。			声を聞きし者							
ラライに報告した。ククルカは礼拝堂の奥にて瞑想を続けているため、ラライが代わりとなって、その言葉を伝えるのだという……。※黒魔道士のレベルが35以上になると、ラライから次の黒魔道士クエストを受注することができます。			ラライに報告した。ククルカは礼拝堂の奥にて瞑想を続けているため、ラライが代わりとなって、その言葉を伝えるのだという……。※黒魔道士のレベルが35以上になると、ラライから次の黒魔道士クエストを受注することができます。			声を聞きし者							
ハイブリッジのヴォイドクラックを調べて妖異を討伐し、妖異の鮮血を入手			ハイブリッジのヴォイドクラックを調べて妖異を討伐し、妖異の鮮血を入手			声を聞きし者							
ヴォイドクラックに妖異の鮮血を刻む			ヴォイドクラックに妖異の鮮血を刻む			声を聞きし者							
呪術士ギルドのヤヤケと話す			呪術士ギルドのヤヤケと話す			声を聞きし者							
ミルバネス礼拝堂のラライに報告			ミルバネス礼拝堂のラライに報告			声を聞きし者							
Forename Surname。貴方を待っていました。至急、確かめてもらいたいことがございます。			Forename Surname。貴方を待っていました。至急、確かめてもらいたいことがございます。			声を聞きし者							
100年もの間、「マラサジャ収容所」に幽閉されている罪人が、「ナルザル神の御言葉を聞いた」などと騒ぎだしたのです。			100年もの間、「マラサジャ収容所」に幽閉されている罪人が、「ナルザル神の御言葉を聞いた」などと騒ぎだしたのです。			声を聞きし者							
「貴方が邪なる妖異を倒し、「シャトトの魔石」を持ち帰る。　その魔石と引き替えに、我を牢より解放せよ。」……という、ふざけた内容でした。			「貴方が邪なる妖異を倒し、「シャトトの魔石」を持ち帰る。　その魔石と引き替えに、我を牢より解放せよ。」……という、ふざけた内容でした。			声を聞きし者							
まったく呆れたものです……。お告げとやらの真偽を確かめてやる義理も、罪人を牢より解放してやる道理もないというのに。			まったく呆れたものです……。お告げとやらの真偽を確かめてやる義理も、罪人を牢より解放してやる道理もないというのに。			声を聞きし者							
その罪人の名は「ククルカ・タタルカ」。己を、古に滅びた「黒魔道士」などと称する不届き者です。			その罪人の名は「ククルカ・タタルカ」。己を、古に滅びた「黒魔道士」などと称する不届き者です。			声を聞きし者							
おおかた、禁書のまじないに取り憑かれた、愚鈍な術士でございましょう。そのような輩の言うことなど、信じるに値しませんが……。			おおかた、禁書のまじないに取り憑かれた、愚鈍な術士でございましょう。そのような輩の言うことなど、信じるに値しませんが……。			声を聞きし者							
