巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
トゥビルゲイムから依頼を受けた。グリダニアのアプカル滝にいる「ヤ・ミトラ」と話そう。			トゥビルゲイムから依頼を受けた。グリダニアのアプカル滝にいる「ヤ・ミトラ」と話そう。			業火の召喚獣							
ヤ・ミトラと話した。南ザナラーンのビエルゴズ・ストライクの西にいる「ヤ・ミトラ」と話し、現れた召喚獣を討伐しよう。			ヤ・ミトラと話した。南ザナラーンのビエルゴズ・ストライクの西にいる「ヤ・ミトラ」と話し、現れた召喚獣を討伐しよう。			業火の召喚獣							
ヤ・ミトラと話し、現れた召喚獣を討伐した。南ザナラーンのビエルゴズ・ストライクの西にいる「ヤ・ミトラ」と話そう。			ヤ・ミトラと話し、現れた召喚獣を討伐した。南ザナラーンのビエルゴズ・ストライクの西にいる「ヤ・ミトラ」と話そう。			業火の召喚獣							
ヤ・ミトラと話した。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			ヤ・ミトラと話した。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			業火の召喚獣							
ヤ・ミトラに報告した。次は召喚獣「タイタン・エギ」を入手するため、土の荒行に入ってほしいと、ヤ・ミトラは語った。ヤ・ミトラの準備ができるまでに、冒険者は蛮神「タイタン」の討伐を成功させ、召喚士として経験を積まなくてはならない。※蛮神タイタンを討伐し、召喚士のレベルが35以上になると、ヤ・ミトラから次の召喚士クエストを受注することができます。			ヤ・ミトラに報告した。次は召喚獣「タイタン・エギ」を入手するため、土の荒行に入ってほしいと、ヤ・ミトラは語った。ヤ・ミトラの準備ができるまでに、冒険者は蛮神「タイタン」の討伐を成功させ、召喚士として経験を積まなくてはならない。※蛮神タイタンを討伐し、召喚士のレベルが35以上になると、ヤ・ミトラから次の召喚士クエストを受注することができます。			業火の召喚獣							
アプカル滝のヤ・ミトラと話す			アプカル滝のヤ・ミトラと話す			業火の召喚獣							
ビエルゴズ・ストライク西のヤ・ミトラと話す			ビエルゴズ・ストライク西のヤ・ミトラと話す			業火の召喚獣							
ヤ・ミトラと話す			ヤ・ミトラと話す			業火の召喚獣							
アプカル滝のヤ・ミトラに報告			アプカル滝のヤ・ミトラに報告			業火の召喚獣							
イフリート・エギを倒せ！			イフリート・エギを倒せ！			業火の召喚獣							
今、この巴術士ギルドには、蛮神「イフリート」を倒した経験のある巴術士……っていう、条件の指定された依頼が来ているんだ。			今、この巴術士ギルドには、蛮神「イフリート」を倒した経験のある巴術士……っていう、条件の指定された依頼が来ているんだ。			業火の召喚獣							
興味があるんだったら、ウルダハで討伐に参加して、蛮神「イフリート」を倒してから、またここに来てくれ。			興味があるんだったら、ウルダハで討伐に参加して、蛮神「イフリート」を倒してから、またここに来てくれ。			業火の召喚獣							
蛮神イフリートを討伐すると、トゥビルゲイムから召喚士クエストを受注することができます。			蛮神イフリートを討伐すると、トゥビルゲイムから召喚士クエストを受注することができます。			業火の召喚獣							
やあ、Forename。よく来てくれたね、お前さんに話があるのさ。			やあ、Forename。よく来てくれたね、お前さんに話があるのさ。			業火の召喚獣							
「聖コイナク財団」という学術研究組織からなんだが、Forename宛に、依頼が届いていてね。			「聖コイナク財団」という学術研究組織からなんだが、Forename宛に、依頼が届いていてね。			業火の召喚獣							
彼らは、現在進めている特別な研究の協力者として、蛮神「イフリート」を討伐した経験を持つ巴術士を、迎えたがっているらしいんだ。			彼らは、現在進めている特別な研究の協力者として、蛮神「イフリート」を討伐した経験を持つ巴術士を、迎えたがっているらしいんだ。			業火の召喚獣							
お前さんが「蛮神討伐」という、稀有な経験を持つ巴術士であることを、どこからか聞きつけたんだろうね……。			お前さんが「蛮神討伐」という、稀有な経験を持つ巴術士であることを、どこからか聞きつけたんだろうね……。			業火の召喚獣							
少しでも興味があるのなら、グリダニアの「アプカル滝」にいる財団の研究者、「ヤ・ミトラ」を訪ねてみてはどうだい？			少しでも興味があるのなら、グリダニアの「アプカル滝」にいる財団の研究者、「ヤ・ミトラ」を訪ねてみてはどうだい？			業火の召喚獣							
あなたがForename Surname？はじめまして、私がヤ・ミトラよ。			あなたがForename Surname？はじめまして、私がヤ・ミトラよ。			業火の召喚獣							
私は「聖コイナク財団」の一員。財団っていうのは、同盟加盟国とシャーレアンの者たちが、古代アラグ文明の知識を求めて設立した研究組織よ。			私は「聖コイナク財団」の一員。財団っていうのは、同盟加盟国とシャーレアンの者たちが、古代アラグ文明の知識を求めて設立した研究組織よ。			業火の召喚獣							
最近、私たちはモードゥナ地方で発掘された遺跡で、ひとつの重要な発見をしたの。			最近、私たちはモードゥナ地方で発掘された遺跡で、ひとつの重要な発見をしたの。			業火の召喚獣							
古代アラグ帝国で「召喚士」と呼ばれていた魔道士たちが、蛮神の力を奪い、使い魔として使役していたという、驚くべき記録をね。			古代アラグ帝国で「召喚士」と呼ばれていた魔道士たちが、蛮神の力を奪い、使い魔として使役していたという、驚くべき記録をね。			業火の召喚獣							
もし、この召喚士の術を復活することができれば、今の戦乱の時代を収める力になるかもしれない……私たちはそう考えたのだけど、ひとつ問題があったわ。			もし、この召喚士の術を復活することができれば、今の戦乱の時代を収める力になるかもしれない……私たちはそう考えたのだけど、ひとつ問題があったわ。			業火の召喚獣							
記録には、こうも記されていた。疑似蛮神「召喚獣」を使役するには、蛮神を倒し、そのエーテルを身に浴びる必要がある、と。			記録には、こうも記されていた。疑似蛮神「召喚獣」を使役するには、蛮神を倒し、そのエーテルを身に浴びる必要がある、と。			業火の召喚獣							
つまり「召喚士」になる資格を持つのは、蛮神討伐の経験がある者のみ、ということよ……。あなたを呼んだ意味、わかってくれたかしら？			つまり「召喚士」になる資格を持つのは、蛮神討伐の経験がある者のみ、ということよ……。あなたを呼んだ意味、わかってくれたかしら？			業火の召喚獣							
もし私の研究に協力してくれるなら、南ザナラーンの「ビエルゴズ・ストライク」の西まで来て。召喚獣を生み出す儀式「炎の荒行」を行うわ。			もし私の研究に協力してくれるなら、南ザナラーンの「ビエルゴズ・ストライク」の西まで来て。召喚獣を生み出す儀式「炎の荒行」を行うわ。			業火の召喚獣							
ありがとう……来てくれると信じていたわ。それじゃ、さっそく「炎の荒行」を始めましょう。			ありがとう……来てくれると信じていたわ。それじゃ、さっそく「炎の荒行」を始めましょう。			業火の召喚獣							
記録によれば、古代の召喚士たちは、召喚したい召喚獣と同じ属性の力が強い土地で荒行を行い、己のエーテルを、その属性に近づける術を学んだらしいわ。			記録によれば、古代の召喚士たちは、召喚したい召喚獣と同じ属性の力が強い土地で荒行を行い、己のエーテルを、その属性に近づける術を学んだらしいわ。			業火の召喚獣							
サゴリー砂漠は、火の属性がとても強い。焔神「イフリート」をもとにした召喚獣を創りだすのに、この地は、もっとも適しているのよ。			サゴリー砂漠は、火の属性がとても強い。焔神「イフリート」をもとにした召喚獣を創りだすのに、この地は、もっとも適しているのよ。			業火の召喚獣							
さあ、これを手に取ってちょうだい。これは「ソウルクリスタル」……古の召喚士たちの記憶が封じられた結晶よ。			さあ、これを手に取ってちょうだい。これは「ソウルクリスタル」……古の召喚士たちの記憶が封じられた結晶よ。			業火の召喚獣							
そして、己のエーテルが炎に変わるよう瞑想して。そうすれば生まれるはずよ……炎を抱く召喚獣が！			そして、己のエーテルが炎に変わるよう瞑想して。そうすれば生まれるはずよ……炎を抱く召喚獣が！			業火の召喚獣							
ただし、生まれたばかりの召喚獣は不安定な存在。だから力尽くで調伏し、あなたを主と認めさせるの。それが「召喚士」の秘術よ！			ただし、生まれたばかりの召喚獣は不安定な存在。だから力尽くで調伏し、あなたを主と認めさせるの。それが「召喚士」の秘術よ！			業火の召喚獣							
すごい、すごいわ、Forename！見事、炎の召喚獣を調伏してみせたわね！			すごい、すごいわ、Forename！見事、炎の召喚獣を調伏してみせたわね！			業火の召喚獣							
これで「炎の荒行」は完了よ。グリダニアの「アプカル滝」に戻りましょう！			これで「炎の荒行」は完了よ。グリダニアの「アプカル滝」に戻りましょう！			業火の召喚獣							
ついにやったわね！あなたは古の召喚獣を復活させたのよ！いえ、これは現代における新たなる召喚獣の創造だわ！			ついにやったわね！あなたは古の召喚獣を復活させたのよ！いえ、これは現代における新たなる召喚獣の創造だわ！			業火の召喚獣							
あなたの得た召喚獣は「イフリート・エギ」……。「エギ」という言葉には、古代アラグ帝国の言葉で、「純粋な」とか「本質の」とかいった意味があるの。			あなたの得た召喚獣は「イフリート・エギ」……。「エギ」という言葉には、古代アラグ帝国の言葉で、「純粋な」とか「本質の」とかいった意味があるの。			業火の召喚獣							
今回、あなたが創造した召喚獣は、イフリートの炎の本質を具現化した存在。だから「イフリート・エギ」と呼ばれるのよ。			今回、あなたが創造した召喚獣は、イフリートの炎の本質を具現化した存在。だから「イフリート・エギ」と呼ばれるのよ。			業火の召喚獣							
攻撃性に優れた「イフリート・エギ」は、あなたの冒険において、きっと役に立ってくれるはず。			攻撃性に優れた「イフリート・エギ」は、あなたの冒険において、きっと役に立ってくれるはず。			業火の召喚獣							
……召喚獣「イフリート・エギ」をものにした今、あなたは「新生召喚士」を名乗るにふさわしい存在になった。その「ソウルクリスタル」の、真の持ち主になったのよ！			……召喚獣「イフリート・エギ」をものにした今、あなたは「新生召喚士」を名乗るにふさわしい存在になった。その「ソウルクリスタル」の、真の持ち主になったのよ！			業火の召喚獣							
でもまだまだ、召喚士としては駆けだしよ。この戦乱の時代を制すには、より大きな力が必要になる。次は、土の召喚獣の復活を目指しましょう。			でもまだまだ、召喚士としては駆けだしよ。この戦乱の時代を制すには、より大きな力が必要になる。次は、土の召喚獣の復活を目指しましょう。			業火の召喚獣							
あなたには既に、蛮神「タイタン」を討伐した経験がある。すぐにでも「土の荒行」をしたいところだけど……まずは、十分に身体を休めたほうがいいんじゃない？			あなたには既に、蛮神「タイタン」を討伐した経験がある。すぐにでも「土の荒行」をしたいところだけど……まずは、十分に身体を休めたほうがいいんじゃない？			業火の召喚獣							
