巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
ムリーから依頼を受けた。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」と話そう。			ムリーから依頼を受けた。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」と話そう。			学問ノススメ							
アルカ・ゾルカと話した。東ラノシアの船着場：レインキャッチャーにいる「アルカ・ゾルカ」と話して「盗賊」を討伐しよう。			アルカ・ゾルカと話した。東ラノシアの船着場：レインキャッチャーにいる「アルカ・ゾルカ」と話して「盗賊」を討伐しよう。			学問ノススメ							
アルカ・ゾルカと話し、盗賊を討伐した。東ラノシアの船着場：レインキャッチャーにいる「アルカ・ゾルカ」と話そう。			アルカ・ゾルカと話し、盗賊を討伐した。東ラノシアの船着場：レインキャッチャーにいる「アルカ・ゾルカ」と話そう。			学問ノススメ							
アルカ・ゾルカと話した。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			アルカ・ゾルカと話した。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			学問ノススメ							
アルカ・ゾルカに報告した。盗賊から取り返したソウルクリスタル「学者の証」を、冒険者に託してくれたアルカ・ゾルカ。彼と協力し、かつて存在したニーム軍学魔法の秘儀を追い求めていくことになった。※学者のレベルが35以上になると、アルカ・ゾルカから次の学者クエストを受注することができます。			アルカ・ゾルカに報告した。盗賊から取り返したソウルクリスタル「学者の証」を、冒険者に託してくれたアルカ・ゾルカ。彼と協力し、かつて存在したニーム軍学魔法の秘儀を追い求めていくことになった。※学者のレベルが35以上になると、アルカ・ゾルカから次の学者クエストを受注することができます。			学問ノススメ							
斧術士ギルドのアルカ・ゾルカと話す			斧術士ギルドのアルカ・ゾルカと話す			学問ノススメ							
船着場：レインキャッチャーのアルカ・ゾルカと話す			船着場：レインキャッチャーのアルカ・ゾルカと話す			学問ノススメ							
アルカ・ゾルカと話す			アルカ・ゾルカと話す			学問ノススメ							
斧術士ギルドのアルカ・ゾルカに報告			斧術士ギルドのアルカ・ゾルカに報告			学問ノススメ							
盗賊達を倒し、盗まれた品を取り返せ！			盗賊達を倒し、盗まれた品を取り返せ！			学問ノススメ							
ふむ……貴方なら適任かもしれませんね。実は最近「実力ある巴術士を紹介しろ」と、妙な男性から迫られておりまして……。			ふむ……貴方なら適任かもしれませんね。実は最近「実力ある巴術士を紹介しろ」と、妙な男性から迫られておりまして……。			学問ノススメ							
斧術士ギルドに所属している方らしいのですがね。なんでも、ある「学術調査」に協力してくれる巴術士を探しているのだそうです。			斧術士ギルドに所属している方らしいのですがね。なんでも、ある「学術調査」に協力してくれる巴術士を探しているのだそうです。			学問ノススメ							
巴術を探求する者にとっても有益な調査だと仰っていましたが、はたして本当かどうか……。なにせ斧術士には、粗野な輩も多いですからね。			巴術を探求する者にとっても有益な調査だと仰っていましたが、はたして本当かどうか……。なにせ斧術士には、粗野な輩も多いですからね。			学問ノススメ							
ともかく、興味がおありでしたら、「斧術士ギルド」の「アルカ・ゾルカ」という方を、お訪ねになってはいかがでしょう？			ともかく、興味がおありでしたら、「斧術士ギルド」の「アルカ・ゾルカ」という方を、お訪ねになってはいかがでしょう？			学問ノススメ							
もしかして「巴術士ギルド」から派遣されてきた人？いやはや、実にいいタイミングで来てくれたね！さっそく、話を聞いておくれよ。			もしかして「巴術士ギルド」から派遣されてきた人？いやはや、実にいいタイミングで来てくれたね！さっそく、話を聞いておくれよ。			学問ノススメ							
僕は、斧術士のアルカ・ゾルカ。おっと、そこらの筋肉ダルマとは比べないでくれよ。新時代を生きる頭脳派斧術士とは、僕のことなんだから！			僕は、斧術士のアルカ・ゾルカ。おっと、そこらの筋肉ダルマとは比べないでくれよ。新時代を生きる頭脳派斧術士とは、僕のことなんだから！			学問ノススメ							
僕はね、斧術をさらなる高みへ導くために、伝説の「ニーム海兵団」について調べているんだ。			僕はね、斧術をさらなる高みへ導くために、伝説の「ニーム海兵団」について調べているんだ。			学問ノススメ							
今よりさかのぼること1500年以上前……第五星暦時代のバイルブランド島には、「ニーム」という名の海洋都市が存在していた。			今よりさかのぼること1500年以上前……第五星暦時代のバイルブランド島には、「ニーム」という名の海洋都市が存在していた。			学問ノススメ							
当時は、魔法文明の隆盛期でね。魔法を濫用した戦乱……「魔大戦」が、エオルゼア全土で巻き起こっていたそうだよ。			当時は、魔法文明の隆盛期でね。魔法を濫用した戦乱……「魔大戦」が、エオルゼア全土で巻き起こっていたそうだよ。			学問ノススメ							
少数の魔道士しか保有できなかったニームが、そんな中、独立を維持できていたのは、海兵団の存在があったからだ、と言われているんだ。			少数の魔道士しか保有できなかったニームが、そんな中、独立を維持できていたのは、海兵団の存在があったからだ、と言われているんだ。			学問ノススメ							
斧を持った多数の海兵と、少数の魔道士で構成された、伝説の最強軍団「ニーム海兵団」……。			斧を持った多数の海兵と、少数の魔道士で構成された、伝説の最強軍団「ニーム海兵団」……。			学問ノススメ							
その強さの秘密を知ることができたら、斧術士である僕だけでなく、魔法使いであるキミにも益があると思わないかい？			その強さの秘密を知ることができたら、斧術士である僕だけでなく、魔法使いであるキミにも益があると思わないかい？			学問ノススメ							
……でも、ちょっとした問題があってね。大枚はたいて冒険者から購入した、ニーム時代の遺物が、輸送中に盗賊に奪われてしまったそうなんだ。			……でも、ちょっとした問題があってね。大枚はたいて冒険者から購入した、ニーム時代の遺物が、輸送中に盗賊に奪われてしまったそうなんだ。			学問ノススメ							
犯人は、東ラノシアの「レインキャッチャー樹林」にある船着場近くで、通行人を襲っているらしい。まずは、盗賊退治に付き合ってくれ！			犯人は、東ラノシアの「レインキャッチャー樹林」にある船着場近くで、通行人を襲っているらしい。まずは、盗賊退治に付き合ってくれ！			学問ノススメ							
犯人は、東ラノシアの「レインキャッチャー樹林」にある船着場近くで、通行人を襲っているらしい。まずは、盗賊退治に付き合ってくれ！			犯人は、東ラノシアの「レインキャッチャー樹林」にある船着場近くで、通行人を襲っているらしい。まずは、盗賊退治に付き合ってくれ！			学問ノススメ							
協力に感謝するよ。……ここで盗賊たちを、待ち伏せるんだ。奴らが現れたら、一気に仕掛けるぞ！			協力に感謝するよ。……ここで盗賊たちを、待ち伏せるんだ。奴らが現れたら、一気に仕掛けるぞ！			学問ノススメ							
これだ！伝説の海兵団に関する石版だ！			これだ！伝説の海兵団に関する石版だ！			学問ノススメ							
な、なんだ、このヘンチクリンな奴は！？			な、なんだ、このヘンチクリンな奴は！？			学問ノススメ							
ハッ……！もしかして、石版に何か記述があるかも……。			ハッ……！もしかして、石版に何か記述があるかも……。			学問ノススメ							
あった！海兵団を導いた魔道士……軍学を修めし「学者」！そして、その使い魔「フェアリー」！			あった！海兵団を導いた魔道士……軍学を修めし「学者」！そして、その使い魔「フェアリー」！			学問ノススメ							
陽光より生まれし「フェアリー・エオス」！			陽光より生まれし「フェアリー・エオス」！			学問ノススメ							
月光より生まれし「フェアリー・セレネ」！			月光より生まれし「フェアリー・セレネ」！			学問ノススメ							
(-？？？？-)Forename……。			(-？？？？-)Forename……。			学問ノススメ							
すごいぞ！キミは古の「学者」の力を……使い魔「フェアリー」を目覚めさせたんだ！！			すごいぞ！キミは古の「学者」の力を……使い魔「フェアリー」を目覚めさせたんだ！！			学問ノススメ							
まったくもって、予想外の展開だよ！古の軍学魔法を甦らせてしまうだなんてね！			まったくもって、予想外の展開だよ！古の軍学魔法を甦らせてしまうだなんてね！			学問ノススメ							
ともかく、落ち着いて石版を調べるためにも、一度、リムサ・ロミンサに戻ろうじゃないか。それじゃまた、「斧術士ギルド」で会おう！			ともかく、落ち着いて石版を調べるためにも、一度、リムサ・ロミンサに戻ろうじゃないか。それじゃまた、「斧術士ギルド」で会おう！			学問ノススメ							
やあ、お戻りだね！ちょうど今、回収した石版を読んでいたところだよ。			やあ、お戻りだね！ちょうど今、回収した石版を読んでいたところだよ。			学問ノススメ							
……石版の記述によれば、ニームの「学者」たちは、キミが拾った輝く結晶「ソウルクリスタル」に、軍学魔法の知識を蓄積していたようだね。			……石版の記述によれば、ニームの「学者」たちは、キミが拾った輝く結晶「ソウルクリスタル」に、軍学魔法の知識を蓄積していたようだね。			学問ノススメ							
つまり、ソウルクリスタルは「学者の証」であり、フェアリー召喚の鍵になるってことさ。			つまり、ソウルクリスタルは「学者の証」であり、フェアリー召喚の鍵になるってことさ。			学問ノススメ							
その結晶は、どうやらキミが持っておくべき物のようだ。盗賊退治に協力してくれたお礼、ってわけじゃないけど、キミに譲るとするよ。			その結晶は、どうやらキミが持っておくべき物のようだ。盗賊退治に協力してくれたお礼、ってわけじゃないけど、キミに譲るとするよ。			学問ノススメ							
僕はこれから、石版をさらに読み進めてみる。調査の進展には少しかかりそうだから、キミはその間に、フェアリーの扱いを練習していてくれ。			僕はこれから、石版をさらに読み進めてみる。調査の進展には少しかかりそうだから、キミはその間に、フェアリーの扱いを練習していてくれ。			学問ノススメ							
「学者」のジョブクエストが開始されました。次のクエストは「学者レベル35」以上で受注可能になります。			「学者」のジョブクエストが開始されました。次のクエストは「学者レベル35」以上で受注可能になります。			学問ノススメ							
「フェアリー・エオス」は、「サモン・エオス」を使うことで召喚できます。			「フェアリー・エオス」は、「サモン・エオス」を使うことで召喚できます。			学問ノススメ							
またクエスト「変幻するフェアリー」をコンプリートすれば、「フェアリー・エオス」の見た目を「フェアリー・セレネ」など、異なる姿に変更することが可能となります。			またクエスト「変幻するフェアリー」をコンプリートすれば、「フェアリー・エオス」の見た目を「フェアリー・セレネ」など、異なる姿に変更することが可能となります。			学問ノススメ							
奴らが強奪犯だ！　逃がすものか！			奴らが強奪犯だ！　逃がすものか！			学問ノススメ							
むぅ……こ、この僕が敗れるのか……？			むぅ……こ、この僕が敗れるのか……？			学問ノススメ							
どうやら片付いたようだね。やつらに盗まれた荷物を、探してみよう。			どうやら片付いたようだね。やつらに盗まれた荷物を、探してみよう。			学問ノススメ							
新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取ったソウルクリスタルを装備することで、ジョブチェンジができます。			学問ノススメ							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			学問ノススメ							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			学問ノススメ							
斧術士ギルドのアルカ・ゾルカは、冒険者に話があるようだ。			斧術士ギルドのアルカ・ゾルカは、冒険者に話があるようだ。			失われた記憶を求めて							
アルカ・ゾルカの依頼を受けた。外地ラノシアのニーム浮遊遺跡にある「ニームの遺跡」を調べよう。			アルカ・ゾルカの依頼を受けた。外地ラノシアのニーム浮遊遺跡にある「ニームの遺跡」を調べよう。			失われた記憶を求めて							
ニームの遺跡を調べた。外地ラノシアのニーム浮遊遺跡にある「指定地点」を調べよう。			ニームの遺跡を調べた。外地ラノシアのニーム浮遊遺跡にある「指定地点」を調べよう。			失われた記憶を求めて							
指定地点で見渡した。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			指定地点で見渡した。リムサ・ロミンサの斧術士ギルドにいる「アルカ・ゾルカ」に報告しよう。			失われた記憶を求めて							
アルカ・ゾルカに報告した。推測のとおりにフェアリーの記憶を呼び覚ますことができ、彼はご満悦のようだ。※学者のレベルが40以上になると、アルカ・ゾルカから次の学者クエストを受注することができます。			アルカ・ゾルカに報告した。推測のとおりにフェアリーの記憶を呼び覚ますことができ、彼はご満悦のようだ。※学者のレベルが40以上になると、アルカ・ゾルカから次の学者クエストを受注することができます。			失われた記憶を求めて							
ニーム浮遊遺跡のニームの遺跡を調べる			ニーム浮遊遺跡のニームの遺跡を調べる			失われた記憶を求めて							
指定地点を調べる			指定地点を調べる			失われた記憶を求めて							
斧術士ギルドのアルカ・ゾルカに報告			斧術士ギルドのアルカ・ゾルカに報告			失われた記憶を求めて							
やあやあ、Forename君じゃないか！「ニーム海兵団」の研究は、着実に進んでいるよ。……石版の劣化が激しくて、解読は大変だけどね。			やあやあ、Forename君じゃないか！「ニーム海兵団」の研究は、着実に進んでいるよ。……石版の劣化が激しくて、解読は大変だけどね。			失われた記憶を求めて							
もちろん、キミのことも忘れちゃいないさ。「学者」の軍学魔法についても、ちゃーんと調べてるよ。			もちろん、キミのことも忘れちゃいないさ。「学者」の軍学魔法についても、ちゃーんと調べてるよ。			失われた記憶を求めて							
……ニームの軍勢は、斧を持つ海兵を主力としていた。そして、貴重だった魔道士の力は、兵士たちの力を最大限に引きだすために、使われていたらしいんだ。			……ニームの軍勢は、斧を持つ海兵を主力としていた。そして、貴重だった魔道士の力は、兵士たちの力を最大限に引きだすために、使われていたらしいんだ。			失われた記憶を求めて							
最前線で兵の指揮を執りつつ、彼らとともに戦い、魔法でその力を引き出して、負傷者があればそれを癒す。戦う軍師……それが軍学を極めた「学者」という存在さ。			最前線で兵の指揮を執りつつ、彼らとともに戦い、魔法でその力を引き出して、負傷者があればそれを癒す。戦う軍師……それが軍学を極めた「学者」という存在さ。			失われた記憶を求めて							
だけど、気になる点もいくつかあってね……。石版によれば、軍学魔法はもっと多彩なものだったらしい。			だけど、気になる点もいくつかあってね……。石版によれば、軍学魔法はもっと多彩なものだったらしい。			失われた記憶を求めて							
すべての軍学魔法を使えないのは、1500年もの長きにわたって封じられていたフェアリーが、完全に目覚めていないせいだと思うんだ。			すべての軍学魔法を使えないのは、1500年もの長きにわたって封じられていたフェアリーが、完全に目覚めていないせいだと思うんだ。			失われた記憶を求めて							
……フェアリーに、記憶を刺激するような体験をさせれば、目覚めを促すことができるんじゃないかな。			……フェアリーに、記憶を刺激するような体験をさせれば、目覚めを促すことができるんじゃないかな。			失われた記憶を求めて							
外地ラノシアにある「ニーム浮遊遺跡」を巡ってみるってのはどうだろう？縁のある風景を見せるってわけさ。			外地ラノシアにある「ニーム浮遊遺跡」を巡ってみるってのはどうだろう？縁のある風景を見せるってわけさ。			失われた記憶を求めて							
