忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
前回までの冒険録：冒険者は、決闘裁判に敗北した暗黒騎士、フレイからソウルクリスタルを受け継いだ。フレイは旅の末に、己が英雄の影身であることを明かし、再びあるべき場所へと戻る。一人前の暗黒騎士に成長した冒険者の前に現れたのは、フレイの兄弟子でもあるシドゥルグだった。竜の血を継ぐ少女リエルを護り、暗黒騎士の極意を得た彼は言う。「暗黒騎士の道は、茨の道。それでも、振り返ればきっと、孤独ではない」と……。　　　　　　　　　　　　*　*　*シドゥルグから、変革するイシュガルドの見回りを提案された。イシュガルドのラストヴィジルにある「指定地点」であたりを見渡そう。			前回までの冒険録：冒険者は、決闘裁判に敗北した暗黒騎士、フレイからソウルクリスタルを受け継いだ。フレイは旅の末に、己が英雄の影身であることを明かし、再びあるべき場所へと戻る。一人前の暗黒騎士に成長した冒険者の前に現れたのは、フレイの兄弟子でもあるシドゥルグだった。竜の血を継ぐ少女リエルを護り、暗黒騎士の極意を得た彼は言う。「暗黒騎士の道は、茨の道。それでも、振り返ればきっと、孤独ではない」と……。　　　　　　　　　　　　*　*　*シドゥルグから、変革するイシュガルドの見回りを提案された。イシュガルドのラストヴィジルにある「指定地点」であたりを見渡そう。			暗影に沈むエピローグ							
周囲に異変はなかったが、不思議な少年ミストに手を貸すことになった。イシュガルドの下層で、元気のない人を探そう。			周囲に異変はなかったが、不思議な少年ミストに手を貸すことになった。イシュガルドの下層で、元気のない人を探そう。			暗影に沈むエピローグ							
落ち込んでいるミユィを見つけた。イシュガルドのエーテライト・プラザ付近にいる「ミスト」と話そう。			落ち込んでいるミユィを見つけた。イシュガルドのエーテライト・プラザ付近にいる「ミスト」と話そう。			暗影に沈むエピローグ							
ミストに、ミユィのことを話した。聖バルロアイアン広場にいる「ミユィ」と話そう。			ミストに、ミユィのことを話した。聖バルロアイアン広場にいる「ミユィ」と話そう。			暗影に沈むエピローグ							
ミユィと話した。イシュガルドの神聖裁判所付近にある「指定地点」で待機しよう。			ミユィと話した。イシュガルドの神聖裁判所付近にある「指定地点」で待機しよう。			暗影に沈むエピローグ							
待機していたところ、ミストが蒼天騎士イニアセルを連れてきた。彼を逃がすことになったが……。クルザス西部高地のファルコンネストにいる「ミスト」と話そう。			待機していたところ、ミストが蒼天騎士イニアセルを連れてきた。彼を逃がすことになったが……。クルザス西部高地のファルコンネストにいる「ミスト」と話そう。			暗影に沈むエピローグ							
ミストと話した。クルザス西部高地のリバーズミートにいる「ミスト」と話そう。			ミストと話した。クルザス西部高地のリバーズミートにいる「ミスト」と話そう。			暗影に沈むエピローグ							
ミストから、冒険者のソウルストーンから得たエーテルで、イニアセルを実体化させていたと聞いた。リバーズミートの「暗黒の靄」に「ソウルイーター」を使い、エーテルを回収しよう。			ミストから、冒険者のソウルストーンから得たエーテルで、イニアセルを実体化させていたと聞いた。リバーズミートの「暗黒の靄」に「ソウルイーター」を使い、エーテルを回収しよう。			暗影に沈むエピローグ							
エーテルを回収した。ミストから、あと4回の人助けに協力してほしいと頼まれた。ファルコンネストの「シドゥルグ」と話そう。			エーテルを回収した。ミストから、あと4回の人助けに協力してほしいと頼まれた。ファルコンネストの「シドゥルグ」と話そう。			暗影に沈むエピローグ							
シドゥルグと話した。かくして、影の救済者たる暗黒騎士のみが垣間見うる、エピローグが始まった。ミストの人助けに協力していこう。※暗黒騎士のレベルが63以上になると、ファルコンネストのシドゥルグから次の暗黒騎士クエストを受注することができます。			シドゥルグと話した。かくして、影の救済者たる暗黒騎士のみが垣間見うる、エピローグが始まった。ミストの人助けに協力していこう。※暗黒騎士のレベルが63以上になると、ファルコンネストのシドゥルグから次の暗黒騎士クエストを受注することができます。			暗影に沈むエピローグ							
ラストヴィジルの指定地点で見渡す			ラストヴィジルの指定地点で見渡す			暗影に沈むエピローグ							
下層で元気のない人を探す			下層で元気のない人を探す			暗影に沈むエピローグ							
ミストと話す			ミストと話す			暗影に沈むエピローグ							
ミユィと話す			ミユィと話す			暗影に沈むエピローグ							
神聖裁判所付近の指定地点で待機			神聖裁判所付近の指定地点で待機			暗影に沈むエピローグ							
ファルコンネストのミストと話す			ファルコンネストのミストと話す			暗影に沈むエピローグ							
ミストと話す			ミストと話す			暗影に沈むエピローグ							
暗黒の靄に「ソウルイーター」を使う			暗黒の靄に「ソウルイーター」を使う			暗影に沈むエピローグ							
シドゥルグと話す			シドゥルグと話す			暗影に沈むエピローグ							
Forename、俺はあえて問おう。お前は、暗黒騎士の信念や技、極意までも会得している。			Forename、俺はあえて問おう。お前は、暗黒騎士の信念や技、極意までも会得している。			暗影に沈むエピローグ							
しかし同時に、英雄という表の顔も持っているだろう。この国においても、千年にわたる竜詩戦争を終焉に導いた……。			しかし同時に、英雄という表の顔も持っているだろう。この国においても、千年にわたる竜詩戦争を終焉に導いた……。			暗影に沈むエピローグ							
大衆の正義たる英雄と、それに救われなかった者を救済する暗黒騎士……このふたつは、本来両立しないものだ。			大衆の正義たる英雄と、それに救われなかった者を救済する暗黒騎士……このふたつは、本来両立しないものだ。			暗影に沈むエピローグ							
したとしても、己で己を責めるような愚行といえる。それでもお前は……その大剣を振るい続けるのか？			したとしても、己で己を責めるような愚行といえる。それでもお前は……その大剣を振るい続けるのか？			暗影に沈むエピローグ							
大剣を振るい続ける？			大剣を振るい続ける？			暗影に沈むエピローグ							
闇の中で、救いを待つ者がいるならば			闇の中で、救いを待つ者がいるならば			暗影に沈むエピローグ							
今は光をもたらす英雄として生きよう			今は光をもたらす英雄として生きよう			暗影に沈むエピローグ							
…………フッ。ならば俺は、暗黒騎士の同胞として、遠慮なく告げよう。			…………フッ。ならば俺は、暗黒騎士の同胞として、遠慮なく告げよう。			暗影に沈むエピローグ							
この国に変革がもたらされ、人は光の時代の到来を謳っている。だが、まぶしい光ほど濃い影を落とすように、変革による歪みや戸惑いも、ひそかに生じていてな。			この国に変革がもたらされ、人は光の時代の到来を謳っている。だが、まぶしい光ほど濃い影を落とすように、変革による歪みや戸惑いも、ひそかに生じていてな。			暗影に沈むエピローグ							
そういった暗影に目を光らせ、救うべき者を見定める……それが暗黒騎士たる俺の、今の仕事だ。まあ、師の真似事とも言えるがな……。			そういった暗影に目を光らせ、救うべき者を見定める……それが暗黒騎士たる俺の、今の仕事だ。まあ、師の真似事とも言えるがな……。			暗影に沈むエピローグ							
お前も、そんな目線で、この街を見回ってみるといい。通い慣れていた場所でも、気づきがあるかもしれん。			お前も、そんな目線で、この街を見回ってみるといい。通い慣れていた場所でも、気づきがあるかもしれん。			暗影に沈むエピローグ							
……ああ。それもまた、お前にしかできないことだ。胸を張って進むがいい。			……ああ。それもまた、お前にしかできないことだ。胸を張って進むがいい。			暗影に沈むエピローグ							
今さら、国や民衆のために剣を振るうつもりは毛頭ない。だが、師が暗影に目を光らせていたからこそ、俺やフレイ……結果的にはリエルも救われたんだ。			今さら、国や民衆のために剣を振るうつもりは毛頭ない。だが、師が暗影に目を光らせていたからこそ、俺やフレイ……結果的にはリエルも救われたんだ。			暗影に沈むエピローグ							
Forename、皇都はひさしぶり……？			Forename、皇都はひさしぶり……？			暗影に沈むエピローグ							
通い慣れた街並みと、フォルタン伯爵邸が見える。竜詩戦争のころから、大きな変化はないようだ……。			通い慣れた街並みと、フォルタン伯爵邸が見える。竜詩戦争のころから、大きな変化はないようだ……。			暗影に沈むエピローグ							
さっそく見回っているのか。そういえば、お前はフォルタン家の客人だったな。……顔を出していかないのか？			さっそく見回っているのか。そういえば、お前はフォルタン家の客人だったな。……顔を出していかないのか？			暗影に沈むエピローグ							
何と答える？			何と答える？			暗影に沈むエピローグ							
少し昔を思い出していただけ			少し昔を思い出していただけ			暗影に沈むエピローグ							
彼らにはもう助けはいらない			彼らにはもう助けはいらない			暗影に沈むエピローグ							
