スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
前回までの冒険録：ステファニヴィアンと出会った冒険者は、彼から勧められ、機工士の技を学ぶことになった。技を磨きながら、冒険者はジョイやロスティンスタルとともに、機工士の力をイシュガルドに示していく。テダルグランシュの妨害で、内乱予備罪の嫌疑をかけられてしまうが、ヴェリシェレン討伐を通じて機工士を認めさせ、その未来を切り拓いたのだった。　　　　　　　　　　　　*　*　*ステファニヴィアンから、銃と機工兵装を導入しようとしているヒルダたち自警団の指南を頼まれた。ほかにもロスティンスタルにも指南を頼むつもりらしく、まずは彼を探すことになった。イディルシャイアのエーテライト・プラザ付近にいる「ステファニヴィアン」と合流しよう。			前回までの冒険録：ステファニヴィアンと出会った冒険者は、彼から勧められ、機工士の技を学ぶことになった。技を磨きながら、冒険者はジョイやロスティンスタルとともに、機工士の力をイシュガルドに示していく。テダルグランシュの妨害で、内乱予備罪の嫌疑をかけられてしまうが、ヴェリシェレン討伐を通じて機工士を認めさせ、その未来を切り拓いたのだった。　　　　　　　　　　　　*　*　*ステファニヴィアンから、銃と機工兵装を導入しようとしているヒルダたち自警団の指南を頼まれた。ほかにもロスティンスタルにも指南を頼むつもりらしく、まずは彼を探すことになった。イディルシャイアのエーテライト・プラザ付近にいる「ステファニヴィアン」と合流しよう。			師を選ばば冒険者							
ステファニヴィアンと合流した。イディルシャイアでロスティンスタルの情報を集めよう。			ステファニヴィアンと合流した。イディルシャイアでロスティンスタルの情報を集めよう。			師を選ばば冒険者							
ロスティンスタルの情報を集めた。イディルシャイアの崖っぷち亭にいる「ロスティンスタル」と話そう。			ロスティンスタルの情報を集めた。イディルシャイアの崖っぷち亭にいる「ロスティンスタル」と話そう。			師を選ばば冒険者							
ロスティンスタルと話した。彼は自警団のヒルダに会ってから、指南を引き受けるか決めるらしい。イシュガルドの雲霧街にいる「ヒルダ」と話そう。			ロスティンスタルと話した。彼は自警団のヒルダに会ってから、指南を引き受けるか決めるらしい。イシュガルドの雲霧街にいる「ヒルダ」と話そう。			師を選ばば冒険者							
ヒルダと話した。治安維持に回す手が足りなくなった神殿騎士団の穴をふさぐため、公的組織となった自警団は、必要な力を得るため銃と機工兵装を導入するつもりらしい。ロスティンスタルは指南を引き受けることを決め、さらにハクをつけるため、隊員を選抜して銃士隊を名乗らせることにした。冒険者は銃士隊の評価をすることになったので、しばらく経ってからまた訪れてみよう。※機工士のレベルが63以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます。			ヒルダと話した。治安維持に回す手が足りなくなった神殿騎士団の穴をふさぐため、公的組織となった自警団は、必要な力を得るため銃と機工兵装を導入するつもりらしい。ロスティンスタルは指南を引き受けることを決め、さらにハクをつけるため、隊員を選抜して銃士隊を名乗らせることにした。冒険者は銃士隊の評価をすることになったので、しばらく経ってからまた訪れてみよう。※機工士のレベルが63以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます。			師を選ばば冒険者							
イディルシャイアでステファニヴィアンと合流			イディルシャイアでステファニヴィアンと合流			師を選ばば冒険者							
イディルシャイアで情報を集める			イディルシャイアで情報を集める			師を選ばば冒険者							
ロスティンスタルを探す			ロスティンスタルを探す			師を選ばば冒険者							
雲霧街のヒルダと話す			雲霧街のヒルダと話す			師を選ばば冒険者							
Forename、いいところに来てくれた。突然だが、君は平民が結成した「自警団」を知っているかい？			Forename、いいところに来てくれた。突然だが、君は平民が結成した「自警団」を知っているかい？			師を選ばば冒険者							
