聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
前回までの冒険録：シャーレアン式「占星術」を広めんとするレヴェヴァ。冒険者は占星術を学びつつ、彼女の活動を支援するも、占星術の独占を目指すシャーレアンの「哲学者議会」司書長セヴェスターに妨害される。しかし、冒険者たちは占星術により運命を切り開き、セヴェスターを退け、イシュガルドで占星術を広める端緒を開いたのだった。　　　　　　　　　　　　*　*　*ジャンヌキナルに、レヴェヴァの講話会を手伝うよう依頼された。クルザス中央高地のアドネール占星台にいる「レヴェヴァ」と話そう。			前回までの冒険録：シャーレアン式「占星術」を広めんとするレヴェヴァ。冒険者は占星術を学びつつ、彼女の活動を支援するも、占星術の独占を目指すシャーレアンの「哲学者議会」司書長セヴェスターに妨害される。しかし、冒険者たちは占星術により運命を切り開き、セヴェスターを退け、イシュガルドで占星術を広める端緒を開いたのだった。　　　　　　　　　　　　*　*　*ジャンヌキナルに、レヴェヴァの講話会を手伝うよう依頼された。クルザス中央高地のアドネール占星台にいる「レヴェヴァ」と話そう。			東風吹き込む占星院							
レヴェヴァと話していたところ、東方からやってきたキョクホウと出会った。占星術を学ぶキョクホウを指導するため、南部森林の根渡り沼にいる「キョクホウ」と話そう。			レヴェヴァと話していたところ、東方からやってきたキョクホウと出会った。占星術を学ぶキョクホウを指導するため、南部森林の根渡り沼にいる「キョクホウ」と話そう。			東風吹き込む占星院							
キョクホウとともに、土天座の門を開いた。イシュガルドの聖ガンリオル占星院にいる「レヴェヴァ」に報告しよう。			キョクホウとともに、土天座の門を開いた。イシュガルドの聖ガンリオル占星院にいる「レヴェヴァ」に報告しよう。			東風吹き込む占星院							
レヴェヴァに報告した。彼女は、キョクホウの向上心に感心しているようだ。彼の熱意にこたえられるよう、占星術の鍛練に励もう。※占星術師のレベルが63以上になると、聖ガンリオル占星院のレヴェヴァから次の占星術師クエストを受注することができます。			レヴェヴァに報告した。彼女は、キョクホウの向上心に感心しているようだ。彼の熱意にこたえられるよう、占星術の鍛練に励もう。※占星術師のレベルが63以上になると、聖ガンリオル占星院のレヴェヴァから次の占星術師クエストを受注することができます。			東風吹き込む占星院							
アドネール占星台のレヴェヴァと話す			アドネール占星台のレヴェヴァと話す			東風吹き込む占星院							
根渡り沼のキョクホウと話す			根渡り沼のキョクホウと話す			東風吹き込む占星院							
聖ガンリオル占星院のレヴェヴァと話す			聖ガンリオル占星院のレヴェヴァと話す			東風吹き込む占星院							
おや、ごきげんよう、Forenameさん。占星術の学びは、順調ですか？レヴェヴァ師も、父ルフィンの名を継いで、活躍していますよ。			おや、ごきげんよう、Forenameさん。占星術の学びは、順調ですか？レヴェヴァ師も、父ルフィンの名を継いで、活躍していますよ。			東風吹き込む占星院							
竜詩戦争の終結により、占星術に求められることも変わり、にわかにシャーレアン式占星術が注目されつつあります……。そのため、皇都にて講話会が開催されることになりました。			竜詩戦争の終結により、占星術に求められることも変わり、にわかにシャーレアン式占星術が注目されつつあります……。そのため、皇都にて講話会が開催されることになりました。			東風吹き込む占星院							
そして今、分かたれた運命が、再び交わりました……。レヴェヴァ師が、貴方の到来を予期して、協力を要請しているのです。			そして今、分かたれた運命が、再び交わりました……。レヴェヴァ師が、貴方の到来を予期して、協力を要請しているのです。			東風吹き込む占星院							
なぜ師が貴方の来訪を知ったのか、不思議ですよね？その答えは、「アルカナ占い」……ドーンクルスという方式で、占星術の未来を占われたのです。			なぜ師が貴方の来訪を知ったのか、不思議ですよね？その答えは、「アルカナ占い」……ドーンクルスという方式で、占星術の未来を占われたのです。			東風吹き込む占星院							
一枚目は正位置の「槍」、二枚目に逆位置の「矢」、三枚目に逆位置の「均衡」、四枚目に逆位置の「塔」、五枚目に逆位置の「幹」、六枚目に正位置の「水瓶」……。			一枚目は正位置の「槍」、二枚目に逆位置の「矢」、三枚目に逆位置の「均衡」、四枚目に逆位置の「塔」、五枚目に逆位置の「幹」、六枚目に正位置の「水瓶」……。			東風吹き込む占星院							
この結果をレヴェヴァ師は、次のように解釈しました。冒険者たる貴方により、イシュガルドの戦争が平定された今、破壊の災難に関わることで、占星術は新たな知を得る、と。			この結果をレヴェヴァ師は、次のように解釈しました。冒険者たる貴方により、イシュガルドの戦争が平定された今、破壊の災難に関わることで、占星術は新たな知を得る、と。			東風吹き込む占星院							
私は、占いが本当に未来を暗示しているのかはわかりません。ともかく、ここは「レヴェヴァ」師から話を伺ってください。師は講話会の準備のため、アドネール占星台におられます。			私は、占いが本当に未来を暗示しているのかはわかりません。ともかく、ここは「レヴェヴァ」師から話を伺ってください。師は講話会の準備のため、アドネール占星台におられます。			東風吹き込む占星院							
そうそう、師は公式にはルフィンと名乗っています。ですが、苦難を共に乗り越えた貴方には、昔のまま、レヴェヴァと呼んでほしいそうですよ。			そうそう、師は公式にはルフィンと名乗っています。ですが、苦難を共に乗り越えた貴方には、昔のまま、レヴェヴァと呼んでほしいそうですよ。			東風吹き込む占星院							
ドーンクルス式「アルカナ占い」では、一枚目は現在、二枚目は過去、三枚目は未来、四枚目は起こりうる災難や不運、五枚目はその要因、六枚目はすべてを包括した運命を暗示します。			ドーンクルス式「アルカナ占い」では、一枚目は現在、二枚目は過去、三枚目は未来、四枚目は起こりうる災難や不運、五枚目はその要因、六枚目はすべてを包括した運命を暗示します。			東風吹き込む占星院							
そして、各アルカナには、暗示する方角があり、「均衡」は東、「槍」は西、「水瓶」は南、「塔」は北、「幹」は中央、「矢」は定まらぬ方角を示すとされるのです。			そして、各アルカナには、暗示する方角があり、「均衡」は東、「槍」は西、「水瓶」は南、「塔」は北、「幹」は中央、「矢」は定まらぬ方角を示すとされるのです。			東風吹き込む占星院							
