クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
前回までの冒険録：冒険者は、ひんがしの国から来た侍、ムソウサイの弟子となった。修行のため、各地の悪を成敗する世直しの旅をして、最後に相手となったのはムソウサイだった。彼は祖国にて要人斬りの弟子を育てた罪人だったのだ。ムソウサイは病の身で冒険者に真剣勝負を挑み、力尽きた。彼は冒険者に自分の中の悪を斬り捨てられたことで、救われたのだった。　　　　　　　　　　　　*　*　*モモジゴから、ムソウサイを訪ねてきた女侍に、彼の死を伝えるよう頼まれた。ウルダハのクイックサンドの前にいる「凛とした女侍」と話そう。			前回までの冒険録：冒険者は、ひんがしの国から来た侍、ムソウサイの弟子となった。修行のため、各地の悪を成敗する世直しの旅をして、最後に相手となったのはムソウサイだった。彼は祖国にて要人斬りの弟子を育てた罪人だったのだ。ムソウサイは病の身で冒険者に真剣勝負を挑み、力尽きた。彼は冒険者に自分の中の悪を斬り捨てられたことで、救われたのだった。　　　　　　　　　　　　*　*　*モモジゴから、ムソウサイを訪ねてきた女侍に、彼の死を伝えるよう頼まれた。ウルダハのクイックサンドの前にいる「凛とした女侍」と話そう。			凛とした女侍							
凛とした女侍と話した。彼女は、クガネの治安維持組織、赤誠組のマコトと名乗った。マコトから、ムソウサイの墓へ案内を頼まれた。西ザナラーンのシルバーバザー付近へ向かった「マコト」と合流しよう。			凛とした女侍と話した。彼女は、クガネの治安維持組織、赤誠組のマコトと名乗った。マコトから、ムソウサイの墓へ案内を頼まれた。西ザナラーンのシルバーバザー付近へ向かった「マコト」と合流しよう。			凛とした女侍							
マコトと合流して、襲っていたデスパレート・モングレルを倒した。シルバーバザー付近にいる「マコト」と話そう。			マコトと合流して、襲っていたデスパレート・モングレルを倒した。シルバーバザー付近にいる「マコト」と話そう。			凛とした女侍							
マコトと話した。彼女は冒険者がムソウサイの弟子であることを疑っていたようで、その技を見たことで疑いは晴れたという。シルバーバザーへ向かった「マコト」と合流しよう。			マコトと話した。彼女は冒険者がムソウサイの弟子であることを疑っていたようで、その技を見たことで疑いは晴れたという。シルバーバザーへ向かった「マコト」と合流しよう。			凛とした女侍							
マコトと合流した。行方を暗ませていたムソウサイの弟子ウゲツが、クガネで目撃されたようだ。ウゲツの目的は、ひんがしの国の幕府を倒すことであり、闇で一派を形成しているという。マコトはムソウサイに協力を頼むことが叶わないと知り、帰っていった。ウルダハのクイックサンドに戻り、「モモジゴ」に報告しよう。			マコトと合流した。行方を暗ませていたムソウサイの弟子ウゲツが、クガネで目撃されたようだ。ウゲツの目的は、ひんがしの国の幕府を倒すことであり、闇で一派を形成しているという。マコトはムソウサイに協力を頼むことが叶わないと知り、帰っていった。ウルダハのクイックサンドに戻り、「モモジゴ」に報告しよう。			凛とした女侍							
モモジゴと話した。彼はムソウサイがいなくて寂しいようだ。折を見てまた、モモジゴに会いにいこう。※侍のレベルが63以上になると、クイックサンドのモモジゴから次の侍クエストを受注することができます。			モモジゴと話した。彼はムソウサイがいなくて寂しいようだ。折を見てまた、モモジゴに会いにいこう。※侍のレベルが63以上になると、クイックサンドのモモジゴから次の侍クエストを受注することができます。			凛とした女侍							
凛とした女侍と話す			凛とした女侍と話す			凛とした女侍							
シルバーバザー付近のマコトと合流			シルバーバザー付近のマコトと合流			凛とした女侍							
マコトと話す			マコトと話す			凛とした女侍							
マコトと合流			マコトと合流			凛とした女侍							
