レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
前回までの冒険録：冒険者は旅の赤魔道士シ・ルン・ティアに資質を見込まれ、師事することとなった。道中、妹分のアリアをくわえ、3人はシ・ルンの宿敵ランバードを追う。そしてランバード率いる暗殺団によるガーロンド・アイアンワークス襲撃計画の存在が露見。強敵ランバードの前にシ・ルンが倒れるが、「抗う力」の志を継がんとする冒険者とアリアの手により、ついにランバードは討ち果たされたのだった……。　　　　　　　　　　　　*　*　*シ・ルンは冒険者とアリアの、次の修行場所を決めたようだ。イディルシャイアのエーテライト・プラザにいる「シ・ルン・ティア」と話そう。			前回までの冒険録：冒険者は旅の赤魔道士シ・ルン・ティアに資質を見込まれ、師事することとなった。道中、妹分のアリアをくわえ、3人はシ・ルンの宿敵ランバードを追う。そしてランバード率いる暗殺団によるガーロンド・アイアンワークス襲撃計画の存在が露見。強敵ランバードの前にシ・ルンが倒れるが、「抗う力」の志を継がんとする冒険者とアリアの手により、ついにランバードは討ち果たされたのだった……。　　　　　　　　　　　　*　*　*シ・ルンは冒険者とアリアの、次の修行場所を決めたようだ。イディルシャイアのエーテライト・プラザにいる「シ・ルン・ティア」と話そう。			不可避の定め							
シ・ルンと話した。低地ドラヴァニアの大工房アーキテクトン付近で「指定地点」の周囲を見渡し、現れた敵を討伐しよう。			シ・ルンと話した。低地ドラヴァニアの大工房アーキテクトン付近で「指定地点」の周囲を見渡し、現れた敵を討伐しよう。			不可避の定め							
からくり兵器を操る「青の手」のゴブリン族を討伐した。低地ドラヴァニアのシャーレアン工匠街にいる「シ・ルン・ティア」と話そう。			からくり兵器を操る「青の手」のゴブリン族を討伐した。低地ドラヴァニアのシャーレアン工匠街にいる「シ・ルン・ティア」と話そう。			不可避の定め							
アリアが戻ってこないという。低地ドラヴァニアの大工房アーキテクトン付近で「アリア」を探し、必要があれば救助しよう。			アリアが戻ってこないという。低地ドラヴァニアの大工房アーキテクトン付近で「アリア」を探し、必要があれば救助しよう。			不可避の定め							
アリアは、異様な言動ののちに意識を失ってしまった。イディルシャイアへ戻り、ロウェナ総合文化会館の「アリア」と話そう。			アリアは、異様な言動ののちに意識を失ってしまった。イディルシャイアへ戻り、ロウェナ総合文化会館の「アリア」と話そう。			不可避の定め							
アリアは何も覚えていないようだ。ロウェナ総合文化会館の「シ・ルン・ティア」と話そう。			アリアは何も覚えていないようだ。ロウェナ総合文化会館の「シ・ルン・ティア」と話そう。			不可避の定め							
アリアが意識を失う前に見せた変容は、ランバードのものと酷似していた。シ・ルンはどんなに時間がかかっても、アリアを救う方法を模索するつもりのようだ。しっかりと旅支度を整えて、再びシ・ルンのもとを訪れよう。※赤魔道士のレベルが63以上になると、ロウェナ総合文化会館のシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			アリアが意識を失う前に見せた変容は、ランバードのものと酷似していた。シ・ルンはどんなに時間がかかっても、アリアを救う方法を模索するつもりのようだ。しっかりと旅支度を整えて、再びシ・ルンのもとを訪れよう。※赤魔道士のレベルが63以上になると、ロウェナ総合文化会館のシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			不可避の定め							
イディルシャイアのシ・ルン・ティアと話す			イディルシャイアのシ・ルン・ティアと話す			不可避の定め							
指定地点で見渡して敵を討伐			指定地点で見渡して敵を討伐			不可避の定め							
シ・ルン・ティアと話す			シ・ルン・ティアと話す			不可避の定め							
アリアを救助			アリアを救助			不可避の定め							
イディルシャイアのアリアと話す			イディルシャイアのアリアと話す			不可避の定め							
シ・ルン・ティアと話す			シ・ルン・ティアと話す			不可避の定め							
……Forename、アリア。ずっと、オレの私闘につきあわせてきたが、ようやく師匠らしいことができそうだ。			……Forename、アリア。ずっと、オレの私闘につきあわせてきたが、ようやく師匠らしいことができそうだ。			不可避の定め							
カーティスの娘を支えたForenameらの手で、ついにアラミゴ奪還は実現した。だがオレは、故郷の外側にとどまって復興に協力したい。			カーティスの娘を支えたForenameらの手で、ついにアラミゴ奪還は実現した。だがオレは、故郷の外側にとどまって復興に協力したい。			不可避の定め							
知ってのとおり、アラミゴはついに奪還へ向かって動きだしたが……オレはこれからも、故郷の外から協力を続けたいと思う。……カーティスの忘れ形見は、お前が支えてほしい。			知ってのとおり、アラミゴはついに奪還へ向かって動きだしたが……オレはこれからも、故郷の外から協力を続けたいと思う。……カーティスの忘れ形見は、お前が支えてほしい。			不可避の定め							
知ってのとおり、アラミゴ情勢は大きな転機を迎えつつあるが……オレはこれからも、故郷の外から協力を続けたいと思う。はやる気持ちが、ないわけじゃないが……			知ってのとおり、アラミゴ情勢は大きな転機を迎えつつあるが……オレはこれからも、故郷の外から協力を続けたいと思う。はやる気持ちが、ないわけじゃないが……			不可避の定め							
オレは、20年前のアラミゴ革命軍の一員だ。結果的に帝国の侵攻を招いたオレたちが、再び表舞台に立つことは、無用な混乱を招きかねんしな……。			オレは、20年前のアラミゴ革命軍の一員だ。結果的に帝国の侵攻を招いたオレたちが、再び表舞台に立つことは、無用な混乱を招きかねんしな……。			不可避の定め							
革命軍が「解放軍」と名を変えてずいぶん経つ。未来を選ぶ権利は、これからの時代を生きる者たちにある。			革命軍が「解放軍」と名を変えてずいぶん経つ。未来を選ぶ権利は、これからの時代を生きる者たちにある。			不可避の定め							
それよりもオレは、赤魔道士としての後進の育成につとめたい。オレはいまも「紅の疾風」のシ・ルンだが、「抗う力」を何に使うかは、お前たちの自由だ。			それよりもオレは、赤魔道士としての後進の育成につとめたい。オレはいまも「紅の疾風」のシ・ルンだが、「抗う力」を何に使うかは、お前たちの自由だ。			不可避の定め							
さて、次の修行の場だが……強者どもが集う地、「イディルシャイア」へ向かうとしよう！			さて、次の修行の場だが……強者どもが集う地、「イディルシャイア」へ向かうとしよう！			不可避の定め							
あの……気づいてもらえました？装備と剣を、新しくしたんです！			あの……気づいてもらえました？装備と剣を、新しくしたんです！			不可避の定め							
格好だけって言われないように……修行、もっともっとがんばります！			格好だけって言われないように……修行、もっともっとがんばります！			不可避の定め							
アリアは、自前で装備を新調したらしいな。……なかなか、サマになってるんじゃないか？			アリアは、自前で装備を新調したらしいな。……なかなか、サマになってるんじゃないか？			不可避の定め							
さて……それじゃあ、修行を始めようか！このあたりでは「青の手」という好戦的なゴブリン族が、住人を悩ませている。			さて……それじゃあ、修行を始めようか！このあたりでは「青の手」という好戦的なゴブリン族が、住人を悩ませている。			不可避の定め							
特に最近、からくり兵器を操る部隊の動きが活発化してるらしい。そこで修行をかねて、こいつらを追い払おうってワケだ！			特に最近、からくり兵器を操る部隊の動きが活発化してるらしい。そこで修行をかねて、こいつらを追い払おうってワケだ！			不可避の定め							
あのランバードを倒したお前たちだ。特にForenameの技は、すでに一流の域だが……			あのランバードを倒したお前たちだ。特にForenameの技は、すでに一流の域だが……			不可避の定め							
アリアの魔法は、まだ素質まかせで粗削りだ。ひとりでは行動せず、誰かと組んで行動した方がよさそうだな。			アリアの魔法は、まだ素質まかせで粗削りだ。ひとりでは行動せず、誰かと組んで行動した方がよさそうだな。			不可避の定め							
いえ……ひとりで、がんばってみたいです！			いえ……ひとりで、がんばってみたいです！			不可避の定め							
……わたし、魔法を覚える前は、生きてる実感がなくて、わたしはどこにもいない……いつも、そんな気持ちでした。			……わたし、魔法を覚える前は、生きてる実感がなくて、わたしはどこにもいない……いつも、そんな気持ちでした。			不可避の定め							
だけどいまは、先輩たちに少しでも追いつきたくて、一生懸命走っている自分が、たしかにここにいます。			だけどいまは、先輩たちに少しでも追いつきたくて、一生懸命走っている自分が、たしかにここにいます。			不可避の定め							
……だから少しでも早く、一人前の赤魔道士になりたいんです！先輩たちと、いつか肩を並べて戦えるように。			……だから少しでも早く、一人前の赤魔道士になりたいんです！先輩たちと、いつか肩を並べて戦えるように。			不可避の定め							
ふむ……じゃあ、やってみろ。追い込まれれば、苦手の治癒魔法も上達するかもしれんしな！			ふむ……じゃあ、やってみろ。追い込まれれば、苦手の治癒魔法も上達するかもしれんしな！			不可避の定め							
では、低地ドラヴァニアの「大工房アーキテクトン」付近で、それぞれ、自分の力でからくり兵器を倒してくるんだ。……オレは、シャーレアン工匠街の方で待ってるぜ。			では、低地ドラヴァニアの「大工房アーキテクトン」付近で、それぞれ、自分の力でからくり兵器を倒してくるんだ。……オレは、シャーレアン工匠街の方で待ってるぜ。			不可避の定め							
からくり兵器が出没するのは、「大工房アーキテクトン」付近だ。倒し終わったら、ここまで戻ってくるんだぞ？			からくり兵器が出没するのは、「大工房アーキテクトン」付近だ。倒し終わったら、ここまで戻ってくるんだぞ？			不可避の定め							
シュコォ、シュコォ……蜂の巣にシテヤル！			シュコォ、シュコォ……蜂の巣にシテヤル！			不可避の定め							
シュコォ、シュコォ……ジャマモノ、皆殺し！			シュコォ、シュコォ……ジャマモノ、皆殺し！			不可避の定め							
おっ、その様子……上首尾だったようだな。さすがだぜ、Forename！			おっ、その様子……上首尾だったようだな。さすがだぜ、Forename！			不可避の定め							
