レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
前回までの冒険録：帝国属州からやってきたガンブレイカー、ラドヴァンと共に護衛稼業をすることになった冒険者。エオルゼア各地で様々な顧客の護衛をこなしていく。そして、帝国の懲罰部隊アラウダエに狙われる、カト・マムラを護衛することになる。しかし、彼はラドヴァンの祖国である、シタデル・ボズヤを消滅させた事件を引き起こした人物だった。ラドヴァンはカトに復讐を企てるが、冒険者がそれを阻止。改心したラドヴァンは、冒険者と共にアラウダエの隊長、ヴィトゥス・クォ・メッサラを倒すのだった。　　　　　　　　　　　　*　*　*ラドヴァンと話したところ、シタデル・ボズヤの生き残りがいるようだ。彼の同胞を探すため、グリダニアのカーラインカフェの「ミューヌ」と話そう。			前回までの冒険録：帝国属州からやってきたガンブレイカー、ラドヴァンと共に護衛稼業をすることになった冒険者。エオルゼア各地で様々な顧客の護衛をこなしていく。そして、帝国の懲罰部隊アラウダエに狙われる、カト・マムラを護衛することになる。しかし、彼はラドヴァンの祖国である、シタデル・ボズヤを消滅させた事件を引き起こした人物だった。ラドヴァンはカトに復讐を企てるが、冒険者がそれを阻止。改心したラドヴァンは、冒険者と共にアラウダエの隊長、ヴィトゥス・クォ・メッサラを倒すのだった。　　　　　　　　　　　　*　*　*ラドヴァンと話したところ、シタデル・ボズヤの生き残りがいるようだ。彼の同胞を探すため、グリダニアのカーラインカフェの「ミューヌ」と話そう。			もうひとりのガンブレイカー							
ミューヌと話したところ、エディシアたちが現れた。ラドヴァンの同胞は、冒険者たちの足跡を追っているようだ。ウルダハのザル大門で「ゲラート」と話そう。			ミューヌと話したところ、エディシアたちが現れた。ラドヴァンの同胞は、冒険者たちの足跡を追っているようだ。ウルダハのザル大門で「ゲラート」と話そう。			もうひとりのガンブレイカー							
ゲラートと話したが、ラドヴァンの同胞はすでに去っていた。リムサ・ロミンサのブルワークホールで「フタグ・ヤフタグ」と話そう。			ゲラートと話したが、ラドヴァンの同胞はすでに去っていた。リムサ・ロミンサのブルワークホールで「フタグ・ヤフタグ」と話そう。			もうひとりのガンブレイカー							
フタグ・ヤフタグと話したが、ラドヴァンの同胞はまたもすでに去っていた。イシュガルドのスカイスチール機工房で「リース」と話そう。			フタグ・ヤフタグと話したが、ラドヴァンの同胞はまたもすでに去っていた。イシュガルドのスカイスチール機工房で「リース」と話そう。			もうひとりのガンブレイカー							
リースと話したところ、ラドヴァンの同胞はカト・マムラのもとに向かったという。同胞がカトに復讐する恐れがあるので、彼のもとへ急ぐことになった。クルザス中央高地の神意の地で「ラドヴァン」と話そう。			リースと話したところ、ラドヴァンの同胞はカト・マムラのもとに向かったという。同胞がカトに復讐する恐れがあるので、彼のもとへ急ぐことになった。クルザス中央高地の神意の地で「ラドヴァン」と話そう。			もうひとりのガンブレイカー							
ラドヴァンの同胞、ロスティックはカト・マムラに、シタデル・ボズヤの再建の相談をしていたようだ。ロスティックはラドヴァンを祖国の再建に誘うが、彼は断るのだった。ロスティックは帰っていき、レヴナンツトールに戻ることになった。レヴナンツトールの「ラドヴァン」と話そう。			ラドヴァンの同胞、ロスティックはカト・マムラに、シタデル・ボズヤの再建の相談をしていたようだ。ロスティックはラドヴァンを祖国の再建に誘うが、彼は断るのだった。ロスティックは帰っていき、レヴナンツトールに戻ることになった。レヴナンツトールの「ラドヴァン」と話そう。			もうひとりのガンブレイカー							
ラドヴァンとソフィーは、これから護衛稼業で名を上げて、再建される祖国を世に知らしめるという。冒険者もガンブレイカーとして今後も精進を続けよう。			ラドヴァンとソフィーは、これから護衛稼業で名を上げて、再建される祖国を世に知らしめるという。冒険者もガンブレイカーとして今後も精進を続けよう。			もうひとりのガンブレイカー							
カーラインカフェのミューヌと話す			カーラインカフェのミューヌと話す			もうひとりのガンブレイカー							
ウルダハのゲラートと話す			ウルダハのゲラートと話す			もうひとりのガンブレイカー							
リムサ・ロミンサのフタグ・ヤフタグと話す			リムサ・ロミンサのフタグ・ヤフタグと話す			もうひとりのガンブレイカー							
イシュガルドのリースと話す			イシュガルドのリースと話す			もうひとりのガンブレイカー							
神意の地のラドヴァンと話す			神意の地のラドヴァンと話す			もうひとりのガンブレイカー							
レヴナンツトールのラドヴァンと話す			レヴナンツトールのラドヴァンと話す			もうひとりのガンブレイカー							
よく来たな、Forename。あれから、君に代わる逸材を探しているのだが、やはり冒険者の街といえど、そう簡単には見つからぬものだな。			よく来たな、Forename。あれから、君に代わる逸材を探しているのだが、やはり冒険者の街といえど、そう簡単には見つからぬものだな。			もうひとりのガンブレイカー							
アタシはロウェナの店で欲しい服を見つけたんで、必死で「石」を集めているよ。その後、Forenameはどう……？			アタシはロウェナの店で欲しい服を見つけたんで、必死で「石」を集めているよ。その後、Forenameはどう……？			もうひとりのガンブレイカー							
何の話をする？			何の話をする？			もうひとりのガンブレイカー							
仲間がガンブレイカーになっていた話			仲間がガンブレイカーになっていた話			もうひとりのガンブレイカー							
