石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
ウヌクアルハイから、再召喚された雲神「ビスマルク」の討伐を頼まれ、風水の破魔石を受け取った。討伐に必要な浮島を借りるため、アバラシア雲海のオク・ズンドにいる「ソヌバヌ」に「風水の破魔石」を見せよう。			ウヌクアルハイから、再召喚された雲神「ビスマルク」の討伐を頼まれ、風水の破魔石を受け取った。討伐に必要な浮島を借りるため、アバラシア雲海のオク・ズンドにいる「ソヌバヌ」に「風水の破魔石」を見せよう。			極まりし雲神ビスマルク							
ソヌバヌに風水の破魔石を見せて、浮島を借りることができた。ブルーウィンドウに来ているシドと話そう。			ソヌバヌに風水の破魔石を見せて、浮島を借りることができた。ブルーウィンドウに来ているシドと話そう。			極まりし雲神ビスマルク							
シドと話した。準備はできているようだ。アバラシア雲海の白鯨の冠にある「ブンド・エーテライト」に触れよう。			シドと話した。準備はできているようだ。アバラシア雲海の白鯨の冠にある「ブンド・エーテライト」に触れよう。			極まりし雲神ビスマルク							
ブンド・エーテライトに触れた。仲間とともに、再召喚された雲神「ビスマルク」を倒そう！※コンテンツファインダーから攻略に参加できます。			ブンド・エーテライトに触れた。仲間とともに、再召喚された雲神「ビスマルク」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし雲神ビスマルク							
再召喚された雲神「ビスマルク」を討伐した。オク・ズンドの「ソヌバヌ」に報告しよう。			再召喚された雲神「ビスマルク」を討伐した。オク・ズンドの「ソヌバヌ」に報告しよう。			極まりし雲神ビスマルク							
ソヌバヌに報告した。石の家の「ウヌクアルハイ」にも報告しよう。			ソヌバヌに報告した。石の家の「ウヌクアルハイ」にも報告しよう。			極まりし雲神ビスマルク							
ウヌクアルハイに雲神「ビスマルク」討伐の状況を報告した。極まりし雲神「ビスマルク」のエーテルは、無事にアバラシアの空に還元されたようだ。			ウヌクアルハイに雲神「ビスマルク」討伐の状況を報告した。極まりし雲神「ビスマルク」のエーテルは、無事にアバラシアの空に還元されたようだ。			極まりし雲神ビスマルク							
オク・ズンドのソヌバヌに風水の破魔石を見せる			オク・ズンドのソヌバヌに風水の破魔石を見せる			極まりし雲神ビスマルク							
シドと話す			シドと話す			極まりし雲神ビスマルク							
ブンド・エーテライトに触れる			ブンド・エーテライトに触れる			極まりし雲神ビスマルク							
「極ビスマルク討滅戦」を攻略			「極ビスマルク討滅戦」を攻略			極まりし雲神ビスマルク							
オク・ズンドのソヌバヌに報告			オク・ズンドのソヌバヌに報告			極まりし雲神ビスマルク							
石の家のウヌクアルハイに報告			石の家のウヌクアルハイに報告			極まりし雲神ビスマルク							
極まりし蛮神のうち、雲神「ビスマルク」は大空の脅威となる相手……。			極まりし蛮神のうち、雲神「ビスマルク」は大空の脅威となる相手……。			極まりし雲神ビスマルク							
早めに手を打ちたいところですが、かの蛮神は、雲海を遊弋して場所が定まらないために、討滅も一筋縄ではいかないでしょう。			早めに手を打ちたいところですが、かの蛮神は、雲海を遊弋して場所が定まらないために、討滅も一筋縄ではいかないでしょう。			極まりし雲神ビスマルク							
となれば、貴方の手による討滅事例と同様に、浮島をエサとし、雲海の底より、かの神をおびき出すしかありません。			となれば、貴方の手による討滅事例と同様に、浮島をエサとし、雲海の底より、かの神をおびき出すしかありません。			極まりし雲神ビスマルク							
貴方は、この「風水の破魔石」を持ち、「オク・ズンド」の長老、「ソヌバヌ」氏のところへ。それを見せれば、きっと浮島を貸してくれるはずです。			貴方は、この「風水の破魔石」を持ち、「オク・ズンド」の長老、「ソヌバヌ」氏のところへ。それを見せれば、きっと浮島を貸してくれるはずです。			極まりし雲神ビスマルク							
飛空艇の手配に関しては、僕からシド氏に連絡し、協力を要請しておきましょう。ソヌバヌ氏との対話が終わり次第、現地で合流してください。			飛空艇の手配に関しては、僕からシド氏に連絡し、協力を要請しておきましょう。ソヌバヌ氏との対話が終わり次第、現地で合流してください。			極まりし雲神ビスマルク							
貴方は、その「風水の破魔石」を持ち、「オク・ズンド」の長老、「ソヌバヌ」氏のところへ。それを見せれば、きっと浮島を貸してくれるはずです。			貴方は、その「風水の破魔石」を持ち、「オク・ズンド」の長老、「ソヌバヌ」氏のところへ。それを見せれば、きっと浮島を貸してくれるはずです。			極まりし雲神ビスマルク							
これは、これは、再来を歓迎せねばなるまい！雲神さまが再び現れ、乱雲を纏って荒れ狂い、いくつもの浮島を食べなさっておられるのです！			これは、これは、再来を歓迎せねばなるまい！雲神さまが再び現れ、乱雲を纏って荒れ狂い、いくつもの浮島を食べなさっておられるのです！			極まりし雲神ビスマルク							
なんと、なんと、強い魔力を感じる石か！我らバヌバヌ族の伝承に伝わる「風水の破魔石」を、ヒトの勇者がもたらすとは……。			なんと、なんと、強い魔力を感じる石か！我らバヌバヌ族の伝承に伝わる「風水の破魔石」を、ヒトの勇者がもたらすとは……。			極まりし雲神ビスマルク							
これが、これが、ありさえすれば、冷酷なるブンドが結界を張った、「白鯨の冠」の「ブンド・エーテライト」から、雲神さまが纏う乱雲を晴らすこともできましょう。			これが、これが、ありさえすれば、冷酷なるブンドが結界を張った、「白鯨の冠」の「ブンド・エーテライト」から、雲神さまが纏う乱雲を晴らすこともできましょう。			極まりし雲神ビスマルク							
ヒトの勇者よ、天翔る船を用いて、我らの浮島とともに、雲神さまを鎮めに赴いてくだされ！吹き抜ける風のように、強くお願いしよう！			ヒトの勇者よ、天翔る船を用いて、我らの浮島とともに、雲神さまを鎮めに赴いてくだされ！吹き抜ける風のように、強くお願いしよう！			極まりし雲神ビスマルク							
ヒトの勇者よ、天翔る船を用いて、我らの浮島とともに、雲神さまを鎮めに赴いてくだされ！吹き抜ける風のように、強くお願いしよう！			ヒトの勇者よ、天翔る船を用いて、我らの浮島とともに、雲神さまを鎮めに赴いてくだされ！吹き抜ける風のように、強くお願いしよう！			極まりし雲神ビスマルク							
よう、Forename。「暁」の使いだとかいうガキが来て、手を貸すように頼まれてな。聞けば、また雲神「ビスマルク」が現れたそうじゃないか。			よう、Forename。「暁」の使いだとかいうガキが来て、手を貸すように頼まれてな。聞けば、また雲神「ビスマルク」が現れたそうじゃないか。			極まりし雲神ビスマルク							
……よし、浮島を貸してもらったようだな。こっちの準備はできてるぜ。あとは、雲神が纏っているという乱雲を晴らすだけだ。			……よし、浮島を貸してもらったようだな。こっちの準備はできてるぜ。あとは、雲神が纏っているという乱雲を晴らすだけだ。			極まりし雲神ビスマルク							
作戦は前回と同じ。浮島をエサに、奴さんを一本釣りだ！雲神さまを、雲海の底に沈めてやろうぜ！			作戦は前回と同じ。浮島をエサに、奴さんを一本釣りだ！雲神さまを、雲海の底に沈めてやろうぜ！			極まりし雲神ビスマルク							
作戦は前回と同じ。浮島をエサに、奴さんを一本釣りだ！雲神さまを、雲海の底に沈めてやろうぜ！			作戦は前回と同じ。浮島をエサに、奴さんを一本釣りだ！雲神さまを、雲海の底に沈めてやろうぜ！			極まりし雲神ビスマルク							
破魔石により、ブンド・エーテライトの結界が解かれた！風水の破魔石は、砕け散った……。			破魔石により、ブンド・エーテライトの結界が解かれた！風水の破魔石は、砕け散った……。			極まりし雲神ビスマルク							
またも、雲神さまを鎮めてくださったか！恵みの雨のように、感謝いたしましょう。			またも、雲神さまを鎮めてくださったか！恵みの雨のように、感謝いたしましょう。			極まりし雲神ビスマルク							
それにしても、語り部たちの口伝のとおりに、「風水の破魔石」を持つ勇者が現れるとは……。			それにしても、語り部たちの口伝のとおりに、「風水の破魔石」を持つ勇者が現れるとは……。			極まりし雲神ビスマルク							
太陽と月とが、幾千も巡る昔の話……あるバヌバヌ族の呪い師が、災いの夢を見たといいます。そして一族の力を束ねて、ひとつのお守りを作ったのです。			太陽と月とが、幾千も巡る昔の話……あるバヌバヌ族の呪い師が、災いの夢を見たといいます。そして一族の力を束ねて、ひとつのお守りを作ったのです。			極まりし雲神ビスマルク							
それが、それが、まさしく「風水の破魔石」。呪い師は、完成したお守りを雲海の底へと落とすと、皆の前で、こう宣言したのだとか。			それが、それが、まさしく「風水の破魔石」。呪い師は、完成したお守りを雲海の底へと落とすと、皆の前で、こう宣言したのだとか。			極まりし雲神ビスマルク							
いつしか時が巡り、一族に災いが降りかかるとき、「風水の破魔石」を手に勇者が現れるだろうと……。			いつしか時が巡り、一族に災いが降りかかるとき、「風水の破魔石」を手に勇者が現れるだろうと……。			極まりし雲神ビスマルク							
これは、これは、預言の成就！語り部に伝え、次の子にも、その次の子にも、連綿と語り継いでいくことにしましょう！			これは、これは、預言の成就！語り部に伝え、次の子にも、その次の子にも、連綿と語り継いでいくことにしましょう！			極まりし雲神ビスマルク							
これは、これは、預言の成就！語り部に伝え、次の子にも、その次の子にも、連綿と語り継いでいくことにしましょう！			これは、これは、預言の成就！語り部に伝え、次の子にも、その次の子にも、連綿と語り継いでいくことにしましょう！			極まりし雲神ビスマルク							
おつかれさまでした。極まりし雲神「ビスマルク」のエーテルが、アバラシアの空へと還元されるのを観測できましたよ。			おつかれさまでした。極まりし雲神「ビスマルク」のエーテルが、アバラシアの空へと還元されるのを観測できましたよ。			極まりし雲神ビスマルク							
さあ次は、極まりし武神「ラーヴァナ」です。			さあ次は、極まりし武神「ラーヴァナ」です。			極まりし雲神ビスマルク							
かの蛮神は、闘技場に籠もり瞑想しているようです。近づく算段を、考えねばなりませんね……。			かの蛮神は、闘技場に籠もり瞑想しているようです。近づく算段を、考えねばなりませんね……。			極まりし雲神ビスマルク							
極まりし武神「ラーヴァナ」に続き、雲神「ビスマルク」のエーテルもまた、還元されたようですね。			極まりし武神「ラーヴァナ」に続き、雲神「ビスマルク」のエーテルもまた、還元されたようですね。			極まりし雲神ビスマルク							
感謝しますよ、光の戦士……。雲神と武神を放置すれば、必ずや、霊災級の災いへと発展していたことでしょう。			感謝しますよ、光の戦士……。雲神と武神を放置すれば、必ずや、霊災級の災いへと発展していたことでしょう。			極まりし雲神ビスマルク							
……なぜなら、これらの蛮神は、どちらも「魔大陸」へと飛翔する力を秘めていたのですから。			……なぜなら、これらの蛮神は、どちらも「魔大陸」へと飛翔する力を秘めていたのですから。			極まりし雲神ビスマルク							
蛮神たちは、未だ微睡みの内にある闘神を喰らうことで、さらなる力を得ようとしていた……。……僕には、それがわかるのです。			蛮神たちは、未だ微睡みの内にある闘神を喰らうことで、さらなる力を得ようとしていた……。……僕には、それがわかるのです。			極まりし雲神ビスマルク							
なぜ、蛮神の思考がわかるのか疑問ですか？それが、僕にあたえられた異能だからですよ。			なぜ、蛮神の思考がわかるのか疑問ですか？それが、僕にあたえられた異能だからですよ。			極まりし雲神ビスマルク							
フフフ、貴方も「超える力」とは何なのかを理解しないまま、異能の力を利用しているではありませんか。それと同じことです……。			フフフ、貴方も「超える力」とは何なのかを理解しないまま、異能の力を利用しているではありませんか。それと同じことです……。			極まりし雲神ビスマルク							
神々に愛されし地、エオルゼア……。その神々とは、善なるものか悪なるものか。……フフフ、果たしてどちらなのでしょうかね。			神々に愛されし地、エオルゼア……。その神々とは、善なるものか悪なるものか。……フフフ、果たしてどちらなのでしょうかね。			極まりし雲神ビスマルク							
さて、僕はこのまま「石の家」に残り、ウリエンジェと協力して「三闘神」について調べておきます。何かあればお声がけします……また、お会いしましょう。			さて、僕はこのまま「石の家」に残り、ウリエンジェと協力して「三闘神」について調べておきます。何かあればお声がけします……また、お会いしましょう。			極まりし雲神ビスマルク							
イシュガルドのトルスフェルは、冒険者に伝えたいことがあるようだ。			イシュガルドのトルスフェルは、冒険者に伝えたいことがあるようだ。			古の神							
トルスフェルは、冒険者が留守のあいだに、怪しい男から伝言を受けたようだ。レヴナンツトールの「石の家」の「暁の間」に向かい、「指定地点」で待機しよう。			トルスフェルは、冒険者が留守のあいだに、怪しい男から伝言を受けたようだ。レヴナンツトールの「石の家」の「暁の間」に向かい、「指定地点」で待機しよう。			古の神							
ウヌクアルハイと話した。「魔大陸」に封印されていた「三闘神」が覚醒しつつあるようだ。再封印するためには、極まりし蛮神たちや、覚醒前の三闘神を討滅する必要があるらしい。まずは、ウヌクアルハイとともに、情報が揃っている極まりし蛮神の討滅に挑もう。			ウヌクアルハイと話した。「魔大陸」に封印されていた「三闘神」が覚醒しつつあるようだ。再封印するためには、極まりし蛮神たちや、覚醒前の三闘神を討滅する必要があるらしい。まずは、ウヌクアルハイとともに、情報が揃っている極まりし蛮神の討滅に挑もう。			古の神							
石の家の指定地点で待機する			石の家の指定地点で待機する			古の神							
おお、冒険者様……少々お話が……。貴方様が留守にしている間、怪しい男が訪ねてまいりました。			おお、冒険者様……少々お話が……。貴方様が留守にしている間、怪しい男が訪ねてまいりました。			古の神							
なんでも、お手すきになった際に、「石の家」の「暁の間」までいらしてほしいとか……。			なんでも、お手すきになった際に、「石の家」の「暁の間」までいらしてほしいとか……。			古の神							
